,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,13.0,17.49,10.211,14.019,1557283.060000001,13.6574,1623283200000,28264,
1,14.019,18.99,11.938,12.087,3184039.06000008,15.0166,1623369600000,72295,
2,12.091,12.256,10.032,11.097,1377178.8700000087,11.1878,1623456000000,25811,
3,11.099,11.236,9.567,10.296,898638.0099999921,10.2812,1623542400000,16598,
4,10.321,11.768,10.039,10.378,802463.4399999942,10.7543,1623628800000,17632,
5,10.413,11.59,10.25,10.751,777756.7000000025,10.7048,1623715200000,14719,
6,10.818,11.25,8.963,9.14,818145.0499999997,9.7162,1623801600000,15035,
7,9.14,9.805,8.23,8.391,551369.9199999985,9.0063,1623888000000,10960,
8,8.391,8.914,7.543,7.943,431719.0399999998,8.2159,1623974400000,9069,
9,7.964,8.371,7.786,7.923,325118.6500000002,8.0411,1624060800000,5203,
10,7.885,8.052,6.701,7.484,348476.5999999993,7.3155,1624147200000,6379,
11,7.429,7.669,5.625,5.644,489380.82000000123,6.3247,1624233600000,8018,
12,5.647,6.124,4.614,5.277,470608.81000000035,5.3398,1624320000000,7354,
13,5.276,6.249,5.086,5.724,408477.9700000001,5.7507,1624406400000,5408,
14,5.732,6.103,5.255,5.672,214867.4100000009,5.583,1624492800000,4087,
15,5.708,6.956,5.59,5.754,515878.0300000018,6.1401,1624579200000,9117,
16,5.777,6.203,5.3,5.75,268624.98999999993,5.7505,1624665600000,4625,
17,5.778,7.545,5.567,7.171,921916.8199999987,6.7773,1624752000000,12944,
18,7.217,8.595,7.149,7.363,1449726.9700000088,7.718,1624838400000,22185,
19,7.394,8.999,7.358,8.472,615862.020000001,8.1539,1624924800000,9808,
20,8.418,8.761,7.293,7.777,379663.50999999634,7.8722,1625011200000,6941,
21,7.777,7.817,6.677,7.084,279931.38000000076,7.1337,1625097600000,5626,
22,7.08,7.474,6.429,6.872,261519.4900000003,6.7858,1625184000000,4306,
23,6.896,7.8,6.693,7.35,253517.05000000095,7.45,1625270400000,5033,
24,7.378,7.75,6.95,7.237,160309.15999999963,7.4309,1625356800000,5275,
25,7.182,7.282,6.614,6.832,306048.44000000076,6.9081,1625443200000,5911,
26,6.828,7.428,6.828,7.13,293940.8899999997,7.1531,1625529600000,4049,
27,7.088,7.48,6.954,6.975,256873.7500000011,7.2221,1625616000000,3868,
28,6.974,6.98,6.255,6.482,208724.59000000046,6.5473,1625702400000,4281,
29,6.493,6.67,6.164,6.46,95233.86000000023,6.4046,1625788800000,4785,
30,6.479,6.75,6.181,6.323,111903.36000000419,6.3898,1625875200000,4560,
31,6.31,6.663,6.255,6.358,96516.22999999972,6.4375,1625961600000,3286,
32,6.352,6.442,5.852,6.117,96246.49000000054,6.1427,1626048000000,2998,
33,6.114,6.285,5.6,5.737,220415.85000000335,5.8257,1626134400000,4779,
34,5.737,5.958,5.385,5.755,253499.31000000596,5.6428,1626220800000,5508,
35,5.753,5.955,5.213,5.381,248122.90000000104,5.5613,1626307200000,4464,
36,5.397,5.561,5.003,5.043,146787.90000000154,5.2735,1626393600000,3430,
37,5.033,6.41,4.764,6.033,751144.6299999596,5.5383,1626480000000,12482,
38,6.061,6.835,5.695,5.814,775975.4399999664,6.3626,1626566400000,16330,
39,5.814,5.861,4.985,5.03,418395.8799999957,5.2965,1626652800000,6740,
40,5.042,5.545,4.777,5.403,568427.3899999856,5.1747,1626739200000,8614,
41,5.422,5.939,5.23,5.888,344663.869999985,5.5655,1626825600000,7818,
42,5.921,6.039,5.582,5.872,159684.98000000542,5.8131,1626912000000,4599,
43,5.849,5.96,5.485,5.819,108694.09000000147,5.7071,1626998400000,3583,
44,5.824,6.738,5.772,6.696,345209.3599999874,6.3133,1627084800000,9261,
45,6.69,6.75,6.074,6.309,413215.9799999611,6.3945,1627171200000,8493,
46,6.318,7.908,6.243,6.698,576649.669999997,7.2116,1627257600000,10252,
47,6.701,6.938,6.344,6.723,115693.48000000256,6.6596,1627344000000,5075,
48,6.727,7.034,6.542,6.677,129903.92000000284,6.782,1627430400000,3854,
49,6.697,6.85,6.485,6.79,139668.9900000072,6.6704,1627516800000,5170,
50,6.845,7.092,6.449,6.849,213674.04000000726,6.8027,1627603200000,5294,
51,6.85,7.4,6.6,7.196,202672.56000000212,6.9987,1627689600000,5953,
52,7.244,8.874,7.166,8.088,651451.7300000042,8.2623,1627776000000,14387,
53,8.075,8.384,7.789,7.839,171433.6399999997,8.0055,1627862400000,4844,
54,7.864,8.045,7.243,7.365,154564.07000000024,7.476,1627948800000,3635,
55,7.383,7.971,7.245,7.816,83717.56999999924,7.6476,1628035200000,2659,
56,7.82,7.977,7.324,7.783,83173.21000000011,7.7147,1628121600000,2621,
57,7.847,9.117,7.523,8.786,225465.18000000063,8.427,1628208000000,5340,
58,8.772,9.581,8.369,9.163,373549.81000000023,8.9508,1628294400000,7439,
59,9.164,9.465,8.386,8.475,191129.6499999997,8.9365,1628380800000,4381,
60,8.501,9.155,8.025,8.827,184296.83000000007,8.7524,1628467200000,4029,
61,8.822,9.015,8.367,8.689,93091.19000000003,8.6989,1628553600000,3391,
62,8.69,10.0,8.627,8.923,179339.3700000005,9.1425,1628640000000,5959,
63,8.923,9.341,8.126,8.513,159523.84999999986,8.559,1628726400000,4254,
64,8.53,9.0,8.324,8.97,153146.30000000025,8.7635,1628812800000,3422,
65,8.987,9.35,8.728,9.1,187530.97000000058,9.0126,1628899200000,4530,
66,9.091,9.4,8.574,9.269,164807.1400000004,9.0935,1628985600000,4331,
67,9.27,9.641,9.001,9.064,130098.60000000066,9.2571,1629072000000,4261,
68,9.059,9.598,8.291,8.397,171214.93000000122,9.0278,1629158400000,5000,
69,8.439,8.528,7.554,7.638,189913.34000000005,7.953,1629244800000,4939,
70,7.645,8.15,7.544,8.133,162324.04999999973,7.8666,1629331200000,3751,
71,8.149,8.579,8.008,8.332,140304.43000000058,8.3166,1629417600000,3619,
72,8.308,8.697,8.081,8.234,101725.60999999993,8.3834,1629504000000,3059,
