,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,4.05376,4.12127,3.90234,3.9749,8441.3,4.0281,1514764800000,496,
1,4.03621,4.42111,3.94696,4.14576,11421.319999999996,4.2192,1514779200000,551,
2,4.18769,4.25562,4.06809,4.1766,10867.200000000003,4.176,1514793600000,501,
3,4.22517,4.38267,4.16228,4.26551,10400.92,4.2741,1514808000000,534,
4,4.27058,4.6,4.22658,4.52753,14145.630000000006,4.4475,1514822400000,698,
5,4.56256,4.76717,4.45513,4.51822,17136.110000000004,4.585,1514836800000,769,
6,4.5157,4.98999,4.49419,4.78584,13788.099999999997,4.7468,1514851200000,656,
7,4.82551,5.86882,4.79671,5.01146,12587.999999999996,5.1317,1514865600000,670,
8,5.00744,6.0,4.99869,5.69754,13693.779999999997,5.7075,1514880000000,842,
9,5.67156,5.79677,5.46283,5.59491,7789.340000000001,5.6129,1514894400000,615,
10,5.60522,5.84594,5.27368,5.42414,14400.159999999993,5.5901,1514908800000,668,
11,5.42183,5.68371,5.31986,5.46353,9637.330000000007,5.4945,1514923200000,524,
12,5.48971,5.78945,5.3447,5.6609,10859.990000000002,5.5768,1514937600000,680,
13,5.66257,6.25696,5.6,5.8768,22046.399999999994,5.902,1514952000000,838,
14,5.92587,6.25391,5.40321,6.14972,10514.789999999999,5.8054,1514966400000,725,
15,6.24187,7.0,5.9574,6.94397,14592.17000000001,6.4522,1514980800000,757,
16,6.90113,7.0,6.46932,6.51787,11283.420000000004,6.6954,1514995200000,651,
17,6.52679,7.12032,6.4421,7.1083,10011.220000000001,6.7435,1515009600000,595,
18,7.13909,7.36974,6.91577,7.24929,10623.589999999997,7.1851,1515024000000,670,
19,7.26038,7.5523,7.03,7.11572,10895.630000000003,7.2897,1515038400000,633,
20,7.11632,7.19559,6.30362,6.57745,11454.540000000005,6.6274,1515052800000,587,
21,6.66922,6.73263,6.12377,6.37403,19616.37999999999,6.4076,1515067200000,705,
22,6.33643,6.41563,6.06805,6.081,11771.670000000002,6.2701,1515081600000,618,
23,6.11555,6.34321,6.01624,6.18493,6705.399999999999,6.1273,1515096000000,514,
24,6.16288,6.41771,3.69,6.29889,29671.939999999962,5.1923,1515110400000,774,
25,6.2359,6.76378,5.46893,6.76378,11550.659999999998,6.0603,1515124800000,576,
26,6.66208,7.34998,5.8917,6.13834,12914.129999999994,6.7525,1515139200000,645,
27,6.1384,6.47365,5.98987,6.46806,8109.739999999997,6.327,1515153600000,527,
28,6.45541,6.53374,5.91734,5.96588,12905.539999999995,6.3117,1515168000000,556,
29,6.01072,6.03759,4.25,5.43739,20572.389999999992,5.4304,1515182400000,620,
30,5.50451,5.51384,5.03963,5.20435,12817.229999999994,5.307,1515196800000,576,
31,5.25736,5.67615,5.11326,5.5885,10447.609999999986,5.4419,1515211200000,489,
32,5.53043,5.95997,5.27,5.87097,17978.829999999994,5.7393,1515225600000,600,
33,5.87745,6.5,5.76282,6.32245,8652.820000000002,6.1807,1515240000000,591,
34,6.31778,6.5304,4.05715,5.3334,23577.28,5.5165,1515254400000,603,
35,5.3162,5.79999,5.21229,5.28651,24026.44,5.3893,1515268800000,596,
36,5.27337,6.55,5.1,6.39238,26058.069999999992,5.4986,1515283200000,751,
37,6.44167,6.6,5.82266,6.137,17845.559999999983,6.3621,1515297600000,709,
38,6.13215,6.6,5.97895,6.52299,11396.930000000002,6.3814,1515312000000,628,
39,6.52299,6.52299,4.8,5.77749,15260.469999999998,5.8159,1515326400000,601,
40,5.85715,5.9389,4.2,5.28496,18251.62999999998,5.1954,1515340800000,670,
41,5.24075,5.43156,5.07526,5.36549,5515.800000000004,5.3096,1515355200000,510,
42,5.40162,5.66954,5.32405,5.60657,9920.18,5.5291,1515369600000,587,
43,5.66174,5.85204,4.0,5.08571,23843.66,5.2459,1515384000000,583,
44,5.02446,5.08546,4.0,4.73858,13886.38000000001,4.6257,1515398400000,593,
45,4.77506,5.03966,4.40611,4.61456,19395.930000000008,4.7838,1515412800000,608,
46,4.64441,4.79035,4.62219,4.68602,11958.659999999994,4.7453,1515427200000,610,
47,4.70655,4.79034,4.0,4.62077,14520.159999999994,4.6407,1515441600000,550,
48,4.62408,4.92951,4.0,4.92904,15467.409999999993,4.5811,1515456000000,522,
49,4.92033,5.47522,4.82547,5.47522,15450.240000000003,5.0627,1515470400000,591,
50,5.47107,5.78926,5.17068,5.25362,13703.100000000006,5.4804,1515484800000,525,
51,5.24317,5.32087,5.02338,5.23191,11065.359999999999,5.1824,1515499200000,608,
52,5.2328,5.32331,4.57629,4.93709,9590.469999999988,4.8265,1515513600000,965,
53,4.93896,5.14194,4.70753,4.89513,8011.629999999998,4.9664,1515528000000,610,
54,4.86772,5.08692,4.6,4.90489,10651.309999999996,4.8177,1515542400000,603,
55,4.9438,5.06,4.63811,4.66978,10287.709999999994,4.8598,1515556800000,495,
56,4.66924,5.42524,4.36677,5.34333,11313.050000000005,4.6802,1515571200000,580,
57,5.41688,5.41688,4.57936,4.79501,16079.029999999993,4.9157,1515585600000,573,
58,4.87867,5.12122,4.67041,5.07548,12668.519999999997,4.8446,1515600000000,866,
59,5.01898,5.38,4.85473,4.89217,12625.399999999998,5.1062,1515614400000,571,
60,4.89103,5.36437,4.82486,5.00375,12247.350000000002,5.0951,1515628800000,498,
61,5.00378,5.1811,4.63897,5.12242,12031.54,4.8531,1515643200000,487,
62,5.17543,5.2399,4.77525,5.13092,9632.37,5.0483,1515657600000,546,
63,5.12485,5.40541,4.92559,5.2352,9756.080000000004,5.1999,1515672000000,602,
64,5.31788,5.43802,5.10224,5.16978,12434.759999999995,5.278,1515686400000,531,
65,5.14614,5.29957,5.03807,5.2071,10731.030000000004,5.1814,1515700800000,491,
