,date,open,high,low,close,volume
0,2018-05-09 20:00:00,2.5589,2.98,2.2189,2.2189,7109.51978079
1,2018-05-10 20:00:00,2.1785,2.3076,2.0002,2.072,12684.75059297
2,2018-05-11 20:00:00,2.0,2.1289,1.8,2.1289,1978.7156516200005
3,2018-05-12 20:00:00,2.15,2.2113,2.12,2.1705,9839.67593634
4,2018-05-13 20:00:00,2.1584,2.3294,1.9985,2.24,21120.916763530007
5,2018-05-14 20:00:00,2.24,2.4103,2.02,2.0521,22762.61944907
6,2018-05-15 20:00:00,1.9988,2.1387,1.916,1.916,3208.6863452200005
7,2018-05-16 20:00:00,1.9676,1.9996,1.8241,1.92,3786.38331416
8,2018-05-17 20:00:00,1.82,1.8472,1.7562,1.7902,1525.5195681300004
9,2018-05-18 20:00:00,1.8495,1.8694,1.8218,1.865,749.92146219
10,2018-05-19 20:00:00,1.8398,1.9069,1.814,1.9069,289.68152000000003
11,2018-05-20 20:00:00,1.8632,1.8743,1.7781,1.8149,42415.88029996
12,2018-05-21 20:00:00,1.7483,1.7483,1.6478,1.648,3836.7030535
13,2018-05-22 20:00:00,1.61,1.61,1.3325,1.4033,5936.03221299
14,2018-05-23 20:00:00,1.4356,1.4834,1.3688,1.4824,4840.068643660001
15,2018-05-24 20:00:00,1.4691,1.4777,1.35,1.35,1801.08416335
16,2018-05-25 20:00:00,1.3642,1.3642,1.2986,1.2986,1665.39952755
17,2018-05-26 20:00:00,1.2776,1.3056,1.269,1.3056,1902.49794817
18,2018-05-27 20:00:00,1.3289,1.3289,1.1584,1.1584,8784.93679236
19,2018-05-28 20:00:00,1.1748,1.2811,1.1529,1.2354,5315.69357511
20,2018-05-29 20:00:00,1.2662,1.2845,1.2059,1.2279,6558.967315939999
21,2018-05-30 20:00:00,1.237,1.4,1.237,1.335,2590.34165727
22,2018-05-31 20:00:00,1.3829,1.6192,1.3619,1.4745,1235.12179363
23,2018-06-01 20:00:00,1.5593,1.6348,1.4351,1.5438,4632.134328089999
24,2018-06-02 20:00:00,1.5531,1.5531,1.5298,1.5323,350.68627295
25,2018-06-03 20:00:00,1.4854,1.4854,1.3874,1.4575,5369.669831980001
26,2018-06-04 20:00:00,1.4455,1.4672,1.3559,1.4672,3632.85812845
27,2018-06-05 20:00:00,1.449,1.4493,1.3897,1.4373,2016.21886509
28,2018-06-06 20:00:00,1.4371,1.45,1.4205,1.4205,1702.86429859
29,2018-06-07 20:00:00,1.4566,1.4566,1.3601,1.3601,1145.2551999999998
30,2018-06-08 20:00:00,1.3788,1.3788,1.3788,1.3788,25.65536848
31,2018-06-09 20:00:00,1.3276,1.3276,1.083,1.0866,5554.530292980001
32,2018-06-10 20:00:00,1.0997,1.1254,1.077,1.1132,4183.118997230001
33,2018-06-11 20:00:00,1.1303,1.132,1.0167,1.0167,3170.1992949699998
34,2018-06-12 20:00:00,1.0306,1.0306,0.91645,0.91702,1451.67885832
35,2018-06-13 20:00:00,0.95312,1.0405,0.95312,1.04,10323.57512065
36,2018-06-14 20:00:00,1.0201,1.0201,0.99969,0.99969,5386.68659564
37,2018-06-15 20:00:00,1.0002,1.0002,0.97305,0.97305,4767.9937544800005
38,2018-06-16 20:00:00,0.99483,0.99972,0.98627,0.99063,582.83482917
39,2018-06-17 20:00:00,0.95744,1.0086,0.95744,1.0086,5738.235544470001
40,2018-06-18 20:00:00,1.0124,1.0227,1.0,1.0011,3383.8406254200004
41,2018-06-19 20:00:00,0.99335,0.99335,0.95069,0.99255,2715.6877008999995
42,2018-06-20 20:00:00,0.98831,1.0,0.94,0.9401,8375.3324667
43,2018-06-21 20:00:00,0.94,0.94267,0.77896,0.82019,3970.18328511
44,2018-06-22 20:00:00,0.84294,0.94554,0.7998,0.7998,418.19686377
45,2018-06-23 20:00:00,0.84833,0.84833,0.75547,0.75547,2085.17996205
46,2018-06-24 20:00:00,0.81883,0.9095,0.81882,0.90774,2798.59408654
47,2018-06-25 20:00:00,0.81117,0.92357,0.81117,0.8501,124.404364
48,2018-06-26 20:00:00,0.85321,0.85321,0.80917,0.80917,1189.5
49,2018-06-27 20:00:00,0.801,0.80102,0.77573,0.77573,1065.73962113
50,2018-06-28 20:00:00,0.77218,0.77218,0.76546,0.76546,258.0
51,2018-06-29 20:00:00,0.7999,0.89829,0.7999,0.89829,2622.90967437
52,2018-06-30 20:00:00,0.85,0.87326,0.80516,0.87326,711.53131835
53,2018-07-01 20:00:00,0.93067,0.98495,0.93067,0.98495,62.7238047
54,2018-07-02 20:00:00,0.9613,0.9613,0.9175,0.9175,171.00821651
55,2018-07-03 20:00:00,0.91388,1.011,0.85944,0.95714,12215.37205182
56,2018-07-04 20:00:00,0.9965,1.155,0.98731,1.0609,77203.36135635003
57,2018-07-05 20:00:00,0.9856,0.99999,0.95879,0.99999,3562.4589873099994
58,2018-07-06 20:00:00,1.0025,1.0526,0.96071,0.9677,16673.819243789992
59,2018-07-07 20:00:00,1.0318,1.0488,1.0026,1.0404,16541.16313064
60,2018-07-08 20:00:00,1.0401,1.0401,0.99445,1.0172,2835.6054
61,2018-07-09 20:00:00,1.0002,1.0002,0.82954,0.86,4890.403070339999
62,2018-07-10 20:00:00,0.84001,0.92293,0.84001,0.92293,266.8333562
63,2018-07-11 20:00:00,0.84981,0.88471,0.8486,0.8486,5790.96
64,2018-07-12 20:00:00,0.84813,0.90917,0.84813,0.8815,70.929
65,2018-07-13 20:00:00,0.89456,0.89456,0.89436,0.89436,2237.46661444
66,2018-07-14 20:00:00,0.89051,0.9,0.8905,0.8905,1003.06555405
67,2018-07-15 20:00:00,0.92706,0.9675,0.92081,0.9675,10004.67710134
68,2018-07-16 20:00:00,0.96733,1.048,0.93241,1.0475,9206.73694804
69,2018-07-17 20:00:00,1.0118,1.0809,1.0118,1.032,5396.972811899999
70,2018-07-18 20:00:00,1.0358,1.0804,1.0358,1.0398,3891.045436480001
71,2018-07-19 20:00:00,1.0398,1.0398,0.93542,0.93729,1240.90487899
72,2018-07-20 20:00:00,0.90503,0.96092,0.90503,0.91595,1125.2301842000002
73,2018-07-21 20:00:00,0.92354,0.95699,0.9233,0.9233,2392.06152807
74,2018-07-22 20:00:00,0.9233,0.97666,0.90364,0.918,3355.3687815400003
75,2018-07-23 20:00:00,0.95342,0.95996,0.89241,0.94724,5714.520113780001
76,2018-07-24 20:00:00,0.9449,0.99985,0.92802,0.92802,867.5308892899999
77,2018-07-25 20:00:00,0.95975,0.95975,0.90475,0.90475,836.82833921
78,2018-07-27 20:00:00,0.92917,0.92917,0.925,0.925,50.0
79,2018-07-28 20:00:00,0.88912,0.88912,0.88912,0.88912,37.9
80,2018-07-29 20:00:00,0.87339,0.87339,0.8534,0.8536,795.614148
81,2018-07-30 20:00:00,0.88598,0.88598,0.79502,0.79502,889.76465004
82,2018-07-31 20:00:00,0.785,0.785,0.71545,0.7399,4779.317840140001
83,2018-08-01 20:00:00,0.75498,0.7558,0.69384,0.7127,1579.21830629
84,2018-08-02 20:00:00,0.6894,0.7105,0.6537,0.7105,996.71712188
85,2018-08-03 20:00:00,0.707,0.707,0.69555,0.69555,129.0
86,2018-08-04 20:00:00,0.69333,0.72162,0.68784,0.72162,1591.0
87,2018-08-05 20:00:00,0.72062,0.72062,0.6643,0.6645,1595.608911
88,2018-08-06 20:00:00,0.69543,0.69543,0.65,0.65,5864.54855859
89,2018-08-07 20:00:00,0.61671,0.66105,0.52466,0.55822,7706.075323260001
90,2018-08-08 20:00:00,0.5829,0.5829,0.5729,0.58289,60.0
91,2018-08-09 20:00:00,0.54755,0.56001,0.5331,0.5331,5554.702601229999
92,2018-08-10 20:00:00,0.53888,0.53888,0.47244,0.49985,2851.1553340500004
93,2018-08-11 20:00:00,0.50354,0.51119,0.48826,0.51119,9189.7
94,2018-08-12 20:00:00,0.4764,0.48849,0.42,0.42763,12820.393320369996
95,2018-08-13 20:00:00,0.4,0.4077,0.34397,0.4077,15703.33368216
96,2018-08-14 20:00:00,0.39875,0.45,0.39875,0.42631,5682.12183338
97,2018-08-15 20:00:00,0.44899,0.44899,0.4378,0.44852,4525.0
98,2018-08-16 20:00:00,0.4436,0.49996,0.4436,0.4903,6562.20149257
99,2018-08-17 20:00:00,0.51706,0.51706,0.45,0.46511,13274.06611624
100,2018-08-18 20:00:00,0.467,0.467,0.46589,0.46589,118.0
101,2018-08-19 20:00:00,0.48161,0.48161,0.4392,0.4392,5050.4130000000005
102,2018-08-20 20:00:00,0.43033,0.64129,0.42726,0.48282,6654.397984719999
103,2018-08-21 20:00:00,0.46406,0.47329,0.4478,0.45253,1828.182019
104,2018-08-22 20:00:00,0.4529,0.47975,0.4529,0.4725,10037.15389006
105,2018-08-23 20:00:00,0.49149,0.5145,0.49148,0.49291,517.38284412
106,2018-08-24 20:00:00,0.51439,0.51439,0.51439,0.51439,97.08
107,2018-08-25 20:00:00,0.5145,0.5145,0.5145,0.5145,0.21325826
108,2018-08-26 20:00:00,0.516,0.583,0.516,0.583,959.336545
109,2018-08-27 20:00:00,0.58285,0.59667,0.56118,0.59667,1317.76617084
110,2018-08-28 20:00:00,0.55614,0.59898,0.55614,0.59898,284.815
111,2018-08-29 20:00:00,0.5362,0.5362,0.536,0.5362,135.51372228
112,2018-08-30 20:00:00,0.5488,0.55096,0.53498,0.536,527.53902
113,2018-08-31 20:00:00,0.5454,0.58044,0.54326,0.5548,1046.95945639
114,2018-09-01 20:00:00,0.5538,0.5538,0.54816,0.55378,1380.75797774
115,2018-09-02 20:00:00,0.5415,0.55317,0.5415,0.55317,1100.0
116,2018-09-04 20:00:00,0.53633,0.53645,0.4356,0.4356,7474.5222476
117,2018-09-05 20:00:00,0.42,0.44991,0.40876,0.44945,571.9750919999999
118,2018-09-06 20:00:00,0.44987,0.44987,0.43,0.43,883.68000267
119,2018-09-07 20:00:00,0.41227,0.46188,0.408,0.408,274.824355
120,2018-09-08 20:00:00,0.46187,0.46187,0.38424,0.39,1962.26921512
121,2018-09-09 20:00:00,0.39719,0.40001,0.36667,0.38,46133.54294024002
122,2018-09-10 20:00:00,0.36772,0.37198,0.33979,0.33979,7892.299868919999
123,2018-09-11 20:00:00,0.33584,0.35816,0.33584,0.35605,11092.29855208
124,2018-09-12 20:00:00,0.36,0.3814,0.34551,0.3814,11670.93287077
125,2018-09-13 20:00:00,0.38683,0.3876,0.3648,0.3648,516.49783309
126,2018-09-15 20:00:00,0.373,0.37406,0.365,0.37398,5701.541800999999
127,2018-09-16 20:00:00,0.39,0.3999,0.365,0.365,11894.70588271
128,2018-09-17 20:00:00,0.35809,0.3706,0.3376,0.3706,11523.571145710002
129,2018-09-18 20:00:00,0.37299,0.37299,0.3447,0.3447,587.7139141800001
130,2018-09-20 20:00:00,0.40824,0.41,0.40824,0.41,219.8520209
131,2018-09-22 20:00:00,0.45692,0.46199,0.39511,0.39511,2117.2154311399995
132,2018-09-23 20:00:00,0.37415,0.37415,0.37415,0.37415,31.49770859
133,2018-09-24 20:00:00,0.37361,0.37361,0.35027,0.36425,1406.93297
134,2018-09-25 20:00:00,0.38,0.40537,0.38,0.40537,4294.0
135,2018-09-26 20:00:00,0.36168,0.40537,0.36168,0.37563,1661.54173
136,2018-09-27 20:00:00,0.36696,0.40079,0.36696,0.383,2386.71391418
137,2018-09-28 20:00:00,0.381,0.41379,0.36591,0.41379,135.689361
138,2018-09-29 20:00:00,0.36674,0.36674,0.36674,0.36674,100.0
139,2018-10-01 20:00:00,0.40978,0.40978,0.40969,0.40969,300.0
140,2018-10-04 20:00:00,0.40663,0.40663,0.38356,0.38357,10553.0
141,2018-10-05 20:00:00,0.38192,0.38192,0.3767,0.38182,1178.0
142,2018-10-06 20:00:00,0.39355,0.39355,0.3926,0.39355,218.64458512
