,date,open,high,low,close,volume
0,2019-06-26 20:00:00,2.80099,2.80099,2.05,2.3198,307968.62999999995
1,2019-06-27 20:00:00,2.3198,3.6,2.2,3.18477,5414269.760000024
2,2019-06-28 20:00:00,3.18398,5.1,2.92001,3.80123,26561760.850000598
3,2019-06-29 20:00:00,3.84892,4.2499,3.20101,3.41849,12033409.560000032
4,2019-06-30 20:00:00,3.3806,3.9888,2.831,3.62996,12314761.83999998
5,2019-07-01 20:00:00,3.62992,3.95,3.07771,3.73703,11342995.070000114
6,2019-07-02 20:00:00,3.737,3.85,3.44414,3.4906,5765830.579999955
7,2019-07-03 20:00:00,3.49051,3.61,3.222,3.46181,4281577.699999994
8,2019-07-04 20:00:00,3.46181,3.74662,3.41047,3.64901,4530449.499999989
9,2019-07-05 20:00:00,3.63693,34.99974,3.4555,3.48569,2546480.569999977
10,2019-07-06 20:00:00,3.4856,6.99,3.17279,3.31098,2866749.7999999947
11,2019-07-07 20:00:00,3.307,3.67,3.14791,3.34867,3380315.0899999677
12,2019-07-08 20:00:00,3.35927,3.40909,2.95,3.07752,6320041.209999941
13,2019-07-09 20:00:00,3.08771,3.32769,2.83401,3.11681,6455507.229999953
14,2019-07-10 20:00:00,3.11665,3.15269,2.7,2.77789,4485760.399999949
15,2019-07-11 20:00:00,2.77789,3.37,2.58107,3.18405,7286755.230000004
16,2019-07-12 20:00:00,3.18405,3.3,3.00946,3.16923,4589773.159999987
17,2019-07-13 20:00:00,3.15375,3.238,2.74058,2.78799,4299901.800000015
18,2019-07-14 20:00:00,2.78063,2.85612,2.57882,2.70834,4500492.189999978
19,2019-07-15 20:00:00,2.70037,2.79,2.15,2.18128,5881764.85999997
20,2019-07-16 20:00:00,2.19177,2.605,2.053,2.41131,6487919.839999988
21,2019-07-17 20:00:00,2.41129,2.84,2.34733,2.67353,6802091.539999971
22,2019-07-18 20:00:00,2.68,2.76,2.516,2.61384,2274501.270000004
23,2019-07-19 20:00:00,2.61864,2.7375,2.5912,2.64817,2301695.450000004
24,2019-07-20 20:00:00,2.64817,2.67431,2.4635,2.53736,1341161.9400000237
25,2019-07-21 20:00:00,2.53344,2.58759,2.358,2.40093,1515008.7700000044
26,2019-07-22 20:00:00,2.40403,2.53628,2.25,2.35032,2564594.799999997
27,2019-07-23 20:00:00,2.34929,2.51,2.275,2.40575,3094654.119999984
28,2019-07-24 20:00:00,2.40216,2.52259,2.36101,2.36101,1722405.809999993
29,2019-07-25 20:00:00,2.36617,2.42942,2.328,2.40999,823877.5499999968
30,2019-07-26 20:00:00,2.40803,2.46412,2.19819,2.24291,2322540.240000003
31,2019-07-27 20:00:00,2.24292,2.27879,2.10849,2.2139,1416942.9899999942
32,2019-07-28 20:00:00,2.21722,2.257,2.11011,2.13195,1557057.6400000148
33,2019-07-29 20:00:00,2.12987,2.19,2.0,2.07301,2644604.830000012
34,2019-07-30 20:00:00,2.073,2.2441,2.0701,2.21322,1955709.630000003
35,2019-07-31 20:00:00,2.214,2.23555,2.11501,2.16548,1458837.7799999963
36,2019-08-01 20:00:00,2.1658,2.489,2.13321,2.42132,3625318.3299999856
37,2019-08-02 20:00:00,2.42132,2.76493,2.36,2.42309,5620726.669999982
38,2019-08-03 20:00:00,2.42132,2.6,2.385,2.51991,2655117.7600000044
39,2019-08-04 20:00:00,2.52067,2.66,2.4468,2.46271,2628747.930000006
40,2019-08-05 20:00:00,2.45,2.51,2.301,2.465,3121465.019999977
41,2019-08-06 20:00:00,2.46999,2.49,2.33546,2.38206,1750163.0300000082
42,2019-08-07 20:00:00,2.3826,2.40302,2.26,2.27261,2297293.159999998
43,2019-08-08 20:00:00,2.27265,2.295,2.14634,2.1692,2281034.7999999984
44,2019-08-09 20:00:00,2.16833,2.45,2.13683,2.33127,2880018.819999977
45,2019-08-10 20:00:00,2.32251,2.479,2.22163,2.40904,2009517.4900000135
46,2019-08-11 20:00:00,2.41625,2.46999,2.26513,2.38515,1307499.889999994
47,2019-08-12 20:00:00,2.3875,2.46058,2.30099,2.41396,1555377.1800000048
48,2019-08-13 20:00:00,2.42011,2.5844,2.16,2.28605,4100861.0200000014
49,2019-08-14 20:00:00,2.28353,2.44266,2.1666,2.42265,2430248.710000003
50,2019-08-15 20:00:00,2.41914,2.45,2.23001,2.30587,1883366.540000004
51,2019-08-16 20:00:00,2.31188,2.42,2.28401,2.40716,1049442.809999999
52,2019-08-17 20:00:00,2.40705,2.56507,2.374,2.50822,1859463.720000004
53,2019-08-18 20:00:00,2.50487,2.62,2.45,2.49511,2011341.9800000004
54,2019-08-19 20:00:00,2.49508,2.55,2.34296,2.36608,1719495.359999996
55,2019-08-20 20:00:00,2.36299,2.37553,2.15,2.207,2562737.360000016
56,2019-08-21 20:00:00,2.20485,2.29884,2.1475,2.21701,1384705.740000004
57,2019-08-22 20:00:00,2.21998,2.3495,2.17596,2.244,1744700.040000004
58,2019-08-23 20:00:00,2.23891,2.26805,2.14826,2.17621,1003100.0799999996
59,2019-08-24 20:00:00,2.17099,2.19898,2.03133,2.08829,1836868.3900000027
60,2019-08-25 20:00:00,2.088,2.20229,2.05001,2.07997,1540633.5299999972
61,2019-08-26 20:00:00,2.075,2.17485,2.01073,2.11012,1555152.539999998
62,2019-08-27 20:00:00,2.11238,2.11238,1.86,1.89759,2525227.930000008
63,2019-08-28 20:00:00,1.89755,1.94,1.5571,1.78068,3183259.310000001
64,2019-08-29 20:00:00,1.77904,1.91799,1.65025,1.8,1277169.0599999973
65,2019-08-30 20:00:00,1.8,1.85882,1.73473,1.78126,1053192.4899999986
66,2019-08-31 20:00:00,1.78435,1.80198,1.72234,1.7799,850702.3099999989
67,2019-09-01 20:00:00,1.7785,1.899,1.73555,1.833,1678165.0399999977
68,2019-09-02 20:00:00,1.833,1.94495,1.81993,1.85395,1214844.9200000027
69,2019-09-03 20:00:00,1.85388,1.86471,1.7463,1.78442,1278370.1400000018
70,2019-09-04 20:00:00,1.7878,1.865,1.70921,1.794,967487.1999999994
71,2019-09-05 20:00:00,1.79692,1.83,1.68,1.72196,1573236.0900000003
72,2019-09-06 20:00:00,1.7225,1.80979,1.70561,1.77821,675394.0200000004
73,2019-09-07 20:00:00,1.77796,1.9,1.76561,1.82997,1327680.669999996
74,2019-09-08 20:00:00,1.82987,1.8794,1.741,1.79356,1145738.7499999977
75,2019-09-09 20:00:00,1.79355,1.83388,1.76493,1.80199,643278.2999999997
76,2019-09-10 20:00:00,1.80121,1.82533,1.67955,1.73187,1133810.7899999928
77,2019-09-11 20:00:00,1.73189,1.74544,1.59369,1.70622,1143344.1699999978
78,2019-09-12 20:00:00,1.71134,1.72365,1.44294,1.58457,5932943.950000005
79,2019-09-13 20:00:00,1.58035,1.64199,1.52524,1.56998,1485362.8599999996
80,2019-09-14 20:00:00,1.57,1.64199,1.52406,1.61381,764983.0599999985
81,2019-09-15 20:00:00,1.61438,1.638,1.52487,1.589,1024720.4600000008
82,2019-09-16 20:00:00,1.58415,1.68859,1.50442,1.62707,2011306.039999994
83,2019-09-17 20:00:00,1.627,1.94999,1.54744,1.80999,3510454.5999999945
84,2019-09-18 20:00:00,1.80948,1.99333,1.6061,1.88,5438262.299999986
85,2019-09-19 20:00:00,1.878,1.88,1.70055,1.82052,1867506.150000009
86,2019-09-20 20:00:00,1.82348,1.88,1.76232,1.88,1279793.3299999982
87,2019-09-21 20:00:00,1.88,1.91097,1.77168,1.8194,1132282.899999998
88,2019-09-22 20:00:00,1.8194,1.88999,1.78092,1.80177,2000784.949999998
89,2019-09-23 20:00:00,1.80079,2.07769,1.51,1.7285,8030058.259999983
90,2019-09-24 20:00:00,1.72401,2.0998,1.62501,1.7504,4357775.773886985
91,2019-09-25 20:00:00,1.75225,1.85896,1.52502,1.65534,2811927.1673190123
92,2019-09-26 20:00:00,1.6533,1.70165,1.56286,1.66692,1688843.5263916808
