,date,open,high,low,close,volume
0,2021-04-09 12:00:00,3.112,3.112,2.866,2.922,1174537.9900000002
1,2021-04-09 13:00:00,2.922,2.944,2.827,2.857,955026.3000000002
2,2021-04-09 14:00:00,2.859,2.942,2.851,2.928,311470.68
3,2021-04-09 15:00:00,2.928,2.951,2.881,2.951,156436.25999999998
4,2021-04-09 16:00:00,2.957,3.082,2.951,3.045,940963.9100000004
5,2021-04-09 17:00:00,3.045,3.15,3.044,3.137,667426.9700000002
6,2021-04-09 18:00:00,3.137,3.147,2.954,2.976,388481.26
7,2021-04-09 19:00:00,2.976,2.989,2.882,2.955,390100.5199999999
8,2021-04-09 20:00:00,2.955,2.978,2.866,2.922,386737.6399999999
9,2021-04-09 21:00:00,2.922,2.93,2.878,2.913,326599.80999999994
10,2021-04-09 22:00:00,2.907,2.914,2.881,2.895,334079.22999999986
11,2021-04-09 23:00:00,2.895,2.92,2.864,2.899,227326.33
12,2021-04-10 00:00:00,2.899,2.917,2.8,2.823,370553.7499999999
13,2021-04-10 01:00:00,2.823,2.879,2.816,2.847,237316.36000000004
14,2021-04-10 02:00:00,2.849,2.896,2.807,2.821,440649.85
15,2021-04-10 03:00:00,2.821,2.823,2.668,2.736,320262.19
16,2021-04-10 04:00:00,2.734,2.81,2.719,2.731,207410.69
17,2021-04-10 05:00:00,2.723,2.787,2.723,2.775,113706.07000000004
18,2021-04-10 06:00:00,2.781,2.786,2.714,2.731,129931.04
19,2021-04-10 07:00:00,2.731,2.785,2.729,2.773,179081.17000000004
20,2021-04-10 08:00:00,2.773,2.798,2.731,2.74,201205.77
21,2021-04-10 09:00:00,2.739,2.762,2.7,2.712,226509.99
22,2021-04-10 10:00:00,2.712,2.724,2.684,2.707,198377.15999999997
23,2021-04-10 11:00:00,2.71,2.713,2.632,2.651,209520.46
24,2021-04-10 12:00:00,2.654,2.679,2.567,2.585,343684.31000000006
25,2021-04-10 13:00:00,2.579,2.737,2.525,2.715,473540.8299999999
26,2021-04-10 14:00:00,2.71,2.715,2.6,2.705,330058.69
27,2021-04-10 15:00:00,2.705,2.72,2.642,2.666,147795.52999999997
28,2021-04-10 16:00:00,2.666,2.719,2.638,2.642,192661.67000000004
29,2021-04-10 17:00:00,2.633,2.738,2.616,2.731,233926.7200000001
30,2021-04-10 18:00:00,2.731,2.732,2.66,2.665,181413.08999999997
31,2021-04-10 19:00:00,2.668,2.71,2.627,2.631,210091.65
32,2021-04-10 20:00:00,2.626,2.653,2.597,2.607,93590.40999999996
33,2021-04-10 21:00:00,2.607,2.655,2.581,2.65,89354.81999999999
34,2021-04-10 22:00:00,2.65,2.718,2.624,2.691,177669.96
35,2021-04-10 23:00:00,2.691,2.746,2.679,2.692,116215.85
36,2021-04-11 00:00:00,2.696,2.696,2.62,2.627,114572.18000000002
37,2021-04-11 01:00:00,2.631,2.645,2.594,2.598,69556.03999999998
38,2021-04-11 02:00:00,2.598,2.606,2.55,2.553,99658.37000000004
39,2021-04-11 03:00:00,2.55,2.563,2.508,2.552,136389.96
40,2021-04-11 04:00:00,2.559,2.61,2.559,2.603,77830.41999999997
41,2021-04-11 05:00:00,2.608,2.614,2.549,2.563,58210.920000000006
42,2021-04-11 06:00:00,2.554,2.58,2.531,2.545,48841.77
43,2021-04-11 07:00:00,2.545,2.59,2.525,2.581,29740.210000000003
44,2021-04-11 08:00:00,2.587,2.593,2.53,2.587,95528.33000000005
45,2021-04-11 09:00:00,2.582,2.59,2.523,2.556,173837.48000000004
46,2021-04-11 10:00:00,2.556,2.614,2.548,2.577,105076.15000000004
47,2021-04-11 11:00:00,2.58,2.7,2.575,2.683,89709.59999999999
48,2021-04-11 12:00:00,2.682,2.845,2.679,2.735,608764.09
49,2021-04-11 13:00:00,2.736,2.758,2.668,2.703,310396.61000000004
50,2021-04-11 14:00:00,2.71,2.71,2.606,2.617,243961.76
51,2021-04-11 15:00:00,2.624,2.671,2.605,2.657,213271.13
52,2021-04-11 16:00:00,2.657,2.678,2.618,2.644,96115.03
53,2021-04-11 17:00:00,2.644,2.647,2.602,2.607,134116.01
54,2021-04-11 18:00:00,2.61,2.611,2.562,2.581,154816.06999999992
55,2021-04-11 19:00:00,2.581,2.588,2.557,2.564,171729.12
56,2021-04-11 20:00:00,2.559,2.574,2.54,2.548,92980.82999999996
57,2021-04-11 21:00:00,2.548,2.608,2.548,2.594,107217.02
58,2021-04-11 22:00:00,2.591,2.61,2.577,2.597,117280.24
59,2021-04-11 23:00:00,2.597,2.618,2.55,2.573,74036.18000000001
60,2021-04-12 00:00:00,2.573,2.6,2.564,2.582,63181.48000000001
61,2021-04-12 01:00:00,2.585,2.592,2.541,2.562,119730.36000000002
62,2021-04-12 02:00:00,2.563,2.629,2.551,2.623,72557.55000000003
63,2021-04-12 03:00:00,2.616,2.63,2.454,2.462,265585.37999999995
64,2021-04-12 04:00:00,2.466,2.485,2.418,2.426,152608.68
65,2021-04-12 05:00:00,2.423,2.435,2.324,2.34,165472.44999999998
