,date,open,high,low,close,volume,month
0,2019-02-19 00:00:00,149.02,150.55,149.02,150.31,1354821.0,2
1,2019-02-20 00:00:00,150.66,150.71,149.473,150.56,1621981.0,2
2,2019-02-21 00:00:00,150.14,151.5,149.61,150.98,1309158.0,2
3,2019-02-22 00:00:00,151.62,153.21,151.22,153.18,1608758.0,2
4,2019-02-25 00:00:00,154.06,154.55,152.23,152.49,1560872.0,2
5,2019-02-26 00:00:00,152.54,153.415,152.25,152.88,1400592.0,2
6,2019-02-27 00:00:00,152.08,153.4,151.66,152.98,1479023.0,2
7,2019-02-28 00:00:00,152.68,153.56,152.3,153.03,2241544.0,2
8,2019-03-01 00:00:00,154.25,154.4114,153.1503,153.9,1773260.0,3
9,2019-03-04 00:00:00,153.89,154.32,151.41,153.26,3966832.0,3
10,2019-03-05 00:00:00,153.45,153.6,152.35,152.66,2914038.0,3
11,2019-03-06 00:00:00,152.47,153.32,152.17,152.53,1643040.0,3
12,2019-03-07 00:00:00,151.35,151.98,150.12,150.42,2536273.0,3
13,2019-03-08 00:00:00,149.01,149.58,148.15,149.24,1928067.0,3
14,2019-03-11 00:00:00,149.88,151.19,149.03,151.09,1817145.0,3
15,2019-03-12 00:00:00,151.75,152.81,151.1,151.99,1796620.0,3
16,2019-03-13 00:00:00,152.71,153.98,152.21,152.84,1539349.0,3
17,2019-03-14 00:00:00,153.34,153.67,152.27,153.51,1840866.0,3
18,2019-03-15 00:00:00,153.01,155.36,152.6614,155.31,5612259.0,3
19,2019-03-18 00:00:00,155.31,155.8,154.04,154.69,1716586.0,3
20,2019-03-19 00:00:00,155.0,155.18,153.82,154.63,1439817.0,3
21,2019-03-20 00:00:00,154.43,154.99,153.4974,154.02,1974925.0,3
22,2019-03-21 00:00:00,153.44,156.04,153.44,155.34,1848253.0,3
23,2019-03-22 00:00:00,154.93,155.3,153.65,153.81,1659713.0,3
24,2019-03-25 00:00:00,153.48,154.21,152.76,153.75,1235203.0,3
25,2019-03-26 00:00:00,155.11,156.27,154.24,156.2,1473928.0,3
26,2019-03-27 00:00:00,156.42,157.26,154.99,156.79,1481359.0,3
27,2019-03-28 00:00:00,157.03,158.53,156.88,158.37,1412351.0,3
28,2019-03-29 00:00:00,159.49,159.91,158.61,159.74,2333920.0,3
29,2019-04-01 00:00:00,161.2,162.32,159.98,162.07,2489476.0,4
30,2019-04-02 00:00:00,162.54,162.71,160.83,161.44,987838.0,4
31,2019-04-03 00:00:00,162.45,162.45,160.49,161.1,1374701.0,4
32,2019-04-04 00:00:00,161.37,161.37,158.18,159.34,1682375.0,4
33,2019-04-05 00:00:00,160.07,160.42,159.15,160.34,1497777.0,4
34,2019-04-08 00:00:00,159.95,160.6,158.885,160.46,952102.0,4
