,date,open,high,low,close,volume,month
0,2019-02-19 08:00:00,80.96,80.96,80.96,80.96,200.0,2
1,2019-02-19 09:00:00,80.74,81.18,80.74,81.04,115529.0,2
2,2019-02-19 10:00:00,81.0324,81.1,80.7,80.71,138609.0,2
3,2019-02-19 11:00:00,80.73,81.28,80.7,81.28,108861.0,2
4,2019-02-19 12:00:00,81.26,81.26,81.02,81.21,98791.0,2
5,2019-02-19 13:00:00,81.22,81.32,81.11,81.31,98556.0,2
6,2019-02-19 14:00:00,81.33,81.6,81.27,81.545,153266.0,2
7,2019-02-19 15:00:00,81.545,81.62,81.28,81.3,343274.0,2
8,2019-02-19 16:00:00,81.3,81.3,81.3,81.3,14967.0,2
9,2019-02-20 09:00:00,81.64,82.02,81.53,82.01,66650.0,2
10,2019-02-20 10:00:00,81.98,82.05,81.65,81.65,136584.0,2
11,2019-02-20 11:00:00,81.64,82.17,81.5,82.1,136231.0,2
12,2019-02-20 12:00:00,82.11,82.13,81.88,81.97,121148.0,2
13,2019-02-20 13:00:00,81.97,82.34,81.96,82.28,98634.0,2
14,2019-02-20 14:00:00,82.29,82.41,81.82,81.88,158852.0,2
15,2019-02-20 15:00:00,81.9,81.96,81.64,81.73,199121.0,2
16,2019-02-20 16:00:00,81.71,81.71,81.71,81.71,14332.0,2
17,2019-02-21 09:00:00,81.36,81.77,81.07,81.54,81932.0,2
18,2019-02-21 10:00:00,81.54,82.03,81.4,81.52,189641.0,2
19,2019-02-21 11:00:00,81.53,81.62,81.05,81.49,127453.0,2
20,2019-02-21 12:00:00,81.47,81.7533,81.47,81.75,85323.0,2
21,2019-02-21 13:00:00,81.77,81.9,81.51,81.67,85660.0,2
22,2019-02-21 14:00:00,81.66,81.71,80.92,81.11,141596.0,2
23,2019-02-21 15:00:00,81.08,81.25,80.9,81.12,271703.0,2
24,2019-02-21 16:00:00,81.12,81.12,81.12,81.12,17488.0,2
25,2019-02-22 09:00:00,81.43,81.93,81.15,81.69,65876.0,2
26,2019-02-22 10:00:00,81.71,81.98,81.5679,81.82,146742.0,2
27,2019-02-22 11:00:00,81.88,82.38,81.88,82.32,110714.0,2
28,2019-02-22 12:00:00,82.28,82.29,81.9501,82.175,94500.0,2
29,2019-02-22 13:00:00,82.15,82.31,81.96,82.2471,66138.0,2
30,2019-02-22 14:00:00,82.25,82.39,82.015,82.16,103419.0,2
