,date,open,high,low,close,volume
0,2019-02-19 00:00:00,44.45,44.79,43.5,44.48,17261598.0
1,2019-02-20 00:00:00,44.67,45.56,42.48,42.78,21193170.0
2,2019-02-21 00:00:00,42.7,42.86,41.67,41.9,16645310.0
3,2019-02-22 00:00:00,42.0,42.25,41.25,41.5,13074736.0
4,2019-02-25 00:00:00,41.82,42.21,41.0,41.96,12317055.0
5,2019-02-26 00:00:00,41.82,42.68,41.72,42.08,9194267.0
6,2019-02-27 00:00:00,42.06,42.36,41.61,41.79,8494233.0
7,2019-02-28 00:00:00,41.78,42.35,41.67,42.14,12255195.0
8,2019-03-01 00:00:00,42.6,43.179,42.18,42.84,9422555.0
9,2019-03-04 00:00:00,43.06,43.25,41.31,41.79,12128535.0
10,2019-03-05 00:00:00,41.84,42.0,41.05,41.88,7536834.0
11,2019-03-06 00:00:00,41.95,42.86,41.86,42.56,12535323.0
12,2019-03-07 00:00:00,42.43,42.4721,41.18,41.42,10470559.0
13,2019-03-08 00:00:00,41.01,42.12,40.89,42.03,8735175.0
14,2019-03-11 00:00:00,42.23,43.1,41.99,42.92,9451092.0
15,2019-03-12 00:00:00,43.07,43.1499,42.555,42.63,6474860.0
16,2019-03-13 00:00:00,42.83,43.95,42.565,43.7,7774164.0
17,2019-03-14 00:00:00,43.73,43.93,43.23,43.32,7324745.0
18,2019-03-15 00:00:00,44.02,45.11,43.91,44.63,20494107.0
19,2019-03-18 00:00:00,44.93,45.16,44.12,44.97,11344595.0
20,2019-03-19 00:00:00,45.61,47.295,45.29,46.42,16098945.0
21,2019-03-20 00:00:00,46.37,47.09,46.13,46.16,14270416.0
22,2019-03-21 00:00:00,46.08,48.83,45.9,48.6,13972937.0
23,2019-03-22 00:00:00,48.31,48.45,46.28,46.87,11117692.0
24,2019-03-25 00:00:00,46.75,47.545,46.42,46.98,6976906.0
25,2019-03-26 00:00:00,47.28,47.88,45.96,46.43,9712040.0
26,2019-03-27 00:00:00,46.29,46.29,45.24,45.52,7813558.0
27,2019-03-28 00:00:00,45.34,45.71,44.8702,45.62,8347763.0
28,2019-03-29 00:00:00,46.18,46.37,45.01,45.53,6643744.0
29,2019-04-01 00:00:00,46.5,47.31,46.16,47.12,9233360.0
30,2019-04-02 00:00:00,47.42,47.78,46.2,47.46,9697675.0
31,2019-04-03 00:00:00,47.75,48.6,47.4,47.65,9741796.0
32,2019-04-04 00:00:00,47.68,47.82,46.58,46.96,6941803.0
33,2019-04-05 00:00:00,47.08,47.54,46.675,47.29,5977000.0
34,2019-04-08 00:00:00,47.23,47.63,46.37,47.57,5563806.0
35,2019-04-09 00:00:00,47.19,47.65,46.85,47.01,5091005.0
36,2019-04-10 00:00:00,47.34,47.96,47.15,47.86,3548256.0
37,2019-04-11 00:00:00,48.06,48.24,46.855,47.17,5198572.0
38,2019-04-12 00:00:00,47.4,47.68,46.94,47.28,3802097.0
39,2019-04-15 00:00:00,47.27,47.57,45.64,45.75,7343713.0
40,2019-04-16 00:00:00,45.95,45.95,44.74,45.06,9742206.0
41,2019-04-17 00:00:00,45.17,45.34,43.96,44.98,6663148.0
42,2019-04-18 00:00:00,45.18,45.59,44.65,45.31,4582974.0
43,2019-04-22 00:00:00,45.24,45.53,44.7,45.34,4229733.0
44,2019-04-23 00:00:00,45.6,46.76,45.47,46.51,6263448.0
45,2019-04-24 00:00:00,46.45,46.89,46.04,46.75,5327783.0
46,2019-04-25 00:00:00,46.66,47.46,46.135,47.41,7637293.0
47,2019-04-26 00:00:00,47.48,48.48,47.3,48.15,6233157.0
48,2019-04-29 00:00:00,48.43,48.98,48.215,48.4,7098558.0
49,2019-04-30 00:00:00,48.41,48.65,47.775,48.21,6906419.0
50,2019-05-01 00:00:00,48.35,49.56,48.24,48.56,9474529.0
51,2019-05-02 00:00:00,48.78,49.83,48.72,49.55,13565613.0
52,2019-05-03 00:00:00,48.2,48.67,46.16,47.15,25671038.0
53,2019-05-06 00:00:00,46.03,48.2,46.0,48.16,10300531.0
54,2019-05-07 00:00:00,47.71,47.97,46.35,46.68,7918512.0
55,2019-05-08 00:00:00,47.05,47.315,46.4,46.82,9392536.0
56,2019-05-09 00:00:00,46.14,47.04,45.7,46.64,7115442.0
57,2019-05-10 00:00:00,46.56,46.63,43.52,46.02,5415428.0
58,2019-05-13 00:00:00,44.73,45.13,43.17,43.41,9803138.0
59,2019-05-14 00:00:00,43.7,45.175,43.38,44.7,7171473.0
60,2019-05-15 00:00:00,44.49,46.52,44.43,46.28,6965609.0
61,2019-05-16 00:00:00,46.27,47.32,45.82,47.29,5798707.0
62,2019-05-17 00:00:00,46.81,47.365,46.295,46.39,4280786.0
63,2019-05-20 00:00:00,45.65,45.65,43.33,43.61,9204236.0
64,2019-05-21 00:00:00,43.97,44.055,43.4,43.45,8279606.0
65,2019-05-22 00:00:00,42.94,43.64,42.83,42.91,7222887.0
66,2019-05-23 00:00:00,42.43,42.79,41.95,42.19,7390117.0
67,2019-05-24 00:00:00,42.46,42.78,41.84,42.29,5076257.0
68,2019-05-28 00:00:00,43.76,44.7,43.275,43.5,12150257.0
69,2019-05-29 00:00:00,43.2,44.16,42.84,43.99,9134322.0
70,2019-05-30 00:00:00,44.04,44.48,43.16,43.56,5552898.0
71,2019-05-31 00:00:00,43.11,43.78,43.01,43.37,5978703.0
72,2019-06-03 00:00:00,43.32,43.39,42.1,42.38,6711225.0
73,2019-06-04 00:00:00,42.98,43.64,42.25,43.61,7621645.0
74,2019-06-05 00:00:00,43.77,44.68,43.49,44.52,5769167.0
75,2019-06-06 00:00:00,44.15,44.74,43.7,44.08,4698969.0
76,2019-06-07 00:00:00,44.28,45.63,44.055,45.38,6785927.0
77,2019-06-10 00:00:00,45.77,46.47,45.2,46.01,6405415.0
78,2019-06-11 00:00:00,46.49,47.06,46.19,46.7,6679771.0
79,2019-06-12 00:00:00,46.46,46.53,44.97,45.09,6155396.0
80,2019-06-13 00:00:00,45.45,46.11,45.08,46.05,6204668.0
81,2019-06-14 00:00:00,45.8,45.96,45.12,45.62,4629386.0
82,2019-06-17 00:00:00,45.7,45.95,45.0,45.07,7710006.0
83,2019-06-18 00:00:00,45.55,46.48,45.33,45.77,6838999.0
84,2019-06-19 00:00:00,45.77,45.77,44.585,45.33,5441915.0
85,2019-06-20 00:00:00,45.99,46.33,45.45,45.67,4574795.0
86,2019-06-21 00:00:00,45.53,45.94,45.19,45.91,7895535.0
87,2019-06-24 00:00:00,45.64,47.21,45.64,47.15,7300048.0
88,2019-06-25 00:00:00,47.07,47.49,45.66,46.2,8688594.0
89,2019-06-26 00:00:00,46.36,47.465,46.21,46.73,5328656.0
90,2019-06-27 00:00:00,47.09,47.57,46.52,47.28,6918586.0
91,2019-06-28 00:00:00,47.5,47.73,46.56,47.2,15179139.0
92,2019-07-01 00:00:00,47.88,48.46,47.205,47.5,5124250.0
93,2019-07-02 00:00:00,47.96,48.815,47.69,47.98,6683147.0
94,2019-07-03 00:00:00,48.05,48.79,47.73,48.66,4024735.0
95,2019-07-05 00:00:00,48.33,48.35,46.64,48.15,6379678.0
96,2019-07-08 00:00:00,47.8,47.91,46.225,46.47,7681059.0
97,2019-07-09 00:00:00,46.17,46.705,45.725,46.37,4349870.0
98,2019-07-10 00:00:00,46.9,47.37,46.57,46.84,4476191.0
99,2019-07-11 00:00:00,46.92,47.58,46.43,47.34,5206247.0
100,2019-07-12 00:00:00,47.63,47.67,47.04,47.2,3707625.0
101,2019-07-15 00:00:00,47.26,47.85,46.88,47.66,4361724.0
102,2019-07-16 00:00:00,47.61,47.66,46.66,46.99,4876920.0
103,2019-07-17 00:00:00,46.92,47.32,46.43,46.68,4791177.0
104,2019-07-18 00:00:00,46.45,46.5,45.49,45.72,8158470.0
105,2019-07-19 00:00:00,46.0,46.11,45.09,45.14,5514644.0
106,2019-07-22 00:00:00,45.33,45.6,44.8101,45.57,3771763.0
107,2019-07-23 00:00:00,45.82,45.93,45.29,45.92,3774521.0
108,2019-07-24 00:00:00,45.71,46.99,45.69,46.86,3664420.0
109,2019-07-25 00:00:00,47.36,47.4,46.36,47.19,4353999.0
110,2019-07-26 00:00:00,47.48,48.225,47.16,47.99,5839706.0
111,2019-07-29 00:00:00,48.0,48.525,47.08,48.45,4750861.0
112,2019-07-30 00:00:00,48.1,48.36,47.5,48.29,4904995.0
113,2019-07-31 00:00:00,48.79,49.9297,48.38,48.74,8712326.0
114,2019-08-01 00:00:00,48.93,51.24,48.81,50.19,10901779.0
115,2019-08-02 00:00:00,49.8,51.35,48.65,49.02,9745008.0
116,2019-08-05 00:00:00,47.87,47.95,45.515,46.1,10855082.0
117,2019-08-06 00:00:00,47.45,47.59,46.3846,46.59,7171514.0
118,2019-08-07 00:00:00,46.11,48.23,46.1,48.1,7468459.0
119,2019-08-08 00:00:00,48.41,49.565,47.91,49.33,8935876.0
120,2019-08-09 00:00:00,48.76,49.09,47.11,48.06,10794030.0
121,2019-08-12 00:00:00,47.73,48.35,46.95,47.08,6292119.0
122,2019-08-13 00:00:00,46.99,48.37,46.47,48.13,5263316.0
123,2019-08-14 00:00:00,47.09,47.27,45.0,45.26,9156176.0
124,2019-08-15 00:00:00,45.53,45.73,44.91,45.51,6013685.0
125,2019-08-16 00:00:00,45.94,47.17,45.79,46.66,5801282.0
126,2019-08-19 00:00:00,47.55,48.3,47.28,47.92,5522828.0
127,2019-08-20 00:00:00,47.67,49.04,47.5,48.8,5863315.0
128,2019-08-21 00:00:00,49.1,49.54,48.71,49.04,4001823.0
129,2019-08-22 00:00:00,49.29,49.29,48.33,49.08,4002846.0
130,2019-08-23 00:00:00,48.6,49.38,47.16,47.33,7126115.0
131,2019-08-26 00:00:00,47.99,48.7,47.53,48.69,5200812.0
