,date,open,high,low,close,volume
0,2019-02-19 08:00:00,41.73,42.25,41.33,41.765,541715.0
1,2019-02-19 12:00:00,41.76,42.01,41.635,41.8,1008001.0
2,2019-02-19 16:00:00,41.79,41.79,41.79,41.79,31716.0
3,2019-02-20 08:00:00,42.05,42.17,41.81,42.1,311970.0
4,2019-02-20 12:00:00,42.1,42.14,41.8,41.85,918291.0
5,2019-02-20 16:00:00,41.86,41.86,41.86,41.86,291828.0
6,2019-02-21 08:00:00,41.67,41.99,41.12,41.31,496344.0
7,2019-02-21 12:00:00,41.3,41.45,40.63,40.82,1060551.0
8,2019-02-21 16:00:00,40.82,40.82,40.82,40.82,14582.0
9,2019-02-22 08:00:00,41.1,41.68,41.09,41.67,410279.0
10,2019-02-22 12:00:00,41.66,41.77,41.5125,41.67,581990.0
11,2019-02-22 16:00:00,41.68,41.68,41.68,41.68,43228.0
12,2019-02-25 08:00:00,42.07,42.42,41.91,42.005,409939.0
13,2019-02-25 12:00:00,42.0,42.02,41.78,41.95,774604.0
14,2019-02-25 16:00:00,41.96,41.96,41.96,41.96,9132.0
15,2019-02-26 08:00:00,41.83,42.22,41.83,42.08,327761.0
16,2019-02-26 12:00:00,42.09,42.09,41.65,41.67,620527.0
17,2019-02-26 16:00:00,41.68,41.68,41.68,41.68,10364.0
18,2019-02-27 08:00:00,41.58,41.87,41.24,41.42,311866.0
19,2019-02-27 12:00:00,41.41,41.76,41.32,41.37,510012.0
20,2019-02-27 16:00:00,41.37,41.37,41.37,41.37,9611.0
21,2019-02-28 08:00:00,41.1,41.2,40.48,40.54,492032.0
22,2019-02-28 12:00:00,40.54,40.61,40.355,40.61,863197.0
23,2019-02-28 16:00:00,40.61,40.61,40.61,40.61,35761.0
24,2019-03-01 08:00:00,41.0,41.36,40.37,40.376,289980.0
25,2019-03-01 12:00:00,40.37,40.98,40.37,40.9,791053.0
26,2019-03-01 16:00:00,40.9,40.9,40.88,40.88,11965.0
27,2019-03-04 08:00:00,41.0,41.26,40.54,40.6,280815.0
28,2019-03-04 12:00:00,40.59,40.97,40.42,40.75,787382.0
29,2019-03-04 16:00:00,40.74,40.74,40.74,40.74,9817.0
30,2019-03-05 08:00:00,40.78,40.89,40.44,40.6,353700.0
31,2019-03-05 12:00:00,40.59,40.67,40.485,40.5,501968.0
32,2019-03-05 16:00:00,40.5,40.5,40.5,40.5,9571.0
33,2019-03-06 08:00:00,40.35,40.41,39.93,39.96,568100.0
34,2019-03-06 12:00:00,39.94,40.0,39.53,39.56,807135.0
