,date,open,high,low,close,volume,month
0,2019-02-19,66.5,66.78,66.05,66.78,1252474.0,2
1,2019-02-19,66.78,67.0,66.625,66.73,2027107.0,2
2,2019-02-19,66.72,66.72,66.72,66.72,166338.0,2
3,2019-02-20,66.87,67.105,66.224,66.465,1144267.0,2
4,2019-02-20,66.47,66.71,66.39,66.51,1846568.0,2
5,2019-02-20,66.51,66.51,66.455,66.51,49862.0,2
6,2019-02-21,66.47,66.93,66.25,66.88,1254837.0,2
7,2019-02-21,66.89,66.9,66.53,66.72,2206204.0,2
8,2019-02-21,66.7,66.7,66.2,66.2,36220.0,2
9,2019-02-22,66.7,66.7,66.7,66.7,757.0,2
10,2019-02-22,66.57,67.47,66.25,67.2,1789316.0,2
11,2019-02-22,67.19,67.2,66.4832,66.89,1689197.0,2
12,2019-02-22,66.9,66.9,66.9,66.9,165331.0,2
13,2019-02-25,67.0,67.36,66.58,66.71,1059270.0,2
14,2019-02-25,66.72,66.84,66.4,66.52,1408125.0,2
15,2019-02-25,66.52,66.52,66.52,66.52,59567.0,2
16,2019-02-26,66.65,66.9,66.14,66.68,812452.0,2
17,2019-02-26,66.68,66.823,66.435,66.49,1620755.0,2
18,2019-02-26,66.49,66.49,66.49,66.49,73101.0,2
19,2019-02-27,66.03,66.34,65.86,65.95,1290379.0,2
20,2019-02-27,65.945,66.09,65.76,65.85,1543674.0,2
21,2019-02-27,65.87,65.87,65.87,65.87,166348.0,2
22,2019-02-28,66.04,66.19,65.43,65.92,1354766.0,2
23,2019-02-28,65.915,66.06,65.78,65.88,1566281.0,2
24,2019-02-28,65.87,65.87,65.87,65.87,315967.0,2
25,2019-03-01,65.92,66.06,65.36,65.45,936410.0,3
26,2019-03-01,65.46,66.02,65.43,66.0,1231961.0,3
27,2019-03-01,66.0,66.0,66.0,66.0,57447.0,3
28,2019-03-04,66.17,66.33,65.62,65.63,1193705.0,3
29,2019-03-04,65.63,66.09,65.44,66.04,1746873.0,3
30,2019-03-04,66.03,66.03,66.03,66.03,133831.0,3
31,2019-03-05,66.06,66.18,65.74,65.74,1448374.0,3
32,2019-03-05,65.74,65.79,65.55,65.72,1472527.0,3
33,2019-03-05,65.72,65.72,65.72,65.72,31480.0,3
34,2019-03-06,65.72,65.91,65.12,65.235,1076619.0,3
35,2019-03-06,65.23,65.705,65.17,65.6,1270712.0,3
36,2019-03-06,65.61,65.61,65.01,65.21,50977.0,3
37,2019-03-07,65.23,65.735,64.82,64.92,1004292.0,3
38,2019-03-07,64.92,65.35,64.78,65.34,1579707.0,3
39,2019-03-07,65.34,65.34,65.3,65.34,518042.0,3
40,2019-03-08,65.34,65.81,65.01,65.21,987331.0,3
41,2019-03-08,65.21,65.39,64.94,65.34,1187240.0,3
42,2019-03-08,65.35,65.35,65.35,65.35,44374.0,3
43,2019-03-11,65.3,65.71,65.215,65.7084,1276819.0,3
44,2019-03-11,65.71,65.89,65.59,65.85,1035882.0,3
45,2019-03-11,65.65,65.85,65.65,65.85,2800.0,3
46,2019-03-12,65.97,66.3926,65.87,65.93,855729.0,3
47,2019-03-12,65.94,66.07,65.59,65.74,1288112.0,3
48,2019-03-13,65.72,66.36,65.72,66.335,1148277.0,3
49,2019-03-13,66.34,66.61,66.3,66.52,1918611.0,3
50,2019-03-13,66.52,66.52,66.52,66.52,1414.0,3
51,2019-03-14,66.44,66.65,66.0899,66.385,1304198.0,3
52,2019-03-14,66.385,66.39,66.06,66.3,1444602.0,3
53,2019-03-15,66.36,67.08,66.2,66.96,2296963.0,3
54,2019-03-15,66.955,67.205,66.88,67.2,2647387.0,3
55,2019-03-18,67.25,67.35,66.29,66.31,1229949.0,3
56,2019-03-18,66.31,66.325,66.1,66.29,1345578.0,3
57,2019-03-18,66.29,66.29,66.29,66.29,2467.0,3
58,2019-03-19,66.21,66.21,65.43,65.84,2184688.0,3
59,2019-03-19,65.85,66.03,65.55,65.75,1736537.0,3
60,2019-03-20,65.88,65.88,64.91,65.065,1369834.0,3
61,2019-03-20,65.06,65.4568,64.89,65.11,1707285.0,3
62,2019-03-21,65.0,65.95,64.95,65.7444,1127106.0,3
63,2019-03-21,65.75,65.895,65.6,65.83,1261972.0,3
64,2019-03-21,65.83,65.83,65.83,65.83,16459.0,3
65,2019-03-22,65.78,66.435,65.2025,65.97,1177607.0,3
66,2019-03-22,65.95,66.165,65.9,66.0,1313744.0,3
67,2019-03-25,65.91,66.475,65.83,66.36,1227117.0,3
68,2019-03-25,66.36,66.46,66.1821,66.26,1412945.0,3
69,2019-03-26,66.61,67.31,66.47,67.01,1213488.0,3
70,2019-03-26,67.01,67.04,66.765,66.92,818050.0,3
71,2019-03-27,67.03,67.35,66.47,66.84,1344006.0,3
72,2019-03-27,66.84,67.06,66.705,67.01,1078464.0,3
73,2019-03-28,67.01,67.03,67.01,67.03,440.0,3
74,2019-03-28,67.12,67.555,67.12,67.33,1278446.0,3
75,2019-03-28,67.335,67.4,67.12,67.37,1292486.0,3
76,2019-03-29,67.47,67.47,67.47,67.47,100.0,3
77,2019-03-29,67.43,68.12,67.37,68.115,1617507.0,3
78,2019-03-29,68.115,68.6069,68.01,68.34,2200241.0,3
79,2019-04-01,68.7,68.7,68.7,68.7,500.0,4
80,2019-04-01,68.58,68.64,68.51,68.51,950.0,4
81,2019-04-01,68.51,68.53,67.83,68.055,1586061.0,4
82,2019-04-01,68.055,68.345,67.999,68.3,2062688.0,4
83,2019-04-02,68.28,68.375,67.79,68.315,1349984.0,4
84,2019-04-02,68.315,68.68,68.31,68.37,1433925.0,4
85,2019-04-03,68.35,68.35,68.35,68.35,100.0,4
86,2019-04-03,68.22,68.27,67.62,67.81,1733685.0,4
87,2019-04-03,67.805,67.865,67.565,67.82,1627293.0,4
88,2019-04-04,67.84,68.0,67.25,67.415,1103001.0,4
89,2019-04-04,67.42,67.7,67.365,67.55,1134918.0,4
90,2019-04-05,67.57,67.57,67.55,67.55,576.0,4
91,2019-04-05,67.54,67.86,67.455,67.615,793263.0,4
92,2019-04-05,67.62,67.92,67.56,67.83,856297.0,4
93,2019-04-08,67.92,68.17,67.92,68.17,503.0,4
94,2019-04-08,68.16,68.18,67.76,67.98,777052.0,4
95,2019-04-08,67.985,68.09,67.91,68.02,624495.0,4
96,2019-04-09,67.81,68.06,67.6,67.92,870625.0,4
97,2019-04-09,67.91,68.14,67.871,68.11,973735.0,4
98,2019-04-10,68.05,68.39,67.87,67.885,861272.0,4
99,2019-04-10,67.89,68.13,67.82,68.11,958842.0,4
100,2019-04-11,68.32,68.32,68.11,68.2,1139.0,4
101,2019-04-11,68.18,68.4823,67.97,67.99,992005.0,4
102,2019-04-11,67.99,68.19,67.75,68.09,1164885.0,4
103,2019-04-12,68.2,68.75,67.69,68.43,1381016.0,4
104,2019-04-12,68.43,68.93,68.35,68.93,1911565.0,4
105,2019-04-15,68.51,68.51,68.49,68.49,3000.0,4
106,2019-04-15,68.51,68.89,68.43,68.5458,1197880.0,4
