,date,open,high,low,close,volume,month
0,2019-02-19,7.57,7.65,7.41,7.56,1608359.0,2
1,2019-02-20,7.49,7.5161,7.01,7.23,2484175.0,2
2,2019-02-21,7.26,7.53,7.26,7.37,1245735.0,2
3,2019-02-22,7.42,7.78,7.38,7.78,1610982.0,2
4,2019-02-25,7.82,8.15,7.71,8.06,2175675.0,2
5,2019-02-26,8.01,8.18,7.85,8.09,2395220.0,2
6,2019-02-27,8.4,9.1192,8.02,8.87,6182469.0,2
7,2019-02-28,9.0,9.4,8.7731,9.07,3523373.0,2
8,2019-03-01,9.11,9.3,9.025,9.1,4636638.0,3
9,2019-03-04,9.19,9.24,8.65,8.78,4228460.0,3
10,2019-03-05,8.76,8.86,8.31,8.7,2422559.0,3
11,2019-03-06,8.85,9.075,8.2,8.38,2475037.0,3
12,2019-03-07,8.34,8.63,8.24,8.29,2912194.0,3
13,2019-03-08,8.19,8.4792,8.03,8.46,1854757.0,3
14,2019-03-11,8.44,8.9,8.43,8.84,2338324.0,3
15,2019-03-12,8.84,9.04,8.78,9.0,1373887.0,3
16,2019-03-13,9.05,9.38,9.05,9.36,1758894.0,3
17,2019-03-14,9.35,9.53,9.23,9.38,1860871.0,3
18,2019-03-15,9.4,9.44,9.03,9.05,2248630.0,3
19,2019-03-18,9.18,9.7,9.18,9.67,1494967.0,3
20,2019-03-19,8.86,9.46,8.8,9.2,3672259.0,3
21,2019-03-20,9.14,9.4,9.0,9.18,1771452.0,3
22,2019-03-21,9.22,9.565,9.15,9.38,1703970.0,3
23,2019-03-22,9.35,9.48,9.04,9.19,1662187.0,3
24,2019-03-25,9.19,9.2,8.61,9.03,2011584.0,3
25,2019-03-26,9.09,9.09,8.565,8.71,2022538.0,3
26,2019-03-27,8.74,8.83,8.5749,8.8,1029847.0,3
27,2019-03-28,8.82,9.1,8.76,9.08,1464709.0,3
28,2019-03-29,9.17,9.395,9.15,9.23,1841260.0,3
29,2019-04-01,9.15,9.32,9.055,9.26,2439325.0,4
30,2019-04-02,9.27,9.42,9.16,9.35,1148506.0,4
31,2019-04-03,9.4,9.79,9.4,9.69,2388322.0,4
32,2019-04-04,9.6,9.7399,9.47,9.52,1188656.0,4
33,2019-04-05,9.53,9.98,9.53,9.84,2576395.0,4
34,2019-04-08,10.0,10.25,9.965,10.24,2292952.0,4
35,2019-04-09,10.24,10.36,10.0,10.03,1901071.0,4
36,2019-04-10,10.01,10.3,10.01,10.15,1761947.0,4
37,2019-04-11,10.18,10.18,9.76,9.8,1861734.0,4
38,2019-04-12,9.93,10.088,9.8466,9.93,1163118.0,4
39,2019-04-15,9.99,10.183,9.41,9.59,2116622.0,4
40,2019-04-16,9.62,9.755,9.56,9.66,1174851.0,4
41,2019-04-17,9.75,9.78,9.6114,9.73,898287.0,4
42,2019-04-18,9.73,9.8354,9.39,9.45,1186819.0,4
43,2019-04-22,9.43,9.4389,9.15,9.28,1438096.0,4
44,2019-04-23,9.32,9.86,9.23,9.75,2711633.0,4
45,2019-04-24,9.78,10.0,9.64,9.83,1299201.0,4
46,2019-04-25,9.85,9.99,9.76,9.91,1144899.0,4
47,2019-04-26,9.92,10.47,9.9,10.43,4421400.0,4
48,2019-04-29,10.38,10.49,10.195,10.21,2043589.0,4
49,2019-04-30,10.29,10.29,9.8,10.04,2668024.0,4
50,2019-05-01,12.3,13.2,12.0,12.98,15852964.0,5
51,2019-05-02,12.4,13.04,12.36,12.93,3633996.0,5
52,2019-05-03,12.93,13.8792,12.93,13.83,4101389.0,5
53,2019-05-06,13.5,13.895,13.4301,13.75,2482844.0,5
54,2019-05-07,13.65,14.29,13.65,14.21,3277826.0,5
55,2019-05-08,14.27,14.32,13.55,13.93,2366463.0,5
