,date,open,high,low,close,volume,month
0,2019-02-19,52.54,52.85,52.05,52.285,20131.0,2
1,2019-02-19,52.23,52.28,51.51,51.675,37417.0,2
2,2019-02-19,51.7,52.09,51.62,52.05,86540.0,2
3,2019-02-19,52.0586,52.49,51.96,52.49,60694.0,2
4,2019-02-19,52.495,52.69,52.38,52.69,43644.0,2
5,2019-02-19,52.69,52.78,52.5921,52.77,49856.0,2
6,2019-02-19,52.75,52.94,52.71,52.74,163894.0,2
7,2019-02-19,52.74,52.74,52.74,52.74,12827.0,2
8,2019-02-20,52.69,53.49,52.69,53.305,75856.0,2
9,2019-02-20,53.305,53.9219,53.25,53.69,128725.0,2
10,2019-02-20,53.66,53.915,53.58,53.82,124317.0,2
11,2019-02-20,53.815,53.94,53.69,53.9,60612.0,2
12,2019-02-20,53.93,54.26,53.88,54.13,78269.0,2
13,2019-02-20,54.1422,54.1422,53.91,54.0,68358.0,2
14,2019-02-20,54.0,54.04,53.83,53.87,111001.0,2
15,2019-02-20,53.85,53.85,53.85,53.85,3475.0,2
16,2019-02-21,53.62,53.94,53.02,53.23,24823.0,2
17,2019-02-21,53.215,53.29,52.88,52.94,23120.0,2
18,2019-02-21,52.93,53.28,52.9,53.19,26938.0,2
19,2019-02-21,53.18,53.25,52.84,53.25,27047.0,2
20,2019-02-21,53.26,53.26,53.115,53.23,32215.0,2
21,2019-02-21,53.235,53.27,52.785,52.82,27553.0,2
22,2019-02-21,52.82,53.16,52.82,53.14,98426.0,2
23,2019-02-21,53.12,53.12,53.0,53.0,3152.0,2
24,2019-02-22,53.26,53.56,53.22,53.53,47045.0,2
25,2019-02-22,53.53,53.83,53.43,53.605,17935.0,2
26,2019-02-22,53.62,53.67,53.47,53.5,22277.0,2
27,2019-02-22,53.47,53.54,53.335,53.48,43515.0,2
28,2019-02-22,53.46,53.505,53.09,53.13,23343.0,2
29,2019-02-22,53.16,53.22,52.96,52.96,56561.0,2
30,2019-02-22,52.99,53.07,52.9,52.93,119220.0,2
31,2019-02-22,52.94,52.94,52.94,52.94,2845.0,2
32,2019-02-25,53.91,53.91,53.06,53.325,26666.0,2
33,2019-02-25,53.29,53.31,53.08,53.2309,14948.0,2
34,2019-02-25,53.29,53.29,52.9,53.01,15589.0,2
35,2019-02-25,53.06,53.26,52.81,53.05,48114.0,2
36,2019-02-25,53.085,53.17,53.0127,53.035,12752.0,2
37,2019-02-25,53.035,53.16,53.03,53.06,17707.0,2
38,2019-02-25,53.04,53.05,52.79,52.8,79079.0,2
39,2019-02-25,52.8,52.8,52.8,52.8,4089.0,2
40,2019-02-26,52.77,52.81,52.22,52.26,20936.0,2
41,2019-02-26,52.26,52.72,52.26,52.46,30325.0,2
42,2019-02-26,52.47,52.63,52.34,52.41,22385.0,2
43,2019-02-26,52.4,52.48,52.14,52.14,24723.0,2
44,2019-02-26,52.15,52.23,52.06,52.195,21199.0,2
45,2019-02-26,52.21,52.23,52.12,52.2,26493.0,2
46,2019-02-26,52.21,52.25,51.93,51.99,109756.0,2
47,2019-02-26,51.97,51.97,51.97,51.97,2818.0,2
48,2019-02-27,51.87,51.89,51.12,51.13,21259.0,2
49,2019-02-27,51.165,51.45,51.0,51.2,42282.0,2
50,2019-02-27,51.25,51.89,51.215,51.82,44505.0,2
51,2019-02-27,51.84,51.9,51.7,51.765,25695.0,2
52,2019-02-27,51.75,52.04,51.75,51.985,22242.0,2
53,2019-02-27,51.985,52.22,51.95,52.07,31113.0,2
54,2019-02-27,52.06,52.14,51.79,51.89,116887.0,2
55,2019-02-27,51.89,51.89,51.89,51.89,2649.0,2
56,2019-02-28,51.68,51.74,51.19,51.73,13312.0,2
57,2019-02-28,51.69,51.965,51.64,51.86,16237.0,2
58,2019-02-28,51.8738,51.98,51.6,51.64,35942.0,2
59,2019-02-28,51.63,51.66,51.15,51.33,38288.0,2
60,2019-02-28,51.33,51.68,51.32,51.65,20461.0,2
61,2019-02-28,51.67,51.74,51.49,51.65,17894.0,2
62,2019-02-28,51.64,51.75,51.51,51.56,101589.0,2
63,2019-02-28,51.56,51.56,51.56,51.56,7604.0,2
64,2019-03-01,51.76,51.925,51.54,51.685,40150.0,3
65,2019-03-01,51.66,52.03,51.595,51.67,174597.0,3
66,2019-03-01,51.74,51.96,51.65,51.785,41465.0,3
67,2019-03-01,51.785,52.33,51.785,52.32,35813.0,3
68,2019-03-01,52.32,52.52,52.2925,52.34,59462.0,3
69,2019-03-01,52.34,52.57,52.26,52.5,52504.0,3
70,2019-03-01,52.5,52.59,52.36,52.5,146161.0,3
71,2019-03-01,52.5,52.5,52.5,52.5,8514.0,3
72,2019-03-04,52.59,52.89,52.3,52.59,24735.0,3
73,2019-03-04,52.59,52.92,52.51,52.7,59345.0,3
74,2019-03-04,52.7,52.81,52.575,52.595,88743.0,3
75,2019-03-04,52.595,52.735,52.51,52.6,48836.0,3
76,2019-03-04,52.6,52.78,52.57,52.77,26770.0,3
77,2019-03-04,52.73,53.02,52.72,52.9,99650.0,3
78,2019-03-04,52.9,52.96,52.64,52.67,157028.0,3
79,2019-03-04,52.66,52.66,52.66,52.66,4369.0,3
80,2019-03-05,52.65,52.6569,52.32,52.47,20430.0,3
81,2019-03-05,52.51,52.62,52.41,52.59,47558.0,3
82,2019-03-05,52.56,52.83,52.56,52.82,27592.0,3
83,2019-03-05,52.805,52.85,52.61,52.68,20570.0,3
84,2019-03-05,52.68,52.71,52.6,52.66,25006.0,3
85,2019-03-05,52.68,52.75,52.51,52.59,25221.0,3
86,2019-03-05,52.58,52.61,52.14,52.14,86421.0,3
87,2019-03-05,52.14,52.14,52.14,52.14,2106.0,3
88,2019-03-06,52.14,52.2,51.7825,51.895,2569.0,3
89,2019-03-06,51.86,52.3,51.86,51.975,28000.0,3
90,2019-03-06,51.965,52.07,51.69,51.7494,19897.0,3
91,2019-03-06,51.75,51.85,51.57,51.63,17156.0,3
92,2019-03-06,51.55,51.62,51.43,51.56,42855.0,3
93,2019-03-06,51.57,51.65,51.19,51.19,24922.0,3
94,2019-03-06,51.22,51.27,51.05,51.05,64033.0,3
95,2019-03-06,51.07,51.07,51.07,51.07,1415.0,3
96,2019-03-07,51.16,51.2326,50.2847,50.58,9697.0,3
97,2019-03-07,50.69,50.95,50.525,50.87,16742.0,3
98,2019-03-07,50.79,51.07,50.72,50.965,23986.0,3
99,2019-03-07,50.96,51.225,50.86,51.22,19659.0,3
100,2019-03-07,51.17,51.2,51.02,51.11,23119.0,3
101,2019-03-07,51.09,51.2,51.0,51.085,37693.0,3
102,2019-03-07,51.095,51.37,51.07,51.27,95116.0,3
103,2019-03-07,51.27,51.27,51.27,51.27,16390.0,3
104,2019-03-08,50.86,51.53,50.86,51.29,15514.0,3
105,2019-03-08,51.225,51.47,51.17,51.36,23541.0,3
106,2019-03-08,51.33,51.6,51.295,51.4,22795.0,3
107,2019-03-08,51.4,51.47,51.35,51.4,23155.0,3
108,2019-03-08,51.37,51.45,51.22,51.36,22217.0,3
109,2019-03-08,51.35,51.53,51.2,51.41,27295.0,3
110,2019-03-08,51.43,51.63,51.29,51.54,120253.0,3
111,2019-03-08,51.52,51.52,51.52,51.52,4227.0,3
112,2019-03-11,51.46,51.85,51.26,51.84,17419.0,3
113,2019-03-11,51.85,52.25,51.82,52.03,22394.0,3
114,2019-03-11,52.02,52.38,52.02,52.34,36725.0,3
115,2019-03-11,52.36,52.56,52.275,52.56,27218.0,3
116,2019-03-11,52.56,52.7,52.545,52.63,25630.0,3
117,2019-03-11,52.63,52.64,52.515,52.59,35971.0,3
118,2019-03-11,52.6,52.81,52.54,52.79,82571.0,3
119,2019-03-11,52.79,52.79,52.79,52.79,2357.0,3
120,2019-03-12,52.87,52.87,52.54,52.57,3303.0,3
121,2019-03-12,52.66,52.78,52.58,52.68,14186.0,3
122,2019-03-12,52.71,53.03,52.69,52.99,21193.0,3
123,2019-03-12,52.97,53.03,52.61,52.61,16572.0,3
124,2019-03-12,52.62,52.87,52.52,52.86,21589.0,3
125,2019-03-12,52.82,52.97,52.59,52.7402,77553.0,3
126,2019-03-12,52.755,52.8,52.625,52.67,78901.0,3
127,2019-03-12,52.67,52.67,52.67,52.67,1495.0,3
128,2019-03-13,53.0,53.17,52.8,52.97,11250.0,3
129,2019-03-13,52.99,53.16,52.8442,53.1464,73536.0,3
130,2019-03-13,53.19,53.29,53.12,53.1981,21085.0,3
131,2019-03-13,53.18,53.26,53.125,53.24,48825.0,3
132,2019-03-13,53.24,53.26,53.1794,53.23,6585.0,3
133,2019-03-13,53.29,53.4241,53.18,53.25,12035.0,3
134,2019-03-13,53.24,53.35,52.87,52.91,101343.0,3
135,2019-03-13,52.9,52.9,52.9,52.9,17471.0,3
136,2019-03-14,52.57,52.76,52.205,52.54,42812.0,3
137,2019-03-14,52.545,52.8695,52.37,52.5,90670.0,3
138,2019-03-14,52.51,52.66,52.45,52.585,33965.0,3
139,2019-03-14,52.55,52.63,52.52,52.56,8764.0,3
140,2019-03-14,52.59,52.63,52.48,52.55,18433.0,3
141,2019-03-14,52.54,52.88,52.5,52.83,29931.0,3
142,2019-03-14,52.83,53.08,52.78,52.84,73144.0,3
143,2019-03-14,52.83,52.83,52.83,52.83,2813.0,3
144,2019-03-15,53.01,53.01,52.4,52.89,167648.0,3
145,2019-03-15,52.77,52.77,52.64,52.69,14266.0,3
146,2019-03-15,52.77,52.845,52.58,52.685,48443.0,3
147,2019-03-15,52.7,53.09,52.7,52.98,30109.0,3
148,2019-03-15,52.99,53.02,52.81,52.82,12140.0,3
