,date,open,high,low,close,volume,month
0,2019-02-19,57.53,57.53,56.55,57.405,921030.0,2
1,2019-02-19,57.39,57.73,57.23,57.59,1495863.0,2
2,2019-02-19,57.59,57.59,57.59,57.59,72973.0,2
3,2019-02-20,57.37,58.6,57.35,58.49,657426.0,2
4,2019-02-20,58.48,58.92,58.3,58.66,1416347.0,2
5,2019-02-20,58.64,58.64,58.64,58.64,25650.0,2
6,2019-02-21,58.32,58.65,57.86,57.95,858016.0,2
7,2019-02-21,57.94,58.14,57.48,57.69,2207434.0,2
8,2019-02-21,57.68,57.68,57.67,57.68,39502.0,2
9,2019-02-22,58.35,58.55,57.2,57.68,1074453.0,2
10,2019-02-22,57.67,57.92,57.01,57.17,1592490.0,2
11,2019-02-22,57.16,57.16,57.16,57.16,121661.0,2
12,2019-02-25,56.66,57.71,56.58,57.5,700491.0,2
13,2019-02-25,57.5,58.04,57.41,57.54,1358285.0,2
14,2019-02-25,57.54,57.54,57.54,57.54,13793.0,2
15,2019-02-26,57.39,58.22,57.2,58.015,821190.0,2
16,2019-02-26,58.0001,58.35,57.645,57.69,1648344.0,2
17,2019-02-26,57.69,57.69,56.87,56.87,128535.0,2
18,2019-02-27,58.2,59.93,57.8,59.29,1378842.0,2
19,2019-02-27,59.28,59.3,58.05,58.13,1865512.0,2
20,2019-02-27,58.14,58.14,58.14,58.14,116353.0,2
21,2019-02-28,58.33,58.33,57.11,57.57,1255904.0,2
22,2019-02-28,57.56,58.33,57.54,57.85,1386790.0,2
23,2019-02-28,57.85,57.853,57.85,57.85,1737858.0,2
24,2019-03-01,58.5,59.74,58.08,58.84,1203368.0,3
25,2019-03-01,58.84,59.24,58.65,59.23,1770030.0,3
26,2019-03-01,59.23,59.23,59.1,59.23,231347.0,3
27,2019-03-04,59.78,60.0,58.5394,58.62,864167.0,3
28,2019-03-04,58.61,59.35,58.01,59.34,1749222.0,3
29,2019-03-04,59.33,59.33,59.33,59.33,273732.0,3
30,2019-03-05,59.91,59.93,58.75,59.17,1026437.0,3
31,2019-03-05,59.1679,59.55,59.0,59.13,1459338.0,3
32,2019-03-05,59.15,59.294,59.15,59.15,843510.0,3
33,2019-03-06,58.5,58.5,56.5,56.71,1565100.0,3
34,2019-03-06,56.71,56.88,56.0,56.74,2020862.0,3
35,2019-03-06,56.74,56.76,56.74,56.76,102529.0,3
36,2019-03-07,57.1,57.24,56.0,56.71,1654440.0,3
37,2019-03-07,56.7,56.95,56.09,56.6,1930593.0,3
38,2019-03-07,56.61,56.61,56.61,56.61,274399.0,3
39,2019-03-08,55.14,56.61,54.26,54.67,1299675.0,3
40,2019-03-08,54.66,55.19,54.55,55.0,1859611.0,3
41,2019-03-08,55.0,55.2,55.0,55.2,40105.0,3
42,2019-03-11,55.88,56.46,55.18,55.98,2359786.0,3
43,2019-03-11,55.96,56.18,55.7,55.93,1923990.0,3
44,2019-03-12,56.9899,56.9899,56.9899,56.9899,675.0,3
45,2019-03-12,56.38,57.65,56.1,56.945,1486999.0,3
46,2019-03-12,56.95,57.3,56.85,57.1631,1149295.0,3
47,2019-03-13,57.76,58.07,57.42,57.74,1056080.0,3
48,2019-03-13,57.74,58.44,57.4,58.06,2034610.0,3
49,2019-03-13,58.06,58.06,58.06,58.06,8011.0,3
50,2019-03-14,58.02,58.79,57.95,58.2,1641749.0,3
51,2019-03-14,58.21,58.51,57.74,57.96,1655852.0,3
52,2019-03-15,57.66,58.61,57.17,58.54,1224450.0,3
53,2019-03-15,58.57,58.6,57.955,58.25,1788403.0,3
54,2019-03-18,58.47,59.32,58.28,58.89,837803.0,3
55,2019-03-18,58.89,59.32,58.8,59.13,989763.0,3
56,2019-03-18,59.13,59.13,59.13,59.13,195.0,3
57,2019-03-19,59.22,59.65,58.29,58.81,1162774.0,3
58,2019-03-19,58.81,58.95,57.63,57.99,1395891.0,3
59,2019-03-19,57.99,57.99,57.99,57.99,150.0,3
60,2019-03-20,57.93,59.07,57.44,58.75,1661386.0,3
61,2019-03-20,58.75,60.63,58.59,59.95,1905277.0,3
62,2019-03-21,59.71,59.71,59.71,59.71,200.0,3
63,2019-03-21,59.81,60.85,59.595,60.28,1128587.0,3
64,2019-03-21,60.27,60.99,60.27,60.8,836630.0,3
65,2019-03-21,60.8,60.8,60.8,60.8,5326.0,3
66,2019-03-22,59.7,60.21,57.96,58.39,1248233.0,3
67,2019-03-22,58.39,59.22,58.35,58.75,1731421.0,3
68,2019-03-22,58.75,58.75,58.75,58.75,56240.0,3
69,2019-03-25,58.6,59.46,58.05,59.14,1025131.0,3
70,2019-03-25,59.16,59.81,58.975,59.54,1693522.0,3
71,2019-03-25,59.54,59.54,59.54,59.54,200.0,3
72,2019-03-26,60.69,61.53,60.16,60.99,1480502.0,3
73,2019-03-26,60.98,61.26,60.73,61.09,1309343.0,3
74,2019-03-27,61.03,61.51,59.85,60.08,1276242.0,3
75,2019-03-27,60.1,60.6,60.07,60.26,855816.0,3
76,2019-03-28,59.61,60.73,59.54,60.22,808565.0,3
77,2019-03-28,60.22,61.73,60.2,60.96,824020.0,3
78,2019-03-29,61.59,61.93,60.62,60.8,896314.0,3
79,2019-03-29,60.8,60.82,60.11,60.23,1068613.0,3
80,2019-03-29,60.25,60.25,60.25,60.25,200.0,3
81,2019-04-01,61.2,61.2,60.74,60.74,377.0,4
82,2019-04-01,61.08,61.23,60.41,61.22,1072033.0,4
83,2019-04-01,61.205,61.445,60.73,60.84,1355016.0,4
84,2019-04-02,62.0,62.0,60.205,60.39,1508125.0,4
85,2019-04-02,60.38,60.67,60.12,60.35,1137941.0,4
86,2019-04-03,60.55,60.81,59.87,59.87,773299.0,4
87,2019-04-03,59.85,59.99,59.3,59.56,967563.0,4
