,date,open,high,low,close,volume
0,2019-02-19 07:00:00,131.82,132.02,131.73,132.02,1725.0
1,2019-02-19 08:00:00,132.05,132.05,132.05,132.05,3270.0
2,2019-02-19 09:00:00,132.26,132.26,129.66,130.56,144060.0
3,2019-02-19 10:00:00,130.52,130.73,128.01,128.2,188549.0
4,2019-02-19 11:00:00,128.14,129.27,128.14,128.915,270405.0
5,2019-02-19 12:00:00,128.89,128.93,128.08,128.35,148112.0
6,2019-02-19 13:00:00,128.36,129.07,128.25,128.28,219131.0
7,2019-02-19 14:00:00,128.3,128.71,127.85,128.635,213309.0
8,2019-02-19 15:00:00,128.61,128.63,127.89,128.1,535138.0
9,2019-02-19 16:00:00,128.11,128.11,128.11,128.11,2787.0
10,2019-02-19 17:00:00,128.5,128.5,128.5,128.5,500.0
11,2019-02-20 05:00:00,128.22,128.22,128.03,128.03,1190.0
12,2019-02-20 08:00:00,129.0,129.0,128.46,128.46,1169.0
13,2019-02-20 09:00:00,128.19,130.93,128.15,130.915,143011.0
14,2019-02-20 10:00:00,130.73,131.57,130.08,130.71,246575.0
15,2019-02-20 11:00:00,130.72,131.64,130.62,131.415,164759.0
16,2019-02-20 12:00:00,131.45,131.86,130.94,131.1,119430.0
17,2019-02-20 13:00:00,131.13,131.75,130.965,131.01,139456.0
18,2019-02-20 14:00:00,130.98,131.26,130.25,130.64,135708.0
19,2019-02-20 15:00:00,130.635,130.66,129.41,129.97,372525.0
20,2019-02-20 16:00:00,129.97,129.97,129.97,129.97,165008.0
21,2019-02-21 09:00:00,130.14,130.14,128.07,128.65,117773.0
22,2019-02-21 10:00:00,128.64,129.1,128.38,128.64,136410.0
23,2019-02-21 11:00:00,128.67,129.02,128.6,128.94,82600.0
24,2019-02-21 12:00:00,128.99,129.06,128.65,129.06,88694.0
25,2019-02-21 13:00:00,129.1,129.13,128.74,128.92,79273.0
26,2019-02-21 14:00:00,128.9,128.92,128.17,128.23,114835.0
27,2019-02-21 15:00:00,128.24,129.04,128.13,128.75,259884.0
28,2019-02-21 16:00:00,128.74,128.74,128.74,128.74,4744.0
29,2019-02-22 09:00:00,129.3,129.69,128.62,128.83,106877.0
30,2019-02-22 10:00:00,128.83,128.83,128.06,128.42,139952.0
31,2019-02-22 11:00:00,128.385,128.385,128.01,128.07,106909.0
32,2019-02-22 12:00:00,128.055,128.14,127.53,127.565,115444.0
33,2019-02-22 13:00:00,127.595,127.8,127.57,127.77,68974.0
34,2019-02-22 14:00:00,127.74,128.41,127.74,128.3,151022.0
35,2019-02-22 15:00:00,128.3,128.55,128.02,128.25,295208.0
36,2019-02-22 16:00:00,128.23,128.23,128.23,128.23,10412.0
37,2019-02-25 08:00:00,129.37,129.37,129.37,129.37,487.0
38,2019-02-25 09:00:00,128.82,128.98,127.34,127.51,65989.0
39,2019-02-25 10:00:00,127.5,128.0,127.375,127.91,80875.0
40,2019-02-25 11:00:00,127.95,128.13,127.44,127.69,117972.0
41,2019-02-25 12:00:00,127.67,127.67,127.25,127.28,86419.0
42,2019-02-25 13:00:00,127.268,127.38,126.87,127.03,78397.0
43,2019-02-25 14:00:00,127.025,127.32,126.85,127.16,83105.0
44,2019-02-25 15:00:00,127.14,127.38,126.866,127.29,263865.0
45,2019-02-25 16:00:00,127.29,127.29,127.29,127.29,7260.0
46,2019-02-26 09:00:00,126.81,126.93,125.8,126.19,73602.0
47,2019-02-26 10:00:00,126.21,126.94,125.86,125.9,93821.0
48,2019-02-26 11:00:00,125.9,126.44,125.89,126.14,93962.0
49,2019-02-26 12:00:00,126.17,126.71,126.05,126.45,79065.0
50,2019-02-26 13:00:00,126.47,126.63,126.0,126.14,94359.0
51,2019-02-26 14:00:00,126.14,126.46,126.11,126.36,129478.0
52,2019-02-26 15:00:00,126.35,126.53,125.96,125.99,262541.0
53,2019-02-26 16:00:00,126.0,126.0,126.0,126.0,5141.0
54,2019-02-27 05:00:00,126.37,126.37,126.37,126.37,100.0
55,2019-02-27 09:00:00,126.32,126.35,125.484,125.62,77146.0
56,2019-02-27 10:00:00,125.575,125.86,125.265,125.57,94366.0
57,2019-02-27 11:00:00,125.6,126.4,125.57,126.34,72047.0
58,2019-02-27 12:00:00,126.31,126.83,126.27,126.5,93922.0
59,2019-02-27 13:00:00,126.4803,127.01,126.475,126.77,72564.0
60,2019-02-27 14:00:00,126.75,127.15,126.74,127.07,118932.0
61,2019-02-27 15:00:00,127.04,127.61,127.005,127.34,344369.0
62,2019-02-27 16:00:00,127.35,127.35,127.35,127.35,181716.0
63,2019-02-28 07:00:00,128.23,128.23,128.23,128.23,200.0
64,2019-02-28 08:00:00,127.93,127.93,127.93,127.93,100.0
65,2019-02-28 09:00:00,127.94,128.05,127.05,127.26,80275.0
66,2019-02-28 10:00:00,127.255,128.03,127.05,127.63,124748.0
67,2019-02-28 11:00:00,127.575,127.65,127.03,127.34,83859.0
68,2019-02-28 12:00:00,127.33,127.4982,127.195,127.485,84660.0
69,2019-02-28 13:00:00,127.5,127.7,127.3,127.48,93309.0
70,2019-02-28 14:00:00,127.48,127.5,127.08,127.15,104328.0
71,2019-02-28 15:00:00,127.155,127.61,127.0,127.48,295373.0
72,2019-02-28 16:00:00,127.5,127.5,127.5,127.5,20728.0
73,2019-03-01 09:00:00,128.05,128.715,127.44,127.59,40887.0
74,2019-03-01 10:00:00,127.59,127.74,126.79,127.38,75355.0
75,2019-03-01 11:00:00,127.39,127.97,127.32,127.57,155322.0
76,2019-03-01 12:00:00,127.59,128.19,127.45,128.04,91149.0
77,2019-03-01 13:00:00,128.09,128.13,127.94,127.99,69347.0
78,2019-03-01 14:00:00,128.0,128.3899,127.78,127.99,104254.0
79,2019-03-01 15:00:00,128.02,128.02,127.6,127.92,231924.0
80,2019-03-01 16:00:00,127.87,127.87,127.87,127.87,7369.0
81,2019-03-04 09:00:00,129.43,129.43,128.205,128.33,56552.0
82,2019-03-04 10:00:00,128.35,128.61,128.15,128.23,57925.0
83,2019-03-04 11:00:00,128.235,128.32,126.64,126.69,65728.0
84,2019-03-04 12:00:00,126.66,127.28,126.62,127.01,67834.0
85,2019-03-04 13:00:00,126.99,127.4,126.47,127.38,69814.0
86,2019-03-04 14:00:00,127.38,127.77,127.29,127.66,64312.0
87,2019-03-04 15:00:00,127.67,128.07,127.36,127.93,202857.0
88,2019-03-04 16:00:00,127.96,127.96,127.96,127.96,4180.0
89,2019-03-04 18:00:00,128.0,128.0,128.0,128.0,200.0
90,2019-03-05 09:00:00,128.41,128.41,127.51,128.02,37466.0
91,2019-03-05 10:00:00,128.13,128.32,127.39,127.44,43864.0
92,2019-03-05 11:00:00,127.49,127.69,127.205,127.27,54867.0
93,2019-03-05 12:00:00,127.27,127.385,126.92,127.1895,54210.0
94,2019-03-05 13:00:00,127.13,127.8,127.13,127.46,48293.0
95,2019-03-05 14:00:00,127.42,127.56,127.28,127.42,51740.0
96,2019-03-05 15:00:00,127.42,127.54,126.73,126.91,221528.0
97,2019-03-05 16:00:00,126.91,126.91,126.91,126.91,3396.0
98,2019-03-05 18:00:00,126.21,126.21,126.0,126.0,640.0
99,2019-03-06 09:00:00,127.03,127.66,126.61,127.31,71827.0
100,2019-03-06 10:00:00,127.31,127.78,127.07,127.285,61153.0
101,2019-03-06 11:00:00,127.23,127.56,126.57,126.625,60677.0
102,2019-03-06 12:00:00,126.62,127.07,126.595,126.92,61338.0
103,2019-03-06 13:00:00,126.95,127.12,126.59,127.12,52978.0
104,2019-03-06 14:00:00,127.09,127.45,126.69,126.92,79040.0
105,2019-03-06 15:00:00,126.96,127.08,126.64,126.77,153668.0
106,2019-03-06 16:00:00,126.77,126.77,126.77,126.77,15712.0
107,2019-03-07 07:00:00,127.13,127.13,127.13,127.13,100.0
108,2019-03-07 09:00:00,126.75,127.01,125.12,125.17,59412.0
109,2019-03-07 10:00:00,125.28,125.28,123.91,124.09,125519.0
110,2019-03-07 11:00:00,124.04,124.32,123.7,123.83,82831.0
111,2019-03-07 12:00:00,123.82,124.42,123.72,124.4,72590.0
112,2019-03-07 13:00:00,124.37,124.8,124.225,124.62,92097.0
113,2019-03-07 14:00:00,124.6,124.73,123.83,123.89,95350.0
114,2019-03-07 15:00:00,123.91,124.71,123.79,124.53,439075.0
115,2019-03-07 16:00:00,124.51,124.51,124.51,124.51,105382.0
116,2019-03-08 08:00:00,124.51,124.51,124.51,124.51,1701.0
117,2019-03-08 09:00:00,123.7,125.23,123.7,124.62,99474.0
118,2019-03-08 10:00:00,124.6299,124.91,124.14,124.21,79292.0
119,2019-03-08 11:00:00,124.18,124.99,124.18,124.99,112696.0
120,2019-03-08 12:00:00,124.88,125.63,124.74,124.98,155580.0
121,2019-03-08 13:00:00,124.99,124.99,124.21,124.9767,187192.0
122,2019-03-08 14:00:00,125.01,125.58,124.71,125.44,120732.0
123,2019-03-08 15:00:00,125.43,125.55,124.84,125.4,254059.0
124,2019-03-08 16:00:00,125.4,125.4,125.4,125.4,8874.0
125,2019-03-11 06:00:00,126.08,126.08,125.39,125.39,509.0
126,2019-03-11 09:00:00,125.7,126.39,125.33,125.44,38468.0
127,2019-03-11 10:00:00,125.515,125.94,125.35,125.91,50253.0
128,2019-03-11 11:00:00,125.93,126.49,125.73,126.465,99975.0
129,2019-03-11 12:00:00,126.43,126.78,126.33,126.33,57434.0
130,2019-03-11 13:00:00,126.35,126.5,126.17,126.19,42082.0
131,2019-03-11 14:00:00,126.2,126.3,125.94,126.02,78632.0
132,2019-03-11 15:00:00,125.98,126.38,125.98,126.35,151801.0
133,2019-03-11 16:00:00,126.34,126.34,126.34,126.34,10741.0
134,2019-03-12 09:00:00,126.45,127.02,126.33,126.45,32329.0
135,2019-03-12 10:00:00,126.37,127.72,126.36,127.03,68788.0
136,2019-03-12 11:00:00,126.98,127.015,126.55,126.9,49003.0
137,2019-03-12 12:00:00,126.87,126.87,126.49,126.65,84781.0
138,2019-03-12 13:00:00,126.68,126.83,126.62,126.74,45611.0
139,2019-03-12 14:00:00,126.75,126.86,126.61,126.7,106599.0
140,2019-03-12 15:00:00,126.71,126.785,126.05,126.2,218030.0
141,2019-03-12 16:00:00,126.18,126.18,126.18,126.18,3749.0
142,2019-03-13 09:00:00,126.53,126.53,125.65,126.4,55060.0
143,2019-03-13 10:00:00,126.4,126.46,126.06,126.44,63689.0
