,date,open,high,low,close,volume,month
0,2019-02-19,142.34,142.65,141.1,141.75,120156.0,2
1,2019-02-19,141.74,142.385,141.51,141.63,224688.0,2
2,2019-02-19,141.63,141.63,141.63,141.63,57528.0,2
3,2019-02-20,142.21,142.23,140.79,140.95,66338.0,2
4,2019-02-20,140.93,141.57,140.56,141.09,262128.0,2
5,2019-02-20,141.1,141.1,141.1,141.1,2715.0,2
6,2019-02-21,141.29,142.42,140.18,142.41,173100.0,2
7,2019-02-21,142.41,142.725,141.48,141.82,286291.0,2
8,2019-02-21,141.8,141.8,141.8,141.8,2880.0,2
9,2019-02-22,142.04,142.83,141.7,142.68,116399.0,2
10,2019-02-22,142.67,142.865,142.08,142.29,209230.0,2
11,2019-02-22,142.3,142.3,142.3,142.3,7025.0,2
12,2019-02-25,142.92,143.75,142.0,142.49,88999.0,2
13,2019-02-25,142.41,142.98,142.11,142.36,213613.0,2
14,2019-02-25,142.33,142.33,142.33,142.33,2438.0,2
15,2019-02-26,141.99,143.35,141.755,143.14,90090.0,2
16,2019-02-26,143.14,143.35,142.58,143.15,201058.0,2
17,2019-02-26,143.12,143.12,143.12,143.12,2797.0,2
18,2019-02-27,142.4,143.23,142.28,143.08,97093.0,2
19,2019-02-27,143.15,144.0,143.03,143.83,234615.0,2
20,2019-02-27,143.86,143.86,143.86,143.86,4556.0,2
21,2019-02-28,143.57,143.62,142.53,142.92,128879.0,2
22,2019-02-28,142.87,143.18,142.21,142.31,216944.0,2
23,2019-02-28,142.3,142.3,142.3,142.3,10873.0,2
24,2019-03-01,143.23,144.0,142.46,143.355,121750.0,3
25,2019-03-01,143.42,145.08,143.41,144.95,229914.0,3
26,2019-03-01,144.94,144.94,144.94,144.94,37669.0,3
27,2019-03-04,145.4,145.84,142.86,142.86,104691.0,3
28,2019-03-04,142.93,143.92,142.07,143.84,190782.0,3
29,2019-03-04,143.88,143.88,143.88,143.88,8891.0,3
30,2019-03-05,144.09,144.71,143.28,143.56,74575.0,3
31,2019-03-05,143.55,143.74,142.97,143.5,145447.0,3
32,2019-03-05,143.5,143.5,143.5,143.5,7865.0,3
33,2019-03-06,143.38,143.69,142.72,143.06,66817.0,3
34,2019-03-06,143.08,143.65,142.25,142.71,149738.0,3
35,2019-03-06,142.72,142.72,142.72,142.72,4572.0,3
36,2019-03-07,142.04,142.81,141.14,141.7155,62524.0,3
37,2019-03-07,141.7,142.07,140.59,141.68,209620.0,3
38,2019-03-07,141.69,141.69,141.69,141.69,83445.0,3
39,2019-03-08,141.69,141.69,139.935,140.365,90761.0,3
40,2019-03-08,140.33,141.32,139.5,141.26,216320.0,3
41,2019-03-08,141.25,141.25,141.25,141.25,2934.0,3
42,2019-03-11,142.07,143.02,141.72,142.51,111727.0,3
43,2019-03-11,142.53,144.25,142.21,144.16,467563.0,3
44,2019-03-12,144.67,145.2876,144.01,145.18,103227.0,3
45,2019-03-12,145.18,145.48,144.04,144.25,177020.0,3
46,2019-03-13,144.7,145.69,143.33,145.285,81738.0,3
47,2019-03-13,145.34,145.61,144.51,144.93,244151.0,3
48,2019-03-13,144.93,144.93,144.93,144.93,1687.0,3
49,2019-03-14,145.05,145.175,144.01,144.74,148454.0,3
50,2019-03-14,144.66,144.685,143.41,144.13,215997.0,3
51,2019-03-15,144.0,145.565,143.73,145.34,296276.0,3
52,2019-03-15,145.36,145.757,144.75,145.04,161119.0,3
53,2019-03-18,145.64,146.48,145.0,146.41,134664.0,3
54,2019-03-18,146.41,147.57,146.17,147.21,251318.0,3
55,2019-03-19,147.49,148.5,146.51,147.47,94460.0,3
56,2019-03-19,147.44,147.99,146.295,147.11,136187.0,3
57,2019-03-20,147.03,147.57,144.91,145.89,89525.0,3
58,2019-03-20,145.92,147.43,145.71,146.45,128955.0,3
59,2019-03-21,146.06,148.16,145.745,147.49,89502.0,3
