,date,open,high,low,close,volume,month
0,2019-02-19,47.82,48.38,47.63,47.77,7443915.0,2
1,2019-02-20,47.9,48.5,47.63,48.26,7048921.0,2
2,2019-02-21,48.39,48.66,47.85,48.18,10117886.0,2
3,2019-02-22,35.85,36.0,34.51,34.95,135204821.0,2
4,2019-02-25,35.0,35.42,34.06,34.23,46934341.0,2
5,2019-02-26,34.24,34.51,33.04,33.12,36361588.0,2
6,2019-02-27,33.15,33.25,32.05,32.2,28284099.0,2
7,2019-02-28,32.42,33.64,31.82,33.19,39658275.0,2
8,2019-03-01,33.41,33.49,32.35,32.4,20796782.0,3
9,2019-03-04,32.9,33.55,32.77,33.23,19256654.0,3
10,2019-03-05,33.38,33.39,32.66,33.04,13556299.0,3
11,2019-03-06,33.13,33.2,32.75,32.86,8978630.0,3
12,2019-03-07,32.63,32.63,31.81,31.89,15205615.0,3
13,2019-03-08,31.69,32.3,31.6,32.1,12460774.0,3
14,2019-03-11,31.99,32.19,31.6512,32.17,12449869.0,3
15,2019-03-12,32.2,32.42,31.8562,31.99,10361477.0,3
16,2019-03-13,32.07,32.31,31.9,32.3,8688648.0,3
17,2019-03-14,32.34,32.5,31.85,31.87,8199867.0,3
18,2019-03-15,31.95,32.22,31.65,32.09,16511578.0,3
19,2019-03-18,31.8,32.1,31.53,32.03,13719494.0,3
20,2019-03-19,31.97,32.48,31.88,32.13,10194508.0,3
21,2019-03-20,32.1,32.18,31.74,32.02,10093510.0,3
22,2019-03-21,32.04,32.85,31.92,32.75,11186096.0,3
23,2019-03-22,32.83,32.85,32.19,32.29,12047865.0,3
24,2019-03-25,32.27,32.54,32.03,32.5,7663468.0,3
25,2019-03-26,32.54,33.05,32.51,32.9,7463956.0,3
26,2019-03-27,32.9,33.19,32.41,32.64,8391927.0,3
27,2019-03-28,32.7,33.03,32.68,32.89,6577181.0,3
28,2019-03-29,32.67,33.05,32.55,32.65,8129951.0,3
29,2019-04-01,32.8,32.98,32.415,32.5,7969117.0,4
30,2019-04-02,32.56,32.73,32.02,32.08,9343969.0,4
31,2019-04-03,32.24,32.36,32.02,32.25,8431059.0,4
32,2019-04-04,32.3,32.79,32.11,32.69,7574266.0,4
33,2019-04-05,32.69,33.2,32.62,33.17,8852429.0,4
34,2019-04-08,33.23,33.37,32.96,33.19,6571143.0,4
35,2019-04-09,33.16,33.23,32.85,32.95,6398801.0,4
36,2019-04-10,32.98,33.07,32.7,32.98,6323826.0,4
37,2019-04-11,33.08,33.195,32.8,32.99,6022207.0,4
38,2019-04-12,33.12,33.32,32.91,33.07,5278623.0,4
39,2019-04-15,33.09,33.18,32.84,33.14,5232895.0,4
40,2019-04-16,33.07,33.5,33.01,33.04,4618159.0,4
41,2019-04-17,33.05,33.11,32.85,32.89,6532709.0,4
42,2019-04-18,33.02,33.08,32.85,32.96,6834566.0,4
43,2019-04-22,33.53,33.78,32.81,32.9,10441383.0,4
44,2019-04-23,32.93,33.175,32.85,33.1,9615903.0,4
45,2019-04-24,32.86,32.9,32.329,32.76,8443053.0,4
46,2019-04-25,32.67,32.74,32.44,32.52,6196635.0,4
47,2019-04-26,32.7,33.1,32.575,33.06,6908573.0,4
48,2019-04-29,33.16,33.3258,33.03,33.27,5963378.0,4
49,2019-04-30,33.31,33.47,33.06,33.24,9694953.0,4
50,2019-05-01,33.2,33.57,32.93,32.99,7407273.0,5
51,2019-05-02,32.7,32.83,31.82,32.18,12276839.0,5
52,2019-05-03,32.35,32.66,32.035,32.58,6995841.0,5
53,2019-05-06,32.35,32.94,32.31,32.77,10268655.0,5
54,2019-05-07,32.63,32.96,32.2,32.5,8719076.0,5
55,2019-05-08,32.5,32.62,32.26,32.43,5778654.0,5
56,2019-05-09,32.3,32.64,31.97,32.58,6838933.0,5
57,2019-05-10,32.56,32.73,31.67,32.65,9249981.0,5
58,2019-05-13,32.29,32.43,31.82,31.97,7944095.0,5
59,2019-05-14,32.08,32.4,31.98,32.27,7267284.0,5
60,2019-05-15,32.2,32.44,31.86,32.4,5743959.0,5
61,2019-05-16,32.37,32.73,32.29,32.46,5135792.0,5
62,2019-05-17,32.41,32.87,32.205,32.53,5852480.0,5
63,2019-05-20,32.32,32.36,31.64,31.79,9077194.0,5
64,2019-05-21,31.92,32.18,31.53,31.98,6531934.0,5
65,2019-05-22,31.98,32.11,31.705,31.88,6141829.0,5
66,2019-05-23,31.71,31.76,31.2,31.45,7054307.0,5
67,2019-05-24,31.62,31.73,31.03,31.11,8284098.0,5
68,2019-05-28,31.1,31.12,29.01,29.06,24476428.0,5
69,2019-05-29,28.89,28.95,28.43,28.68,13150583.0,5
70,2019-05-30,28.28,28.31,27.25,27.4,15970486.0,5
71,2019-05-31,27.27,27.68,26.96,27.65,10453386.0,5
72,2019-06-03,27.68,28.49,27.67,28.42,12485500.0,6
73,2019-06-04,28.49,28.7317,28.4,28.67,11999742.0,6
74,2019-06-05,28.85,28.85,28.27,28.47,12103181.0,6
75,2019-06-06,28.44,28.64,28.17,28.62,9267439.0,6
76,2019-06-07,28.7,28.95,28.61,28.74,11638378.0,6
77,2019-06-10,30.1,30.5,29.85,30.31,24143918.0,6
78,2019-06-11,30.3,30.35,29.8,30.24,17107798.0,6
79,2019-06-12,30.21,30.37,29.97,30.13,13485296.0,6
80,2019-06-13,30.1,30.68,30.1,30.41,10592283.0,6
81,2019-06-14,30.49,30.53,29.98,30.31,11839699.0,6
82,2019-06-17,30.37,30.435,30.12,30.17,7957562.0,6
83,2019-06-18,30.43,30.49,30.12,30.27,10298693.0,6
84,2019-06-19,30.17,31.005,30.11,30.96,11185606.0,6
85,2019-06-20,31.15,31.365,30.92,31.13,8706185.0,6
86,2019-06-21,31.11,31.5,30.7913,31.48,12099027.0,6
87,2019-06-24,31.34,31.48,30.485,30.52,10618435.0,6
88,2019-06-25,30.39,30.85,30.3534,30.68,7515204.0,6
89,2019-06-26,30.41,30.95,30.16,30.84,7541933.0,6
90,2019-06-27,30.68,30.83,30.55,30.77,5051549.0,6
91,2019-06-28,30.9,31.07,30.68,31.04,7589249.0,6
92,2019-07-01,31.26,31.44,30.33,30.46,8103551.0,7
93,2019-07-02,30.43,30.64,30.23,30.52,8014901.0,7
94,2019-07-03,30.84,31.33,30.6381,31.25,7003052.0,7
95,2019-07-05,31.21,31.215,30.5243,30.99,5234644.0,7
96,2019-07-08,30.99,31.05,30.58,30.69,4359979.0,7
97,2019-07-09,30.6,30.81,30.435,30.5,5011394.0,7
98,2019-07-10,30.6,31.35,30.58,31.3,6607375.0,7
99,2019-07-11,31.43,31.5803,30.61,30.65,5846771.0,7
100,2019-07-12,30.65,30.92,30.55,30.8,4348166.0,7
101,2019-07-15,30.87,30.92,30.56,30.68,4572355.0,7
102,2019-07-16,30.68,30.7454,30.24,30.32,4747057.0,7
103,2019-07-17,30.39,30.52,30.26,30.44,3901457.0,7
104,2019-07-18,30.44,31.145,30.3525,31.05,6941027.0,7
105,2019-07-19,30.98,31.72,30.76,31.54,9416185.0,7
106,2019-07-22,31.58,31.84,31.31,31.49,7681451.0,7
107,2019-07-23,31.51,32.39,31.45,31.95,6696285.0,7
108,2019-07-24,31.94,32.08,31.58,32.07,7024541.0,7
109,2019-07-25,31.81,32.18,31.335,31.55,5788133.0,7
110,2019-07-26,31.67,31.95,31.44,31.85,3746233.0,7
111,2019-07-29,31.9,31.965,31.55,31.76,4465057.0,7
112,2019-07-30,31.63,31.86,31.3102,31.84,4081956.0,7
113,2019-07-31,31.87,32.26,31.465,32.01,10875588.0,7
114,2019-08-01,32.1,33.25,31.63,32.53,10753303.0,8
115,2019-08-02,32.62,32.69,31.79,32.21,5842736.0,8
116,2019-08-05,31.77,31.94,31.22,31.44,9686223.0,8
117,2019-08-06,31.44,31.5,30.55,30.58,8156726.0,8
118,2019-08-07,30.53,31.0,29.49,30.87,10723223.0,8
119,2019-08-08,26.73,28.24,26.05,28.22,44732461.0,8
120,2019-08-09,27.64,27.79,26.44,26.5,19595995.0,8
121,2019-08-12,26.5,26.6,25.74,26.29,14773126.0,8
122,2019-08-13,26.12,26.6663,25.95,25.96,16461295.0,8
123,2019-08-14,25.85,26.28,25.19,25.52,14678747.0,8
124,2019-08-15,25.5,25.578,24.885,25.06,9975047.0,8
125,2019-08-16,25.2,25.65,25.101,25.41,10145402.0,8
126,2019-08-19,25.7,25.87,25.44,25.71,6877826.0,8
127,2019-08-20,25.28,25.41,25.09,25.14,6653498.0,8
128,2019-08-21,25.17,25.47,25.03,25.27,5565271.0,8
129,2019-08-22,25.29,25.72,25.22,25.62,7446172.0,8
130,2019-08-23,25.61,25.85,25.26,25.33,7904246.0,8
131,2019-08-26,25.53,25.6547,25.25,25.58,7261833.0,8
132,2019-08-27,25.58,25.6,24.98,25.0,7216141.0,8
