,date,open,high,low,close,volume,frac,fracHigh,fracLow,month
0,2019-02-19 09:00:00,61.12,61.51,60.97,61.49,67048.0,0.0060536649214660435,0.00638089005235603,0.0024541884816753697,2
1,2019-02-19 10:00:00,61.51,61.91,61.49,61.72,170953.0,0.0034140790115428526,0.006503007641033955,0.0003251503820516342,2
2,2019-02-19 11:00:00,61.73,62.33,61.73,62.31,129791.0,0.009395755710351618,0.009719747286570572,0.0,2
3,2019-02-19 12:00:00,62.29,62.31,62.1946,62.25,103970.0,-0.0006421576497029884,0.00032107882485155124,0.0015315459945416268,2
4,2019-02-19 13:00:00,62.25,62.41,62.22,62.38,160529.0,0.0020883534136546594,0.0025702811244979373,0.00048192771084339174,2
5,2019-02-19 14:00:00,62.39,62.42,62.225,62.24,115757.0,-0.0024042314473473087,0.00048084628946948446,0.0026446545920820507,2
6,2019-02-19 15:00:00,62.23,62.32,62.04,62.05,262500.0,-0.0028924955809095246,0.0014462477904548196,0.003053189779848911,2
7,2019-02-19 16:00:00,62.05,62.05,62.05,62.05,4776.0,0.0,0.0,0.0,2
8,2019-02-20 09:00:00,62.13,62.21,61.9,61.98,124701.0,-0.002414292612264698,0.001287622726541096,0.003701915338805794,2
9,2019-02-20 10:00:00,61.97,62.23,61.83,62.18,145373.0,0.003388736485396173,0.004195578505728546,0.0022591576569307823,2
10,2019-02-20 11:00:00,62.18,62.385,62.15,62.33,136176.0,0.0024123512383402794,0.003296880025731719,0.00048247024766807873,2
11,2019-02-20 12:00:00,62.34,62.47,62.25,62.42,132844.0,0.0012832852101379258,0.0020853384664741006,0.0014436958614052519,2
12,2019-02-20 13:00:00,62.43,62.67,62.412,62.6,99878.0,0.0027230498157937164,0.0038443056222970044,0.0002883229216722839,2
13,2019-02-20 14:00:00,62.6,62.785,62.38,62.73,198638.0,0.002076677316293857,0.0029552715654951305,0.0035143769968050934,2
14,2019-02-20 15:00:00,62.725,62.78,62.55,62.64,327858.0,-0.0013551215623754619,0.0008768433638899915,0.0027899561578318736,2
