,date,open,high,low,close,volume,month
0,2019-02-19,168.85,169.64,166.01,167.72,52920,2
1,2019-02-19,167.73,168.27,167.12,167.59,108427,2
2,2019-02-19,167.63,168.59,167.34,168.59,75484,2
3,2019-02-19,168.55,169.18,168.43,169.08,88353,2
4,2019-02-19,169.08,169.22,168.71,168.92,59815,2
5,2019-02-19,168.92,169.13,168.73,169.09,76810,2
6,2019-02-19,169.06,169.08,167.83,167.97,298141,2
7,2019-02-19,167.96,167.96,167.96,167.96,30095,2
8,2019-02-20,168.15,169.23,167.98,169.08,48587,2
9,2019-02-20,169.03,169.03,168.05,168.22,70213,2
10,2019-02-20,168.2,169.09,168.15,168.8,57788,2
11,2019-02-20,168.8,168.97,168.21,168.4,51256,2
12,2019-02-20,168.385,169.11,168.385,169.11,44520,2
13,2019-02-20,169.18,169.42,168.395,169.12,77932,2
14,2019-02-20,169.15,169.65,168.885,169.5,232282,2
15,2019-02-20,169.46,169.46,169.46,169.46,50076,2
16,2019-02-21,169.74,169.74,168.74,169.27,38730,2
17,2019-02-21,169.3256,169.78,168.92,169.6512,117996,2
18,2019-02-21,169.65,170.4,169.6,170.33,124858,2
19,2019-02-21,170.27,170.55,170.25,170.33,45563,2
20,2019-02-21,170.35,170.52,170.14,170.5,55083,2
21,2019-02-21,170.52,170.66,169.76,170.02,118602,2
22,2019-02-21,170.0,170.77,169.91,170.64,340648,2
23,2019-02-21,170.6,170.6,170.6,170.6,117315,2
24,2019-02-22,170.88,171.68,170.65,171.54,54948,2
25,2019-02-22,171.595,171.82,171.06,171.55,87095,2
26,2019-02-22,171.51,172.09,171.35,171.82,77283,2
27,2019-02-22,171.82,171.99,171.62,171.93,96815,2
28,2019-02-22,171.96,172.53,171.75,172.505,92481,2
29,2019-02-22,172.49,172.93,172.2,172.32,100610,2
30,2019-02-22,172.32,172.94,172.32,172.7,251003,2
31,2019-02-22,172.7,172.7,172.7,172.7,12192,2
32,2019-02-25,173.5,174.66,173.117,174.5,76480,2
33,2019-02-25,174.54,175.08,173.86,174.12,133534,2
34,2019-02-25,174.11,174.23,173.52,173.76,94259,2
35,2019-02-25,173.72,173.72,172.46,172.72,108452,2
36,2019-02-25,172.67,172.825,172.3,172.515,87524,2
37,2019-02-25,172.49,172.98,172.47,172.47,76644,2
38,2019-02-25,172.49,172.69,172.08,172.51,167049,2
39,2019-02-25,172.5,172.5,172.5,172.5,13999,2
40,2019-02-26,172.1,173.03,171.52,172.9,74200,2
41,2019-02-26,172.88,173.3291,172.38,172.38,100371,2
42,2019-02-26,172.36,173.69,172.36,173.44,86660,2
43,2019-02-26,173.45,173.55,172.85,172.91,63122,2
44,2019-02-26,172.93,173.22,172.68,172.93,68715,2
45,2019-02-26,172.9,173.12,172.68,173.1,74476,2
46,2019-02-26,173.12,173.34,172.41,172.49,169307,2
47,2019-02-26,172.49,172.49,172.49,172.49,4659,2
48,2019-02-27,171.94,173.28,171.67,172.93,38224,2
49,2019-02-27,172.88,173.05,171.73,171.93,89392,2
50,2019-02-27,171.94,173.025,171.91,172.81,77422,2
51,2019-02-27,172.8,173.15,172.75,172.95,35660,2
52,2019-02-27,172.96,173.47,172.96,173.275,53658,2
53,2019-02-27,173.21,173.59,173.21,173.46,72225,2
54,2019-02-27,173.46,173.8125,173.39,173.61,177567,2
55,2019-02-27,173.6,173.6,173.6,173.6,8142,2
56,2019-02-28,173.9,174.87,173.81,174.665,33248,2
57,2019-02-28,174.72,174.7699,173.49,173.95,60695,2
58,2019-02-28,173.93,174.46,173.69,174.36,61681,2
59,2019-02-28,174.365,174.58,174.21,174.47,50611,2
60,2019-02-28,174.47,174.49,173.97,173.98,49201,2
61,2019-02-28,173.98,174.06,173.37,173.51,88264,2
62,2019-02-28,173.49,173.64,172.765,173.12,278409,2
63,2019-02-28,173.12,173.12,173.12,173.12,25737,2
64,2019-03-01,174.86,176.0,174.86,175.66,61963,3
