,date,open,high,low,close,volume,month
0,2019-02-19,31.51,31.97,31.25,31.96,1168409.0,2
1,2019-02-19,31.96,32.49,31.91,32.27,1787884.0,2
2,2019-02-19,32.28,32.5,32.27,32.5,26607.0,2
3,2019-02-20,32.3,33.73,32.3,33.455,1695250.0,2
4,2019-02-20,33.46,33.6,33.29,33.49,1832090.0,2
5,2019-02-20,33.48,33.48,33.48,33.48,20329.0,2
6,2019-02-21,33.85,33.85,33.85,33.85,307.0,2
7,2019-02-21,33.58,34.14,33.0,33.11,1420375.0,2
8,2019-02-21,33.11,33.22,33.005,33.16,1364271.0,2
9,2019-02-21,33.17,33.22,33.17,33.2,310706.0,2
10,2019-02-22,33.01,33.11,33.0,33.0,3550.0,2
11,2019-02-22,33.05,33.05,32.16,32.64,1819574.0,2
12,2019-02-22,32.64,32.7226,32.14,32.3,2757749.0,2
13,2019-02-22,32.3,32.35,32.3,32.35,29414.0,2
14,2019-02-25,32.75,32.75,32.74,32.74,650.0,2
15,2019-02-25,32.73,33.23,32.5,33.185,2122744.0,2
16,2019-02-25,33.185,33.19,32.54,32.77,3257317.0,2
17,2019-02-25,32.77,36.0,32.77,34.5,114738.0,2
18,2019-02-26,34.5,34.5,34.26,34.3,960.0,2
19,2019-02-26,34.5,34.5,31.17,31.59,5230531.0,2
20,2019-02-26,31.61,32.0,31.015,31.46,4420832.0,2
21,2019-02-26,31.45,31.45,31.13,31.39,96173.0,2
22,2019-02-27,31.43,32.31,31.25,32.225,2371314.0,2
23,2019-02-27,32.225,32.485,32.02,32.16,3287886.0,2
24,2019-02-27,32.17,32.17,32.17,32.17,104018.0,2
25,2019-02-28,32.01,32.09,31.285,31.385,1659371.0,2
26,2019-02-28,31.38,31.41,30.96,31.26,2798771.0,2
27,2019-02-28,31.27,31.27,31.1,31.1,119524.0,2
28,2019-03-01,31.27,31.62,30.79,30.925,1417082.0,3
29,2019-03-01,30.93,31.19,30.87,31.0,3127100.0,3
30,2019-03-01,31.0,31.0,30.9999,31.0,25936.0,3
31,2019-03-04,31.11,31.25,30.45,30.51,1823588.0,3
32,2019-03-04,30.515,30.91,30.27,30.82,2522746.0,3
33,2019-03-04,30.82,30.82,30.82,30.82,218096.0,3
34,2019-03-05,30.76,30.81,29.965,30.095,2425369.0,3
35,2019-03-05,30.085,30.15,29.82,29.9,3501679.0,3
36,2019-03-05,29.89,29.95,29.85,29.88,33182.0,3
37,2019-03-06,29.9,30.01,29.37,29.385,1313758.0,3
38,2019-03-06,29.38,29.42,29.155,29.24,2475833.0,3
39,2019-03-06,29.23,29.23,29.23,29.23,14600.0,3
40,2019-03-07,29.18,29.18,27.925,27.93,3273434.0,3
41,2019-03-07,27.935,28.25,27.805,27.93,4160985.0,3
42,2019-03-07,27.92,27.92,27.92,27.92,61452.0,3
43,2019-03-08,27.75,27.8,27.75,27.75,750.0,3
44,2019-03-08,27.92,28.365,27.54,27.85,2320110.0,3
45,2019-03-08,27.85,28.05,27.67,28.01,2612177.0,3
