,date,open,high,low,close,volume,month
0,2019-02-19 08:00:00,137.43,138.1,136.69,137.26,63501.0,2
1,2019-02-19 12:00:00,137.13,137.87,136.32,136.43,143204.0,2
2,2019-02-19 16:00:00,136.42,136.42,136.42,136.42,1491.0,2
3,2019-02-20 08:00:00,136.94,137.34,135.84,137.19,87094.0,2
4,2019-02-20 12:00:00,137.185,137.47,136.49,136.7,241658.0,2
5,2019-02-20 16:00:00,136.65,136.65,136.65,136.65,1621.0,2
6,2019-02-21 08:00:00,136.9,137.0863,134.46,135.84,96845.0,2
7,2019-02-21 12:00:00,135.68,136.1,134.89,135.28,178471.0,2
8,2019-02-21 16:00:00,135.29,135.29,135.29,135.29,6366.0,2
9,2019-02-22 08:00:00,136.24,136.945,135.18,136.65,70377.0,2
10,2019-02-22 12:00:00,136.82,137.05,135.98,136.68,180056.0,2
11,2019-02-22 16:00:00,136.56,136.56,136.56,136.56,1802.0,2
12,2019-02-25 08:00:00,138.0,139.18,137.5,138.78,98893.0,2
13,2019-02-25 12:00:00,138.65,138.73,137.2,137.43,124101.0,2
14,2019-02-25 16:00:00,137.54,137.54,137.54,137.54,12174.0,2
15,2019-02-26 08:00:00,136.87,137.78,136.5,137.475,65867.0,2
16,2019-02-26 12:00:00,137.64,137.73,136.41,136.62,106415.0,2
17,2019-02-26 16:00:00,136.65,136.65,136.65,136.65,1400.0,2
18,2019-02-27 08:00:00,135.96,136.03,133.0,135.07,108754.0,2
19,2019-02-27 12:00:00,135.27,135.7,134.48,134.95,200979.0,2
20,2019-02-27 16:00:00,134.93,134.93,134.93,134.93,69437.0,2
21,2019-02-28 08:00:00,133.94,135.26,133.55,135.06,70062.0,2
22,2019-02-28 12:00:00,135.054,135.5659,133.78,134.11,105387.0,2
23,2019-02-28 16:00:00,134.11,134.11,134.11,134.11,12879.0,2
24,2019-03-01 08:00:00,134.11,136.47,134.11,134.775,62014.0,3
25,2019-03-01 12:00:00,134.82,136.58,134.71,136.18,103307.0,3
26,2019-03-01 16:00:00,136.18,136.18,136.18,136.18,1378.0,3
27,2019-03-04 08:00:00,137.2,137.77,134.93,135.0,66817.0,3
28,2019-03-04 12:00:00,134.92,136.95,134.81,136.45,86420.0,3
29,2019-03-04 16:00:00,136.5,136.66,136.5,136.66,44309.0,3
30,2019-03-05 08:00:00,136.74,137.63,135.58,137.63,63151.0,3
31,2019-03-05 12:00:00,137.56,138.18,136.98,137.13,126579.0,3
32,2019-03-05 16:00:00,137.1,137.1,137.1,137.1,19806.0,3
33,2019-03-06 08:00:00,137.25,137.25,134.47,134.97,57302.0,3
34,2019-03-06 12:00:00,134.79,135.78,134.52,134.94,73932.0,3
35,2019-03-06 16:00:00,134.93,134.93,134.93,134.93,2567.0,3
36,2019-03-07 08:00:00,134.32,135.115,132.19,134.55,65484.0,3
37,2019-03-07 12:00:00,134.28,134.53,133.59,134.09,106852.0,3
38,2019-03-07 16:00:00,134.1,134.1,134.1,134.1,20146.0,3
39,2019-03-08 08:00:00,132.22,134.24,132.175,133.7,39497.0,3
40,2019-03-08 12:00:00,133.56,134.51,133.24,134.31,58091.0,3
41,2019-03-08 16:00:00,134.3,135.0,134.3,135.0,1352.0,3
42,2019-03-11 09:00:00,134.67,137.65,127.67,137.22,69109.0,3
43,2019-03-11 13:00:00,137.26,138.16,137.24,137.5,78718.0,3
44,2019-03-12 09:00:00,137.73,138.43,135.81,138.38,75173.0,3
45,2019-03-12 13:00:00,138.385,138.65,137.485,137.69,69886.0,3
46,2019-03-13 09:00:00,138.67,139.95,137.13,139.9,90387.0,3
47,2019-03-13 13:00:00,139.97,140.37,138.59,138.69,141431.0,3
48,2019-03-14 09:00:00,138.48,139.295,137.65,138.49,56334.0,3
49,2019-03-14 13:00:00,138.62,138.65,137.6252,137.95,82616.0,3
50,2019-03-15 09:00:00,138.9,141.729,138.72,141.29,131108.0,3
51,2019-03-15 13:00:00,141.32,142.0,140.44,141.1,141305.0,3
52,2019-03-18 09:00:00,141.11,141.87,139.29,140.265,87454.0,3
53,2019-03-18 13:00:00,140.22,141.245,140.22,140.92,74017.0,3
54,2019-03-19 09:00:00,141.63,142.16,140.87,141.15,43933.0,3
55,2019-03-19 13:00:00,141.65,142.27,140.7,141.52,109792.0,3
56,2019-03-20 09:00:00,142.07,142.4,139.7238,140.41,40317.0,3
57,2019-03-20 13:00:00,140.41,142.45,140.41,140.53,75935.0,3
58,2019-03-21 09:00:00,140.13,144.77,140.11,144.47,100227.0,3
59,2019-03-21 13:00:00,144.34,145.69,144.33,145.01,87818.0,3
60,2019-03-22 09:00:00,143.87,144.0,140.59,141.2,114316.0,3
61,2019-03-22 13:00:00,141.17,141.215,139.61,139.67,90797.0,3
62,2019-03-25 09:00:00,140.83,140.83,136.51,138.55,75541.0,3
63,2019-03-25 13:00:00,138.5,139.25,137.59,138.62,80678.0,3
64,2019-03-26 09:00:00,140.42,141.23,138.85,139.2,68511.0,3
65,2019-03-26 13:00:00,139.2,140.35,138.84,140.26,71890.0,3
66,2019-03-27 09:00:00,139.61,141.08,134.16,135.19,189799.0,3
67,2019-03-27 13:00:00,134.7771,135.88,134.63,135.41,153645.0,3
68,2019-03-28 09:00:00,135.43,136.65,133.54,134.59,92816.0,3
69,2019-03-28 13:00:00,134.645,135.19,134.15,134.29,151669.0,3
70,2019-03-29 09:00:00,135.85,136.695,134.64,135.16,87285.0,3
71,2019-03-29 13:00:00,135.095,135.82,134.61,135.49,125189.0,3
72,2019-04-01 09:00:00,137.29,139.54,136.32,139.5,103524.0,4
73,2019-04-01 13:00:00,139.51,140.43,139.42,140.34,96200.0,4
74,2019-04-02 09:00:00,140.31,140.75,138.4,138.825,109552.0,4
75,2019-04-02 13:00:00,138.78,139.08,137.97,138.44,246964.0,4
76,2019-04-03 09:00:00,140.06,145.49,139.46,144.21,179764.0,4
77,2019-04-03 13:00:00,144.135,145.15,143.65,144.78,199328.0,4
78,2019-04-04 09:00:00,144.51,145.37,142.88,143.49,86857.0,4
79,2019-04-04 13:00:00,143.39,144.18,142.92,143.74,103194.0,4
80,2019-04-04 17:00:00,143.74,143.74,143.74,143.74,590.0,4
81,2019-04-05 09:00:00,144.48,145.8,144.14,144.7125,112219.0,4
82,2019-04-05 13:00:00,144.88,144.93,143.96,144.62,217579.0,4
83,2019-04-05 17:00:00,144.66,144.66,144.66,144.66,270.0,4
84,2019-04-08 09:00:00,144.39,144.4349,142.945,143.92,100706.0,4
85,2019-04-08 13:00:00,143.965,145.91,143.76,145.83,110267.0,4
86,2019-04-09 09:00:00,145.7,147.52,144.745,147.0,155866.0,4
87,2019-04-09 13:00:00,146.765,146.98,145.37,146.06,150515.0,4
88,2019-04-10 09:00:00,146.1,148.75,145.71,148.01,100918.0,4
89,2019-04-10 13:00:00,147.94,149.25,147.43,148.9,120602.0,4
90,2019-04-11 09:00:00,148.73,150.37,147.54,148.905,117449.0,4
91,2019-04-11 13:00:00,148.92,149.32,148.11,148.86,160030.0,4
92,2019-04-12 09:00:00,150.38,151.3019,149.87,151.06,72441.0,4
93,2019-04-12 13:00:00,151.1,152.364,151.1,152.24,154901.0,4
94,2019-04-15 09:00:00,152.14,153.54,150.26,150.85,77583.0,4
95,2019-04-15 13:00:00,150.85,152.02,150.85,151.57,94693.0,4
96,2019-04-16 09:00:00,152.02,155.54,151.8072,155.01,122481.0,4
97,2019-04-16 13:00:00,154.95,156.4,154.19,154.8,191610.0,4
98,2019-04-17 09:00:00,155.79,161.22,153.2,154.26,115169.0,4
99,2019-04-17 13:00:00,154.24,155.25,153.825,155.09,104539.0,4
100,2019-04-18 09:00:00,155.25,156.605,154.71,154.915,70945.0,4
101,2019-04-18 13:00:00,154.77,155.29,153.75,153.91,127829.0,4
102,2019-04-22 09:00:00,152.89,154.34,151.35,153.47,55910.0,4
103,2019-04-22 13:00:00,153.23,153.76,152.8,153.35,70650.0,4
104,2019-04-23 09:00:00,153.36,155.715,153.36,155.5,71395.0,4
105,2019-04-23 13:00:00,155.4522,155.71,154.5,154.7,89093.0,4
106,2019-04-24 09:00:00,155.15,157.9,155.02,156.96,99824.0,4
107,2019-04-24 13:00:00,156.91,158.52,156.67,157.53,80542.0,4
108,2019-04-24 17:00:00,156.58,156.58,156.58,156.58,100.0,4
109,2019-04-25 05:00:00,157.01,157.02,157.0,157.0,1000.0,4
110,2019-04-25 09:00:00,156.93,156.93,152.85,155.74,100717.0,4
111,2019-04-25 13:00:00,155.84,156.15,155.2,155.3,77104.0,4
112,2019-04-26 05:00:00,154.18,154.18,154.18,154.18,400.0,4
113,2019-04-26 09:00:00,154.46,154.71,150.41,153.71,261229.0,4
114,2019-04-26 13:00:00,153.67,155.24,152.79,154.98,91215.0,4
115,2019-04-29 05:00:00,154.0,154.0,154.0,154.0,600.0,4
116,2019-04-29 09:00:00,154.25,156.53,152.55,155.29,69288.0,4
117,2019-04-29 13:00:00,155.29,155.29,154.15,154.2,108318.0,4
118,2019-04-30 09:00:00,154.31,155.79,153.59,155.48,170099.0,4
119,2019-04-30 13:00:00,155.69,155.93,154.78,155.71,140735.0,4
120,2019-05-01 09:00:00,156.89,157.19,155.245,156.29,69119.0,5
121,2019-05-01 13:00:00,156.337,157.52,154.21,154.4,136089.0,5
122,2019-05-02 09:00:00,154.33,157.0,152.75,154.275,203139.0,5
123,2019-05-02 13:00:00,154.17,156.17,153.85,156.17,162300.0,5
124,2019-05-03 09:00:00,145.32,148.36,140.0,145.34,518772.0,5
125,2019-05-03 13:00:00,145.285,145.45,144.025,144.955,412765.0,5
126,2019-05-03 17:00:00,145.6,145.6,145.6,145.6,100.0,5
