,date,open,high,low,close,volume,month
0,2019-02-19,27.02,27.17,26.4,27.035,2504061.0,2
1,2019-02-19,27.04,27.06,26.755,26.95,3138761.0,2
2,2019-02-19,26.94,26.94,26.94,26.94,319800.0,2
3,2019-02-20,26.8,26.8,26.15,26.475,2122971.0,2
4,2019-02-20,26.47,26.53,26.25,26.3,2318086.0,2
5,2019-02-20,26.28,26.28,26.2,26.28,33719.0,2
6,2019-02-21,26.13,26.5,25.915,26.435,1677600.0,2
7,2019-02-21,26.435,26.515,26.32,26.43,2620414.0,2
8,2019-02-21,26.44,26.44,26.44,26.44,46983.0,2
9,2019-02-22,26.44,26.73,26.35,26.68,804497.0,2
10,2019-02-22,26.67,26.71,26.49,26.64,2676252.0,2
11,2019-02-22,26.64,26.64,26.64,26.64,36851.0,2
12,2019-02-25,26.59,26.65,26.34,26.36,963087.0,2
13,2019-02-25,26.37,26.47,26.28,26.45,1561962.0,2
14,2019-02-25,26.46,26.46,26.46,26.46,231315.0,2
15,2019-02-26,26.53,26.69,26.44,26.59,897868.0,2
16,2019-02-26,26.59,26.87,26.57,26.74,2016442.0,2
17,2019-02-26,26.74,26.74,26.74,26.74,37689.0,2
18,2019-02-27,26.62,27.06,26.59,26.97,1814484.0,2
19,2019-02-27,26.975,27.065,26.92,26.94,2078900.0,2
20,2019-02-27,26.94,26.94,26.94,26.94,19479.0,2
21,2019-02-28,27.0,27.23,26.87,27.155,888249.0,2
22,2019-02-28,27.155,27.21,26.95,26.98,1567151.0,2
23,2019-02-28,26.98,26.98,26.66,26.66,71441.0,2
24,2019-03-01,26.9,26.9654,26.5,26.61,722357.0,3
25,2019-03-01,26.61,26.945,26.52,26.91,1429633.0,3
26,2019-03-01,26.91,26.91,26.91,26.91,15315.0,3
27,2019-03-04,26.96,27.09,26.82,26.82,532702.0,3
28,2019-03-04,26.82,26.98,26.73,26.96,1514401.0,3
29,2019-03-04,26.96,26.96,26.96,26.96,123756.0,3
30,2019-03-05,26.96,27.03,26.9,26.945,536130.0,3
31,2019-03-05,26.95,27.005,26.83,26.91,1397020.0,3
32,2019-03-05,26.91,26.91,26.91,26.91,14611.0,3
33,2019-03-06,26.95,27.07,26.835,27.02,537318.0,3
34,2019-03-06,27.0246,27.16,26.96,27.08,1579298.0,3
35,2019-03-06,27.07,27.07,27.07,27.07,188399.0,3
36,2019-03-07,27.14,27.41,27.14,27.34,592096.0,3
37,2019-03-07,27.345,27.37,27.15,27.27,1305830.0,3
38,2019-03-07,27.26,27.26,27.26,27.26,120558.0,3
39,2019-03-08,27.26,27.42,27.08,27.27,715488.0,3
40,2019-03-08,27.27,27.44,27.16,27.42,1187686.0,3
41,2019-03-08,27.42,27.42,27.42,27.42,75177.0,3
42,2019-03-11,27.42,27.63,27.42,27.56,899063.0,3
43,2019-03-11,27.565,27.79,27.535,27.78,1517090.0,3
44,2019-03-12,27.81,28.04,27.76,27.99,727210.0,3
45,2019-03-12,28.0,28.06,27.92,27.9891,1130100.0,3
46,2019-03-13,27.7,27.95,27.7,27.95,200.0,3
47,2019-03-13,28.01,28.125,27.95,27.955,648875.0,3
48,2019-03-13,27.95,28.08,27.95,27.98,847518.0,3
49,2019-03-13,27.98,27.98,27.98,27.98,11939.0,3
50,2019-03-14,27.96,28.075,27.86,27.94,508062.0,3
51,2019-03-14,27.94,27.96,27.83,27.87,1439511.0,3
52,2019-03-15,27.78,27.975,27.75,27.95,1317887.0,3
53,2019-03-15,27.955,27.98,27.85,27.8741,1855905.0,3
54,2019-03-18,28.0,28.0,28.0,28.0,300.0,3
55,2019-03-18,27.93,28.095,27.91,28.035,644997.0,3
56,2019-03-18,28.035,28.08,27.92,28.05,943321.0,3
57,2019-03-19,28.05,28.15,27.75,27.8,493706.0,3
58,2019-03-19,27.81,27.88,27.73,27.8,1084448.0,3
59,2019-03-20,27.87,27.87,27.69,27.81,609550.0,3
60,2019-03-20,27.81,28.09,27.765,27.95,1055589.0,3
61,2019-03-21,27.93,28.38,27.84,28.3249,806391.0,3
62,2019-03-21,28.33,28.42,28.31,28.41,1412518.0,3
63,2019-03-21,28.41,28.41,28.41,28.41,7430.0,3
64,2019-03-22,28.47,28.8,28.32,28.635,1191414.0,3
65,2019-03-22,28.645,28.785,28.58,28.61,1111513.0,3
66,2019-03-25,28.59,28.75,28.51,28.75,744387.0,3
67,2019-03-25,28.745,28.76,28.61,28.64,796308.0,3
68,2019-03-26,28.68,28.81,28.52,28.67,735558.0,3
69,2019-03-26,28.67,28.82,28.65,28.82,788794.0,3
70,2019-03-27,28.82,28.85,28.41,28.6,798842.0,3
71,2019-03-27,28.6,28.77,28.58,28.68,751813.0,3
72,2019-03-28,28.68,28.81,28.3748,28.45,1250437.0,3
73,2019-03-28,28.45,28.57,28.44,28.54,1655294.0,3
74,2019-03-29,28.13,28.13,28.13,28.13,1000.0,3
75,2019-03-29,28.54,28.78,28.44,28.63,1338360.0,3
76,2019-03-29,28.63,28.68,28.53,28.66,1626841.0,3
77,2019-04-01,28.32,28.67,28.19,28.335,786324.0,4
78,2019-04-01,28.33,28.38,28.13,28.18,1763493.0,4
79,2019-04-02,28.32,28.36,28.14,28.155,990932.0,4
80,2019-04-02,28.155,28.28,28.06,28.22,952527.0,4
81,2019-04-03,28.14,28.24,27.905,28.205,513010.0,4
82,2019-04-03,28.2,28.23,28.05,28.07,1191839.0,4
83,2019-04-04,28.18,28.19,27.78,27.86,717627.0,4
84,2019-04-04,27.865,27.97,27.845,27.91,793788.0,4
85,2019-04-05,27.95,28.06,27.89,28.05,803809.0,4
86,2019-04-05,28.05,28.28,28.05,28.26,1105876.0,4
87,2019-04-08,27.72,27.72,27.72,27.72,220.0,4
88,2019-04-08,28.29,28.37,28.03,28.145,880367.0,4
89,2019-04-08,28.145,28.145,27.96,28.01,1539962.0,4
90,2019-04-09,28.04,28.155,27.975,28.0,633432.0,4
91,2019-04-09,28.0,28.01,27.93,27.96,963193.0,4
92,2019-04-10,28.06,28.19,27.775,27.785,1006452.0,4
93,2019-04-10,27.785,27.875,27.78,27.87,924151.0,4
94,2019-04-11,27.87,27.87,27.87,27.87,315.0,4
95,2019-04-11,27.89,27.99,27.805,27.86,782016.0,4
96,2019-04-11,27.86,28.06,27.84,28.04,901253.0,4
97,2019-04-12,28.07,28.07,27.84,27.91,928109.0,4
98,2019-04-12,27.92,28.08,27.8625,28.07,963829.0,4
99,2019-04-15,28.14,28.21,28.01,28.11,382562.0,4
100,2019-04-15,28.1116,28.15,27.93,27.98,1365116.0,4
101,2019-04-16,27.95,28.05,27.74,27.77,654584.0,4
102,2019-04-16,27.78,27.8,27.505,27.6,1681923.0,4
103,2019-04-17,27.65,27.725,27.45,27.615,700377.0,4
104,2019-04-17,27.61,27.67,27.55,27.59,1024502.0,4
105,2019-04-18,27.6,27.76,27.55,27.73,764419.0,4
106,2019-04-18,27.73,27.73,27.55,27.56,867620.0,4
107,2019-04-22,27.35,27.37,27.34,27.37,1900.0,4
108,2019-04-22,27.38,27.47,27.11,27.285,934528.0,4
109,2019-04-22,27.28,27.37,27.24,27.31,1010913.0,4
110,2019-04-23,27.37,27.47,27.08,27.115,1317905.0,4
111,2019-04-23,27.12,27.32,27.11,27.3,1691620.0,4
112,2019-04-24,27.34,27.575,27.27,27.41,890667.0,4
113,2019-04-24,27.41,27.61,27.35,27.51,1102021.0,4
114,2019-04-24,27.51,27.51,27.51,27.51,1038.0,4
115,2019-04-25,27.38,27.815,27.29,27.685,867215.0,4
116,2019-04-25,27.69,27.87,27.66,27.84,1616017.0,4
117,2019-04-26,27.96,28.1,27.84,27.935,697388.0,4
118,2019-04-26,27.93,27.965,27.8,27.88,1013918.0,4
119,2019-04-29,27.58,27.605,27.33,27.465,665942.0,4
120,2019-04-29,27.465,27.52,27.41,27.46,1384327.0,4
121,2019-04-30,27.51,27.78,27.41,27.75,1832721.0,4
122,2019-04-30,27.745,27.87,27.66,27.78,5203567.0,4
123,2019-05-01,27.42,27.766,27.16,27.415,2440447.0,5
124,2019-05-01,27.42,27.71,27.3,27.4,2384706.0,5
125,2019-05-02,27.45,27.76,27.4,27.725,2154820.0,5
