,date,open,high,low,close,volume,month
0,2019-02-19,42.42,42.585,42.225,42.45,2341729.0,2
1,2019-02-20,42.38,42.595,41.99,42.06,2927062.0,2
2,2019-02-21,41.91,42.48,41.625,42.46,3722170.0,2
3,2019-02-22,42.65,42.845,42.11,42.22,2192185.0,2
4,2019-02-25,42.36,42.51,41.625,41.84,2742671.0,2
5,2019-02-26,41.86,41.95,41.0199,41.37,3333740.0,2
6,2019-02-27,41.17,41.33,40.66,41.02,4805802.0,2
7,2019-02-28,42.5,42.55,40.2,41.68,5384615.0,2
8,2019-03-01,41.75,42.32,41.52,42.2,4953930.0,3
9,2019-03-04,42.35,42.8,40.55,41.71,5895864.0,3
10,2019-03-05,41.68,41.94,41.27,41.74,4990066.0,3
11,2019-03-06,41.78,41.975,41.34,41.38,3635744.0,3
12,2019-03-07,41.41,41.94,41.11,41.24,4228398.0,3
13,2019-03-08,41.18,41.49,40.76,41.46,3673064.0,3
14,2019-03-11,41.58,41.81,40.94,41.79,3198913.0,3
15,2019-03-12,41.88,43.13,41.64,42.94,6952880.0,3
16,2019-03-13,42.93,43.4811,42.66,43.06,5465995.0,3
17,2019-03-14,43.01,43.03,41.83,41.86,5957119.0,3
18,2019-03-15,41.93,42.19,41.37,41.97,6119762.0,3
19,2019-03-18,41.9,42.3,41.72,41.88,4431521.0,3
20,2019-03-19,41.94,42.265,41.8,41.93,4339636.0,3
21,2019-03-20,42.03,42.67,41.79,42.51,3014908.0,3
22,2019-03-21,42.6,43.5,42.38,43.37,2961861.0,3
23,2019-03-22,43.41,43.66,42.485,42.49,3263730.0,3
24,2019-03-25,42.45,43.42,42.25,43.13,3354967.0,3
25,2019-03-26,43.32,43.56,43.06,43.36,2525830.0,3
26,2019-03-27,43.2,43.33,42.63,42.82,2111119.0,3
27,2019-03-28,42.83,42.99,42.405,42.76,3314816.0,3
28,2019-03-29,42.8,42.9416,42.48,42.48,3659027.0,3
29,2019-04-01,42.67,42.92,41.61,41.78,3437154.0,4
30,2019-04-02,41.92,42.555,41.825,42.36,3051102.0,4
31,2019-04-03,42.35,43.015,42.18,42.34,2537089.0,4
32,2019-04-04,42.56,42.56,42.06,42.24,2195782.0,4
33,2019-04-05,42.33,42.46,41.68,42.07,2432428.0,4
34,2019-04-08,42.0,42.09,41.54,41.95,2143083.0,4
35,2019-04-09,41.8,42.185,41.8,42.16,2458872.0,4
36,2019-04-10,42.29,42.8,42.17,42.26,2410850.0,4
37,2019-04-11,42.23,42.45,42.05,42.41,2309811.0,4
38,2019-04-12,42.48,42.535,42.21,42.27,1960388.0,4
39,2019-04-15,42.36,42.56,42.14,42.29,1863886.0,4
40,2019-04-16,42.24,42.445,41.99,42.03,2100638.0,4
41,2019-04-17,42.0,42.09,40.79,41.18,6153432.0,4
42,2019-04-18,41.28,41.47,40.835,41.0,3021608.0,4
43,2019-04-22,41.02,41.06,40.58,40.89,2346037.0,4
44,2019-04-23,41.05,41.53,40.89,41.34,3154963.0,4
45,2019-04-24,41.4,41.61,41.12,41.35,1756654.0,4
46,2019-04-25,41.13,41.34,40.8,40.89,2306326.0,4
47,2019-04-26,41.07,41.35,40.85,40.92,1475914.0,4
48,2019-04-29,40.9,41.1,40.59,40.88,1869132.0,4
49,2019-04-30,40.81,41.18,40.545,41.17,2891013.0,4
50,2019-05-01,41.0,41.17,40.49,40.55,2646951.0,5
51,2019-05-02,40.33,41.0,39.51,39.57,3789969.0,5
52,2019-05-03,39.49,40.0,38.86,39.44,3541571.0,5
53,2019-05-06,39.34,39.54,37.84,38.35,4051297.0,5
54,2019-05-07,38.16,38.885,38.09,38.65,4499232.0,5
55,2019-05-08,38.52,38.54,36.19,36.96,8454604.0,5
56,2019-05-09,36.95,37.22,36.24,36.68,5630140.0,5
57,2019-05-10,36.65,37.395,36.2,37.31,4107990.0,5
58,2019-05-13,37.05,37.36,36.6202,36.81,3380672.0,5
59,2019-05-14,36.97,37.06,36.065,36.24,4120450.0,5
60,2019-05-15,36.05,36.25,35.59,35.99,3575336.0,5
61,2019-05-16,36.05,36.3,35.6015,35.8,3048693.0,5
62,2019-05-17,35.5,35.87,35.43,35.58,2690023.0,5
63,2019-05-20,35.38,35.965,35.13,35.91,5142805.0,5
64,2019-05-21,35.92,36.955,35.82,36.7,4515709.0,5
65,2019-05-22,36.52,36.8,36.33,36.5,3300429.0,5
66,2019-05-23,36.21,36.29,35.44,35.53,4361732.0,5
67,2019-05-24,35.61,36.05,35.46,35.53,2618669.0,5
68,2019-05-28,35.5,35.71,34.82,35.02,5998822.0,5
69,2019-05-29,35.02,35.1,34.24,34.28,3490603.0,5
70,2019-05-30,34.33,34.49,33.69,33.74,3092499.0,5
71,2019-05-31,33.59,34.34,33.43,34.04,4531066.0,5
72,2019-06-03,34.15,34.55,33.94,34.28,3674483.0,6
73,2019-06-04,34.47,34.94,34.03,34.88,6226279.0,6
74,2019-06-05,35.12,35.21,34.59,35.15,4168965.0,6
75,2019-06-06,35.32,35.45,34.76,35.28,3340746.0,6
76,2019-06-07,35.29,35.55,34.64,34.73,3156475.0,6
77,2019-06-10,34.68,34.9,34.02,34.2,3058024.0,6
78,2019-06-11,34.19,34.78,34.145,34.55,3441652.0,6
79,2019-06-12,34.49,35.1096,34.36,34.5,2623065.0,6
80,2019-06-13,34.57,34.94,34.16,34.42,2827479.0,6
81,2019-06-14,34.44,34.88,34.22,34.78,2717537.0,6
82,2019-06-17,34.79,34.87,34.34,34.44,3077995.0,6
83,2019-06-18,34.64,35.02,34.27,34.65,3387116.0,6
