,date,open,high,low,close,volume,month
0,2019-02-19 08:00:00,75.55,75.67,75.21,75.59,606300.0,2
1,2019-02-19 12:00:00,75.5941,75.6,75.1,75.13,860610.0,2
2,2019-02-19 16:00:00,75.13,75.13,75.13,75.13,31754.0,2
3,2019-02-20 08:00:00,74.89,75.09,74.78,74.91,427617.0,2
4,2019-02-20 12:00:00,74.91,75.33,74.5974,75.33,824785.0,2
5,2019-02-20 16:00:00,75.32,75.32,75.32,75.32,17820.0,2
6,2019-02-21 08:00:00,74.76,75.52,74.76,75.49,639863.0,2
7,2019-02-21 12:00:00,75.4831,75.595,75.06,75.35,754148.0,2
8,2019-02-21 16:00:00,75.35,75.35,75.35,75.35,26542.0,2
9,2019-02-22 08:00:00,75.59,76.07,75.28,75.95,514606.0,2
10,2019-02-22 12:00:00,75.94,76.0,75.68,75.87,966007.0,2
11,2019-02-22 16:00:00,75.89,75.89,75.89,75.89,78394.0,2
12,2019-02-25 08:00:00,76.19,76.4946,75.84,76.04,447520.0,2
13,2019-02-25 12:00:00,76.03,76.05,75.62,75.835,739821.0,2
14,2019-02-25 16:00:00,75.84,75.84,75.84,75.84,154710.0,2
15,2019-02-26 08:00:00,75.77,76.23,75.61,75.99,352895.0,2
16,2019-02-26 12:00:00,75.9905,76.31,75.88,76.07,634188.0,2
17,2019-02-26 16:00:00,76.08,76.08,76.08,76.08,14862.0,2
18,2019-02-27 08:00:00,75.8,75.99,75.59,75.92,383719.0,2
19,2019-02-27 12:00:00,75.925,76.55,75.9158,76.54,627881.0,2
20,2019-02-27 16:00:00,76.52,76.52,76.52,76.52,25145.0,2
21,2019-02-28 08:00:00,76.31,76.93,76.3,76.85,411921.0,2
22,2019-02-28 12:00:00,76.85,77.05,76.7538,77.04,902583.0,2
23,2019-02-28 16:00:00,77.02,77.14,77.02,77.14,132127.0,2
24,2019-03-01 08:00:00,77.36,77.5,77.04,77.1,800004.0,3
25,2019-03-01 12:00:00,77.11,77.57,77.0539,77.42,813522.0,3
26,2019-03-01 16:00:00,77.43,77.49,77.43,77.49,11376.0,3
27,2019-03-04 04:00:00,78.2,78.2,78.2,78.2,246.0,3
28,2019-03-04 08:00:00,77.72,78.0,75.97,76.02,925978.0,3
29,2019-03-04 12:00:00,76.02,76.52,75.67,76.51,1192828.0,3
30,2019-03-04 16:00:00,76.5,76.5,76.5,76.5,9457.0,3
31,2019-03-05 08:00:00,76.63,76.87,76.45,76.74,702723.0,3
32,2019-03-05 12:00:00,76.74,77.25,76.73,77.0,729248.0,3
33,2019-03-05 16:00:00,77.01,77.01,76.9,76.9,21682.0,3
34,2019-03-06 08:00:00,77.04,77.21,76.73,76.89,569782.0,3
35,2019-03-06 12:00:00,76.87,77.0,76.58,76.83,580086.0,3
36,2019-03-06 16:00:00,76.82,76.82,76.82,76.82,55116.0,3
37,2019-03-07 08:00:00,76.71,76.92,76.42,76.75,542314.0,3
38,2019-03-07 12:00:00,76.75,76.925,76.02,76.2,1494909.0,3
39,2019-03-07 16:00:00,76.2,76.2,76.2,76.2,112285.0,3
40,2019-03-08 08:00:00,76.2,76.2,75.1,75.92,571816.0,3
41,2019-03-08 12:00:00,75.9173,76.395,75.615,76.34,718801.0,3
42,2019-03-08 16:00:00,76.34,76.34,76.34,76.34,119247.0,3
43,2019-03-11 05:00:00,76.55,76.55,76.55,76.55,685.0,3
44,2019-03-11 09:00:00,76.46,77.0,76.46,76.96,577214.0,3
45,2019-03-11 13:00:00,76.95,77.58,76.93,77.5,852710.0,3
46,2019-03-12 09:00:00,77.74,78.3,77.57,78.1,592724.0,3
47,2019-03-12 13:00:00,78.105,78.36,77.64,77.74,1082104.0,3
48,2019-03-13 09:00:00,78.07,78.87,77.94,78.53,536915.0,3
49,2019-03-13 13:00:00,78.54,78.7,78.16,78.27,967420.0,3
50,2019-03-13 17:00:00,78.27,78.27,78.27,78.27,264.0,3
51,2019-03-14 09:00:00,78.48,78.8,78.128,78.6901,508291.0,3
52,2019-03-14 13:00:00,78.695,79.0,78.58,78.99,777985.0,3
53,2019-03-15 05:00:00,79.0,79.0,79.0,79.0,100.0,3
54,2019-03-15 09:00:00,79.01,79.54,78.841,79.4601,922907.0,3
55,2019-03-15 13:00:00,79.46,79.53,79.015,79.23,882118.0,3
56,2019-03-18 09:00:00,79.25,79.56,78.66,78.79,454053.0,3
57,2019-03-18 13:00:00,78.79,79.43,78.77,79.32,634047.0,3
58,2019-03-18 17:00:00,80.0,80.0,80.0,80.0,100.0,3
59,2019-03-19 05:00:00,80.0,80.0,80.0,80.0,100.0,3
60,2019-03-19 09:00:00,79.66,79.67,78.97,79.16,626603.0,3
