,date,open,high,low,close,volume,month
0,2019-02-19,95.44,96.26,95.39,96.08,145317.0,2
1,2019-02-19,96.09,96.37,95.8,95.89,282533.0,2
2,2019-02-19,95.92,96.3753,95.85,96.34,159982.0,2
3,2019-02-19,96.33,96.5,96.1,96.44,159134.0,2
4,2019-02-19,96.44,96.61,96.24,96.61,176547.0,2
5,2019-02-19,96.6,96.82,96.4881,96.74,230203.0,2
6,2019-02-19,96.73,96.96,96.71,96.74,680300.0,2
7,2019-02-19,96.75,96.75,96.75,96.75,27296.0,2
8,2019-02-20,96.75,97.115,96.09,96.32,195185.0,2
9,2019-02-20,96.3,97.52,96.07,97.51,455308.0,2
10,2019-02-20,97.52,97.79,97.275,97.69,364545.0,2
11,2019-02-20,97.68,97.68,97.33,97.61,313533.0,2
12,2019-02-20,97.59,98.13,97.58,97.91,300263.0,2
13,2019-02-20,97.91,98.01,97.32,97.65,293153.0,2
14,2019-02-20,97.65,97.88,97.34,97.47,791033.0,2
15,2019-02-20,97.665,97.665,97.45,97.45,390465.0,2
16,2019-02-20,97.11,97.11,97.11,97.11,300.0,2
17,2019-02-21,97.28,98.27,97.28,98.21,227918.0,2
18,2019-02-21,98.2,98.27,97.49,97.77,267501.0,2
19,2019-02-21,97.77,98.14,97.14,97.14,195044.0,2
20,2019-02-21,97.11,97.17,96.6201,96.73,138435.0,2
21,2019-02-21,96.74,96.93,96.6,96.87,172845.0,2
22,2019-02-21,96.86,96.9,96.405,96.48,179384.0,2
23,2019-02-21,96.48,96.87,96.4,96.82,493168.0,2
24,2019-02-21,96.81,96.81,96.81,96.81,57954.0,2
25,2019-02-22,97.32,98.1,97.24,97.88,108408.0,2
26,2019-02-22,97.91,97.92,97.0,97.48,284764.0,2
27,2019-02-22,97.5,97.93,97.42,97.55,374766.0,2
28,2019-02-22,97.54,98.04,97.4,97.93,164827.0,2
29,2019-02-22,97.91,97.96,97.67,97.75,113064.0,2
30,2019-02-22,97.75,97.885,97.24,97.24,171888.0,2
31,2019-02-22,97.26,97.45,97.08,97.34,470660.0,2
32,2019-02-22,97.36,97.55,97.36,97.36,41425.0,2
33,2019-02-25,97.1,97.1,97.1,97.1,300.0,2
34,2019-02-25,97.1,97.1,97.1,97.1,275.0,2
35,2019-02-25,97.36,97.69,97.01,97.41,148806.0,2
36,2019-02-25,97.42,97.6924,97.09,97.6,201110.0,2
37,2019-02-25,97.56,97.7,97.24,97.48,140222.0,2
38,2019-02-25,97.47,97.68,97.17,97.28,147683.0,2
39,2019-02-25,97.26,97.3434,97.0586,97.28,137817.0,2
40,2019-02-25,97.3,97.53,97.21,97.41,137395.0,2
41,2019-02-25,97.42,97.52,97.14,97.28,370346.0,2
42,2019-02-25,97.29,97.29,97.29,97.29,22488.0,2
43,2019-02-26,97.33,97.885,97.2,97.2518,154835.0,2
44,2019-02-26,97.26,97.86,97.18,97.6977,245885.0,2
45,2019-02-26,97.68,98.2,97.58,98.16,257862.0,2
46,2019-02-26,98.16,98.18,97.75,97.805,209652.0,2
47,2019-02-26,97.83,97.955,97.79,97.87,192035.0,2
48,2019-02-26,97.87,98.07,97.82,98.07,217291.0,2
49,2019-02-26,98.07,98.29,97.77,97.84,578379.0,2
50,2019-02-26,97.84,97.84,97.84,97.84,132227.0,2
51,2019-02-27,98.1,98.2,97.685,98.04,139817.0,2
52,2019-02-27,98.04,98.46,97.33,98.4329,257531.0,2
53,2019-02-27,98.44,98.84,98.17,98.48,267949.0,2
54,2019-02-27,98.44,98.49,98.07,98.19,154339.0,2
55,2019-02-27,98.16,98.46,98.07,98.33,130362.0,2
56,2019-02-27,98.33,98.5,98.08,98.143,211415.0,2
57,2019-02-27,98.17,98.19,97.52,97.65,486764.0,2
58,2019-02-27,97.64,97.64,97.64,97.64,34237.0,2
59,2019-02-27,97.99,97.99,97.99,97.99,1550.0,2
