,date,open,high,low,close,volume
0,2019-02-19 00:00:00,67.65,67.65,66.8,67.01,3169813.0
1,2019-02-20 00:00:00,67.1,67.53,66.73,67.35,2774640.0
2,2019-02-21 00:00:00,67.41,67.49,66.67,67.24,1975851.0
3,2019-02-22 00:00:00,66.68,67.39,66.5,67.33,1942115.0
4,2019-02-25 00:00:00,67.7,67.85,67.01,67.26,2995242.0
5,2019-02-26 00:00:00,67.33,67.57,66.79,67.41,2625512.0
6,2019-02-27 00:00:00,67.05,67.35,66.79,67.11,2105476.0
7,2019-02-28 00:00:00,67.36,67.89,67.22,67.55,2546416.0
8,2019-03-01 00:00:00,67.77,67.86,67.15,67.58,2061648.0
9,2019-03-04 00:00:00,67.6,67.74,66.57,67.11,3198207.0
10,2019-03-05 00:00:00,67.0,67.12,66.3,66.58,2295664.0
11,2019-03-06 00:00:00,66.62,66.62,65.77,66.28,1928770.0
12,2019-03-07 00:00:00,66.03,66.42,65.59,65.87,1686834.0
13,2019-03-08 00:00:00,65.73,65.91,65.24,65.78,2190738.0
14,2019-03-11 00:00:00,65.87,66.49,65.68,66.46,1955522.0
15,2019-03-12 00:00:00,66.49,66.49,66.1,66.18,2800664.0
16,2019-03-13 00:00:00,66.29,66.7,66.14,66.45,2084023.0
17,2019-03-14 00:00:00,66.63,66.64,66.035,66.12,2254051.0
18,2019-03-15 00:00:00,65.99,66.65,65.82,66.27,7788836.0
19,2019-03-18 00:00:00,66.2,66.53,66.12,66.46,2387684.0
20,2019-03-19 00:00:00,66.7,66.787,65.995,66.18,2731022.0
21,2019-03-20 00:00:00,66.15,66.3,65.37,65.41,1878619.0
22,2019-03-21 00:00:00,65.34,66.12,65.29,65.91,1948093.0
23,2019-03-22 00:00:00,66.09,66.55,65.55,65.56,1668811.0
24,2019-03-25 00:00:00,65.39,66.31,65.39,66.2,3695747.0
25,2019-03-26 00:00:00,66.4,66.58,65.95,66.28,2638100.0
26,2019-03-27 00:00:00,66.2,66.395,65.37,65.64,2266781.0
27,2019-03-28 00:00:00,65.88,66.39,65.55,66.26,1737158.0
28,2019-03-29 00:00:00,66.3,66.81,66.06,66.76,2309553.0
29,2019-04-01 00:00:00,67.15,67.15,66.54,66.78,1774166.0
30,2019-04-02 00:00:00,66.84,66.94,66.28,66.33,1859978.0
31,2019-04-03 00:00:00,66.62,66.79,66.16,66.47,1846022.0
32,2019-04-04 00:00:00,66.23,66.945,65.97,66.86,2490846.0
33,2019-04-05 00:00:00,66.95,67.245,66.74,67.14,1781781.0
34,2019-04-08 00:00:00,67.14,67.44,66.95,67.24,3677308.0
35,2019-04-09 00:00:00,67.09,67.35,66.84,66.96,1366976.0
36,2019-04-10 00:00:00,66.88,67.54,66.83,67.42,1533744.0
37,2019-04-11 00:00:00,67.6,68.21,67.5106,68.12,1963636.0
38,2019-04-12 00:00:00,68.18,69.01,67.93,69.01,2615832.0
39,2019-04-15 00:00:00,69.09,69.91,69.09,69.63,3194596.0
40,2019-04-16 00:00:00,69.73,70.19,69.58,70.1,2143021.0
41,2019-04-17 00:00:00,70.39,70.89,70.305,70.64,2547980.0
42,2019-04-18 00:00:00,70.7,72.0,70.6,70.99,2410573.0
43,2019-04-22 00:00:00,70.84,71.03,70.3201,70.58,2023547.0
44,2019-04-23 00:00:00,70.65,70.74,70.19,70.4,2020084.0
45,2019-04-24 00:00:00,70.51,70.72,69.98,70.07,2589107.0
46,2019-04-25 00:00:00,69.83,69.95,69.19,69.37,1473158.0
47,2019-04-26 00:00:00,69.59,69.83,68.92,69.1,1715149.0
48,2019-04-29 00:00:00,69.18,69.83,69.0052,69.72,2195049.0
49,2019-04-30 00:00:00,69.79,70.52,69.56,70.37,2444180.0
50,2019-05-01 00:00:00,70.65,70.93,69.97,69.97,2263705.0
51,2019-05-02 00:00:00,70.1,70.97,70.02,70.83,2516735.0
52,2019-05-03 00:00:00,70.91,71.17,70.39,70.52,3076783.0
53,2019-05-06 00:00:00,71.0,72.99,70.93,72.95,4150034.0
54,2019-05-07 00:00:00,72.83,73.38,72.4941,72.9,2411321.0
55,2019-05-08 00:00:00,72.66,73.39,72.42,72.98,2560029.0
56,2019-05-09 00:00:00,72.67,73.74,72.67,73.55,2492931.0
57,2019-05-10 00:00:00,73.57,74.09,72.75,73.99,1905416.0
58,2019-05-13 00:00:00,73.22,73.73,72.7068,73.37,2160498.0
59,2019-05-14 00:00:00,73.34,73.935,73.26,73.63,2068427.0
60,2019-05-15 00:00:00,73.34,74.14,73.09,73.9,1594484.0
61,2019-05-16 00:00:00,74.13,74.97,73.74,74.64,2923993.0
62,2019-05-17 00:00:00,74.28,75.26,74.18,74.93,2493757.0
63,2019-05-20 00:00:00,74.91,75.665,74.8,74.96,2042119.0
64,2019-05-21 00:00:00,75.44,75.65,75.04,75.49,1595360.0
65,2019-05-22 00:00:00,75.41,75.75,75.18,75.41,1525999.0
66,2019-05-23 00:00:00,75.22,75.35,74.375,74.68,1684218.0
