,date,open,high,low,close,volume,month
0,2019-02-19,251.67,252.19,251.4,251.98,175747.0,2
1,2019-02-19,252.14,252.21,251.34,251.73,83776.0,2
2,2019-02-19,251.83,252.16,251.15,252.08,62646.0,2
3,2019-02-19,252.0804,252.09,251.68,251.74,57160.0,2
4,2019-02-19,251.73,251.88,251.57,251.75,55771.0,2
5,2019-02-19,251.77,251.94,251.48,251.67,87364.0,2
6,2019-02-19,251.67,251.8176,250.6901,250.83,198586.0,2
7,2019-02-19,250.83,250.86,250.83,250.86,196555.0,2
8,2019-02-20,250.95,251.66,250.37,250.52,91216.0,2
9,2019-02-20,250.4,251.31,250.17,251.15,86591.0,2
10,2019-02-20,251.13,251.14,250.57,250.92,80766.0,2
11,2019-02-20,250.99,251.19,249.82,250.15,81887.0,2
12,2019-02-20,250.12,251.41,250.12,251.41,62821.0,2
13,2019-02-20,251.385,252.26,250.8,252.0864,139245.0,2
14,2019-02-20,252.14,252.61,251.83,252.25,261752.0,2
15,2019-02-20,252.22,252.22,252.22,252.22,80331.0,2
16,2019-02-21,250.87,251.52,249.7,251.0,86644.0,2
17,2019-02-21,251.13,251.13,249.99,250.93,119433.0,2
18,2019-02-21,250.93,251.34,250.46,251.13,79911.0,2
19,2019-02-21,251.14,251.37,250.85,251.37,52475.0,2
20,2019-02-21,251.4,251.5721,251.06,251.48,60235.0,2
21,2019-02-21,251.47,251.49,250.2549,250.4339,68078.0,2
22,2019-02-21,250.41,251.46,250.2,251.45,204919.0,2
23,2019-02-21,251.45,251.45,251.45,251.45,36751.0,2
24,2019-02-22,251.45,252.37,251.165,251.92,79369.0,2
25,2019-02-22,251.93,252.2144,251.28,252.05,93471.0,2
26,2019-02-22,252.0,252.3,251.71,252.15,101748.0,2
27,2019-02-22,252.08,252.25,251.83,251.88,57908.0,2
28,2019-02-22,251.81,252.23,251.53,251.98,52759.0,2
29,2019-02-22,251.96,252.16,251.4796,251.6,99462.0,2
30,2019-02-22,251.55,252.32,251.55,252.09,329456.0,2
31,2019-02-22,252.1,252.1,252.1,252.1,193215.0,2
32,2019-02-25,252.52,253.8,252.51,253.1,179904.0,2
33,2019-02-25,252.93,255.05,252.905,254.835,154214.0,2
34,2019-02-25,254.77,255.73,254.51,254.76,100651.0,2
35,2019-02-25,254.86,255.24,253.84,253.99,78540.0,2
36,2019-02-25,253.995,254.4,253.83,254.01,54038.0,2
37,2019-02-25,253.98,254.19,253.555,253.61,65692.0,2
38,2019-02-25,253.61,254.29,253.31,253.88,273834.0,2
39,2019-02-25,253.84,253.84,253.84,253.84,11141.0,2
40,2019-02-26,253.73,254.75,252.9,253.66,95362.0,2
41,2019-02-26,253.66,253.99,253.0,253.04,106361.0,2
42,2019-02-26,253.01,254.05,252.83,253.65,83757.0,2
43,2019-02-26,253.65,254.38,253.15,254.3199,100288.0,2
44,2019-02-26,254.235,254.49,253.735,253.97,129991.0,2
45,2019-02-26,254.02,254.87,253.84,254.42,154599.0,2
46,2019-02-26,254.4,255.19,253.94,253.98,351610.0,2
47,2019-02-26,253.99,253.99,253.99,253.99,59232.0,2
48,2019-02-27,253.21,255.91,253.06,255.08,76173.0,2
49,2019-02-27,255.2,256.501,255.09,256.35,208717.0,2
50,2019-02-27,256.335,257.62,256.24,257.15,132034.0,2
51,2019-02-27,257.17,258.07,257.005,257.755,118338.0,2
52,2019-02-27,257.78,259.19,257.745,258.57,158432.0,2
53,2019-02-27,258.54,259.41,258.4,258.805,161086.0,2
54,2019-02-27,258.81,259.58,258.27,259.12,369923.0,2
55,2019-02-27,259.14,259.19,259.14,259.19,217536.0,2
56,2019-02-28,257.85,258.99,256.59,258.8,134587.0,2
57,2019-02-28,258.74,259.18,257.92,258.52,195749.0,2
58,2019-02-28,258.62,259.5387,257.52,259.45,147427.0,2
59,2019-02-28,259.48,259.765,259.199,259.66,128327.0,2
60,2019-02-28,259.7,260.07,259.42,260.0032,173142.0,2
61,2019-02-28,259.995,260.11,259.5945,259.795,307274.0,2
62,2019-02-28,259.795,259.94,259.31,259.54,596662.0,2
63,2019-02-28,259.57,259.57,259.57,259.57,58778.0,2
64,2019-02-28,259.57,259.57,259.57,259.57,100.0,2
65,2019-03-01,261.0,262.3,259.69,261.75,101726.0,3
66,2019-03-01,261.71,262.27,260.9,262.019,174296.0,3
67,2019-03-01,262.0,262.31,261.36,262.15,136409.0,3
68,2019-03-01,262.24,263.32,262.18,263.08,124530.0,3
69,2019-03-01,263.06,263.57,263.0,263.47,101747.0,3
70,2019-03-01,263.47,264.45,263.43,264.25,157171.0,3
71,2019-03-01,264.25,264.29,263.55,264.04,385407.0,3
72,2019-03-01,264.06,264.06,264.06,264.06,4903.0,3
