,date,open,high,low,close,volume,month
0,2019-02-19 00:00:00,175.12,175.93,174.89,175.68,559022.0,2
1,2019-02-20 00:00:00,175.98,176.735,174.35,176.01,613378.0,2
2,2019-02-21 00:00:00,176.03,176.62,174.41,176.0,539413.0,2
3,2019-02-22 00:00:00,176.76,178.92,175.69,178.79,509914.0,2
4,2019-02-25 00:00:00,179.81,180.21,177.89,178.08,788290.0,2
5,2019-02-26 00:00:00,177.88,178.67,177.27,178.28,437198.0,2
6,2019-02-27 00:00:00,177.47,179.22,176.72,177.9,355344.0,2
7,2019-02-28 00:00:00,177.76,178.95,177.11,178.04,671810.0,2
8,2019-03-01 00:00:00,178.9,180.7925,178.09,180.5,499581.0,3
9,2019-03-04 00:00:00,181.08,181.7399,175.15,176.82,506624.0,3
10,2019-03-05 00:00:00,176.98,178.19,175.63,177.79,541528.0,3
11,2019-03-06 00:00:00,177.6,178.84,176.47,176.74,576152.0,3
12,2019-03-07 00:00:00,176.75,178.08,175.96,177.49,581323.0,3
13,2019-03-08 00:00:00,175.57,177.81,173.84,177.73,411950.0,3
14,2019-03-11 00:00:00,178.29,179.7,177.75,179.07,397098.0,3
15,2019-03-12 00:00:00,179.85,181.25,178.44,180.5,608777.0,3
16,2019-03-13 00:00:00,181.06,182.41,180.09,180.48,595578.0,3
17,2019-03-14 00:00:00,180.86,181.555,180.0,181.43,712847.0,3
18,2019-03-15 00:00:00,181.52,183.43,180.86,181.62,1226009.0,3
19,2019-03-18 00:00:00,181.63,182.675,179.425,180.91,489287.0,3
20,2019-03-19 00:00:00,181.81,182.965,180.41,182.3,1032879.0,3
21,2019-03-20 00:00:00,182.08,183.4,181.21,181.85,703041.0,3
22,2019-03-21 00:00:00,181.51,185.75,181.5,185.38,502257.0,3
23,2019-03-22 00:00:00,184.33,185.39,181.49,181.67,432011.0,3
24,2019-03-25 00:00:00,181.03,182.195,179.6038,181.27,492793.0,3
25,2019-03-26 00:00:00,182.59,183.43,181.95,182.97,408425.0,3
26,2019-03-27 00:00:00,183.0,183.31,178.37,180.18,447801.0,3
27,2019-03-28 00:00:00,180.45,181.54,179.54,181.04,371106.0,3
28,2019-03-29 00:00:00,182.31,182.77,181.26,181.56,732623.0,3
