,date,open,high,low,close,volume,month
0,2019-02-19,27.18,27.59,27.11,27.42,7137347.0,2
1,2019-02-20,27.45,27.53,27.3,27.35,5360564.0,2
2,2019-02-21,27.3,27.33,26.92,27.06,7617505.0,2
3,2019-02-22,27.25,27.38,27.07,27.11,6697337.0,2
4,2019-02-25,27.04,27.39,27.04,27.35,6535698.0,2
5,2019-02-26,27.4,27.55,26.94,26.97,7274337.0,2
6,2019-02-27,27.0,27.205,26.735,27.09,4631195.0,2
7,2019-02-28,27.11,27.13,26.64,26.69,8638891.0,2
8,2019-03-01,26.78,27.44,26.75,27.43,10921166.0,3
9,2019-03-04,27.47,27.55,27.035,27.4,7260249.0,3
10,2019-03-05,27.43,27.47,27.1432,27.44,5494486.0,3
11,2019-03-06,27.34,27.45,27.119,27.35,6045445.0,3
12,2019-03-07,27.02,27.05,26.83,26.94,8585769.0,3
13,2019-03-08,26.74,26.97,26.3945,26.93,5278765.0,3
14,2019-03-11,27.07,27.42,27.07,27.36,6014740.0,3
15,2019-03-12,27.42,27.73,27.395,27.53,4899895.0,3
16,2019-03-13,27.7,27.8,27.54,27.7,4867449.0,3
17,2019-03-14,27.7,27.845,27.625,27.73,3739323.0,3
18,2019-03-15,27.55,27.7,27.485,27.56,9077249.0,3
19,2019-03-18,27.68,27.83,27.48,27.79,7510613.0,3
20,2019-03-19,27.9,28.45,27.8,28.13,10029762.0,3
21,2019-03-20,28.16,28.545,27.99,28.35,8682747.0,3
22,2019-03-21,28.35,29.05,28.26,28.93,9138877.0,3
23,2019-03-22,28.72,28.76,28.39,28.47,7949665.0,3
24,2019-03-25,28.44,28.79,28.17,28.7,8932452.0,3
25,2019-03-26,28.97,29.185,28.44,28.61,8385449.0,3
26,2019-03-27,28.33,28.66,27.8,28.49,6329343.0,3
27,2019-03-28,28.32,28.7,28.315,28.66,5378614.0,3
28,2019-03-29,28.95,29.0032,28.51,28.72,5596643.0,3
29,2019-04-01,28.88,29.3,28.66,29.27,8311121.0,4
30,2019-04-02,29.22,29.435,29.1434,29.35,8205138.0,4
31,2019-04-03,29.55,29.55,28.8,28.91,6675744.0,4
32,2019-04-04,28.96,28.96,28.71,28.82,4332660.0,4
33,2019-04-05,28.8,29.25,28.78,29.11,5676140.0,4
34,2019-04-08,29.2,29.28,28.845,29.0,6100776.0,4
35,2019-04-09,28.87,28.88,28.57,28.71,6458156.0,4
36,2019-04-10,28.88,28.96,28.6,28.66,5593927.0,4
37,2019-04-11,28.61,28.78,28.455,28.76,4529062.0,4
38,2019-04-12,29.02,29.1,28.81,28.94,5062157.0,4
39,2019-04-15,28.83,28.88,28.295,28.53,5460191.0,4
40,2019-04-16,28.55,28.7,28.34,28.63,4019834.0,4
41,2019-04-17,28.78,28.875,28.37,28.39,4753165.0,4
42,2019-04-18,28.33,28.37,28.065,28.32,6097471.0,4
43,2019-04-22,28.52,28.79,28.39,28.76,4138856.0,4
44,2019-04-23,28.89,28.89,28.53,28.82,5431724.0,4
45,2019-04-24,28.84,28.86,28.595,28.68,4326320.0,4
46,2019-04-25,28.63,28.643,28.35,28.47,4900336.0,4
47,2019-04-26,28.35,28.49,28.205,28.49,5641384.0,4
48,2019-04-29,28.46,28.49,28.28,28.29,3664846.0,4
49,2019-04-30,28.44,28.47,28.04,28.33,7991013.0,4
50,2019-05-01,28.35,28.47,27.975,27.98,8313978.0,5
51,2019-05-02,27.93,28.03,27.3,27.46,10917446.0,5
52,2019-05-03,27.76,27.965,27.59,27.59,7142671.0,5
53,2019-05-06,27.41,27.715,27.33,27.38,6113086.0,5
54,2019-05-07,27.24,27.525,27.13,27.52,6422758.0,5
55,2019-05-08,27.42,27.605,27.07,27.09,7052078.0,5
56,2019-05-09,26.96,27.09,26.63,26.96,5626169.0,5
57,2019-05-10,26.94,27.6,26.89,27.55,5480558.0,5
58,2019-05-13,27.36,27.425,26.95,27.24,6293123.0,5
59,2019-05-14,27.38,27.76,27.33,27.48,4055130.0,5
60,2019-05-15,27.39,27.86,27.33,27.71,5142439.0,5
61,2019-05-16,27.9,27.9,27.55,27.63,5804943.0,5
62,2019-05-17,27.48,27.74,27.43,27.5,6336900.0,5
63,2019-05-20,27.57,27.57,27.265,27.46,5700892.0,5
64,2019-05-21,27.52,27.96,27.5,27.89,6248850.0,5
65,2019-05-22,27.8,27.88,27.27,27.63,7516107.0,5
66,2019-05-23,27.3,27.3,26.56,27.01,12596692.0,5
67,2019-05-24,27.26,27.33,26.835,26.99,6490733.0,5
68,2019-05-28,26.98,27.05,26.35,26.38,7269617.0,5
