,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,41.73,42.25,41.33,41.79,1714990.0,41.7813,1550552400000,15161,
1,42.05,42.17,41.8,41.86,1832204.0,41.9605,1550638800000,13402,
2,41.67,41.99,40.63,40.82,1700376.0,41.0907,1550725200000,15623,
3,41.1,41.77,41.09,41.68,1137241.0,41.5465,1550811600000,9863,
4,42.07,42.42,41.78,41.96,1313260.0,41.9847,1551070800000,12029,
5,41.83,42.22,41.65,41.68,1078271.0,41.8855,1551157200000,10199,
6,41.58,41.87,41.24,41.37,948803.0,41.4535,1551243600000,9424,
7,41.1,41.2,40.355,40.61,1630476.0,40.567,1551330000000,12973,
8,41.0,41.36,40.37,40.9,1234096.0,40.8046,1551416400000,11431,
9,41.0,41.26,40.42,40.74,1182354.0,40.7708,1551675600000,13162,
10,40.78,40.89,40.44,40.5,1014317.0,40.5513,1551762000000,12057,
11,40.35,40.41,39.53,39.56,1607424.0,39.8302,1551848400000,14050,
12,39.3,39.3015,38.375,38.62,1564664.0,38.6361,1551934800000,12922,
13,38.19,38.51,37.97,38.11,1156187.0,38.1803,1552021200000,9968,
14,38.13,38.89,37.96,38.63,1384453.0,38.5923,1552276800000,11795,
15,38.91,39.14,38.52,38.85,1825777.0,38.8561,1552363200000,16195,
16,39.0,39.15,38.6,38.63,998174.0,38.8129,1552449600000,9377,
17,38.66,38.66,37.6,37.64,1113011.0,37.7948,1552536000000,10071,
18,37.9,37.99,37.56,37.81,1705920.0,37.823,1552622400000,7978,
19,37.98,38.45,37.71,38.44,1234053.0,38.148,1552881600000,11021,
20,38.83,38.98,38.035,38.16,2109156.0,38.5064,1552968000000,14051,
21,38.02,38.06,37.095,37.24,1770911.0,37.4518,1553054400000,14941,
22,37.17,37.93,37.02,37.78,1149420.0,37.6794,1553140800000,9593,
23,37.33,37.41,36.21,36.24,1228163.0,36.5898,1553227200000,11085,
24,36.22,37.31,36.015,36.43,1431325.0,36.4901,1553486400000,13041,
25,36.57,37.04,36.48,36.8,1203188.0,36.7392,1553572800000,9187,
26,36.95,37.37,36.625,37.12,2138968.0,37.1422,1553659200000,14182,
27,37.19,38.1,37.12,37.81,1919602.0,37.7323,1553745600000,15436,
28,38.19,38.64,38.19,38.41,2053624.0,38.4565,1553832000000,16673,
29,39.16,40.54,39.16,40.52,2288762.0,40.2434,1554091200000,20623,
30,40.54,40.93,40.14,40.71,2158802.0,40.6356,1554177600000,16644,
31,41.4,42.13,41.22,41.63,1795567.0,41.7536,1554264000000,18591,
32,41.78,42.415,41.665,42.37,2505303.0,42.1755,1554350400000,20188,
33,42.35,42.67,42.085,42.15,2072112.0,42.2941,1554436800000,12837,
34,42.02,42.645,41.97,42.62,2811580.0,42.3676,1554696000000,21139,
