,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,135.51,135.75,135.09,135.28,21282,135.3619,1550584800000,223.0,
1,135.2737,136.15,135.23,136.05,23389,135.6821,1550588400000,482.0,
2,136.02,136.38,136.02,136.2535,19371,136.1945,1550592000000,352.0,
3,136.21,136.25,135.92,136.0,19536,136.0539,1550595600000,390.0,
4,136.005,136.005,135.34,135.42,22829,135.6532,1550599200000,425.0,
5,135.4,135.78,135.28,135.68,37304,135.5194,1550602800000,664.0,
6,135.68,135.6802,135.33,135.35,100131,135.4739,1550606400000,1725.0,
7,135.33,135.33,135.33,135.33,3539,135.33,1550610000000,18.0,
8,135.11,135.17,134.415,134.55,6882,134.7961,1550671200000,106.0,
9,134.58,134.59,133.57,133.57,14659,134.1621,1550674800000,369.0,
10,133.46,133.61,132.87,133.48,42832,133.2621,1550678400000,717.0,
11,133.42,133.72,133.38,133.56,15538,133.5577,1550682000000,391.0,
12,133.538,133.87,133.538,133.79,26273,133.7586,1550685600000,493.0,
13,133.8,134.23,133.43,134.0,97333,133.7009,1550689200000,1297.0,
14,133.94,134.05,133.44,133.63,104118,133.6862,1550692800000,1770.0,
15,133.63,133.63,133.63,133.63,49839,133.63,1550696400000,22.0,
16,133.36,133.69,132.94,132.95,17859,133.2262,1550757600000,349.0,
17,132.99,133.78,132.69,133.72,117237,133.3612,1550761200000,569.0,
18,133.79,134.23,133.78,134.19,23376,134.058,1550764800000,567.0,
19,134.19,134.19,133.89,133.92,14819,134.0235,1550768400000,353.0,
20,133.88,134.05,133.81,134.05,17840,133.9171,1550772000000,411.0,
21,134.03,134.07,133.82,133.96,26141,133.9612,1550775600000,631.0,
22,133.96,134.69,133.8354,134.48,89128,134.3419,1550779200000,1682.0,
23,134.46,134.46,134.46,134.46,8575,134.4599,1550782800000,20.0,
24,134.71,135.08,133.94,135.08,10699,134.4436,1550844000000,156.0,
25,135.13,136.05,134.92,136.03,15495,135.5315,1550847600000,326.0,
26,135.92,136.08,135.67,135.76,23007,135.86,1550851200000,497.0,
27,135.75,135.86,134.87,135.12,38080,135.3556,1550854800000,570.0,
28,135.08,135.3,134.91,135.25,24875,135.0713,1550858400000,446.0,
29,135.2,135.28,134.92,134.92,30289,135.0935,1550862000000,571.0,
30,134.87,135.23,134.76,135.15,101740,135.0165,1550865600000,1781.0,
31,135.16,135.16,135.16,135.16,6718,135.1598,1550869200000,25.0,
32,135.32,135.72,134.11,134.155,10841,134.6755,1551103200000,164.0,
33,134.16,134.895,134.16,134.81,29683,134.4303,1551106800000,649.0,
34,134.75,134.82,134.05,134.12,14647,134.461,1551110400000,346.0,
35,134.07,134.34,133.8802,133.97,16268,134.1591,1551114000000,357.0,
36,134.01,134.41,133.91,134.41,36120,134.1433,1551117600000,655.0,
37,134.36,134.7,134.35,134.65,16168,134.5422,1551121200000,443.0,
38,134.65,134.65,133.95,134.21,86434,134.18,1551124800000,1638.0,
39,134.22,134.22,134.22,134.22,3423,134.22,1551128400000,18.0,
40,134.53,134.53,133.84,133.94,14927,134.2149,1551189600000,243.0,
41,133.76,134.19,133.63,133.64,13039,133.9574,1551193200000,351.0,
42,133.74,134.16,133.74,133.87,14880,133.9972,1551196800000,395.0,
43,133.89,134.0,133.79,133.96,7733,133.9081,1551200400000,213.0,
44,133.97,134.18,133.65,133.67,25257,133.9004,1551204000000,613.0,
45,133.68,134.04,133.68,133.99,44839,133.9559,1551207600000,879.0,
46,134.0,134.07,133.63,133.74,93771,133.8091,1551211200000,1906.0,
47,133.74,133.74,133.74,133.74,4285,133.74,1551214800000,14.0,
48,133.09,133.51,132.81,132.81,11401,133.2561,1551276000000,197.0,
49,132.93,133.325,132.07,132.15,23005,132.8453,1551279600000,512.0,
50,132.26,132.29,131.9,131.94,16686,132.0181,1551283200000,345.0,
51,131.98,132.82,131.98,132.595,15146,132.467,1551286800000,303.0,
52,132.69,133.02,132.69,132.86,15886,132.8877,1551290400000,368.0,
53,132.89,133.21,132.84,133.21,14738,133.0059,1551294000000,387.0,
54,133.09,133.27,132.92,133.12,72370,133.0939,1551297600000,1471.0,
55,133.12,133.12,133.12,133.12,15369,133.1199,1551301200000,15.0,
56,133.1,133.66,132.54,133.34,14896,132.9704,1551362400000,244.0,
57,133.44,133.93,133.44,133.8,49812,133.8148,1551366000000,906.0,
58,133.83,134.42,133.69,134.325,68730,134.0007,1551369600000,1148.0,
59,134.3,134.97,134.23,134.76,24738,134.6759,1551373200000,576.0,
60,134.72,134.72,134.38,134.46,19244,134.495,1551376800000,415.0,
61,134.49,134.5,134.06,134.06,28420,134.2392,1551380400000,619.0,
62,134.1,134.2,133.58,133.59,111367,133.8693,1551384000000,1798.0,
63,133.59,133.59,133.59,133.59,10293,133.5898,1551387600000,25.0,
64,134.0,134.0,132.76,132.91,21849,133.2374,1551448800000,275.0,
65,132.96,132.96,131.9041,132.14,39844,132.1922,1551452400000,817.0,
66,132.05,132.2,131.19,131.32,28097,131.6483,1551456000000,719.0,
67,131.32,131.67,131.02,131.54,19814,131.2896,1551459600000,547.0,
68,131.6,132.01,131.6,131.89,21273,131.8776,1551463200000,504.0,
69,131.92,132.57,131.82,132.13,27711,132.2459,1551466800000,680.0,
70,132.14,132.52,131.92,132.46,111674,132.267,1551470400000,1982.0,
71,132.46,132.46,132.46,132.46,6171,132.4597,1551474000000,21.0,
72,132.83,133.08,131.987,132.28,18083,132.5345,1551708000000,262.0,
73,132.33,132.41,131.55,132.05,32505,131.9091,1551711600000,577.0,
74,132.045,132.45,131.76,131.83,17041,132.1684,1551715200000,394.0,
75,131.83,132.15,131.67,131.81,15622,131.9042,1551718800000,332.0,
76,131.76,132.195,131.71,132.17,11889,132.0146,1551722400000,325.0,
77,132.14,132.75,132.13,132.67,19974,132.4394,1551726000000,550.0,
78,132.66,133.28,132.39,133.09,90213,132.9603,1551729600000,1735.0,
79,133.07,133.07,133.07,133.07,18006,133.0699,1551733200000,11.0,
80,133.19,133.96,132.86,133.78,17158,133.5176,1551794400000,248.0,
81,133.8875,133.8875,133.4,133.77,33858,133.6542,1551798000000,689.0,
82,133.81,134.38,133.79,134.28,21380,134.1779,1551801600000,551.0,
83,134.38,134.75,134.36,134.47,27672,134.5605,1551805200000,552.0,
84,134.48,134.48,134.22,134.43,19747,134.333,1551808800000,468.0,
85,134.37,134.74,134.37,134.64,25902,134.5909,1551812400000,538.0,
86,134.61,134.64,134.23,134.31,85116,134.3675,1551816000000,1474.0,
87,134.3,134.3,134.3,134.3,3095,134.3,1551819600000,13.0,
88,134.03,134.66,133.89,134.15,10815,134.1272,1551880800000,165.0,
89,134.23,134.535,134.08,134.5,13537,134.2646,1551884400000,323.0,
90,134.43,134.52,134.08,134.3901,18632,134.3368,1551888000000,470.0,
91,134.395,134.59,133.48,133.6232,28378,133.9508,1551891600000,592.0,
92,133.5,133.63,133.24,133.29,15287,133.3976,1551895200000,380.0,
93,133.35,133.48,133.13,133.23,24562,133.3136,1551898800000,539.0,
94,133.31,133.42,132.75,132.78,121637,133.1073,1551902400000,2215.0,
95,132.77,132.77,132.77,132.77,5025,132.77,1551906000000,9.0,
96,132.43,133.51,132.37,133.08,10888,132.8641,1551967200000,156.0,
97,133.19,133.49,132.89,133.46,18076,133.1699,1551970800000,387.0,
98,133.52,133.52,133.01,133.04,15604,133.2404,1551974400000,357.0,
99,133.105,133.68,132.98,133.665,16313,133.2809,1551978000000,402.0,
100,133.64,133.7,133.34,133.45,16782,133.5406,1551981600000,388.0,
101,133.44,133.445,132.89,132.98,62302,133.191,1551985200000,875.0,
102,132.92,133.13,131.94,132.38,169415,132.3691,1551988800000,2668.0,
103,132.36,132.36,132.36,132.36,12631,132.36,1551992400000,13.0,
104,132.36,132.36,132.36,132.36,1473,132.36,1552050000000,1.0,
105,132.23,133.08,132.095,132.69,11920,132.7902,1552053600000,214.0,
106,132.67,132.74,131.77,131.89,16679,132.1006,1552057200000,470.0,
107,131.93,132.11,131.79,131.9,13756,131.9488,1552060800000,360.0,
108,131.77,131.83,131.57,131.69,16096,131.7091,1552064400000,396.0,
109,131.7,131.94,131.66,131.84,35224,131.8311,1552068000000,675.0,
110,131.85,132.31,131.71,131.71,72102,131.9323,1552071600000,932.0,
111,131.705,131.97,131.39,131.84,158183,131.6703,1552075200000,2716.0,
112,131.83,131.83,131.83,131.83,8025,131.83,1552078800000,20.0,
113,132.15,132.93,131.95,132.035,27114,132.3163,1552309200000,327.0,
114,132.03,132.11,131.22,131.36,54872,131.8344,1552312800000,814.0,
115,131.28,131.63,130.92,131.63,33366,131.1897,1552316400000,617.0,
116,131.62,131.92,131.59,131.65,65619,131.7495,1552320000000,762.0,
117,131.635,132.12,131.55,132.01,44310,131.8525,1552323600000,750.0,
118,132.03,132.66,132.03,132.515,79286,132.2506,1552327200000,812.0,
119,132.48,132.91,132.48,132.89,186679,132.6856,1552330800000,2716.0,
120,132.9,132.9,132.9,132.9,8316,132.9,1552334400000,23.0,
121,133.29,133.9,133.0,133.58,15739,133.5078,1552395600000,228.0,
122,133.46,133.58,133.23,133.27,29626,133.3863,1552399200000,614.0,
123,133.31,134.24,133.28,134.23,65182,133.7523,1552402800000,785.0,
124,134.23,134.23,133.85,133.91,20397,134.0332,1552406400000,437.0,
125,133.94,134.15,133.93,134.12,26551,134.033,1552410000000,403.0,
126,134.0364,134.3,133.68,133.72,22114,134.0001,1552413600000,449.0,
127,133.72,134.29,133.45,134.04,119629,133.9142,1552417200000,1969.0,
128,134.0,134.05,134.0,134.0,13263,134.0026,1552420800000,22.0,
129,122.6,122.6,122.6,122.6,200,122.6,1552478400000,1.0,
130,133.26,134.16,133.0,133.88,23662,133.7339,1552482000000,267.0,
131,133.83,134.5,133.745,134.34,31339,134.2663,1552485600000,569.0,
132,134.4,134.55,134.07,134.16,18425,134.3016,1552489200000,417.0,
133,134.19,134.3,134.0,134.04,13197,134.13,1552492800000,333.0,
134,134.05,134.21,133.79,133.89,13789,134.0337,1552496400000,352.0,
135,133.92,134.14,133.84,134.05,18438,133.9731,1552500000000,501.0,
136,133.98,134.19,133.75,133.87,82236,133.9457,1552503600000,1550.0,
137,133.86,133.86,133.86,133.86,7327,133.8599,1552507200000,23.0,
138,134.17,135.2094,133.5,133.5,9973,133.9805,1552568400000,164.0,
139,133.42,133.74,133.16,133.7,24102,133.4435,1552572000000,546.0,
140,133.705,133.92,133.47,133.7,28685,133.6869,1552575600000,625.0,
141,133.69,133.69,133.32,133.4,26788,133.4726,1552579200000,590.0,
142,133.4,133.56,132.96,133.01,23177,133.2658,1552582800000,553.0,
143,133.04,133.24,132.81,133.16,25799,132.9984,1552586400000,646.0,
144,133.2,133.51,133.1,133.49,117771,133.3683,1552590000000,2309.0,
145,133.48,133.48,133.48,133.48,7997,133.4797,1552593600000,16.0,
146,133.32,133.69,132.4,132.4,104997,133.2634,1552654800000,278.0,
147,132.45,132.88,132.3,132.72,22105,132.6498,1552658400000,455.0,
148,132.66,132.66,131.935,132.01,28912,132.2652,1552662000000,518.0,
149,132.04,132.66,131.98,132.66,21915,132.4014,1552665600000,413.0,
150,132.69,132.77,132.41,132.7,44594,132.6294,1552669200000,367.0,
151,132.71,133.13,132.71,132.9,32540,132.9411,1552672800000,695.0,
152,132.96,133.05,132.33,132.68,103951,132.6598,1552676400000,1938.0,
153,132.68,132.68,132.68,132.68,58711,132.68,1552680000000,50.0,
154,132.72,133.22,132.35,133.02,9582,132.797,1552914000000,174.0,
155,132.93,133.28,132.92,133.0,13262,133.1072,1552917600000,341.0,
156,132.66,132.8,131.51,132.14,35961,131.999,1552921200000,552.0,
157,132.145,132.46,132.0,132.34,139888,132.1687,1552924800000,1302.0,
158,132.33,132.47,132.0,132.37,52253,132.2683,1552928400000,655.0,
159,132.39,132.8,131.9146,132.0125,218188,132.476,1552932000000,1923.0,
160,132.02,132.49,131.89,132.39,113442,132.167,1552935600000,1616.0,
161,132.39,132.39,132.39,132.39,31357,132.39,1552939200000,11.0,
162,132.4,132.5,132.08,132.39,36540,132.354,1553000400000,412.0,
163,132.41,132.49,131.63,131.66,21384,132.2306,1553004000000,390.0,
164,131.69,132.01,131.4,131.9,26078,131.5991,1553007600000,579.0,
165,131.94,132.14,131.55,131.84,18593,131.8963,1553011200000,452.0,
166,131.81,131.9,131.64,131.66,12415,131.7336,1553014800000,374.0,
167,131.59,131.59,131.14,131.195,20816,131.4232,1553018400000,520.0,
168,131.19,131.35,130.81,131.35,112965,131.0867,1553022000000,2162.0,
169,131.28,131.28,131.28,131.28,9385,131.2796,1553025600000,21.0,
170,131.27,131.55,130.83,130.94,16658,131.1375,1553086800000,198.0,
171,130.95,131.04,130.39,130.52,10496,130.6665,1553090400000,249.0,
172,130.5,131.12,130.41,130.84,15617,130.8433,1553094000000,285.0,
173,130.87,131.43,130.78,131.35,12755,131.1813,1553097600000,347.0,
174,131.35,131.35,130.86,131.03,47810,131.0752,1553101200000,797.0,
175,131.04,132.52,131.04,132.33,23740,132.0557,1553104800000,492.0,
176,132.42,132.49,131.27,131.67,123123,131.5979,1553108400000,2212.0,
177,131.7,131.7,131.7,131.7,6562,131.6999,1553112000000,17.0,
178,131.35,132.92,131.33,132.8,11944,132.191,1553173200000,198.0,
179,132.7,133.915,132.67,133.8,27400,133.3806,1553176800000,482.0,
180,133.86,134.15,133.6,134.11,36737,133.8673,1553180400000,635.0,
181,134.13,134.35,133.84,133.935,27229,134.0665,1553184000000,479.0,
182,134.02,134.1,133.72,133.72,11052,133.951,1553187600000,211.0,
