,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,81.0,81.0,81.0,81.0,200.0,81.0,1550577600000,2.0,
1,81.0,81.5,81.0,81.5,527.0,81.1514,1550581200000,9.0,
2,81.33,81.48,80.58,80.75,267955.0,80.9232,1550584800000,1323.0,
3,80.8,81.05,80.7,80.96,251643.0,80.9235,1550588400000,2360.0,
4,80.975,81.23,80.83,80.93,190835.0,81.0144,1550592000000,2008.0,
5,80.93,80.93,80.63,80.71,108990.0,80.7336,1550595600000,1251.0,
6,80.71,80.81,80.5088,80.76,154967.0,80.6231,1550599200000,1254.0,
7,80.76,80.8,80.6,80.77,184265.0,80.6927,1550602800000,1964.0,
8,80.77,81.14,80.54,80.67,462256.0,80.8047,1550606400000,4707.0,
9,80.66,80.66,80.66,80.66,18302.0,80.66,1550610000000,25.0,
10,80.66,80.66,80.66,80.66,380.0,80.66,1550617200000,1.0,
11,80.5,80.5,80.5,80.5,400.0,80.5,1550620800000,3.0,
12,81.0,81.0,81.0,81.0,400.0,81.0,1550664000000,2.0,
13,81.0,81.33,81.0,81.33,900.0,81.1269,1550667600000,9.0,
14,81.0,81.42,80.8,81.32,204034.0,81.0428,1550671200000,1111.0,
15,81.24,81.65,81.16,81.53,191317.0,81.4279,1550674800000,2193.0,
16,81.54,81.625,81.38,81.43,314081.0,81.5012,1550678400000,2925.0,
17,81.43,81.515,80.97,81.02,130305.0,81.2367,1550682000000,1737.0,
18,81.03,81.2,80.985,81.115,150024.0,81.0892,1550685600000,1877.0,
19,81.13,81.26,80.78,80.94,225151.0,80.9567,1550689200000,2821.0,
20,80.94,81.1,80.87,81.07,480996.0,80.9793,1550692800000,5005.0,
21,81.08,81.08,81.08,81.08,46041.0,81.08,1550696400000,25.0,
22,81.33,81.33,81.33,81.33,250.0,81.33,1550707200000,2.0,
23,81.25,81.4,81.12,81.4,800.0,81.311,1550754000000,8.0,
24,81.4,81.65,80.04,80.465,329235.0,80.8878,1550757600000,2073.0,
25,80.48,80.99,80.36,80.86,381702.0,80.6594,1550761200000,3904.0,
26,80.84,81.34,80.78,81.21,316556.0,81.1013,1550764800000,3530.0,
27,81.2,81.67,81.18,81.61,273566.0,81.3797,1550768400000,2775.0,
28,81.625,82.0,81.58,81.76,411174.0,81.8043,1550772000000,3527.0,
29,81.76,81.91,81.25,81.25,332945.0,81.6256,1550775600000,3090.0,
30,81.24,81.75,81.22,81.73,666750.0,81.4432,1550779200000,6632.0,
31,81.75,83.43,81.35,83.43,25901.0,81.8249,1550782800000,71.0,
32,83.5,83.5,82.2307,83.5,1279.0,83.2931,1550786400000,13.0,
33,83.93,84.13,83.48,83.48,2711.0,83.7134,1550790000000,13.0,
34,83.56,83.56,83.48,83.48,600.0,83.5033,1550793600000,3.0,
35,83.25,83.25,83.25,83.25,100.0,83.25,1550833200000,1.0,
36,84.95,86.0,84.95,85.7,6503.0,85.6294,1550840400000,58.0,
37,85.5,86.01,83.83,85.47,797657.0,85.0829,1550844000000,4923.0,
38,85.4,85.5,82.33,83.06,816315.0,83.5807,1550847600000,7139.0,
39,83.08,83.45,82.69,82.81,425574.0,82.9751,1550851200000,4446.0,
40,82.81,82.98,82.3,82.32,407315.0,82.6754,1550854800000,4150.0,
41,82.35,82.54,81.86,82.185,278906.0,82.2073,1550858400000,2926.0,
42,82.17,82.31,81.6,82.28,327002.0,81.956,1550862000000,3495.0,
43,82.27,82.55,82.03,82.46,815037.0,82.2662,1550865600000,6060.0,
44,82.46,82.46,82.43,82.46,51400.0,82.9348,1550869200000,32.0,
45,83.4575,83.4575,83.4575,83.4575,150.0,83.4575,1550872800000,1.0,
46,83.4,83.4,83.4,83.4,200.0,83.4,1550876400000,2.0,
47,82.8,82.8,82.65,82.65,566.0,82.7558,1550880000000,5.0,
48,82.47,82.47,82.47,82.47,190.0,82.5537,1551096000000,5.0,
49,83.82,83.93,83.15,83.41,338315.0,83.4566,1551103200000,1926.0,
50,83.42,84.36,83.295,84.3,339425.0,83.8928,1551106800000,3483.0,
51,84.29,84.71,84.28,84.53,296353.0,84.5188,1551110400000,3066.0,
