,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,62.06,62.41,61.85,61.941,126158.0,62.1127,1550584800000,976.0,
1,61.95,62.19,61.7,62.13,112097.0,61.9827,1550588400000,1317.0,
2,62.13,62.35,62.08,62.3,165780.0,62.223,1550592000000,1786.0,
3,62.3,62.31,62.06,62.12,102985.0,62.1608,1550595600000,1267.0,
4,62.15,62.15,61.81,61.82,71263.0,61.9343,1550599200000,1032.0,
5,61.84,62.16,61.84,62.11,134897.0,62.0351,1550602800000,1740.0,
6,62.1,62.245,61.98,62.01,313928.0,62.1227,1550606400000,3454.0,
7,61.99,61.99,61.99,61.99,51593.0,61.99,1550610000000,15.0,
8,62.23,62.615,62.2,62.24,61066.0,62.3978,1550671200000,708.0,
9,62.23,62.565,62.17,62.46,131020.0,62.4594,1550674800000,1604.0,
10,62.47,62.66,62.34,62.59,148429.0,62.5354,1550678400000,1649.0,
11,62.58,62.72,62.48,62.69,176618.0,62.5912,1550682000000,1747.0,
12,62.7,62.88,62.645,62.82,103961.0,62.7646,1550685600000,1390.0,
13,62.83,62.83,62.4,62.6,124211.0,62.6099,1550689200000,1786.0,
14,62.6,62.63,62.35,62.42,214408.0,62.5002,1550692800000,2900.0,
15,62.4,62.4,62.4,62.4,72013.0,62.4,1550696400000,22.0,
16,62.41,62.925,62.015,62.05,87273.0,62.4982,1550757600000,856.0,
17,62.04,62.17,61.54,61.58,209285.0,61.7776,1550761200000,2369.0,
18,61.6,61.75,61.47,61.64,94743.0,61.603,1550764800000,1248.0,
19,61.65,61.795,61.63,61.75,74460.0,61.7072,1550768400000,1257.0,
20,61.76,61.85,61.7,61.795,63672.0,61.7711,1550772000000,929.0,
21,61.8,61.88,61.26,61.32,105537.0,61.5481,1550775600000,1480.0,
22,61.31,61.52,61.21,61.51,283809.0,61.3716,1550779200000,3258.0,
23,61.52,61.52,61.52,61.52,9036.0,61.5198,1550782800000,12.0,
24,61.5,61.5,61.5,61.5,950.0,61.5,1550836800000,3.0,
25,61.38,61.76,61.0,61.5483,44052.0,61.4601,1550844000000,442.0,
26,61.57,61.705,61.09,61.18,164307.0,61.3711,1550847600000,1972.0,
27,61.2,61.26,61.05,61.145,245903.0,61.171,1550851200000,1875.0,
28,61.14,61.24,61.08,61.15,244894.0,61.1691,1550854800000,1475.0,
29,61.15,61.15,60.75,60.83,119071.0,60.9481,1550858400000,1731.0,
30,60.83,60.91,60.56,60.62,122098.0,60.7535,1550862000000,1805.0,
