,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,181.0,183.0,180.48,181.3,676916.0,181.4955,1550581200000,8328,
1,181.2903,181.9,180.22,180.31,723180.0,181.1788,1550595600000,10518,
2,180.31,180.31,180.15,180.15,6810.0,180.3077,1550610000000,23,
3,181.0,183.1,180.56,182.64,602009.0,182.3513,1550667600000,7118,
4,182.66,183.2,181.8,182.23,1167184.0,182.4206,1550682000000,16466,
5,182.21,183.4,182.21,183.4,143431.0,182.2169,1550696400000,51,
6,183.94,183.94,179.75,180.23,684932.0,180.6228,1550754000000,9201,
7,180.3,181.15,178.57,178.82,1067569.0,179.6788,1550768400000,15369,
8,178.82,178.85,178.56,178.6566,34519.0,178.8157,1550782800000,35,
9,176.0,176.0,174.9,175.4,10679.0,175.3575,1550826000000,93,
10,175.9,178.89,175.05,178.835,1414154.0,176.8953,1550840400000,20206,
11,178.8359,179.91,178.48,179.16,1057035.0,179.2206,1550854800000,16185,
12,179.14,179.22,178.99,179.22,53307.0,179.2152,1550869200000,38,
13,182.235,183.73,179.52,180.8,696447.0,180.9003,1551099600000,8912,
14,180.8,181.0,179.42,179.6,980805.0,180.1877,1551114000000,13047,
15,179.6,180.0,179.6,180.0,18250.0,179.6027,1551128400000,27,
16,178.94,180.32,178.2,179.45,640283.0,179.3473,1551186000000,8616,
17,179.49,179.72,178.33,178.55,662178.0,178.8006,1551200400000,11902,
18,178.56,179.47,177.95,178.0,55407.0,178.5561,1551214800000,30,
19,177.71,178.21,174.32,176.67,949596.0,175.7301,1551272400000,11835,
20,176.68,177.53,176.5,177.23,680477.0,177.0078,1551286800000,10541,
21,177.2,177.3,175.96,177.3,16542.0,177.1773,1551301200000,23,
22,175.48,175.5,175.48,175.5,700.0,175.4886,1551344400000,5,
23,175.1,176.88,174.8999,176.11,661551.0,175.8108,1551358800000,8639,
24,176.07,177.04,175.67,176.14,724519.0,176.2121,1551373200000,11352,
25,176.09,176.09,176.09,176.09,95191.0,176.09,1551387600000,42,
26,177.0,177.97,177.0,177.5,400.0,177.5425,1551430800000,4,
27,176.09,179.0593,175.89,176.49,428523.0,177.4618,1551445200000,6911,
28,176.485,178.48,176.45,176.75,804230.0,177.5423,1551459600000,11680,
29,176.75,177.28,176.75,176.8,20711.0,176.7705,1551474000000,40,
30,177.15,180.29,176.56,178.56,1252436.0,179.3763,1551704400000,13541,
31,178.52,178.95,176.66,177.78,887670.0,177.4552,1551718800000,14292,
32,177.77,178.21,177.25,177.99,10570.0,177.864,1551733200000,46,
33,177.99,177.99,177.99,177.99,179.0,177.99,1551776400000,1,
