,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,171.14,172.8,170.44,172.785,209511.0,171.71,1550581200000,2810,
1,172.76,174.0,172.62,173.48,299688.0,173.3993,1550595600000,5531,
2,173.48,173.48,173.48,173.48,49044.0,173.48,1550610000000,17,
3,173.38,173.84,172.4,173.675,185066.0,173.2792,1550667600000,2590,
4,173.67,176.11,173.66,176.01,545031.0,175.1649,1550682000000,7839,
5,176.0,176.0,176.0,176.0,27398.0,176.0,1550696400000,22,
6,174.61,175.37,172.68,173.64,270433.0,173.6341,1550754000000,4458,
7,173.64,173.77,172.58,173.055,385493.0,173.0582,1550768400000,6722,
8,173.08,173.08,173.08,173.08,124642.0,173.08,1550782800000,21,
9,173.08,173.71,172.23,172.69,174586.0,172.9342,1550840400000,3403,
10,172.72,172.87,171.63,172.45,345346.0,172.3132,1550854800000,6731,
11,172.47,172.47,172.47,172.47,97655.0,172.47,1550869200000,22,
12,173.54,173.94,172.93,173.55,160817.0,173.4184,1551099600000,3025,
13,173.57,173.67,172.16,172.44,405359.0,172.8745,1551114000000,6752,
14,172.47,172.47,172.47,172.47,4353.0,172.47,1551128400000,12,
15,171.7,172.71,170.08,172.29,244634.0,171.6683,1551186000000,3564,
16,172.19,172.21,170.42,170.49,403486.0,170.8814,1551200400000,6748,
17,170.51,170.51,170.51,170.51,100754.0,170.51,1551214800000,12,
18,170.77,171.42,170.15,171.15,241947.0,170.813,1551272400000,4011,
19,171.11,172.7178,171.09,172.5,540327.0,171.986,1551286800000,8663,
20,172.53,172.53,172.53,172.53,3923.0,172.5295,1551301200000,14,
21,172.84,173.44,172.11,173.315,190204.0,172.7607,1551358800000,2869,
22,173.295,174.09,172.77,173.05,388022.0,173.466,1551373200000,6126,
23,173.06,173.25,173.06,173.25,25988.0,173.0608,1551387600000,39,
24,173.26,174.1,171.54,171.83,244523.0,172.7391,1551445200000,3345,
25,171.85,173.61,171.67,172.6,512911.0,172.8325,1551459600000,7449,
26,172.59,172.59,172.59,172.59,7529.0,172.5898,1551474000000,28,
27,172.64,175.22,172.36,172.5,299834.0,174.2218,1551704400000,3641,
28,172.5,173.08,171.63,172.82,489234.0,172.5407,1551718800000,7829,
29,172.84,172.84,172.84,172.84,113447.0,172.84,1551733200000,23,
30,172.54,172.79,169.705,171.43,231281.0,170.9359,1551790800000,3645,
31,171.46,173.61,171.35,172.66,434829.0,172.6051,1551805200000,7064,
32,172.67,172.67,172.67,172.67,3433.0,172.67,1551819600000,9,
33,172.4,173.015,170.97,171.99,224778.0,172.3641,1551877200000,2918,
34,171.96,172.26,169.88,169.92,605875.0,171.0121,1551891600000,8927,
35,169.9,169.9,169.9,169.9,238150.0,169.9,1551906000000,15,
36,169.01,169.4,167.27,167.55,382568.0,168.0634,1551963600000,5418,
37,167.52,168.61,167.06,167.67,606214.0,167.7009,1551978000000,10074,
38,167.64,167.64,167.64,167.64,9451.0,167.64,1551992400000,17,
