,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,94.08,94.08,93.27,94.01,111055.0,93.7823,1550581200000,1363,
1,94.0,94.075,93.75,93.86,252241.0,93.904,1550595600000,3742,
2,93.87,93.87,93.87,93.87,4996.0,93.87,1550610000000,17,
3,94.04,94.04,92.82,93.41,101630.0,93.3546,1550667600000,1230,
4,93.43,93.67,92.95,93.51,231455.0,93.4186,1550682000000,3137,
5,93.51,93.51,93.51,93.51,4121.0,93.5097,1550696400000,21,
6,93.07,93.25,92.7,93.0,67805.0,92.9838,1550754000000,1188,
7,93.05,93.21,92.47,93.19,198750.0,92.9237,1550768400000,3399,
8,93.19,93.19,93.19,93.19,4678.0,93.1898,1550782800000,9,
9,93.54,93.985,93.24,93.75,78953.0,93.7,1550840400000,987,
10,93.735,93.84,93.38,93.58,259107.0,93.6585,1550854800000,3405,
11,93.58,93.58,93.58,93.58,5799.0,93.5798,1550869200000,21,
12,94.1,95.7,94.02,95.37,132040.0,94.8945,1551099600000,1373,
13,95.35,95.35,93.985,94.13,316022.0,94.3848,1551114000000,4078,
14,94.13,94.13,94.13,94.13,3675.0,94.13,1551128400000,14,
15,93.69,94.285,93.35,93.35,107717.0,93.768,1551186000000,1570,
16,93.38,93.38,92.4,92.58,363450.0,92.8336,1551200400000,4959,
17,92.58,92.58,92.58,92.58,3605.0,92.58,1551214800000,5,
18,92.07,93.62,92.07,93.59,114185.0,92.7934,1551272400000,1551,
19,93.59,94.1,93.46,93.85,261920.0,93.7779,1551286800000,3913,
20,93.87,93.87,93.87,93.87,4483.0,93.8697,1551301200000,13,
21,93.4,94.19,92.875,94.16,95804.0,93.7344,1551358800000,1527,
22,94.16,94.42,93.9,94.15,232119.0,94.1325,1551373200000,3427,
23,94.16,94.16,94.16,94.16,19209.0,94.1598,1551387600000,21,
24,94.7,95.78,94.28,95.65,148808.0,95.4396,1551445200000,2095,
25,95.665,97.2,95.665,96.46,438016.0,96.5884,1551459600000,6721,
26,96.46,96.46,96.46,96.46,8843.0,96.4598,1551474000000,19,
27,97.27,97.89,95.37,95.435,333882.0,96.3045,1551704400000,3902,
28,95.43,95.82,94.77,95.72,333371.0,95.4421,1551718800000,5244,
29,95.72,95.72,95.72,95.72,3949.0,95.7196,1551733200000,8,
30,95.73,95.76,94.56,95.27,241757.0,94.9799,1551790800000,2647,
31,95.4,95.41,94.79,94.9,245500.0,95.0427,1551805200000,4147,
32,94.9,94.9,94.9,94.9,10583.0,94.9,1551819600000,13,
33,94.75,95.15,93.18,93.365,138349.0,93.9385,1551877200000,1995,
34,93.38,93.68,93.11,93.37,189823.0,93.3979,1551891600000,3205,
35,93.37,93.37,93.37,93.37,2141.0,93.3702,1551906000000,8,
36,93.27,93.27,92.15,92.95,88315.0,92.7321,1551963600000,1334,
37,92.92,93.29,92.25,93.26,259914.0,92.8408,1551978000000,3599,
38,93.24,93.24,93.24,93.24,8817.0,93.24,1551992400000,9,
39,92.5,92.82,91.82,92.06,104136.0,92.2395,1552050000000,1623,
40,92.05,92.14,91.44,91.86,405060.0,91.7385,1552064400000,5180,
41,91.87,91.87,91.87,91.87,9367.0,91.8701,1552078800000,19,
42,92.06,93.24,92.0,92.74,250227.0,92.4449,1552309200000,2673,
43,92.72,92.98,92.62,92.92,186224.0,92.839,1552323600000,3084,
44,93.32,93.74,92.93,93.635,100113.0,93.4198,1552395600000,1469,
45,93.63,93.9,93.32,93.47,177132.0,93.5841,1552410000000,2558,
46,93.92,94.0,92.95,93.51,239068.0,93.5292,1552482000000,3296,
47,93.5,93.95,92.81,93.66,256900.0,93.5169,1552496400000,3184,
48,93.6,93.66,92.87,93.18,209692.0,93.2422,1552568400000,2533,
49,93.19,93.44,92.8,93.11,200571.0,93.1087,1552582800000,3037,
50,93.11,94.36,93.06,94.1675,372401.0,93.5125,1552654800000,3156,
51,94.205,94.27,93.62,94.04,249931.0,93.9031,1552669200000,3216,
52,94.4,94.5887,93.31,93.48,227207.0,93.8784,1552914000000,3244,
53,93.45,94.19,93.36,94.03,209305.0,93.8427,1552928400000,2999,
54,94.25,95.23,93.77,94.68,345959.0,94.3702,1553000400000,3820,
55,94.69,95.37,94.58,95.09,200113.0,94.987,1553014800000,3338,
56,95.13,95.69,94.14,94.51,150506.0,94.7949,1553086800000,1855,
57,94.47,95.895,94.39,95.02,204723.0,95.2188,1553101200000,3277,
58,94.31,96.87,94.31,96.31,123984.0,96.1223,1553173200000,1963,
59,96.35,97.64,96.29,97.5,253259.0,97.1748,1553187600000,3945,
60,96.89,97.04,94.06,94.49,192873.0,95.4349,1553259600000,3016,
61,94.47,95.09,93.65,93.71,275733.0,94.2638,1553274000000,4793,
62,93.78,94.97,93.2794,94.04,136849.0,93.9979,1553518800000,2044,
63,93.985,94.67,93.735,94.53,187876.0,94.3096,1553533200000,2873,
64,95.38,96.16,95.0,95.57,123133.0,95.7072,1553605200000,1859,
65,95.56,96.15,95.34,95.98,240197.0,95.7801,1553619600000,3402,
66,96.0,96.31,93.7,94.43,130797.0,94.7358,1553691600000,2438,
67,94.2861,94.75,94.01,94.35,195426.0,94.3416,1553706000000,3339,
68,94.79,95.4,94.1,95.16,94584.0,94.7187,1553778000000,1477,
69,95.19,95.38,94.91,95.25,218329.0,95.2524,1553792400000,2891,
70,96.1,96.32,95.31,96.215,135161.0,96.0573,1553864400000,1920,
71,96.22,96.52,96.045,96.36,215613.0,96.2502,1553878800000,3369,
72,97.3,97.99,96.975,97.055,260002.0,97.3206,1554123600000,2880,
73,97.08,97.7,97.03,97.59,316749.0,97.455,1554138000000,3879,
74,97.28,97.59,97.0,97.45,145721.0,97.3691,1554210000000,1807,
75,97.445,97.67,97.28,97.41,181198.0,97.4754,1554224400000,2528,
76,97.92,98.36,97.47,98.22,249258.0,97.9087,1554296400000,2855,
77,98.24,98.82,97.95,98.59,453729.0,98.3692,1554310800000,5660,
78,98.87,99.04,96.9,97.135,178128.0,97.8899,1554382800000,2577,
79,97.2,97.94,97.13,97.82,276071.0,97.5807,1554397200000,3787,
80,97.94,99.42,97.94,98.84,162044.0,98.9547,1554469200000,2395,
81,98.88,99.16,98.59,99.0,236176.0,98.9632,1554483600000,3524,
82,99.13,99.5,98.03,99.05,148506.0,98.7898,1554728400000,2418,
83,99.04,99.76,99.005,99.71,253516.0,99.5469,1554742800000,3495,
84,102.0,102.0,102.0,102.0,166.0,102.0,1554800400000,3,
85,102.11,103.0,100.21,101.32,651661.0,101.5009,1554814800000,6280,
86,101.285,101.81,100.9,101.12,317610.0,101.3823,1554829200000,4678,
87,101.5,102.23,100.87,101.7,267130.0,101.7964,1554901200000,3095,
88,101.78,101.865,100.89,101.1,287524.0,101.356,1554915600000,3714,
89,101.1,101.1,101.1,101.1,927.0,101.1,1554973200000,1,
90,100.98,101.28,100.22,100.73,141950.0,100.6479,1554987600000,1819,
91,100.72,100.96,100.12,100.35,397221.0,100.4368,1555002000000,5271,
92,101.06,101.84,100.48,101.16,347795.0,101.3555,1555074000000,3354,
93,101.19,101.34,99.72,99.99,458324.0,100.189,1555088400000,6411,
94,100.15,100.5189,98.84,99.0,207356.0,99.2401,1555333200000,3004,
95,99.0,99.305,98.89,99.19,533697.0,99.0883,1555347600000,6479,
96,99.99,100.09,98.15,98.19,233990.0,98.8797,1555419600000,3261,
