,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,91.28,91.84,90.99,91.35,110494.0,91.3572,1550584800000,1058,
1,91.395,91.84,91.33,91.82,159178.0,91.6439,1550588400000,1955,
2,91.83,93.3,91.785,93.03,500401.0,92.4663,1550592000000,4222,
3,92.97,92.9844,92.42,92.6,90876.0,92.6695,1550595600000,1329,
4,92.57,92.76,92.48,92.505,112425.0,92.6336,1550599200000,1406,
5,92.52,92.94,92.435,92.89,77095.0,92.7116,1550602800000,1363,
6,92.86,92.95,92.61,92.62,288929.0,92.7759,1550606400000,3721,
7,92.66,92.66,92.62,92.62,6197.0,92.6207,1550610000000,20,
8,92.58,93.035,92.06,92.75,44480.0,92.6805,1550671200000,503,
9,92.71,92.85,92.34,92.595,100853.0,92.621,1550674800000,1382,
10,92.62,92.67,92.32,92.32,99130.0,92.4696,1550678400000,1373,
11,92.305,92.34,91.08,91.21,195204.0,91.8611,1550682000000,2038,
12,91.23,91.74,91.19,91.72,91335.0,91.5079,1550685600000,1230,
13,91.7,91.84,90.92,91.6,111739.0,91.3836,1550689200000,1829,
14,91.6,91.99,91.55,91.83,269301.0,91.7897,1550692800000,3370,
15,91.83,91.83,91.83,91.83,2699.0,91.83,1550696400000,7,
16,91.8,91.99,91.17,91.17,39415.0,91.57,1550757600000,443,
17,91.15,91.74,90.74,91.41,212860.0,91.256,1550761200000,2006,
18,91.44,91.73,91.23,91.71,94411.0,91.4258,1550764800000,1529,
19,91.67,92.33,91.64,92.01,88469.0,91.9958,1550768400000,1272,
20,92.01,92.01,91.84,91.865,89500.0,91.9185,1550772000000,1183,
21,91.87,91.9,91.24,91.33,69564.0,91.5589,1550775600000,1272,
22,91.335,91.75,91.195,91.66,184788.0,91.4938,1550779200000,2909,
23,91.7,91.7,91.7,91.7,8396.0,91.7,1550782800000,8,
24,92.24,92.83,92.03,92.71,20681.0,92.4128,1550844000000,278,
25,92.62,93.0,92.14,92.8,126118.0,92.6027,1550847600000,1405,
26,92.81,92.99,92.51,92.735,117525.0,92.7498,1550851200000,1359,
27,92.75,92.87,92.33,92.39,47976.0,92.5848,1550854800000,796,
28,92.38,92.62,92.22,92.48,50209.0,92.4547,1550858400000,840,
29,92.51,92.61,92.0,92.13,63693.0,92.3333,1550862000000,1169,
30,92.07,92.99,92.07,92.96,177417.0,92.674,1550865600000,2669,
31,92.98,92.98,92.98,92.98,6483.0,92.9799,1550869200000,15,
32,93.67,94.47,93.67,93.79,94428.0,93.9611,1551103200000,914,
33,93.83,94.24,93.69,94.04,118195.0,93.9978,1551106800000,1390,
34,94.085,94.14,93.76,93.79,72260.0,93.9847,1551110400000,937,
35,93.78,93.83,92.98,93.23,75774.0,93.498,1551114000000,975,
36,93.225,93.635,93.19,93.53,93722.0,93.4443,1551117600000,1037,
37,93.55,93.89,93.39,93.44,132651.0,93.6463,1551121200000,1215,
38,93.47,93.6,93.16,93.17,165892.0,93.3604,1551124800000,2521,
39,93.2,93.2,93.2,93.2,1844.0,93.2,1551128400000,4,
40,92.85,93.04,92.32,92.47,58580.0,92.7447,1551189600000,753,
41,92.48,93.23,92.41,92.9,83697.0,92.9038,1551193200000,1133,
42,92.82,93.35,92.79,93.05,115692.0,93.0464,1551196800000,1112,
43,93.05,93.28,92.71,92.75,124029.0,93.0026,1551200400000,1482,
44,92.835,93.23,92.835,93.08,75886.0,93.003,1551204000000,1029,
45,93.09,93.45,93.0,93.31,56759.0,93.1916,1551207600000,826,
46,93.3,93.43,93.05,93.1,140997.0,93.254,1551211200000,2174,
47,93.1,93.1,93.1,93.1,4363.0,93.0994,1551214800000,10,
48,92.75,93.2,92.38,92.725,34920.0,92.9045,1551276000000,461,
49,92.69,93.01,92.44,92.5625,72323.0,92.6983,1551279600000,1040,
50,92.585,93.2341,92.54,93.06,52341.0,92.9054,1551283200000,838,
51,93.1,93.42,93.03,93.13,166215.0,93.1415,1551286800000,1229,
52,93.14,93.41,93.14,93.37,39725.0,93.2986,1551290400000,665,
53,93.32,93.77,93.285,93.65,47827.0,93.5205,1551294000000,706,
54,93.67,93.79,93.5,93.52,133988.0,93.6447,1551297600000,1760,
55,93.53,93.53,93.53,93.53,36279.0,93.53,1551301200000,15,
56,93.56,93.93,93.37,93.485,47827.0,93.6424,1551362400000,601,
57,93.49,93.49,92.94,93.1,62728.0,93.1889,1551366000000,997,
58,93.1,93.59,93.05,93.48,48066.0,93.3245,1551369600000,841,
59,93.48,93.925,93.46,93.66,50755.0,93.7109,1551373200000,810,
60,93.68,93.68,93.48,93.53,44966.0,93.5577,1551376800000,758,
61,93.48,93.49,93.06,93.1,94689.0,93.3096,1551380400000,1374,
62,93.11,93.125,92.73,92.82,191692.0,92.9593,1551384000000,2637,
63,92.82,92.82,92.82,92.82,23827.0,92.8198,1551387600000,32,
64,93.5,93.835,92.61,93.0,95838.0,93.399,1551448800000,977,
65,92.965,93.28,92.88,93.085,292266.0,93.0391,1551452400000,3192,
66,93.09,93.1,92.68,92.96,184231.0,92.9484,1551456000000,2093,
67,92.97,93.5955,92.97,93.505,103429.0,93.2744,1551459600000,1260,
68,93.5,93.65,93.39,93.53,85454.0,93.5462,1551463200000,1109,
69,93.54,93.9,93.52,93.8,102384.0,93.7209,1551466800000,1486,
70,93.83,94.02,93.59,93.62,206438.0,93.8059,1551470400000,2806,
71,93.62,93.62,93.62,93.62,13279.0,93.6197,1551474000000,22,
72,94.0,94.075,93.3,93.41,46656.0,93.6942,1551708000000,539,
73,93.38,93.41,91.95,92.0,114177.0,92.5674,1551711600000,1557,
74,91.98,92.24,90.89,91.0,313789.0,91.5534,1551715200000,2687,
75,90.98,91.15,90.47,90.68,119809.0,90.8329,1551718800000,1528,
76,90.65,91.36,90.65,91.34,92776.0,91.1185,1551722400000,1325,
77,91.35,91.35,90.78,91.165,126055.0,91.0312,1551726000000,1884,
78,91.14,91.27,90.54,91.27,361520.0,90.9067,1551729600000,4505,
79,91.27,91.27,91.27,91.27,18761.0,91.27,1551733200000,8,
80,91.38,92.0,91.085,91.4,135763.0,91.4804,1551794400000,1229,
81,91.41,91.75,90.96,91.31,143271.0,91.3747,1551798000000,1680,
82,91.26,91.44,90.79,90.99,76390.0,91.1302,1551801600000,997,
83,90.97,91.06,90.76,91.04,85095.0,90.9104,1551805200000,933,
84,91.04,91.21,90.9,91.18,63349.0,91.0567,1551808800000,883,
85,91.19,91.25,91.03,91.15,123624.0,91.1366,1551812400000,1179,
86,91.14,91.205,90.59,90.62,264598.0,90.9426,1551816000000,3271,
87,90.61,90.61,90.61,90.61,74635.0,90.61,1551819600000,9,
88,90.5,91.22,90.45,91.04,68273.0,90.7782,1551880800000,605,
89,91.03,91.3,90.69,91.16,244241.0,90.9655,1551884400000,2177,
90,91.16,91.3,90.04,90.3,102648.0,90.817,1551888000000,1235,
91,90.275,90.63,90.1,90.1,76311.0,90.3672,1551891600000,901,
92,90.07,90.25,89.89,90.22,62157.0,90.0233,1551895200000,839,
93,90.22,90.29,90.0,90.16,49007.0,90.1456,1551898800000,789,
94,90.17,90.27,89.68,89.91,158655.0,89.9327,1551902400000,2176,
95,89.96,89.96,89.96,89.96,4201.0,89.96,1551906000000,10,
96,89.83,89.865,88.98,89.345,94454.0,89.3098,1551967200000,840,
97,89.31,89.82,89.04,89.73,131931.0,89.49,1551970800000,1323,
98,89.62,90.45,89.56,90.18,115085.0,90.0768,1551974400000,1406,
99,90.17,90.3,89.86,90.17,64628.0,90.0604,1551978000000,946,
100,90.16,90.22,89.76,90.05,81697.0,89.957,1551981600000,1234,
101,90.0,90.08,89.48,89.58,86462.0,89.8394,1551985200000,1200,
102,89.57,89.94,89.51,89.64,200095.0,89.7512,1551988800000,2531,
103,89.64,89.64,89.64,89.64,8138.0,89.64,1551992400000,8,
104,89.64,89.64,88.27,88.27,2669.0,89.4244,1552050000000,2,
105,88.45,88.75,88.01,88.31,51797.0,88.473,1552053600000,638,
106,88.31,88.37,87.846,88.235,130688.0,88.1048,1552057200000,1869,
107,88.2,88.77,88.09,88.34,141042.0,88.5089,1552060800000,1717,
108,88.35,88.375,87.92,87.97,83667.0,88.1584,1552064400000,1148,
109,87.985,88.275,87.85,88.0,82261.0,88.049,1552068000000,1191,
110,88.02,88.42,87.93,88.27,110101.0,88.1638,1552071600000,1269,
111,88.29,88.45,88.085,88.42,304291.0,88.3184,1552075200000,3746,
112,88.46,88.46,88.46,88.46,21478.0,88.46,1552078800000,17,
113,88.0,88.43,88.0,88.43,311.0,88.2917,1552302000000,4,
114,89.0,90.305,88.17,90.24,88695.0,89.7706,1552309200000,669,
115,90.24,90.53,90.08,90.415,141261.0,90.3629,1552312800000,1511,
116,90.44,90.73,90.23,90.4,121040.0,90.518,1552316400000,1310,
117,90.35,90.6,90.3,90.43,73595.0,90.464,1552320000000,1005,
118,90.41,90.485,90.25,90.3,93081.0,90.3756,1552323600000,1229,
119,90.29,90.33,90.01,90.12,46257.0,90.1374,1552327200000,793,
120,90.11,90.43,90.03,90.43,146554.0,90.3148,1552330800000,2302,
121,90.42,90.42,90.42,90.42,3544.0,90.42,1552334400000,8,
122,90.53,90.77,89.99,90.29,18903.0,90.3441,1552395600000,273,
123,90.24,90.6,89.91,90.425,178323.0,90.4372,1552399200000,1729,
124,90.425,90.425,89.78,90.37,303727.0,90.1365,1552402800000,2926,
125,90.37,90.49,90.18,90.33,127911.0,90.3472,1552406400000,1438,
126,90.37,90.48,90.28,90.45,176428.0,90.3767,1552410000000,1708,
127,90.44,90.48,90.23,90.3,144405.0,90.3692,1552413600000,1493,
128,90.28,90.33,90.08,90.19,198463.0,90.2249,1552417200000,2601,
129,90.2,90.2,90.2,90.2,6501.0,90.2,1552420800000,15,
130,90.71,91.69,90.45,91.535,146841.0,91.193,1552482000000,1095,
131,91.57,91.83,91.155,91.81,183346.0,91.5065,1552485600000,1613,
132,91.83,92.29,91.82,91.96,104693.0,92.1076,1552489200000,1055,
133,91.995,92.205,91.62,91.68,107002.0,92.004,1552492800000,1089,
134,91.71,92.03,91.71,91.985,69990.0,91.869,1552496400000,963,
135,91.99,92.1025,91.32,91.47,45735.0,91.8024,1552500000000,789,
136,91.47,91.62,91.18,91.32,131248.0,91.3792,1552503600000,1970,
137,91.26,91.26,91.26,91.26,18962.0,91.26,1552507200000,13,
138,91.26,91.26,91.26,91.26,1413.0,91.26,1552514400000,1,
139,91.02,91.58,90.78,91.57,27691.0,91.1614,1552568400000,447,
140,91.51,91.845,91.06,91.69,67757.0,91.5429,1552572000000,1052,
141,91.73,91.82,91.38,91.54,121964.0,91.5639,1552575600000,1367,
142,91.525,91.99,91.525,91.76,165693.0,91.7075,1552579200000,1883,
143,91.74,91.86,91.33,91.55,77032.0,91.571,1552582800000,882,
144,91.53,91.53,91.215,91.43,64387.0,91.4265,1552586400000,975,
145,91.45,91.79,91.4,91.66,155391.0,91.6254,1552590000000,2256,
146,91.66,91.66,91.66,91.66,357502.0,91.66,1552593600000,11,
147,91.56,92.1,91.56,91.7,130109.0,91.6163,1552654800000,320,
148,91.705,91.915,91.27,91.46,127984.0,91.6206,1552658400000,1561,
149,91.465,91.88,91.38,91.6046,75946.0,91.5977,1552662000000,1018,
150,91.59,91.87,91.56,91.565,66299.0,91.7345,1552665600000,910,
151,91.58,91.64,91.42,91.43,76519.0,91.5224,1552669200000,952,
152,91.4,91.64,91.23,91.6,88480.0,91.3701,1552672800000,843,
153,91.6,91.6,90.925,91.17,221482.0,91.1968,1552676400000,2869,
154,91.2,91.2,91.2,91.2,3493.0,91.2,1552680000000,7,
155,91.47,91.77,91.25,91.54,44832.0,91.4876,1552914000000,498,
156,91.55,92.07,91.49,91.99,153466.0,91.7501,1552917600000,1558,
157,91.98,91.99,91.35,91.51,258512.0,91.7217,1552921200000,2297,
158,91.52,91.57,90.95,91.31,96253.0,91.1726,1552924800000,1357,
159,91.34,91.66,91.31,91.66,55175.0,91.5097,1552928400000,990,
160,91.7,91.77,91.61,91.67,57511.0,91.6945,1552932000000,914,
161,91.64,91.91,91.5,91.85,148713.0,91.752,1552935600000,2254,
162,91.83,91.83,91.83,91.83,6771.0,91.83,1552939200000,11,
163,92.41,92.5368,91.35,91.65,27287.0,91.9392,1553000400000,332,
164,91.665,91.91,91.41,91.42,115838.0,91.6641,1553004000000,1175,
165,91.47,92.18,91.445,92.15,55347.0,91.7534,1553007600000,898,
166,92.18,92.385,91.72,92.12,65121.0,92.1659,1553011200000,1025,
167,92.1,92.55,91.99,92.47,136509.0,92.3063,1553014800000,1321,
168,92.45,92.82,92.45,92.6,67922.0,92.6458,1553018400000,932,
169,92.57,92.72,92.34,92.6,230023.0,92.5454,1553022000000,2924,
170,92.6,92.6,92.6,92.6,9327.0,92.5999,1553025600000,16,
171,92.44,93.11,92.22,92.86,31505.0,92.8002,1553086800000,382,
172,92.84,93.08,92.5,92.56,70015.0,92.7716,1553090400000,926,
173,92.565,92.58,91.96,92.08,239111.0,92.2279,1553094000000,2213,
174,92.1,92.4,91.95,92.35,75975.0,92.2024,1553097600000,1061,
175,92.33,92.71,92.32,92.65,27290.0,92.4656,1553101200000,492,
176,92.67,93.89,92.67,93.53,103085.0,93.4629,1553104800000,1269,
177,93.57,93.74,92.77,92.99,138215.0,93.0517,1553108400000,2007,
178,92.98,92.98,92.98,92.98,12840.0,92.9797,1553112000000,12,
179,92.57,94.015,92.44,93.91,18127.0,93.4504,1553173200000,293,
180,93.65,94.34,93.595,94.07,85162.0,93.9876,1553176800000,1129,
181,94.1,94.48,94.0,94.435,79880.0,94.2103,1553180400000,1112,
182,94.39,94.4,94.13,94.26,60921.0,94.2607,1553184000000,896,
183,94.3,94.59,94.26,94.46,48767.0,94.4493,1553187600000,765,
184,94.45,94.95,94.4,94.77,59280.0,94.7603,1553191200000,944,
185,94.78,94.99,94.53,94.99,305258.0,94.8113,1553194800000,3404,
186,94.96,94.96,94.96,94.96,4706.0,94.96,1553198400000,6,
187,94.96,94.96,94.96,94.96,2252.0,94.96,1553202000000,1,
188,94.26,94.93,94.135,94.28,72645.0,94.4249,1553259600000,809,
189,94.22,94.62,93.83,93.93,182514.0,94.1294,1553263200000,1933,
190,93.925,94.06,93.135,93.135,312047.0,93.7297,1553266800000,3264,
191,93.15,93.295,92.83,93.19,265071.0,93.0999,1553270400000,2077,
192,93.17,93.44,92.69,92.89,201644.0,93.116,1553274000000,2045,
193,92.885,93.56,92.87,93.25,186867.0,93.1949,1553277600000,1854,
194,93.255,93.5,92.93,93.18,552049.0,93.2572,1553281200000,5879,
195,93.12,93.12,93.12,93.12,20993.0,93.12,1553284800000,19,
196,92.73,92.98,91.89,92.405,45931.0,92.3991,1553518800000,706,
197,92.47,93.04,91.94,92.83,158312.0,92.3632,1553522400000,1888,
198,92.79,93.43,92.6,92.655,269619.0,93.0608,1553526000000,2659,
199,92.66,93.105,92.315,92.64,146360.0,92.7886,1553529600000,1618,
200,92.7,92.7,91.89,92.01,189088.0,92.1153,1553533200000,1887,
201,92.0,92.28,91.85,92.2,98265.0,92.0605,1553536800000,1198,
202,92.24,92.49,91.99,92.06,170751.0,92.2112,1553540400000,2498,
203,92.01,92.01,92.01,92.01,6972.0,92.01,1553544000000,9,
204,92.8,93.61,92.2,93.61,75810.0,92.846,1553605200000,492,
205,93.63,93.715,92.76,93.55,139570.0,92.9839,1553608800000,978,
206,93.57,93.67,92.93,93.09,64040.0,93.3817,1553612400000,678,
207,93.06,93.36,92.44,92.505,73887.0,92.8379,1553616000000,1031,
208,92.5,92.65,92.04,92.11,95638.0,92.4303,1553619600000,1315,
209,92.14,92.47,92.01,92.38,95726.0,92.1988,1553623200000,1058,
210,92.47,92.77,92.27,92.67,181222.0,92.5429,1553626800000,2235,
211,92.72,92.72,92.72,92.72,4519.0,92.72,1553630400000,9,
212,92.84,92.84,92.12,92.18,35550.0,92.4735,1553691600000,564,
213,92.08,92.37,91.56,91.63,114989.0,91.9907,1553695200000,1482,
214,91.61,91.765,89.28,89.49,223610.0,89.9287,1553698800000,2918,
215,89.5,89.87,89.39,89.55,215862.0,89.6463,1553702400000,2793,
216,89.54,89.81,89.38,89.5,183451.0,89.6136,1553706000000,2220,
217,89.51,89.91,89.3,89.91,233571.0,89.5487,1553709600000,2409,
218,89.93,90.375,89.84,90.055,311919.0,90.073,1553713200000,3804,
219,90.04,90.04,90.04,90.04,4943.0,90.04,1553716800000,9,
220,90.4,90.74,89.46,90.5179,56944.0,90.2754,1553778000000,718,
221,90.565,91.145,90.02,90.02,129128.0,90.6319,1553781600000,1503,
222,90.02,90.37,89.61,90.23,89544.0,90.0126,1553785200000,1177,
223,90.21,90.76,90.16,90.7,49204.0,90.4137,1553788800000,774,
224,90.7,90.77,90.34,90.54,59677.0,90.5334,1553792400000,945,
225,90.53,90.56,90.21,90.36,55064.0,90.3711,1553796000000,885,
226,90.36,90.53,90.281,90.38,215574.0,90.3674,1553799600000,2679,
227,90.38,90.38,90.38,90.38,8314.0,90.38,1553803200000,16,
228,91.27,91.76,90.98,91.24,32082.0,91.3171,1553864400000,607,
229,91.28,91.93,91.17,91.82,170394.0,91.6502,1553868000000,1538,
230,91.8,92.06,91.63,91.65,79043.0,91.8396,1553871600000,917,
231,91.68,91.94,91.655,91.8,38505.0,91.809,1553875200000,659,
232,91.81,91.96,91.69,91.96,43785.0,91.8017,1553878800000,774,
233,91.95,92.29,91.81,92.22,65090.0,92.0334,1553882400000,997,
234,92.2,92.39,92.03,92.27,255428.0,92.2179,1553886000000,3310,
235,92.18,92.18,92.18,92.18,14185.0,92.1799,1553889600000,18,
236,93.2,94.25,92.695,93.59,108576.0,93.3593,1554123600000,1245,
237,93.59,93.835,92.87,93.695,104283.0,93.4387,1554127200000,1408,
238,93.72,94.145,93.705,93.93,95179.0,93.8704,1554130800000,1260,
239,93.9,94.23,93.75,94.23,83800.0,93.9987,1554134400000,1143,
240,94.2,94.3,93.9,94.03,76238.0,94.0731,1554138000000,1018,
241,94.03,94.37,93.99,94.36,110921.0,94.1946,1554141600000,1471,
242,94.33,94.98,94.28,94.95,267970.0,94.6607,1554145200000,3540,
243,94.96,94.96,94.96,94.96,27169.0,94.9596,1554148800000,25,
244,94.97,94.9999,94.37,94.66,65550.0,94.6024,1554210000000,810,
245,94.66,95.63,94.54,95.58,98188.0,95.2429,1554213600000,1492,
246,95.57,95.6299,95.15,95.48,94420.0,95.4056,1554217200000,1358,
247,95.495,95.56,95.09,95.14,96557.0,95.3392,1554220800000,1337,
248,95.15,95.36,95.08,95.09,146222.0,95.2527,1554224400000,1716,
249,95.09,95.56,95.04,95.49,109428.0,95.3282,1554228000000,1353,
250,95.48,95.54,94.93,95.0,283380.0,95.2484,1554231600000,3781,
251,95.01,95.15,95.01,95.15,7524.0,95.0156,1554235200000,15,
252,95.33,95.56,95.12,95.18,99531.0,95.4042,1554296400000,888,
253,95.19,95.84,94.95,95.68,113589.0,95.4713,1554300000000,1459,
254,95.7,95.8,95.36,95.59,71006.0,95.5685,1554303600000,1065,
255,95.595,96.03,95.55,95.64,76229.0,95.8307,1554307200000,1126,
256,95.67,95.78,95.27,95.32,73848.0,95.5678,1554310800000,1213,
257,95.28,95.28,95.01,95.09,81782.0,95.1395,1554314400000,1323,
258,95.09,95.28,94.83,95.23,274944.0,95.0831,1554318000000,3601,
259,95.21,95.21,95.21,95.21,7905.0,95.21,1554321600000,13,
260,95.4,95.4756,94.72,95.165,47173.0,94.9792,1554382800000,494,
261,95.11,95.11,93.47,93.6,72098.0,94.4574,1554386400000,888,
262,93.6,93.7,92.93,93.06,77051.0,93.2719,1554390000000,1183,
263,93.0,93.28,92.39,93.1,103356.0,92.7257,1554393600000,1285,
264,93.1,93.36,92.78,92.955,68615.0,93.0539,1554397200000,889,
265,92.93,93.51,92.93,93.47,67632.0,93.2295,1554400800000,935,
266,93.47,93.79,93.13,93.68,227974.0,93.4429,1554404400000,2771,
267,93.64,93.69,93.6,93.6,30980.0,93.6893,1554408000000,15,
268,93.86,94.44,93.63,94.0,40727.0,94.0673,1554469200000,623,
269,94.03,94.48,93.89,93.96,101752.0,94.1891,1554472800000,1074,
270,93.97,94.27,93.795,94.2,99203.0,94.072,1554476400000,1027,
271,94.2,94.25,93.98,94.04,76601.0,94.1721,1554480000000,921,
272,94.04,94.24,94.04,94.13,72433.0,94.1498,1554483600000,705,
273,94.13,94.15,93.86,93.945,42537.0,93.9803,1554487200000,685,
274,93.925,94.2,93.835,94.16,142164.0,94.0724,1554490800000,1846,
275,94.16,94.16,94.16,94.16,44454.0,94.16,1554494400000,12,
276,94.17,94.39,92.87,94.01,36836.0,93.5947,1554728400000,561,
277,93.91,94.14,93.44,93.75,236053.0,93.7432,1554732000000,1627,
278,93.765,94.15,93.64,93.69,140499.0,93.8818,1554735600000,1612,
279,93.69,93.99,93.54,93.94,135230.0,93.7868,1554739200000,1273,
280,93.94,94.01,93.77,93.9,98290.0,93.9055,1554742800000,1116,
281,93.9,94.0,93.75,93.99,90565.0,93.8546,1554746400000,896,
282,93.99,94.37,93.94,94.31,223019.0,94.1083,1554750000000,2526,
283,94.27,94.27,94.13,94.13,7075.0,94.2595,1554753600000,29,
284,93.75,94.85,93.75,94.7,29668.0,94.4633,1554814800000,398,
285,94.77,94.82,94.37,94.49,97789.0,94.5608,1554818400000,757,
286,94.48,94.83,94.3,94.35,108116.0,94.502,1554822000000,1130,
287,94.335,94.59,94.29,94.375,62703.0,94.408,1554825600000,802,
288,94.33,94.35,94.07,94.07,75398.0,94.2056,1554829200000,903,
289,94.09,94.32,94.06,94.28,121697.0,94.219,1554832800000,893,
290,94.23,94.39,93.9,94.1,180224.0,94.1575,1554836400000,2353,
291,94.1,94.1,94.1,94.1,243444.0,94.1,1554840000000,15,
292,94.43,95.18,94.22,94.9,51064.0,94.7481,1554901200000,481,
293,94.955,95.88,94.88,95.49,64229.0,95.4031,1554904800000,1058,
294,95.53,95.6,95.13,95.22,64000.0,95.3621,1554908400000,802,
295,95.26,95.44,95.09,95.25,49987.0,95.2646,1554912000000,655,
296,95.29,95.32,95.1,95.215,72643.0,95.2155,1554915600000,899,
297,95.23,95.3,94.84,95.05,76947.0,95.036,1554919200000,1051,
298,95.08,95.28,95.01,95.17,168369.0,95.1232,1554922800000,2235,
299,95.18,95.18,95.18,95.18,296492.0,95.18,1554926400000,19,
300,95.18,95.18,95.18,95.18,834.0,95.18,1554984000000,1,
301,95.57,96.26,95.44,96.01,39095.0,95.8838,1554987600000,603,
302,95.94,96.41,95.88,96.34,152727.0,96.0998,1554991200000,1337,
303,96.34,96.58,96.22,96.45,65652.0,96.3858,1554994800000,922,
304,96.42,96.94,96.41,96.91,84956.0,96.6514,1554998400000,1283,
305,96.88,96.91,96.67,96.695,57328.0,96.7672,1555002000000,877,
306,96.7,96.99,96.7,96.79,90484.0,96.8651,1555005600000,1173,
307,96.82,97.16,96.79,97.07,271737.0,96.9744,1555009200000,3158,
308,97.07,97.2,97.07,97.2,13744.0,97.0731,1555012800000,13,
309,98.16,99.0,97.68,98.98,183418.0,98.3594,1555074000000,1515,
310,99.0,99.61,98.8607,99.59,209496.0,99.2634,1555077600000,2485,
311,99.58,99.61,98.73,98.905,209862.0,99.2095,1555081200000,1764,
312,98.905,98.95,98.4,98.74,102405.0,98.6666,1555084800000,1258,
313,98.73,98.81,98.36,98.36,64805.0,98.6644,1555088400000,906,
314,98.36,98.7,98.34,98.56,88734.0,98.5466,1555092000000,1165,
315,98.54,98.77,98.43,98.58,279566.0,98.6311,1555095600000,3572,
316,98.59,98.59,98.59,98.59,5057.0,98.59,1555099200000,11,
317,98.47,99.26,98.47,98.68,37050.0,98.897,1555333200000,416,
318,98.66,98.98,98.2,98.61,57091.0,98.6037,1555336800000,860,
319,98.67,98.83,98.34,98.47,47422.0,98.625,1555340400000,702,
320,98.465,98.5,98.19,98.23,49899.0,98.3541,1555344000000,717,
321,98.24,98.24,97.99,98.01,85404.0,98.0908,1555347600000,1234,
322,98.0,98.23,97.93,98.23,80764.0,98.0426,1555351200000,1192,
323,98.24,98.24,97.85,97.98,182460.0,98.0353,1555354800000,2743,
324,97.99,97.99,97.99,97.99,16457.0,97.99,1555358400000,16,
325,98.47,98.47,97.68,97.88,174527.0,98.175,1555419600000,647,
326,98.01,98.05,97.44,97.53,112988.0,97.7758,1555423200000,1369,
327,97.52,97.755,97.48,97.55,82951.0,97.6115,1555426800000,1040,
328,97.52,97.77,97.5,97.72,76363.0,97.6085,1555430400000,1005,
329,97.72,97.87,97.62,97.79,54399.0,97.748,1555434000000,800,
330,97.75,97.835,97.66,97.77,52554.0,97.7522,1555437600000,896,
331,97.8,97.87,96.91,97.32,190245.0,97.3344,1555441200000,2755,
332,97.33,97.33,97.33,97.33,52753.0,97.33,1555444800000,16,
333,98.11,98.11,97.0005,97.0005,86992.0,97.7251,1555506000000,915,
334,96.98,97.04,96.27,96.445,89157.0,96.6296,1555509600000,1270,
335,96.44,96.7,96.11,96.31,59798.0,96.395,1555513200000,1009,
336,96.24,96.64,96.15,96.49,91999.0,96.4262,1555516800000,1148,
337,96.47,96.55,96.11,96.12,84048.0,96.2709,1555520400000,920,
338,96.14,96.3,95.86,96.28,62049.0,96.105,1555524000000,906,
339,96.27,96.38,96.04,96.2,155168.0,96.173,1555527600000,2604,
340,96.23,96.23,96.23,96.23,6153.0,96.23,1555531200000,12,
