,date,open,high,low,close,volume
0,2019-02-19 00:00:00,36.55,37.15,36.35,37.08,4750845.0
1,2019-02-20 00:00:00,37.01,37.7,36.765,37.66,4372949.0
2,2019-02-21 00:00:00,37.7,37.73,37.105,37.23,4322781.0
3,2019-02-22 00:00:00,37.28,37.36,36.85,37.23,4017527.0
4,2019-02-25 00:00:00,37.6,37.68,37.04,37.04,3694989.0
5,2019-02-26 00:00:00,36.83,37.17,36.57,36.69,3734701.0
6,2019-02-27 00:00:00,36.8,37.09,36.53,37.03,2860788.0
7,2019-02-28 00:00:00,37.15,37.17,36.84,36.94,3530454.0
8,2019-03-01 00:00:00,37.22,37.58,36.78,37.0,3403097.0
9,2019-03-04 00:00:00,37.06,37.5,36.51,36.85,3610118.0
10,2019-03-05 00:00:00,36.78,36.8394,36.02,36.54,3525765.0
11,2019-03-06 00:00:00,36.44,36.5209,35.69,35.73,3179089.0
12,2019-03-07 00:00:00,35.44,35.49,34.835,34.92,4456406.0
13,2019-03-08 00:00:00,34.53,34.91,34.42,34.76,4147403.0
14,2019-03-11 00:00:00,34.94,35.1853,34.65,35.1,2968793.0
15,2019-03-12 00:00:00,35.24,35.41,34.895,35.06,3449548.0
16,2019-03-13 00:00:00,35.31,35.665,35.02,35.5,3442378.0
17,2019-03-14 00:00:00,35.55,35.88,35.435,35.74,3821276.0
18,2019-03-15 00:00:00,35.68,36.02,35.575,35.87,4576910.0
19,2019-03-18 00:00:00,36.02,36.53,36.0,36.4,3817743.0
20,2019-03-19 00:00:00,36.77,36.78,35.7,35.74,3405425.0
21,2019-03-20 00:00:00,35.62,35.785,34.25,34.26,6006406.0
22,2019-03-21 00:00:00,34.06,34.06,33.21,33.28,6460861.0
23,2019-03-22 00:00:00,33.05,33.05,31.31,31.77,7395514.0
24,2019-03-25 00:00:00,31.82,32.18,31.295,31.61,6415875.0
25,2019-03-26 00:00:00,31.92,32.33,31.66,32.22,8749835.0
26,2019-03-27 00:00:00,32.07,32.22,31.635,31.99,5497046.0
27,2019-03-28 00:00:00,32.1,32.46,31.87,32.43,4110527.0
28,2019-03-29 00:00:00,32.76,32.83,32.375,32.5,3938073.0
29,2019-04-01 00:00:00,32.82,33.845,32.8,33.75,4948963.0
30,2019-04-02 00:00:00,33.74,34.33,33.5,34.01,4505429.0
31,2019-04-03 00:00:00,34.54,34.84,33.99,34.15,4978943.0
32,2019-04-04 00:00:00,34.02,34.985,34.02,34.7,4369145.0
33,2019-04-05 00:00:00,34.68,34.94,34.23,34.58,3839899.0
34,2019-04-08 00:00:00,34.42,34.86,34.35,34.67,2533407.0
35,2019-04-09 00:00:00,34.39,34.58,33.775,33.96,4011159.0
36,2019-04-10 00:00:00,34.13,34.28,33.585,34.11,5313548.0
37,2019-04-11 00:00:00,34.3,34.72,34.01,34.36,5810245.0
38,2019-04-12 00:00:00,35.04,35.36,34.21,35.06,4809147.0
39,2019-04-15 00:00:00,35.06,35.18,34.325,34.45,3685744.0
40,2019-04-16 00:00:00,34.58,34.92,33.875,34.9,5238871.0
41,2019-04-17 00:00:00,34.86,35.1,34.57,35.0,6190301.0
42,2019-04-18 00:00:00,35.19,35.89,34.93,35.36,7898577.0
43,2019-04-22 00:00:00,35.48,35.875,35.06,35.7,7449089.0
44,2019-04-23 00:00:00,35.57,36.21,35.41,36.1,5423925.0
45,2019-04-24 00:00:00,35.94,36.03,35.525,35.81,3669474.0
46,2019-04-25 00:00:00,35.56,36.03,35.29,35.72,2680722.0
47,2019-04-26 00:00:00,35.76,36.18,35.52,35.97,3017729.0
48,2019-04-29 00:00:00,36.1,36.63,36.0657,36.39,3033596.0
49,2019-04-30 00:00:00,36.17,36.3358,35.7,36.2,5657772.0
50,2019-05-01 00:00:00,36.18,36.59,35.63,35.89,5024385.0
51,2019-05-02 00:00:00,35.9,36.465,35.88,36.25,4030915.0
52,2019-05-03 00:00:00,36.42,36.89,36.33,36.8,4094923.0
53,2019-05-06 00:00:00,35.89,36.82,35.89,36.59,3381827.0
54,2019-05-07 00:00:00,36.06,36.35,35.715,35.9,3006623.0
55,2019-05-08 00:00:00,35.71,36.05,35.38,35.67,4487905.0
56,2019-05-09 00:00:00,35.28,35.94,35.08,35.82,4440537.0
57,2019-05-10 00:00:00,35.75,36.15,35.24,36.05,4005183.0
58,2019-05-13 00:00:00,35.25,35.47,34.46,34.52,4061799.0
59,2019-05-14 00:00:00,34.51,35.31,34.44,34.91,3413397.0
60,2019-05-15 00:00:00,34.42,34.555,33.725,34.21,3972049.0
61,2019-05-16 00:00:00,34.43,35.07,34.42,34.76,3301415.0
62,2019-05-17 00:00:00,34.31,35.12,34.31,34.76,3463422.0
63,2019-05-20 00:00:00,34.61,35.08,34.605,34.85,2657949.0
64,2019-05-21 00:00:00,35.19,35.495,35.08,35.27,3425751.0
65,2019-05-22 00:00:00,34.94,35.08,34.68,34.88,2069684.0
66,2019-05-23 00:00:00,34.5,34.5,33.76,34.02,4072265.0
67,2019-05-24 00:00:00,34.2,34.51,34.015,34.44,3329904.0
68,2019-05-28 00:00:00,34.26,34.47,33.75,33.76,3341670.0
69,2019-05-29 00:00:00,33.34,34.005,33.125,33.95,2929608.0
70,2019-05-30 00:00:00,33.96,34.27,33.29,33.52,2777250.0
71,2019-05-31 00:00:00,32.72,33.12,32.535,32.58,3362642.0
72,2019-06-03 00:00:00,32.48,33.41,32.36,33.1,4301672.0
73,2019-06-04 00:00:00,33.65,34.59,33.58,34.54,3276887.0
74,2019-06-05 00:00:00,34.57,34.57,33.785,34.31,3847076.0
75,2019-06-06 00:00:00,34.21,34.56,33.715,34.41,3257420.0
76,2019-06-07 00:00:00,34.26,34.28,33.805,33.86,2455825.0
77,2019-06-10 00:00:00,34.32,34.76,34.18,34.46,7128521.0
78,2019-06-11 00:00:00,34.65,35.23,34.63,34.84,2841421.0
79,2019-06-12 00:00:00,34.82,35.02,34.59,34.75,4132941.0
80,2019-06-13 00:00:00,34.98,35.17,34.7,34.88,3314645.0
81,2019-06-14 00:00:00,34.9,35.13,34.305,34.97,2701320.0
82,2019-06-17 00:00:00,35.02,35.24,34.3,34.38,1625677.0
83,2019-06-18 00:00:00,34.27,35.34,34.1,35.29,3578497.0
84,2019-06-19 00:00:00,35.53,35.93,34.59,34.67,3834383.0
85,2019-06-20 00:00:00,34.77,35.01,33.88,34.96,3969678.0
86,2019-06-21 00:00:00,34.91,35.235,34.75,34.79,5423072.0
87,2019-06-24 00:00:00,34.72,35.125,34.38,34.46,3906211.0
88,2019-06-25 00:00:00,34.38,34.52,33.76,34.34,3060743.0
89,2019-06-26 00:00:00,34.48,34.89,34.37,34.39,3707343.0
90,2019-06-27 00:00:00,34.57,35.02,34.535,34.77,3405890.0
91,2019-06-28 00:00:00,35.36,35.75,34.67,35.36,5347876.0
92,2019-07-01 00:00:00,35.79,36.295,35.27,35.6,4676939.0
93,2019-07-02 00:00:00,35.43,35.565,34.775,35.02,4293567.0
94,2019-07-03 00:00:00,35.14,35.58,34.94,35.51,1999016.0
95,2019-07-05 00:00:00,35.95,36.42,35.79,35.89,2759663.0
96,2019-07-08 00:00:00,35.58,36.07,35.5,35.6,3583718.0
97,2019-07-09 00:00:00,35.5,36.065,35.26,35.99,4464571.0
98,2019-07-10 00:00:00,35.5,35.82,34.98,34.99,5848935.0
99,2019-07-11 00:00:00,35.0,35.735,34.99,35.56,4703348.0
100,2019-07-12 00:00:00,35.52,35.88,35.22,35.75,4561989.0
101,2019-07-15 00:00:00,35.67,35.67,34.955,35.08,4817972.0
102,2019-07-16 00:00:00,35.17,35.24,34.7,34.94,5662661.0
103,2019-07-17 00:00:00,34.77,34.855,34.33,34.35,3716584.0
104,2019-07-18 00:00:00,34.58,34.92,34.31,34.62,6626161.0
105,2019-07-19 00:00:00,35.74,36.95,35.25,36.83,11779804.0
106,2019-07-22 00:00:00,36.53,36.76,36.24,36.58,5762173.0
107,2019-07-23 00:00:00,36.74,37.32,36.64,37.16,4325662.0
108,2019-07-24 00:00:00,37.15,37.9699,37.1,37.62,3464586.0
109,2019-07-25 00:00:00,37.75,38.055,36.94,37.02,4724083.0
110,2019-07-26 00:00:00,37.35,37.81,37.25,37.68,4074052.0
111,2019-07-29 00:00:00,37.93,37.99,37.39,37.53,3642381.0
112,2019-07-30 00:00:00,36.91,37.7,36.74,37.64,3316194.0
113,2019-07-31 00:00:00,37.54,37.85,37.185,37.26,4179587.0
114,2019-08-01 00:00:00,37.07,37.36,35.56,35.68,8110490.0
115,2019-08-02 00:00:00,35.54,35.7,35.05,35.51,4264215.0
116,2019-08-05 00:00:00,34.85,34.91,34.19,34.62,9130309.0
117,2019-08-06 00:00:00,34.86,34.99,34.135,34.78,5100481.0
118,2019-08-07 00:00:00,33.8,33.87,32.845,33.23,7406295.0
119,2019-08-08 00:00:00,33.56,34.08,33.45,33.5,7174404.0
120,2019-08-09 00:00:00,33.33,33.55,32.835,33.31,3721079.0
121,2019-08-12 00:00:00,32.82,32.95,32.53,32.68,2506421.0
122,2019-08-13 00:00:00,32.66,33.66,32.42,33.13,4610559.0
123,2019-08-14 00:00:00,32.16,32.27,31.365,31.72,6806958.0
124,2019-08-15 00:00:00,31.91,32.1,31.345,31.42,5329932.0
125,2019-08-16 00:00:00,31.79,32.625,31.7,32.4,3488458.0
126,2019-08-19 00:00:00,33.09,33.26,32.835,32.95,3234350.0
127,2019-08-20 00:00:00,32.73,32.77,32.27,32.3,3457384.0
128,2019-08-21 00:00:00,32.67,32.77,32.335,32.6,3222111.0
129,2019-08-22 00:00:00,32.89,33.09,32.4,32.77,3033333.0
130,2019-08-23 00:00:00,32.82,33.08,31.61,31.77,3632609.0
131,2019-08-26 00:00:00,32.1,32.295,31.87,32.21,2680488.0
132,2019-08-27 00:00:00,32.38,32.46,31.66,31.89,4522697.0
133,2019-08-28 00:00:00,31.79,33.085,31.71,32.86,4616192.0
134,2019-08-29 00:00:00,33.14,33.72,33.11,33.49,5227501.0
135,2019-08-30 00:00:00,33.83,34.4,33.68,33.74,5581582.0
136,2019-09-03 00:00:00,33.34,33.41,32.53,32.89,3206709.0
137,2019-09-04 00:00:00,33.16,33.38,32.97,33.25,2991500.0
138,2019-09-05 00:00:00,34.01,34.715,33.8,34.2,3934642.0
139,2019-09-06 00:00:00,34.23,34.52,33.99,34.14,2899872.0
140,2019-09-09 00:00:00,34.52,35.82,34.31,35.72,3836991.0
141,2019-09-10 00:00:00,36.0,36.645,35.83,36.28,3711070.0
142,2019-09-11 00:00:00,36.5,36.64,35.68,36.21,4378691.0
143,2019-09-12 00:00:00,35.59,36.665,35.35,36.37,5317509.0
144,2019-09-13 00:00:00,36.96,37.34,36.71,36.83,4107494.0
145,2019-09-16 00:00:00,36.28,37.0,36.2,36.96,2630413.0
146,2019-09-17 00:00:00,36.68,36.68,36.075,36.4,3172634.0
