,date,open,high,low,close,volume
0,2019-02-19 04:00:00,80.96,80.96,80.96,80.96,56.25
1,2019-02-19 05:00:00,80.56,80.56,80.32,80.4,1188.75
2,2019-02-19 06:00:00,80.4,80.4,80.24,80.24,25.0
3,2019-02-19 07:00:00,80.48,80.72,80.48,80.72,2204.5
4,2019-02-19 08:00:00,80.56,81.04,80.4,80.56,30027.5
5,2019-02-19 09:00:00,80.48,80.72,79.6,80.12,1594451.75
6,2019-02-19 10:00:00,80.16,80.48,79.84,80.0,1042085.375
7,2019-02-19 11:00:00,80.0,80.24,79.92,80.08,950460.375
8,2019-02-19 12:00:00,80.08,80.16,79.92,80.08,651959.125
9,2019-02-19 13:00:00,80.08,80.2,79.92,80.0,549786.125
10,2019-02-19 14:00:00,80.04,80.92,79.84,80.8,1201018.0
11,2019-02-19 15:00:00,80.76,81.2,80.6472,81.04,1375374.375
12,2019-02-19 16:00:00,80.96,81.04,80.6408,80.8,48839.125
13,2019-02-19 17:00:00,80.96,80.96,80.72,80.72,1701.0
14,2019-02-19 18:00:00,80.8,80.8,80.72,80.72,930.875
15,2019-02-19 19:00:00,80.8,80.88,80.72,80.88,1565.125
16,2019-02-20 04:00:00,80.48,80.48,80.48,80.48,375.0
17,2019-02-20 05:00:00,80.96,80.96,80.96,80.96,26.0
18,2019-02-20 07:00:00,80.8,81.04,80.56,80.72,2585.0
19,2019-02-20 08:00:00,80.7208,80.96,80.48,80.48,10271.125
20,2019-02-20 09:00:00,80.5592,81.04,80.24,80.64,663575.0
21,2019-02-20 10:00:00,80.6,80.96,80.08,80.6528,1246505.375
22,2019-02-20 11:00:00,80.72,81.0,80.48,80.68,727114.875
23,2019-02-20 12:00:00,80.64,80.88,80.52,80.88,448870.125
24,2019-02-20 13:00:00,80.84,81.04,80.24,80.28,687135.125
25,2019-02-20 14:00:00,80.28,80.8,80.28,80.6,719584.375
26,2019-02-20 15:00:00,80.64,80.8,80.56,80.8,819931.75
27,2019-02-20 16:00:00,80.8,80.8,80.64,80.64,132439.375
28,2019-02-20 17:00:00,80.72,80.72,80.64,80.72,1995.625
29,2019-02-20 18:00:00,80.72,80.72,80.64,80.72,845.625
30,2019-02-20 19:00:00,80.72,80.72,80.64,80.72,1168.75
31,2019-02-21 04:00:00,80.8,80.8,80.64,80.64,302.75
32,2019-02-21 05:00:00,80.64,80.72,80.56,80.56,379.25
33,2019-02-21 06:00:00,80.16,80.16,80.16,80.16,56.25
34,2019-02-21 07:00:00,80.56,80.64,80.48,80.64,1101.75
35,2019-02-21 08:00:00,80.44,80.64,80.44,80.64,3475.75
36,2019-02-21 09:00:00,80.56,81.52,80.24,81.32,881645.125
37,2019-02-21 10:00:00,81.32,81.56,80.8,80.88,1071692.875
38,2019-02-21 11:00:00,80.824,81.08,80.64,81.04,941373.5
39,2019-02-21 12:00:00,81.0,81.2,80.8,80.88,566899.125
40,2019-02-21 13:00:00,80.84,81.04,80.8,80.92,287687.5
41,2019-02-21 14:00:00,80.92,81.04,80.0,80.2,976566.125
42,2019-02-21 15:00:00,80.2,80.48,80.08,80.24,1019317.875
43,2019-02-21 16:00:00,80.16,80.32,80.16,80.32,142896.0
44,2019-02-21 17:00:00,80.24,80.4,80.16,80.24,3109.625
45,2019-02-21 18:00:00,80.24,80.4,80.16,80.16,6996.25
46,2019-02-21 19:00:00,80.24,80.32,80.16,80.16,2046.25
47,2019-02-22 05:00:00,80.32,80.32,80.32,80.32,87.5
48,2019-02-22 06:00:00,80.32,80.32,80.32,80.32,374.125
49,2019-02-22 07:00:00,80.32,80.72,80.32,80.56,3949.375
50,2019-02-22 08:00:00,80.5592,80.72,80.4,80.48,10599.875
51,2019-02-22 09:00:00,80.48,81.04,79.92,80.872,858474.125
52,2019-02-22 10:00:00,80.84,81.28,80.48,81.08,1228003.5
53,2019-02-22 11:00:00,81.12,81.28,80.72,81.0672,849033.0
54,2019-02-22 12:00:00,81.08,81.12,80.88,81.08,459255.375
55,2019-02-22 13:00:00,81.08,81.12,80.72,80.88,482101.625
56,2019-02-22 14:00:00,80.88,80.96,80.48,80.68,657355.5
57,2019-02-22 15:00:00,80.64,81.44,80.64,81.36,1386893.5
58,2019-02-22 16:00:00,81.44,81.44,80.8,81.44,103398.375
59,2019-02-22 17:00:00,81.36,81.44,81.28,81.36,1027.875
60,2019-02-22 18:00:00,81.36,81.36,81.2,81.2,954.0
61,2019-02-22 19:00:00,81.36,81.36,81.12,81.28,11124.5
62,2019-02-25 04:00:00,81.28,81.44,81.28,81.44,108.25
63,2019-02-25 05:00:00,81.6,81.6,81.36,81.36,43.75
64,2019-02-25 06:00:00,81.44,81.44,81.36,81.36,387.5
65,2019-02-25 07:00:00,81.28,93.92,81.28,93.84,735889.0
