,date,open,high,low,close,volume
0,2019-02-19 08:00:00,62.46,63.665,61.96,63.63,595202.0
1,2019-02-19 12:00:00,63.635,63.77,63.01,63.14,1431629.0
2,2019-02-19 16:00:00,63.11,63.35,63.11,63.35,102394.0
3,2019-02-20 04:00:00,61.2,61.2,60.0,60.6,5257.0
4,2019-02-20 08:00:00,59.0001,60.9,57.76,59.51,2515659.0
5,2019-02-20 12:00:00,59.52,60.22,58.98,60.17,2132053.0
6,2019-02-20 16:00:00,60.17,60.17,60.05,60.05,32379.0
7,2019-02-21 08:00:00,60.03,61.86,59.5062,60.78,1870045.0
8,2019-02-21 12:00:00,60.77,60.96,59.84,59.98,1790053.0
9,2019-02-21 16:00:00,59.98,59.98,59.98,59.98,28427.0
10,2019-02-22 08:00:00,60.1,61.37,59.95,61.275,798254.0
11,2019-02-22 12:00:00,61.25,61.25,59.87,59.93,1394998.0
12,2019-02-22 16:00:00,59.94,59.94,59.94,59.94,33952.0
13,2019-02-25 08:00:00,60.37,60.7,59.96,60.46,548158.0
14,2019-02-25 12:00:00,60.45,60.48,59.81,59.82,713289.0
15,2019-02-25 16:00:00,59.83,59.83,59.83,59.83,46737.0
16,2019-02-26 08:00:00,59.87,59.95,58.74,59.07,580197.0
17,2019-02-26 12:00:00,59.08,59.16,58.46,58.47,1279362.0
18,2019-02-26 16:00:00,58.49,58.49,58.49,58.49,14609.0
19,2019-02-27 08:00:00,58.18,58.59,57.9,58.02,1127766.0
20,2019-02-27 12:00:00,58.03,58.43,57.96,58.4,1381322.0
21,2019-02-27 16:00:00,58.4,58.4,58.4,58.4,6980.0
22,2019-02-28 08:00:00,58.36,58.785,58.14,58.46,1553676.0
23,2019-02-28 12:00:00,58.46,59.4,58.46,59.31,1129302.0
24,2019-02-28 16:00:00,59.3,59.3,59.3,59.3,75429.0
25,2019-03-01 08:00:00,59.62,61.09,59.55,60.025,664084.0
26,2019-03-01 12:00:00,60.03,60.29,59.96,60.07,907473.0
27,2019-03-01 16:00:00,60.07,60.07,60.07,60.07,11710.0
28,2019-03-04 08:00:00,60.15,60.15,59.255,59.42,475978.0
29,2019-03-04 12:00:00,59.415,59.87,58.98,59.75,948761.0
30,2019-03-04 16:00:00,59.72,59.76,59.72,59.76,25962.0
31,2019-03-05 08:00:00,59.87,60.01,59.34,59.425,469256.0
32,2019-03-05 12:00:00,59.425,59.53,58.83,58.86,1175755.0
33,2019-03-05 16:00:00,58.87,58.87,58.87,58.87,20135.0
34,2019-03-06 08:00:00,58.87,58.88,57.55,57.76,251967.0
35,2019-03-06 12:00:00,57.75,57.92,57.52,57.69,663929.0
36,2019-03-06 16:00:00,57.7,57.7,57.7,57.7,7837.0
37,2019-03-07 08:00:00,57.65,57.99,56.58,57.63,876076.0
38,2019-03-07 12:00:00,57.63,57.91,57.18,57.4,1493872.0
39,2019-03-07 16:00:00,57.4,57.4,57.32,57.4,888693.0
40,2019-03-08 08:00:00,57.4,58.38,56.9,58.33,568618.0
41,2019-03-08 12:00:00,58.33,58.65,58.01,58.59,1252742.0
42,2019-03-08 16:00:00,58.57,58.57,58.57,58.57,332708.0
43,2019-03-11 09:00:00,58.79,59.68,58.79,59.55,883275.0
44,2019-03-11 13:00:00,59.54,60.005,59.52,59.93,931729.0
45,2019-03-12 09:00:00,60.12,60.49,59.92,60.18,292662.0
46,2019-03-12 13:00:00,60.19,60.36,59.6,59.71,596875.0
47,2019-03-13 09:00:00,59.94,60.59,59.78,60.23,406091.0
48,2019-03-13 13:00:00,60.26,60.43,59.77,60.15,413293.0
49,2019-03-13 17:00:00,60.15,60.15,60.15,60.15,344.0
50,2019-03-14 09:00:00,60.12,60.15,59.32,59.35,619236.0
51,2019-03-14 13:00:00,59.35,59.46,59.01,59.1,837957.0
52,2019-03-15 09:00:00,59.1,59.74,58.87,59.5,789645.0
53,2019-03-15 13:00:00,59.5366,59.59,59.03,59.29,707895.0
54,2019-03-18 09:00:00,59.41,60.0,59.41,59.72,507212.0
55,2019-03-18 13:00:00,59.73,59.88,59.52,59.78,492701.0
56,2019-03-19 09:00:00,60.0,60.87,59.96,60.7,348244.0
57,2019-03-19 13:00:00,60.67,60.76,60.25,60.5,505283.0
58,2019-03-20 09:00:00,60.33,60.48,59.674,59.89,256169.0
59,2019-03-20 13:00:00,59.86,60.68,59.85,60.18,409191.0
60,2019-03-21 09:00:00,59.85,61.27,59.66,61.25,357629.0
61,2019-03-21 13:00:00,61.27,61.43,61.1,61.22,471246.0
62,2019-03-21 17:00:00,61.22,61.22,61.22,61.22,3045.0
63,2019-03-22 09:00:00,60.94,61.05,59.77,59.9792,367825.0
64,2019-03-22 13:00:00,60.0,60.255,59.75,59.82,625098.0
65,2019-03-25 09:00:00,59.78,60.0,58.65,58.86,448220.0
66,2019-03-25 13:00:00,58.88,59.11,58.64,58.87,456318.0
67,2019-03-26 09:00:00,59.1,59.62,58.31,58.85,418874.0
68,2019-03-26 13:00:00,58.84,59.3897,58.77,59.34,490900.0
