,date,open,high,low,close,volume
0,2019-02-19 08:00:00,77.0,77.635,77.0,77.39,267507.0
1,2019-02-19 12:00:00,77.39,77.57,77.23,77.27,478338.0
2,2019-02-19 16:00:00,77.27,77.27,77.27,77.27,161133.0
3,2019-02-20 08:00:00,77.37,77.47,76.86,77.02,261373.0
4,2019-02-20 12:00:00,77.03,77.39,76.96,77.24,432009.0
5,2019-02-20 16:00:00,77.23,77.23,77.02,77.23,289685.0
6,2019-02-21 08:00:00,77.38,77.64,76.94,77.625,224787.0
7,2019-02-21 12:00:00,77.625,77.69,77.2995,77.64,415964.0
8,2019-02-21 16:00:00,77.64,77.64,77.64,77.64,12944.0
9,2019-02-22 04:00:00,77.96,77.96,77.96,77.96,300.0
10,2019-02-22 08:00:00,78.2,78.2,77.15,77.46,304783.0
11,2019-02-22 12:00:00,77.45,77.68,77.42,77.62,495684.0
12,2019-02-22 16:00:00,77.63,77.63,77.63,77.63,138940.0
13,2019-02-25 08:00:00,77.73,77.93,77.47,77.6537,241885.0
14,2019-02-25 12:00:00,77.66,77.75,77.535,77.69,562927.0
15,2019-02-25 16:00:00,77.69,77.69,77.69,77.69,16841.0
16,2019-02-26 08:00:00,77.75,78.17,77.64,77.72,456427.0
17,2019-02-26 12:00:00,77.72,77.725,77.42,77.51,457045.0
18,2019-02-26 16:00:00,77.5,77.5,77.5,77.5,218397.0
19,2019-02-27 08:00:00,77.32,77.88,77.255,77.7,193423.0
20,2019-02-27 12:00:00,77.69,78.07,77.68,78.01,431617.0
21,2019-02-27 16:00:00,78.0,78.0,78.0,78.0,15862.0
22,2019-02-28 08:00:00,77.99,78.52,77.84,78.4425,377919.0
23,2019-02-28 12:00:00,78.445,78.549,77.99,78.42,995517.0
24,2019-02-28 16:00:00,78.43,78.43,78.43,78.43,136283.0
25,2019-03-01 08:00:00,78.84,78.84,78.21,78.32,248561.0
26,2019-03-01 12:00:00,78.33,78.76,78.26,78.54,466940.0
27,2019-03-01 16:00:00,78.52,78.52,78.52,78.52,47332.0
28,2019-03-04 08:00:00,78.89,78.98,77.84,77.89,261451.0
29,2019-03-04 12:00:00,77.89,78.17,77.61,78.06,425949.0
30,2019-03-04 16:00:00,78.05,78.05,78.05,78.05,40134.0
31,2019-03-05 08:00:00,78.09,78.39,78.0,78.255,174684.0
32,2019-03-05 12:00:00,78.24,78.415,78.06,78.08,440671.0
33,2019-03-05 16:00:00,78.07,78.07,78.07,78.07,41673.0
34,2019-03-06 08:00:00,78.13,78.56,78.06,78.48,274922.0
35,2019-03-06 12:00:00,78.48,78.6,78.3,78.45,585779.0
36,2019-03-06 16:00:00,78.45,78.45,78.45,78.45,51857.0
37,2019-03-07 08:00:00,78.44,78.44,78.07,78.39,335844.0
38,2019-03-07 12:00:00,78.4,78.64,78.26,78.49,658980.0
39,2019-03-07 16:00:00,78.48,78.48,78.48,78.48,22015.0
40,2019-03-08 08:00:00,78.48,78.58,77.93,77.94,297530.0
41,2019-03-08 12:00:00,77.94,78.0,77.44,77.91,577466.0
42,2019-03-08 16:00:00,77.9,77.9,77.9,77.9,19374.0
43,2019-03-11 09:00:00,77.93,78.38,77.93,78.14,280195.0
44,2019-03-11 13:00:00,78.15,78.5,78.04,78.48,391659.0
45,2019-03-12 09:00:00,78.55,78.64,78.21,78.48,267019.0
46,2019-03-12 13:00:00,78.48,78.53,78.32,78.44,435847.0
