,date,open,high,low,close,volume
0,2019-02-19 08:00:00,27.43,27.58,27.11,27.56,2256301.0
1,2019-02-19 12:00:00,27.56,27.59,27.41,27.44,3944207.0
2,2019-02-19 16:00:00,27.44,27.44,27.42,27.44,62026.0
3,2019-02-20 04:00:00,27.4,27.4,27.4,27.4,100.0
4,2019-02-20 08:00:00,27.42,27.53,27.35,27.44,1954093.0
5,2019-02-20 12:00:00,27.44,27.52,27.3,27.34,2872761.0
6,2019-02-20 16:00:00,27.35,27.35,27.25,27.25,45490.0
7,2019-02-21 08:00:00,27.3,27.33,27.085,27.15,2866546.0
8,2019-02-21 12:00:00,27.145,27.195,26.92,27.05,3998756.0
9,2019-02-21 16:00:00,27.06,27.06,27.06,27.06,72729.0
10,2019-02-22 08:00:00,27.25,27.345,27.105,27.295,2806909.0
11,2019-02-22 12:00:00,27.2961,27.38,27.07,27.11,3435170.0
12,2019-02-22 16:00:00,27.11,27.11,27.1,27.11,83081.0
13,2019-02-25 04:00:00,27.15,27.15,27.15,27.15,1000.0
14,2019-02-25 08:00:00,27.04,27.31,27.04,27.145,2109296.0
15,2019-02-25 12:00:00,27.14,27.39,27.14,27.36,3719396.0
16,2019-02-25 16:00:00,27.35,27.35,27.35,27.35,103960.0
17,2019-02-26 08:00:00,27.39,27.55,27.3,27.34,2882264.0
18,2019-02-26 12:00:00,27.345,27.345,26.94,26.96,3592104.0
19,2019-02-26 16:00:00,26.97,26.97,26.97,26.97,74801.0
20,2019-02-27 04:00:00,27.0,27.0,27.0,27.0,1000.0
21,2019-02-27 08:00:00,27.0,27.125,26.735,27.12,2055536.0
22,2019-02-27 12:00:00,27.12,27.205,27.05,27.09,2035273.0
23,2019-02-27 16:00:00,27.09,27.1,27.02,27.05,34447.0
24,2019-02-28 08:00:00,27.04,27.13,26.735,26.875,2494315.0
25,2019-02-28 12:00:00,26.875,26.91,26.64,26.7,4546230.0
26,2019-02-28 16:00:00,26.69,26.69,26.69,26.69,156718.0
