,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,187.79,188.47,186.85,186.97,2267508.0,187.3865,1550552400000,25607,
1,187.19,189.22,186.48,186.92,3046393.0,187.356,1550638800000,28277,
2,186.39,187.4,184.75,185.5,2947581.0,185.632,1550725200000,29570,
3,185.89,188.86,185.81,187.5,2774101.0,187.4427,1550811600000,30863,
4,188.66,190.47,187.89,189.81,3182578.0,189.2694,1551070800000,32170,
5,189.56,191.65,189.36,190.08,2430987.0,190.7863,1551157200000,28041,
6,188.74,192.19,188.66,191.42,1886181.0,190.7854,1551243600000,22689,
7,191.38,191.63,189.73,190.08,2776151.0,190.4053,1551330000000,23853,
8,191.39,192.0608,190.47,191.16,2409415.0,191.3284,1551416400000,24350,
9,191.82,192.12,187.41,189.78,2274816.0,189.462,1551675600000,27368,
10,190.0,190.67,188.79,188.82,3445548.0,189.1896,1551762000000,21573,
11,188.88,189.37,182.4321,183.15,3956377.0,183.9368,1551848400000,41872,
12,182.92,183.16,180.6,181.46,3421744.0,181.4253,1551934800000,36540,
13,180.6,181.31,179.01,180.87,2750928.0,180.2021,1552021200000,33107,
14,181.84,184.6,181.4,184.14,2816931.0,183.7197,1552276800000,29057,
15,184.61,184.95,183.52,184.18,2677485.0,184.2724,1552363200000,27582,
16,184.7,188.34,184.185,187.35,2719784.0,187.149,1552449600000,28171,
17,187.53,188.86,185.89,187.76,2909668.0,187.5055,1552536000000,27601,
18,188.46,191.64,188.1,191.24,6864999.0,190.5648,1552622400000,34348,
19,191.08,192.52,190.19,191.31,2430314.0,191.3928,1552881600000,25476,
20,191.93,192.7584,190.9177,191.49,2268734.0,191.7529,1552968000000,23749,
21,191.5,192.77,189.87,191.12,2378743.0,191.327,1553054400000,23542,
22,189.73,192.37,189.18,191.89,2292922.0,191.4391,1553140800000,25254,
23,190.96,192.865,186.55,186.7,3144710.0,188.1924,1553227200000,33982,
24,186.64,187.78,185.04,186.59,2523724.0,186.3848,1553486400000,26902,
25,187.55,189.59,187.0301,188.27,2359118.0,188.5093,1553572800000,25707,
26,188.25,188.595,185.22,186.32,2022613.0,186.6277,1553659200000,25369,
27,187.08,187.89,186.0,187.65,1885643.0,187.3055,1553745600000,20491,
28,189.37,191.0,188.4982,189.98,3189808.0,190.0101,1553832000000,27083,
29,191.14,192.56,190.51,191.77,2660533.0,191.8856,1554091200000,28711,
30,191.81,192.82,191.2,192.43,2141794.0,192.1511,1554177600000,23102,
31,193.18,193.87,191.7101,192.92,1948131.0,192.9023,1554264000000,24591,
32,192.85,194.43,190.99,192.33,1785930.0,192.3887,1554350400000,21268,
33,193.88,196.87,193.3,195.41,2163284.0,195.5423,1554436800000,22238,
34,194.53,195.31,192.56,194.88,1629766.0,194.6496,1554696000000,18375,
35,193.59,194.0,192.51,192.98,1872872.0,193.1742,1554782400000,19788,
36,194.15,195.0,192.34,193.89,1653199.0,193.5204,1554868800000,19706,
37,194.57,194.79,190.65,192.11,2082550.0,192.3309,1554955200000,23705,
38,193.02,193.48,190.79,191.42,2060791.0,191.6789,1555041600000,22767,
39,191.84,193.18,189.85,191.2,2038310.0,190.8874,1555300800000,20505,
40,192.27,192.57,187.44,188.05,2727309.0,189.2789,1555387200000,32506,
41,188.35,188.74,181.53,182.47,5242078.0,183.1832,1555473600000,53961,
42,183.24,183.49,176.8504,177.47,8266592.0,178.6206,1555560000000,67323,
43,177.1,177.57,174.8652,176.36,3215917.0,176.4514,1555905600000,34804,
44,176.94,180.65,175.75,179.76,3471657.0,179.5047,1555992000000,35575,
45,180.14,180.83,178.26,178.3,2711618.0,179.3347,1556078400000,28432,
46,177.08,181.02,175.92,180.48,2453731.0,179.3095,1556164800000,24583,
47,180.7,181.85,180.03,181.47,2445431.0,180.8981,1556251200000,26181,
48,181.45,182.47,179.59,181.17,2662549.0,180.9593,1556510400000,25691,
49,181.63,182.04,177.88,179.32,3963016.0,179.3462,1556596800000,37793,
50,175.4,178.5,171.25,176.14,6109537.0,174.5806,1556683200000,60668,
51,176.06,178.3,174.3,176.5,3013969.0,176.2047,1556769600000,31064,
52,176.93,177.77,176.47,177.31,2944480.0,177.0771,1556856000000,27952,
53,175.49,177.24,173.88,177.06,2734976.0,175.9721,1557115200000,25731,
