,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,129.56,130.34,128.19,130.08,78378,129.6227,1550584800000,1014.0,
1,130.2,131.39,130.05,130.93,96131,130.883,1550588400000,1975.0,
2,130.95,131.8875,130.845,131.83,93697,131.3314,1550592000000,2005.0,
3,131.86,131.86,131.53,131.83,53648,131.7255,1550595600000,881.0,
4,131.83,131.84,131.4,131.75,48665,131.6237,1550599200000,920.0,
5,131.75,132.31,131.57,132.18,81439,131.9607,1550602800000,1315.0,
6,132.17,132.49,131.87,131.97,228591,132.2091,1550606400000,3221.0,
7,131.96,131.96,131.96,131.96,107186,131.96,1550610000000,20.0,
8,131.66,132.24,131.25,131.87,46909,131.7785,1550671200000,624.0,
9,131.78,132.14,131.14,131.95,108188,131.6541,1550674800000,1253.0,
10,131.9,132.21,131.51,131.93,106265,131.9342,1550678400000,1004.0,
11,131.93,132.025,131.6,131.75,57644,131.8435,1550682000000,990.0,
12,131.745,132.14,131.65,132.06,72379,131.8814,1550685600000,1130.0,
13,132.06,132.85,131.53,132.79,143825,132.1401,1550689200000,1711.0,
14,132.77,133.03,132.47,132.92,247829,132.7576,1550692800000,3074.0,
15,132.89,132.89,132.89,132.89,20338,132.89,1550696400000,30.0,
16,133.24,133.24,132.14,132.855,70999,132.838,1550757600000,691.0,
17,132.83,133.05,131.67,131.765,110373,132.4554,1550761200000,2028.0,
18,131.765,132.14,131.37,132.01,81929,131.741,1550764800000,1163.0,
19,131.9907,132.28,131.6,132.26,47153,131.9088,1550768400000,790.0,
20,132.3,132.33,131.765,131.85,52336,131.9623,1550772000000,811.0,
21,131.84,131.98,130.93,131.18,73315,131.4358,1550775600000,1372.0,
22,131.13,131.78,131.13,131.68,218632,131.4616,1550779200000,3094.0,
23,131.69,131.69,131.69,131.69,7017,131.6897,1550782800000,23.0,
24,132.11,133.22,131.72,132.75,44287,132.668,1550844000000,574.0,
25,132.71,133.165,132.215,132.705,67868,132.6461,1550847600000,1087.0,
