,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,57.59,58.02,57.32,57.54,1445401.0,57.7014,1550552400000,13939,
1,57.51,57.93,57.08,57.77,1383982.0,57.6506,1550638800000,13039,
2,57.7,57.7,57.01,57.23,1572618.0,57.2668,1550725200000,15518,
3,57.31,57.76,57.01,57.73,1622874.0,57.5072,1550811600000,15708,
4,58.0,58.07,56.96,56.99,1658937.0,57.2882,1551070800000,14715,
5,56.75,57.17,56.49,57.0,1822477.0,56.9057,1551157200000,14361,
6,56.75,57.39,56.6,56.99,1800099.0,57.0105,1551243600000,13813,
7,54.72,56.29,54.22,55.95,3220404.0,55.8303,1551330000000,26015,
8,56.42,56.47,55.53,55.95,3031096.0,55.9727,1551416400000,23110,
9,56.25,56.33,55.09,55.37,2700962.0,55.5247,1551675600000,21028,
10,55.33,55.85,54.88,55.73,1664015.0,55.5002,1551762000000,16024,
11,55.87,56.21,55.28,55.44,3000811.0,55.7399,1551848400000,24545,
12,55.36,55.62,54.61,55.4,2878800.0,55.1759,1551934800000,25986,
13,55.01,55.68,54.6001,55.45,2572828.0,55.2921,1552021200000,24003,
14,55.51,56.47,55.49,56.26,3701487.0,56.1389,1552276800000,24243,
15,56.31,57.05,55.95,56.89,2687651.0,56.7637,1552363200000,24027,
16,56.95,57.81,56.815,57.56,2629476.0,57.567,1552449600000,22094,
17,57.63,57.63,57.06,57.14,2622594.0,57.1966,1552536000000,11568,
18,57.2,57.9298,57.02,57.91,3000595.0,57.7207,1552622400000,12711,
19,57.78,58.0,57.285,57.67,1207438.0,57.6123,1552881600000,11171,
20,57.95,58.12,57.195,57.58,1759892.0,57.6118,1552968000000,15412,
21,57.6,58.18,57.05,57.6,1778336.0,57.5911,1553054400000,14973,
22,57.05,58.5,57.05,58.28,1366339.0,58.2016,1553140800000,9214,
23,58.08,58.34,56.91,56.96,1318474.0,57.2647,1553227200000,13825,
24,57.04,57.17,56.22,56.69,1212478.0,56.6031,1553486400000,11684,
25,56.92,57.39,56.53,56.71,1361720.0,56.854,1553572800000,12804,
26,56.65,56.96,56.11,56.62,999638.0,56.5806,1553659200000,10983,
27,56.7,57.0,56.15,56.54,1378447.0,56.5131,1553745600000,11414,
28,56.87,57.35,56.67,57.21,1440238.0,57.1117,1553832000000,10759,
29,57.67,57.75,56.66,57.52,1771131.0,57.2915,1554091200000,17298,
30,57.48,57.62,56.68,56.93,1158052.0,56.9579,1554177600000,9660,
31,57.26,57.49,56.79,57.12,1678307.0,57.1026,1554264000000,11786,
32,57.21,57.54,56.71,57.05,858379.0,57.0308,1554350400000,8425,
33,57.03,57.51,57.0,57.32,993066.0,57.3103,1554436800000,7814,
34,57.41,57.58,56.52,57.09,1397971.0,57.0226,1554696000000,13523,
35,63.38,66.0263,61.89,62.97,15884505.0,63.6287,1554782400000,106445,
36,63.6,63.77,61.67,63.71,5189746.0,63.0919,1554868800000,38265,
37,63.57,63.76,61.98,62.2,3310975.0,62.7017,1554955200000,29485,
38,62.39,62.84,62.2,62.8,2585974.0,62.6267,1555041600000,25048,
39,62.72,63.6,62.48,63.46,3062285.0,63.2815,1555300800000,23654,
40,63.78,63.97,62.64,63.05,2196849.0,63.0162,1555387200000,20043,
41,63.12,63.43,62.23,62.4,3012512.0,62.5882,1555473600000,25031,
42,62.8,63.005,61.86,62.71,2577452.0,62.5847,1555560000000,21774,
43,62.44,63.0,62.24,62.67,2046475.0,62.6187,1555905600000,15719,
44,62.93,64.11,62.8592,63.83,3850117.0,63.7881,1555992000000,25572,
45,63.82,64.395,63.78,64.15,2747120.0,64.1564,1556078400000,18698,
46,63.68,64.96,63.16,64.6,2906740.0,64.4874,1556164800000,27750,
47,64.5,65.47,62.78,65.08,4821043.0,64.5149,1556251200000,39646,
48,65.0,66.27,64.84,65.88,2780820.0,65.8865,1556510400000,21907,
49,65.54,66.56,65.31,66.45,2563824.0,66.1176,1556596800000,19595,
50,66.65,67.11,66.1331,66.7,2553710.0,66.7278,1556683200000,23231,
51,66.77,68.17,66.43,68.01,3010228.0,67.7649,1556769600000,25648,
