,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,36.55,37.13,36.46,37.05,12312123.0,36.9397,1550552400000,52278,
1,37.02,37.25,36.685,36.74,11698695.0,36.9289,1550638800000,61757,
2,36.63,37.125,36.5,36.98,8151634.0,36.8715,1550725200000,44308,
3,36.99,37.5,36.97,37.49,6820615.0,37.3312,1550811600000,47563,
4,37.75,37.89,37.31,37.34,10147800.0,37.5212,1551070800000,44200,
5,37.34,37.55,37.06,37.38,12788049.0,37.3102,1551157200000,67164,
6,37.45,38.02,37.28,37.58,10571082.0,37.6863,1551243600000,61730,
7,37.5,37.5,37.1,37.15,7462772.0,37.2589,1551330000000,43678,
8,38.36,39.14,37.18,37.35,17271812.0,37.78,1551416400000,93537,
9,37.48,37.58,36.7,37.25,11303952.0,37.2052,1551675600000,62977,
10,37.2,37.49,37.11,37.12,12174375.0,37.2909,1551762000000,55028,
11,37.14,37.54,36.8,36.81,10885498.0,36.9794,1551848400000,57783,
12,36.73,36.775,36.08,36.21,14928005.0,36.3157,1551934800000,65469,
13,36.02,36.02,35.51,35.89,16417026.0,35.792,1552021200000,73104,
14,35.93,36.34,35.82,36.25,15306371.0,36.2147,1552276800000,61798,
15,36.44,36.495,36.11,36.28,10660879.0,36.2794,1552363200000,42769,
16,36.3,36.74,36.16,36.46,13247760.0,36.4516,1552449600000,48855,
17,36.38,36.62,36.17,36.35,10561015.0,36.33,1552536000000,43650,
18,36.35,36.58,36.02,36.3,24452525.0,36.2949,1552622400000,60805,
19,36.31,36.58,36.18,36.27,9328101.0,36.3107,1552881600000,42123,
20,36.46,37.2,36.4,36.87,14686923.0,36.9165,1552968000000,63264,
21,36.76,36.91,36.57,36.7,11905421.0,36.7489,1553054400000,56139,
22,36.74,37.39,36.575,37.2,10661050.0,37.181,1553140800000,54149,
23,37.06,37.44,36.49,36.65,8449254.0,36.8065,1553227200000,47643,
24,36.59,36.805,36.28,36.72,5482255.0,36.6334,1553486400000,36756,
