,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,99.0,100.28,98.405,99.71,2791548.0,99.4946,1550552400000,24324,
1,99.58,99.8054,98.415,98.78,3456489.0,98.9752,1550638800000,30742,
2,98.34,98.665,94.57,95.35,3836827.0,95.84,1550725200000,37080,
3,96.43,97.12,95.12,95.53,4163771.0,95.7265,1550811600000,35591,
4,95.13,95.71,94.17,94.75,6091260.0,94.798,1551070800000,46343,
5,94.99,95.17,92.97,93.91,5777920.0,93.938,1551157200000,48795,
6,95.54,98.4,93.99,95.04,6452271.0,95.9756,1551243600000,55068,
7,95.37,96.23,92.973,94.0,5204922.0,94.1549,1551330000000,41106,
8,94.64,97.01,94.39,96.42,5034059.0,95.9594,1551416400000,44402,
9,96.71,97.63,95.12,96.81,3729218.0,96.4092,1551675600000,32402,
10,97.04,97.3,95.27,95.5,3336976.0,95.7789,1551762000000,25985,
11,94.92,94.98,91.56,91.94,5079369.0,92.4627,1551848400000,39016,
12,92.07,92.1229,90.58,91.35,3731448.0,91.4019,1551934800000,27852,
13,89.32,89.7,86.19,86.44,6761063.0,86.9355,1552021200000,50479,
14,86.77,87.87,86.14,86.26,7699251.0,86.6965,1552276800000,50855,
15,86.93,87.64,86.47,86.98,8308932.0,87.0851,1552363200000,63014,
16,88.0,88.67,86.77,88.57,6656247.0,88.0734,1552449600000,38667,
17,88.62,90.05,88.34,89.69,4338910.0,89.5241,1552536000000,33438,
18,89.11,90.36,88.0,88.85,8940226.0,88.8281,1552622400000,34926,
19,89.02,92.19,88.815,91.92,4197090.0,91.1024,1552881600000,36223,
20,92.82,93.125,92.34,92.88,7035377.0,92.7305,1552968000000,47095,
21,93.05,96.61,92.82,95.89,7928616.0,95.3923,1553054400000,58154,
22,95.82,97.23,94.39,96.87,5389236.0,96.2411,1553140800000,37444,
23,95.75,95.95,92.78,93.68,7873233.0,93.9671,1553227200000,50263,
24,93.55,94.13,91.98,92.78,2940550.0,92.6717,1553486400000,27587,
25,94.45,95.99,94.27,94.77,2394176.0,94.9856,1553572800000,21670,
26,94.32,95.45,93.64,94.59,2761865.0,94.59,1553659200000,27585,
27,93.81,95.47,93.72,95.24,2768239.0,94.7919,1553745600000,25949,
28,96.38,96.58,94.85,95.18,2785759.0,95.4317,1553832000000,25143,
29,96.19,97.15,95.575,96.94,2634186.0,96.6711,1554091200000,26383,
30,97.08,97.77,96.01,96.05,2260235.0,96.5235,1554177600000,22993,
31,96.65,96.65,93.78,93.93,4351743.0,94.4573,1554264000000,28039,
32,94.06,94.4999,92.92,93.67,5782835.0,93.5998,1554350400000,28735,
33,94.45,98.76,93.94,98.63,4505649.0,97.8053,1554436800000,37592,
34,99.12,100.99,98.97,99.48,4985986.0,99.6804,1554696000000,37485,
35,98.79,99.59,97.39,98.57,4005877.0,98.4974,1554782400000,31065,
36,99.34,100.045,98.4,98.73,3066288.0,98.969,1554868800000,26746,
37,98.38,99.76,97.66,98.73,2640972.0,98.6035,1554955200000,24177,
38,102.09,106.48,101.85,105.31,7145186.0,104.5317,1555041600000,57072,
39,104.43,104.72,101.44,102.12,6091135.0,102.271,1555300800000,35742,
40,101.86,102.82,100.9762,102.35,2990129.0,101.9864,1555387200000,28990,
41,103.19,104.45,101.43,101.84,2446555.0,102.6647,1555473600000,24073,
42,101.95,104.29,101.52,103.87,3307103.0,103.6133,1555560000000,25743,
43,105.25,107.3,104.64,107.07,3886073.0,106.5111,1555905600000,29805,
44,106.97,107.89,105.37,106.6,4242344.0,106.9484,1555992000000,33111,
45,107.5,107.58,103.83,103.94,3599362.0,105.3757,1556078400000,25933,
46,103.98,104.1299,102.02,102.08,4090902.0,102.7392,1556164800000,25861,
