,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,100.0,100.0,98.71,99.55,254730.0,99.3296,1550584800000,2519.0,
1,99.565,99.72,98.405,98.56,342813.0,99.2596,1550588400000,3687.0,
2,98.59,99.31,98.44,99.24,300125.0,98.769,1550592000000,3052.0,
3,99.23,99.51,98.97,99.2674,292350.0,99.2151,1550595600000,2604.0,
4,99.24,99.53,99.07,99.48,170468.0,99.247,1550599200000,1984.0,
5,99.47,100.0255,99.43,99.83,414574.0,99.7104,1550602800000,3571.0,
6,99.835,100.28,99.64,99.73,646507.0,99.9467,1550606400000,6868.0,
7,99.71,100.1813,99.23,99.71,37426.0,99.7862,1550610000000,25.0,
8,99.4101,99.4101,99.4101,99.4101,200.0,99.4101,1550613600000,1.0,
9,99.58,99.8054,98.415,98.785,273608.0,99.0529,1550671200000,2841.0,
10,98.77,99.21,98.66,99.05,421171.0,99.0592,1550674800000,4125.0,
11,99.06,99.49,98.94,99.29,478041.0,99.2095,1550678400000,4634.0,
12,99.28,99.3,98.75,98.89,282543.0,99.0433,1550682000000,3232.0,
13,98.89,99.24,98.865,98.93,275966.0,99.075,1550685600000,3196.0,
14,98.91,99.1,98.55,98.92,249570.0,98.8871,1550689200000,3297.0,
15,98.93,99.06,98.54,98.8,861476.0,98.8894,1550692800000,9369.0,
16,98.78,98.78,98.78,98.78,221142.0,98.78,1550696400000,41.0,
17,98.29,98.665,97.57,98.14,247094.0,97.9826,1550757600000,2199.0,
18,98.155,98.155,96.8,97.075,424713.0,97.4477,1550761200000,4645.0,
19,97.02,97.32,96.25,96.3,336680.0,96.924,1550764800000,4434.0,
20,96.25,96.26,95.3,95.67,395394.0,95.6502,1550768400000,4577.0,
21,95.68,96.1,95.62,95.95,330204.0,95.8613,1550772000000,3718.0,
22,95.93,95.93,94.74,94.76,433718.0,95.2845,1550775600000,5366.0,
23,94.75,95.47,94.57,95.34,1321426.0,95.0091,1550779200000,12114.0,
24,95.35,95.35,95.35,95.35,33594.0,95.3499,1550782800000,19.0,
