,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,278.78,280.64,278.17,280.24,242585.0,279.8444,1550552400000,4624,
1,280.03,280.03,274.82,276.79,259675.0,277.1657,1550638800000,5209,
2,275.78,280.4,274.55,280.01,207485.0,278.503,1550725200000,4821,
3,280.79,282.9325,279.345,281.47,209572.0,281.6835,1550811600000,4434,
4,282.62,282.62,278.76,279.39,212202.0,279.7245,1551070800000,4388,
5,279.99,280.46,278.47,280.04,180291.0,279.7224,1551157200000,4126,
6,279.12,280.06,276.55,279.84,169845.0,279.0044,1551243600000,4275,
7,280.03,284.21,279.44,279.84,465297.0,280.9925,1551330000000,7509,
8,280.25,280.25,276.24,279.09,248915.0,278.3643,1551416400000,4729,
9,280.14,282.47,278.37,282.03,222057.0,280.9597,1551675600000,4694,
10,281.87,282.96,280.62,281.34,194471.0,281.7946,1551762000000,4291,
11,282.07,282.74,281.1,281.37,292869.0,281.6891,1551848400000,5312,
12,281.79,286.05,281.13,282.29,293500.0,283.2418,1551934800000,5530,
13,281.51,284.365,281.44,283.5,320138.0,283.2241,1552021200000,4994,
14,284.79,286.3,282.77,285.73,240068.0,284.9269,1552276800000,4697,
15,286.15,287.36,285.03,286.99,220169.0,286.5843,1552363200000,3858,
16,287.59,291.15,287.59,289.21,352663.0,289.4565,1552449600000,6865,
17,289.38,291.23,288.59,290.93,243451.0,290.2246,1552536000000,4379,
18,290.1,290.94,288.5,289.4,466964.0,289.6653,1552622400000,4697,
19,290.1,290.96,284.49,286.25,291281.0,286.9235,1552881600000,5830,
20,286.15,286.74,284.22,285.73,255625.0,285.5892,1552968000000,4925,
21,285.73,287.5,282.91,285.26,257723.0,285.1347,1553054400000,4622,
22,285.04,290.05,285.04,289.5,251267.0,289.3387,1553140800000,4465,
23,290.29,294.61,290.29,290.71,302688.0,292.0582,1553227200000,5887,
24,289.62,291.405,287.13,288.87,299645.0,289.3199,1553486400000,5300,
25,289.09,292.99,289.09,292.86,164740.0,291.9934,1553572800000,3423,
26,292.86,294.11,290.17,291.53,251165.0,291.8603,1553659200000,4553,
27,289.58,290.85,288.44,290.17,213396.0,289.4703,1553745600000,4370,
28,290.39,291.03,288.5,289.24,349024.0,289.3411,1553832000000,5266,
29,288.84,288.87,284.37,288.27,270612.0,287.0634,1554091200000,5368,
30,288.39,292.47,285.3,291.74,379118.0,290.1671,1554177600000,6149,
31,291.36,291.68,287.91,290.08,322234.0,289.9858,1554264000000,5706,
32,290.68,290.94,285.85,287.78,271070.0,287.4298,1554350400000,5725,
33,288.36,289.5,286.71,289.35,285246.0,288.5644,1554436800000,4867,
34,289.4,289.4,285.92,287.5,281865.0,287.4226,1554696000000,5096,
35,287.63,288.13,286.22,287.46,234971.0,287.2231,1554782400000,3732,
36,288.19,289.64,287.77,288.7,330158.0,288.4784,1554868800000,5455,
37,289.14,290.28,287.82,289.82,151953.0,289.107,1554955200000,4182,
38,289.03,290.18,286.48,290.16,245164.0,289.108,1555041600000,4601,
