,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,89.98,90.08,89.31,89.99,265727.0,89.8121,1550581200000,3298,
1,89.97,90.125,89.57,90.07,709200.0,89.9112,1550595600000,9345,
2,90.05,90.05,90.05,90.05,22751.0,90.05,1550610000000,28,
3,89.1,91.93,88.835,91.83,734580.0,90.5916,1550667600000,7212,
4,91.79,92.15,91.0,91.31,1152444.0,91.5509,1550682000000,12198,
5,91.28,91.28,91.24,91.24,392064.0,91.2426,1550696400000,25,
6,90.46,91.49,89.98,91.07,1060549.0,90.8424,1550754000000,10482,
7,91.07,91.41,90.64,91.19,1800430.0,90.9072,1550768400000,17629,
8,91.19,91.19,91.19,91.19,18535.0,91.1899,1550782800000,20,
9,91.42,92.53,91.06,92.53,602439.0,92.0028,1550840400000,6882,
10,92.5,92.82,92.3,92.77,1058127.0,92.5136,1550854800000,11974,
11,92.77,92.77,92.77,92.77,28184.0,92.7699,1550869200000,28,
12,92.67,92.69,91.82,92.1,448620.0,92.3311,1551099600000,5435,
13,92.1,92.59,91.87,92.45,1041470.0,92.2321,1551114000000,12907,
14,92.45,92.45,92.45,92.45,12761.0,92.45,1551128400000,18,
15,92.84,92.89,92.14,92.4,507064.0,92.471,1551186000000,6447,
16,92.41,93.15,92.29,92.7,982340.0,92.8064,1551200400000,12518,
17,92.7,92.7,92.7,92.7,76306.0,92.7,1551214800000,18,
18,92.38,93.1,92.325,92.46,710478.0,92.6341,1551272400000,6574,
19,92.45,92.81,92.205,92.46,715252.0,92.478,1551286800000,9383,
20,92.46,92.46,92.46,92.46,22664.0,92.46,1551301200000,22,
21,92.54,93.61,91.95,93.41,484982.0,93.048,1551358800000,5092,
22,93.38,93.61,93.105,93.33,774612.0,93.3412,1551373200000,10020,
23,93.33,93.33,93.33,93.33,35862.0,93.3299,1551387600000,36,
24,93.33,93.5,92.74,93.19,362605.0,93.0107,1551445200000,4304,
25,93.2,93.51,92.97,93.25,819693.0,93.306,1551459600000,10807,
26,93.25,93.25,93.25,93.25,2611.0,93.2489,1551474000000,10,
27,93.57,93.85,92.17,92.24,335308.0,92.7084,1551704400000,4276,
28,92.21,92.86,92.0,92.65,763807.0,92.4858,1551718800000,9900,
29,92.64,92.64,92.64,92.64,17817.0,92.6399,1551733200000,18,
30,92.53,92.64,91.89,92.32,377173.0,92.3441,1551790800000,4862,
31,92.34,92.44,92.06,92.18,735573.0,92.254,1551805200000,9225,
32,92.17,92.17,92.17,92.17,98376.0,92.17,1551819600000,17,
33,92.43,92.63,91.9,92.36,281685.0,92.1616,1551877200000,3625,
34,92.38,92.54,92.01,92.1,570924.0,92.2346,1551891600000,7608,
35,92.09,92.09,92.09,92.09,25188.0,92.09,1551906000000,15,
36,92.4,93.04,92.32,92.78,448081.0,92.6262,1551963600000,4885,
37,92.79,92.93,92.02,92.14,1203165.0,92.3757,1551978000000,13281,
38,92.13,92.13,92.13,92.13,251986.0,92.13,1551992400000,12,
39,92.13,92.48,91.6,91.96,472250.0,91.8971,1552050000000,5824,
40,91.97,92.54,91.6302,92.49,968500.0,92.0157,1552064400000,11777,
41,92.49,92.49,92.49,92.49,25122.0,92.49,1552078800000,23,
42,92.65,93.61,92.45,93.25,780422.0,93.1976,1552309200000,8886,
43,93.25,93.96,93.11,93.96,1338080.0,93.6696,1552323600000,12152,
44,94.2,94.73,93.96,94.59,704560.0,94.4146,1552395600000,8420,
45,94.6,94.98,94.54,94.89,1061972.0,94.7854,1552410000000,12252,
46,94.99,95.57,94.65,95.06,578287.0,95.2276,1552482000000,6188,
47,95.06,95.5,94.97,95.01,971789.0,95.1445,1552496400000,10267,
48,95.01,95.01,95.01,95.01,3950.0,95.01,1552510800000,1,
49,95.0,95.63,94.57,95.3181,886633.0,95.0663,1552568400000,9039,
50,95.31,95.34,94.7,94.94,1281818.0,94.9982,1552582800000,11147,
51,94.61,95.26,94.245,95.21,1196202.0,94.8189,1552654800000,9872,
52,95.2,95.29,94.61,94.66,1670883.0,94.7956,1552669200000,10806,
53,94.65,94.99,94.17,94.34,310961.0,94.5106,1552914000000,4165,
54,94.34,94.59,94.14,94.49,456111.0,94.3763,1552928400000,4877,
55,94.49,94.49,94.49,94.49,141.0,94.49,1552942800000,1,
56,94.28,94.4,93.08,93.26,373515.0,93.7846,1553000400000,5586,
57,93.26,93.45,92.82,93.18,688513.0,93.1069,1553014800000,8058,
58,93.46,93.66,93.14,93.37,449261.0,93.3826,1553086800000,5774,
59,93.37,94.34,93.26,93.57,757004.0,93.6572,1553101200000,7777,
60,93.57,94.78,93.41,94.62,382075.0,94.4012,1553173200000,5383,
61,94.61,95.06,94.55,94.95,969903.0,94.8818,1553187600000,9793,
62,94.95,94.95,94.95,94.95,3618.0,94.95,1553202000000,1,
63,95.0,96.77,94.88,96.315,912701.0,96.3041,1553259600000,10530,
64,96.3,96.67,96.08,96.12,728429.0,96.3464,1553274000000,9786,
65,96.23,96.35,95.62,96.13,418487.0,95.9443,1553518800000,5650,
66,96.14,96.31,95.8,95.84,607618.0,95.9574,1553533200000,7860,
67,96.01,96.87,95.97,96.46,353388.0,96.5381,1553605200000,4385,
68,96.46,96.54,96.2562,96.51,653203.0,96.4051,1553619600000,7055,
69,96.7,96.7,95.595,95.93,366521.0,95.9478,1553691600000,4387,
70,95.92,96.24,95.81,95.96,804257.0,95.9996,1553706000000,5115,
71,96.14,96.5,94.73,94.965,436478.0,95.2556,1553778000000,5766,
72,94.96,95.25,94.82,95.06,1109159.0,95.0677,1553792400000,6823,
73,95.09,95.62,94.69,95.39,364358.0,95.3161,1553864400000,4323,
74,95.38,95.72,95.23,95.63,503983.0,95.4556,1553878800000,6006,
75,95.59,95.59,94.18,94.83,411836.0,94.734,1554123600000,5579,
76,94.825,94.89,94.06,94.36,853105.0,94.3556,1554138000000,11012,
77,94.6,94.71,93.62,93.92,634002.0,93.975,1554210000000,8290,
78,93.92,94.23,93.66,94.13,695149.0,93.9845,1554224400000,8060,
79,94.09,94.48,93.5,94.39,400781.0,94.2256,1554296400000,5390,
80,94.39,94.52,93.91,94.05,472995.0,94.1967,1554310800000,6304,
81,94.24,94.4,93.2,93.86,417714.0,93.57,1554382800000,5340,
82,93.88,94.0262,93.51,93.61,452467.0,93.7512,1554397200000,5451,
83,93.65,94.025,93.2,93.69,719830.0,93.7357,1554469200000,6161,
84,93.69,94.64,93.64,94.47,627293.0,94.1871,1554483600000,7368,
85,94.59,94.83,94.02,94.36,332488.0,94.3081,1554728400000,4530,
86,94.37,94.63,94.23,94.34,623415.0,94.3851,1554742800000,6052,
87,94.49,94.73,94.27,94.44,346859.0,94.4347,1554814800000,4581,
88,94.45,94.74,94.28,94.71,501195.0,94.4853,1554829200000,5548,
89,94.97,95.85,94.28,94.38,526296.0,95.3427,1554901200000,6023,
90,94.39,94.69,90.0,94.0,454434.0,94.5058,1554915600000,6272,
91,94.59,94.59,94.59,94.59,244.0,94.59,1554973200000,1,
92,94.75,95.24,94.38,94.85,596075.0,95.017,1554987600000,6161,
93,94.84,95.095,94.63,95.02,605884.0,94.9275,1555002000000,6223,
94,94.61,95.02,94.05,94.94,506940.0,94.7666,1555074000000,5190,
95,94.92,95.52,94.86,95.24,641587.0,95.2288,1555088400000,7015,
96,95.23,95.57,95.07,95.31,566584.0,95.2729,1555333200000,6251,
97,95.3,95.3,94.73,95.05,554206.0,95.0291,1555347600000,6235,
98,94.83,95.51,94.22,94.24,650956.0,94.8958,1555419600000,6922,
99,94.24,94.355,93.2,93.39,930576.0,93.5463,1555434000000,10240,
100,94.07,94.42,94.07,94.42,500.0,94.2524,1555448400000,5,
101,93.37,93.55,93.06,93.185,539119.0,93.3452,1555506000000,6734,
102,93.185,93.24,92.73,92.9,699586.0,92.9846,1555520400000,8643,
103,93.57,94.41,93.32,93.83,743125.0,93.7407,1555592400000,7153,
104,93.825,93.86,93.38,93.46,639768.0,93.5911,1555606800000,7331,
105,93.46,93.88,93.24,93.5,533915.0,93.4851,1555938000000,5630,
106,93.5,93.815,93.32,93.64,619648.0,93.5762,1555952400000,7688,
107,93.5,94.465,93.31,93.65,642516.0,93.9187,1556024400000,7134,
108,93.66,94.49,93.65,94.3,493599.0,94.1921,1556038800000,6902,
109,94.4,94.85,94.13,94.47,440266.0,94.5876,1556110800000,6508,
110,94.45,95.05,94.12,94.64,749305.0,94.6222,1556125200000,7144,
111,94.64,94.64,94.64,94.64,108.0,94.64,1556139600000,1,
112,94.28,95.55,94.175,95.09,374363.0,95.015,1556197200000,5353,
113,95.08,95.57,95.01,95.21,557676.0,95.3662,1556211600000,8019,
114,95.61,96.16,95.36,95.4,743532.0,95.7393,1556283600000,5347,
115,95.38,95.61,95.06,95.13,737384.0,95.3214,1556298000000,7890,
116,94.89,95.5,94.61,94.95,434096.0,95.0244,1556542800000,5561,
117,94.93,95.16,94.85,95.0,432197.0,95.0045,1556557200000,5759,
118,95.18,95.18,95.18,95.18,200.0,95.18,1556614800000,1,
119,94.96,95.97,94.78,95.94,415569.0,95.4925,1556629200000,5606,
120,95.92,96.94,95.72,96.9,692392.0,96.5102,1556643600000,8906,
121,96.0,97.41,95.6867,96.4043,708773.0,96.3969,1556715600000,7034,
