,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,135.51,136.38,135.09,135.33,311866.0,135.5589,1550552400000,4590,
1,135.11,135.17,132.87,133.63,409354.0,133.6694,1550638800000,5572,
2,133.36,134.69,132.69,134.46,360997.0,133.8946,1550725200000,5147,
3,134.71,136.08,133.94,135.16,296701.0,135.1742,1550811600000,4915,
4,135.32,135.72,133.8802,134.22,273306.0,134.2762,1551070800000,4914,
5,134.53,134.53,133.63,133.74,269439.0,133.8788,1551157200000,5317,
6,133.09,133.51,131.9,133.12,224415.0,132.9298,1551243600000,4038,
7,133.1,134.97,132.54,133.59,501782.0,133.8454,1551330000000,6151,
8,133.5,133.725,131.02,132.46,353835.0,132.2205,1551416400000,6089,
9,132.83,133.28,131.55,133.07,275854.0,132.621,1551675600000,4775,
10,133.19,134.75,132.86,134.3,286551.0,134.2344,1551762000000,5060,
11,134.03,134.66,132.75,132.77,296846.0,133.3548,1551848400000,5264,
12,132.43,133.7,131.94,132.36,393879.0,132.6885,1551934800000,5713,
13,132.23,133.08,131.39,131.83,386895.0,131.8283,1552021200000,6479,
14,132.15,132.93,130.92,132.9,568372.0,132.2832,1552276800000,7038,
15,133.29,134.3,133.0,134.0,367014.0,133.8592,1552363200000,5298,
16,133.26,134.55,133.0,133.86,258904.0,133.9855,1552449600000,4527,
17,134.17,135.2094,132.81,133.48,389639.0,133.4249,1552536000000,5898,
18,133.32,133.69,131.935,132.68,660734.0,132.7516,1552622400000,5136,
19,132.72,133.28,131.51,132.39,664367.0,132.3248,1552881600000,7246,
20,132.4,132.5,130.81,131.28,334616.0,131.492,1552968000000,5499,
21,131.27,132.52,130.39,131.7,332119.0,131.4673,1553054400000,5042,
22,131.35,134.35,131.33,134.06,327599.0,133.8653,1553140800000,4729,
23,134.46,136.14,134.05,134.52,374590.0,135.0637,1553227200000,6613,
24,134.87,135.735,134.185,135.19,267424.0,135.132,1553486400000,4308,
25,135.85,137.36,135.72,137.32,419003.0,136.8594,1553572800000,6109,
26,137.04,138.1,136.625,137.04,445900.0,137.2482,1553659200000,5506,
27,136.99,138.86,136.99,138.75,319269.0,137.925,1553745600000,4275,
28,138.71,139.29,137.61,137.85,490832.0,138.1193,1553832000000,5311,
29,137.92,138.07,135.92,137.23,331419.0,136.8502,1554091200000,5059,
30,137.07,138.01,134.84,137.61,317132.0,137.0173,1554177600000,5887,
31,137.79,138.5,136.49,137.38,429903.0,137.3927,1554264000000,5037,
32,137.84,137.84,136.95,137.63,145438.0,137.3971,1554350400000,3280,
33,138.23,139.03,137.42,138.92,172078.0,138.5163,1554436800000,3197,
34,139.0,139.0,137.73,137.91,170593.0,137.9437,1554696000000,3044,
35,138.07,138.17,136.68,136.98,246000.0,137.1673,1554782400000,3414,
36,137.6,138.96,137.355,138.54,361994.0,138.2968,1554868800000,5867,
37,138.65,138.78,136.66,136.93,285750.0,137.0927,1554955200000,4846,
38,136.81,138.15,135.78,138.11,382697.0,137.3818,1555041600000,5985,
39,138.3,138.3,136.26,136.52,278557.0,136.6318,1555300800000,4587,
40,136.39,136.77,131.82,132.49,315714.0,133.0403,1555387200000,6310,
41,132.67,132.67,130.71,131.01,525126.0,131.2833,1555473600000,6916,
42,131.15,132.96,130.92,132.2,322447.0,132.2081,1555560000000,4123,
43,131.66,131.97,128.26,129.59,390022.0,129.341,1555905600000,6302,
44,130.23,131.56,129.66,131.45,352393.0,130.9063,1555992000000,5414,
45,132.41,133.815,131.36,133.12,339858.0,133.1582,1556078400000,4396,
46,132.51,134.18,131.97,133.72,273747.0,133.4317,1556164800000,4429,
47,134.37,134.63,133.64,133.9,278909.0,134.0945,1556251200000,4284,
48,133.83,134.23,132.54,132.62,282777.0,133.0114,1556510400000,4190,
49,132.98,134.06,131.38,133.85,534327.0,133.4956,1556596800000,5846,
50,133.7,135.32,133.67,133.84,317315.0,134.2508,1556683200000,5214,
51,134.14,135.365,133.49,134.09,493656.0,134.4539,1556769600000,6427,
52,133.8,135.0,132.17,132.96,444943.0,133.2607,1556856000000,5664,
53,133.27,134.415,132.55,132.82,328634.0,133.0126,1557115200000,4501,
54,132.51,132.95,128.99,129.76,451236.0,130.43,1557201600000,6146,
55,130.29,132.125,129.45,129.52,420124.0,130.0588,1557288000000,5437,
56,129.18,129.98,128.2094,129.05,402731.0,129.1045,1557374400000,5952,
57,128.96,129.94,128.19,129.36,623720.0,129.0404,1557460800000,8235,
58,128.7,129.815,128.51,129.19,1015360.0,129.2034,1557720000000,8359,
59,129.22,129.85,128.45,128.65,582248.0,128.8553,1557806400000,7638,
60,128.35,130.18,128.22,130.09,765122.0,129.5507,1557892800000,9991,
61,130.1,131.0,129.5,130.48,461355.0,130.6291,1557979200000,6814,
62,129.67,131.15,129.64,131.11,871397.0,130.7246,1558065600000,9519,
63,131.5,131.51,129.63,130.19,545807.0,130.3478,1558324800000,8894,
