,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,34.47,34.47,34.14,34.26,1406762.0,34.2769,1550581200000,8694,
1,34.27,34.37,34.19,34.21,1492546.0,34.2899,1550595600000,11251,
2,34.2,34.26,34.2,34.26,26523.0,34.2045,1550610000000,27,
3,34.26,34.63,34.09,34.6,760051.0,34.4191,1550667600000,5850,
4,34.6,34.8,34.47,34.68,2800123.0,34.6791,1550682000000,20554,
5,34.66,34.66,34.6,34.6,116027.0,34.6599,1550696400000,29,
6,34.54,34.64,34.445,34.615,991248.0,34.5214,1550754000000,7866,
7,34.62,34.66,34.36,34.5,1505455.0,34.5209,1550768400000,11780,
8,34.5,34.5,34.5,34.5,55293.0,34.4999,1550782800000,18,
9,34.67,34.93,34.5897,34.86,991645.0,34.7914,1550840400000,6942,
10,34.865,34.92,34.69,34.85,1276747.0,34.7907,1550854800000,11435,
11,34.85,34.85,34.85,34.85,58780.0,34.8497,1550869200000,32,
12,35.0,35.0,35.0,35.0,550.0,34.9645,1551085200000,5,
13,35.0,35.315,34.9,35.21,1071694.0,35.1719,1551099600000,7509,
14,35.19,35.22,34.97,35.1,2085876.0,35.059,1551114000000,14507,
15,35.08,35.08,35.08,35.08,666541.0,35.08,1551128400000,15,
16,35.04,35.22,34.93,35.14,857102.0,35.0816,1551186000000,7010,
17,35.14,35.18,34.9,34.91,1773515.0,35.0133,1551200400000,13684,
18,34.91,34.91,34.91,34.91,127399.0,34.91,1551214800000,48,
19,34.59,34.67,34.2541,34.535,1072853.0,34.4875,1551272400000,7006,
20,34.54,34.71,34.54,34.68,1205766.0,34.6555,1551286800000,9616,
21,34.69,34.69,34.69,34.69,36576.0,34.6899,1551301200000,32,
22,34.68,34.68,34.68,34.68,1470.0,34.68,1551344400000,2,
23,34.55,34.71,34.51,34.7,841843.0,34.6325,1551358800000,6790,
24,34.695,34.9225,34.66,34.83,2335125.0,34.8046,1551373200000,14498,
25,34.81,34.81,34.81,34.81,416659.0,34.8099,1551387600000,40,
26,35.04,35.24,34.83,34.91,830538.0,35.0226,1551445200000,6283,
27,34.915,35.05,34.865,34.935,1851865.0,34.9546,1551459600000,12165,
28,34.93,34.93,34.93,34.93,28596.0,34.9297,1551474000000,15,
29,35.0,35.0,35.0,35.0,400.0,34.9645,1551690000000,4,
30,35.01,35.25,34.57,34.62,927092.0,35.0083,1551704400000,6431,
31,34.615,34.895,34.44,34.88,1714943.0,34.7143,1551718800000,13916,
32,34.88,34.88,34.88,34.88,34019.0,34.8797,1551733200000,19,
33,34.96,34.96,34.8,34.885,1062027.0,34.8664,1551790800000,8076,
34,34.88,34.96,34.69,34.69,1751876.0,34.8289,1551805200000,11191,
35,34.69,34.69,34.65,34.65,36745.0,34.6899,1551819600000,32,
36,34.69,34.7488,34.54,34.59,669982.0,34.6371,1551877200000,5561,
37,34.585,34.7,34.5,34.52,1592164.0,34.6034,1551891600000,12636,
38,34.51,34.51,34.51,34.51,64779.0,34.51,1551906000000,19,
39,34.58,34.58,34.09,34.12,1008432.0,34.2415,1551963600000,7970,
40,34.12,34.205,33.81,33.97,1747949.0,34.0161,1551978000000,13173,
41,33.97,33.97,33.97,33.97,57585.0,33.97,1551992400000,26,
42,33.8,33.8,33.8,33.8,300.0,33.8,1552035600000,1,
43,33.97,33.97,33.5,33.78,855707.0,33.6799,1552050000000,6451,
44,33.785,33.85,33.55,33.79,1412122.0,33.6904,1552064400000,11453,
45,33.8,33.8,33.8,33.8,104456.0,33.8,1552078800000,23,
46,34.0,34.26,33.895,34.155,1184022.0,34.1471,1552309200000,8143,
