,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,18.75,18.93,18.53,18.79,4438545.0,18.8064,1550552400000,24078,
1,18.89,19.06,18.675,18.96,4634326.0,18.9181,1550638800000,26101,
2,19.0,19.38,18.93,19.14,4042572.0,19.1956,1550725200000,25467,
3,19.12,19.355,18.99,19.13,4913547.0,19.1408,1550811600000,30267,
4,19.34,19.37,18.995,19.04,5179461.0,19.1051,1551070800000,28340,
5,19.05,19.17,18.67,18.69,6032819.0,18.8151,1551157200000,32821,
6,18.63,19.03,18.57,18.78,4753977.0,18.8106,1551243600000,29063,
7,18.8,18.8,18.455,18.59,4529272.0,18.6015,1551330000000,26271,
8,18.81,19.12,18.51,18.52,5978921.0,18.6376,1551416400000,32442,
9,18.59,18.735,18.415,18.42,4107162.0,18.5248,1551675600000,26841,
10,18.48,18.69,18.34,18.52,5743016.0,18.5236,1551762000000,27963,
11,18.56,18.59,18.225,18.27,4545847.0,18.3214,1551848400000,25755,
12,18.19,18.475,18.0152,18.33,3574990.0,18.3429,1551934800000,22057,
13,18.16,18.34,18.01,18.29,3020453.0,18.2357,1552021200000,21889,
14,18.38,18.49,17.69,17.89,7061181.0,17.8565,1552276800000,38799,
15,17.95,17.95,17.43,17.74,6051648.0,17.6513,1552363200000,32581,
16,17.78,18.08,17.68,17.69,7062074.0,17.8146,1552449600000,37691,
17,17.77,17.92,17.555,17.75,4576196.0,17.776,1552536000000,25867,
18,17.74,17.88,17.6,17.63,7950159.0,17.667,1552622400000,26726,
19,17.68,17.74,17.47,17.65,5285827.0,17.6199,1552881600000,22580,
20,17.69,18.11,17.62,17.85,7748124.0,17.8277,1552968000000,30690,
21,17.86,18.08,17.54,17.6,5072731.0,17.7216,1553054400000,29185,
22,17.62,17.84,17.54,17.78,3595256.0,17.7358,1553140800000,20017,
23,17.64,17.77,16.86,16.92,4026337.0,17.0795,1553227200000,23625,
24,16.81,17.06,16.68,16.89,3862709.0,16.8793,1553486400000,23302,
25,17.03,17.305,16.94,17.11,2727997.0,17.1054,1553572800000,17671,
