,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,117.05,117.05,117.05,117.05,1014.0,117.0465,1550566800000,10,
1,117.05,119.0,117.05,118.93,514861.0,118.4782,1550581200000,5032,
2,118.9432,119.89,118.89,119.57,1100704.0,119.552,1550595600000,11545,
3,119.56,119.57,119.0,119.0,128195.0,119.5678,1550610000000,27,
4,119.61,119.78,118.19,118.42,438728.0,118.6731,1550667600000,5058,
5,118.45,119.04,118.29,118.47,1102845.0,118.6119,1550682000000,11637,
6,118.58,118.58,118.47,118.58,280779.0,118.5796,1550696400000,26,
7,118.63,119.5429,117.89,119.47,595839.0,118.8468,1550754000000,6774,
8,119.47,119.85,119.32,119.72,645705.0,119.5582,1550768400000,9310,
9,119.73,119.73,119.25,119.25,135549.0,119.7289,1550782800000,22,
10,119.73,119.73,119.73,119.73,290.0,119.73,1550826000000,1,
11,118.87,119.61,117.9401,119.215,504947.0,119.0337,1550840400000,6361,
12,119.16,119.28,118.36,119.09,841762.0,118.7913,1550854800000,11107,
13,119.1,119.1,119.1,119.1,19376.0,119.0998,1550869200000,32,
14,119.55,119.55,117.995,118.19,418544.0,118.3213,1551099600000,5407,
15,118.17,118.348,117.425,117.77,797840.0,117.8583,1551114000000,10205,
16,117.78,117.78,117.78,117.78,15195.0,117.78,1551128400000,26,
17,117.97,118.3,117.52,117.7,320197.0,117.9284,1551186000000,4252,
18,117.69,118.03,117.62,117.78,504200.0,117.8279,1551200400000,8230,
19,117.77,117.77,117.77,117.77,22035.0,117.77,1551214800000,25,
20,117.15,117.71,116.65,116.85,349343.0,117.0886,1551272400000,4560,
21,116.88,117.05,116.55,116.67,783299.0,116.7611,1551286800000,9892,
22,116.7461,116.7461,116.67,116.67,85107.0,116.6957,1551301200000,22,
23,116.88,117.2,116.22,117.1,323428.0,116.8247,1551358800000,4414,
24,117.09,117.18,116.62,116.85,704176.0,116.878,1551373200000,9478,
25,116.83,116.83,116.83,116.83,80608.0,116.8299,1551387600000,59,
26,117.26,117.26,115.32,115.48,541761.0,115.9507,1551445200000,5357,
27,115.47,115.73,115.07,115.67,971964.0,115.4777,1551459600000,11713,
28,115.68,115.68,115.68,115.68,20020.0,115.68,1551474000000,35,
29,115.5,116.69,115.48,115.5,505379.0,116.1859,1551704400000,5648,
30,115.46,116.46,115.13,116.44,903958.0,115.8205,1551718800000,12031,
31,116.44,116.44,116.44,116.44,44127.0,116.4399,1551733200000,24,
32,116.65,117.39,116.43,116.44,289489.0,116.8801,1551790800000,3933,
33,116.45,117.21,116.35,116.66,704461.0,116.6692,1551805200000,8212,
34,116.68,116.68,116.68,116.68,17863.0,116.68,1551819600000,29,
35,116.43,116.5,115.42,115.75,393875.0,115.7385,1551877200000,5176,
36,115.76,116.45,115.59,116.14,548556.0,116.0364,1551891600000,7487,
37,116.13,116.13,116.0,116.13,36504.0,116.1297,1551906000000,24,
38,115.5,116.7,114.75,114.82,420948.0,115.3623,1551963600000,5242,
39,114.82,115.47,114.62,115.17,739486.0,115.0298,1551978000000,10191,
40,115.18,115.18,115.18,115.18,23411.0,115.18,1551992400000,15,
41,115.18,115.88,114.92,115.4301,378067.0,115.3411,1552050000000,4573,
42,115.41,115.95,115.0,115.87,649332.0,115.4466,1552064400000,8980,
43,115.88,115.88,115.88,115.88,95545.0,115.88,1552078800000,33,
44,115.93,116.78,115.71,116.62,415973.0,116.3805,1552309200000,5619,
45,116.63,117.65,116.56,117.59,601304.0,117.2365,1552323600000,8191,
46,117.65,118.62,117.51,117.66,486350.0,118.08,1552395600000,5573,
47,117.65,118.14,117.51,117.78,399023.0,117.8464,1552410000000,5889,
48,118.01,118.39,117.7111,118.38,402649.0,118.1954,1552482000000,5553,
49,118.38,118.77,117.99,118.47,490380.0,118.4696,1552496400000,7137,
50,118.47,118.47,118.47,118.47,669.0,118.47,1552510800000,1,
51,118.66,119.19,118.04,118.98,606614.0,118.813,1552568400000,6593,
52,118.98,119.02,118.43,118.45,518773.0,118.6431,1552582800000,6447,
53,118.26,119.84,118.26,119.657,747138.0,118.6442,1552654800000,4477,
54,119.645,120.2499,119.57,120.19,973860.0,120.0016,1552669200000,7798,
55,119.91,120.375,119.19,119.27,491765.0,119.8615,1552914000000,5911,
56,119.27,119.695,119.12,119.57,386793.0,119.4592,1552928400000,5236,
