,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,47.7,47.7,46.7,46.7,550.0,47.4545,1550566800000,3,
1,48.0,48.0,46.5,47.24,418434.0,46.945,1550581200000,4204,
2,47.24,47.25,47.05,47.07,662028.0,47.1652,1550595600000,7010,
3,47.06,47.06,47.06,47.06,13571.0,47.06,1550610000000,23,
4,47.0,47.38,46.74,47.325,313555.0,47.0914,1550667600000,3715,
5,47.325,47.62,47.32,47.44,686166.0,47.4722,1550682000000,7988,
6,47.44,47.44,47.44,47.44,79129.0,47.4399,1550696400000,30,
7,47.43,47.95,47.32,47.65,477864.0,47.7292,1550754000000,4583,
8,47.65,47.66,47.335,47.52,611190.0,47.4964,1550768400000,6334,
9,47.53,47.53,47.53,47.53,11569.0,47.5298,1550782800000,19,
10,47.53,47.76,47.42,47.73,313193.0,47.5884,1550840400000,3560,
11,47.73,47.83,47.61,47.8,577477.0,47.7384,1550854800000,6343,
12,47.79,47.79,47.79,47.79,19772.0,47.7899,1550869200000,29,
13,47.99,48.44,47.99,48.34,348631.0,48.2665,1551099600000,3611,
14,48.33,48.41,47.97,47.99,503983.0,48.1753,1551114000000,6053,
15,47.98,47.98,47.98,47.98,13209.0,47.98,1551128400000,19,
16,47.78,48.1,47.74,47.95,343220.0,47.943,1551186000000,3701,
17,47.95,47.96,47.57,47.58,561620.0,47.7309,1551200400000,5949,
18,47.58,47.58,47.58,47.58,27625.0,47.58,1551214800000,21,
19,47.41,47.74,47.31,47.47,343032.0,47.5509,1551272400000,3782,
20,47.47,47.76,47.45,47.57,585734.0,47.6384,1551286800000,6628,
21,47.57,47.57,47.57,47.57,22592.0,47.5663,1551301200000,30,
22,47.64,47.78,47.48,47.59,394143.0,47.6415,1551358800000,3924,
23,47.6,47.71,47.5,47.62,807889.0,47.602,1551373200000,7028,
24,47.62,47.62,47.62,47.62,46759.0,47.6199,1551387600000,32,
25,47.89,48.21,47.685,47.74,260875.0,47.875,1551445200000,3015,
26,47.745,48.03,47.73,47.92,707723.0,47.8844,1551459600000,6053,
27,47.9,47.9,47.9,47.9,6334.0,47.8996,1551474000000,21,
28,48.07,48.59,47.97,48.11,303513.0,48.3613,1551704400000,3591,
29,48.1,48.31,47.81,48.12,899561.0,48.1002,1551718800000,10191,
30,48.11,48.11,48.11,48.11,9747.0,48.1096,1551733200000,12,
31,48.11,48.11,47.51,47.865,224208.0,47.7995,1551790800000,2578,
32,47.86,48.03,47.835,47.93,391942.0,47.9275,1551805200000,4729,
33,47.93,47.93,47.93,47.93,22026.0,47.93,1551819600000,20,
34,47.92,48.19,47.81,47.81,236571.0,47.9708,1551877200000,2720,
35,47.815,47.87,47.42,47.44,531691.0,47.564,1551891600000,6430,
36,47.44,47.44,47.44,47.44,24850.0,47.44,1551906000000,24,
37,47.26,47.29,46.85,46.93,319060.0,47.0455,1551963600000,3866,
38,46.92,47.0475,46.66,46.81,676816.0,46.8878,1551978000000,7821,
39,46.82,46.82,46.82,46.82,23944.0,46.82,1551992400000,18,
40,46.82,46.87,46.39,46.76,327616.0,46.6798,1552050000000,3714,
41,46.75,46.95,46.68,46.88,541755.0,46.8182,1552064400000,6155,
42,46.88,46.88,46.88,46.88,19065.0,46.8802,1552078800000,28,
43,47.15,47.23,46.97,47.06,436153.0,47.0902,1552309200000,4859,
44,47.055,47.2568,47.055,47.2,419667.0,47.1674,1552323600000,5233,
45,47.36,47.74,47.34,47.62,484505.0,47.5796,1552395600000,4408,
46,47.6199,47.81,47.54,47.59,519069.0,47.6485,1552410000000,5264,
47,47.83,48.08,47.68,47.9745,383871.0,47.943,1552482000000,4505,
48,47.98,48.025,47.7,47.71,601176.0,47.8258,1552496400000,5884,
49,47.71,47.71,47.71,47.71,960.0,47.71,1552510800000,1,
50,47.72,48.0,47.59,47.86,200150.0,47.8599,1552568400000,2638,
51,47.86,47.92,47.63,47.89,385666.0,47.818,1552582800000,3837,
52,47.77,48.2,47.77,48.14,656462.0,47.9528,1552654800000,3834,
53,48.135,48.15,47.75,47.78,746435.0,47.8621,1552669200000,5645,
54,47.93,48.62,47.88,48.58,303714.0,48.3988,1552914000000,3632,
55,48.57,48.58,48.34,48.41,319494.0,48.4227,1552928400000,3597,
56,48.76,48.94,48.3,48.45,342819.0,48.6039,1553000400000,3806,
57,48.46,49.99,47.945,48.25,563231.0,48.1792,1553014800000,6242,
58,47.94,48.31,47.84,48.02,536945.0,48.0177,1553086800000,3482,
59,48.02,48.225,47.49,47.51,680513.0,47.8842,1553101200000,6959,
60,47.35,48.02,47.12,47.84,264087.0,47.6691,1553173200000,3147,
61,47.85,48.15,47.84,47.93,430736.0,47.9629,1553187600000,4374,
62,47.93,47.93,47.93,47.93,5335.0,47.93,1553202000000,1,
63,47.52,47.67,47.22,47.47,246618.0,47.4355,1553259600000,3201,
64,47.47,47.76,47.3,47.33,384393.0,47.4926,1553274000000,4489,
65,47.1,47.1,47.1,47.1,100.0,47.1,1553504400000,1,
66,47.25,47.61,47.06,47.25,447202.0,47.3544,1553518800000,4707,
67,47.265,47.35,47.02,47.1,463084.0,47.1545,1553533200000,4994,
68,47.27,47.645,47.21,47.29,243946.0,47.4374,1553605200000,2947,
69,47.29,47.59,47.155,47.57,327772.0,47.3802,1553619600000,4444,
70,47.68,47.98,47.57,47.725,289328.0,47.7712,1553691600000,4078,
