,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,307.65,307.65,307.65,307.65,190.0,307.65,1550574000000,1.0,
1,307.44,307.44,307.44,307.44,365.0,307.7242,1550577600000,6.0,
2,307.2,307.83,307.2,307.83,400.0,307.3575,1550581200000,4.0,
3,305.97,306.59,305.37,305.62,67439.0,305.8817,1550584800000,1006.0,
4,305.79,306.199,304.1,304.21,121694.0,304.9708,1550588400000,2154.0,
5,304.23,305.403,303.76,305.403,108107.0,304.4398,1550592000000,1974.0,
6,305.395,305.92,304.62,305.82,77311.0,305.2511,1550595600000,1750.0,
7,305.8131,306.0944,305.51,305.9,57843.0,305.8079,1550599200000,1189.0,
8,305.96,306.08,305.3,305.61,88174.0,305.7318,1550602800000,1877.0,
9,305.625,305.625,304.67,305.06,218414.0,305.2074,1550606400000,4153.0,
10,305.18,305.18,305.18,305.18,48355.0,305.18,1550610000000,18.0,
11,305.0,306.26,304.29,305.98,48664.0,305.3342,1550671200000,745.0,
12,305.95,306.905,305.7,306.04,77644.0,306.298,1550674800000,1510.0,
13,305.82,306.32,305.08,305.69,116079.0,305.6778,1550678400000,1799.0,
14,305.76,306.135,305.28,305.58,55754.0,305.6874,1550682000000,1389.0,
15,305.52,306.04,305.145,305.66,73770.0,305.6128,1550685600000,1756.0,
16,305.66,306.2906,304.68,305.88,91321.0,305.5462,1550689200000,2054.0,
17,306.04,307.2,305.94,307.2,184034.0,306.752,1550692800000,3766.0,
18,307.2,307.2,307.2,307.2,56761.0,307.2,1550696400000,20.0,
19,307.2,307.2,307.2,307.2,620.0,307.2,1550700000000,1.0,
20,307.99,307.99,307.99,307.99,800.0,307.9254,1550707200000,3.0,
21,308.1555,308.1555,308.1555,308.1555,100.0,308.1555,1550754000000,1.0,
22,307.06,307.17,303.841,304.58,75710.0,305.374,1550757600000,1080.0,
23,304.54,304.54,303.32,303.33,162153.0,303.6865,1550761200000,2794.0,
24,303.37,303.95,303.28,303.84,126617.0,303.614,1550764800000,2464.0,
25,303.88,304.55,303.5,304.545,78026.0,303.9699,1550768400000,1727.0,
26,304.61,304.86,304.2,304.5895,69727.0,304.5363,1550772000000,1501.0,
27,304.57,304.86,304.0,304.12,84809.0,304.4521,1550775600000,1869.0,
28,304.08,304.78,303.74,304.54,170320.0,304.241,1550779200000,3695.0,
29,304.51,304.51,304.51,304.51,197545.0,304.51,1550782800000,24.0,
