,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,56.34,56.82,56.19,56.33,336275.0,56.4279,1550581200000,3508,
1,56.34,56.4,55.67,55.71,612340.0,55.8996,1550595600000,6856,
2,55.69,55.69,55.69,55.69,5428.0,55.69,1550610000000,13,
3,55.72,56.4,55.72,56.32,394343.0,56.1892,1550667600000,3791,
4,56.315,56.32,55.63,55.66,698603.0,55.8527,1550682000000,7899,
5,55.65,55.83,55.65,55.83,17096.0,55.6508,1550696400000,15,
6,55.42,56.09,55.1,56.0,340847.0,55.5454,1550754000000,3771,
7,56.01,56.44,55.7,55.87,685031.0,56.0078,1550768400000,7654,
8,55.87,55.87,55.87,55.87,34317.0,55.87,1550782800000,20,
9,56.0,56.72,55.68,56.63,399085.0,56.2277,1550840400000,4171,
10,56.64,56.93,56.27,56.86,633886.0,56.5775,1550854800000,7287,
11,56.86,56.86,56.86,56.86,5985.0,56.8599,1550869200000,17,
12,57.25,57.4,56.78,57.08,402279.0,57.0562,1551099600000,3703,
13,57.09,57.09,56.45,56.76,773832.0,56.7478,1551114000000,7829,
14,56.77,56.77,56.77,56.77,2877.0,56.77,1551128400000,8,
15,56.52,56.7,55.6,56.38,309350.0,56.3905,1551186000000,3373,
16,56.395,56.76,56.32,56.38,559437.0,56.5628,1551200400000,6111,
17,56.35,56.35,56.34,56.34,5948.0,56.3497,1551214800000,9,
18,56.35,56.58,55.77,55.99,300829.0,56.0235,1551272400000,3137,
19,55.98,56.44,55.94,56.365,816702.0,56.2114,1551286800000,7848,
20,56.35,56.35,56.35,56.35,26371.0,56.35,1551301200000,13,
21,56.58,56.95,55.78,56.775,621147.0,56.2497,1551358800000,5986,
22,56.76,56.9123,56.37,56.56,1257013.0,56.6606,1551373200000,12124,
23,56.56,56.7,56.0251,56.7,25652.0,56.5562,1551387600000,37,
24,57.27,61.85,57.01,61.195,2000186.0,60.4781,1551445200000,16255,
25,61.2,61.41,60.46,61.0229,2755027.0,60.9939,1551459600000,21791,
26,61.04,61.04,61.04,61.04,220849.0,61.0399,1551474000000,32,
27,61.49,61.5,59.56,59.655,746848.0,60.4152,1551704400000,7464,
28,59.61,60.77,59.6,60.75,971329.0,60.4095,1551718800000,11563,
29,60.76,60.76,60.76,60.76,17296.0,60.7599,1551733200000,19,
30,60.74,61.19,59.75,60.13,551154.0,60.3726,1551790800000,5999,
31,60.14,61.16,60.13,61.06,632348.0,60.8307,1551805200000,8001,
32,61.04,61.04,61.04,61.04,18524.0,61.04,1551819600000,23,
33,61.04,61.59,60.47,60.75,585450.0,61.0874,1551877200000,5657,
34,60.75,61.07,60.44,60.94,696142.0,60.8352,1551891600000,8770,
35,60.93,60.93,60.93,60.93,42594.0,60.93,1551906000000,10,
36,60.88,61.56,60.43,61.24,324716.0,60.9452,1551963600000,3735,
37,61.23,61.25,60.59,60.78,696417.0,60.8664,1551978000000,7675,
38,60.78,60.78,60.78,60.78,58463.0,60.78,1551992400000,13,
39,60.78,60.78,59.65,60.355,452441.0,60.3776,1552050000000,4012,
40,60.36,60.82,60.195,60.78,807045.0,60.5159,1552064400000,8631,
41,60.79,60.79,60.79,60.79,4885.0,60.79,1552078800000,13,
42,60.64,62.1404,60.64,62.03,721589.0,61.6461,1552309200000,6940,
43,62.04,62.31,62.0,62.24,460813.0,62.1732,1552323600000,6062,
44,62.0,62.0,62.0,62.0,100.0,62.0,1552338000000,1,
45,62.23,62.78,61.89,62.63,510684.0,62.3758,1552395600000,5796,
46,62.62,63.25,62.56,63.13,692192.0,63.0411,1552410000000,7294,
47,63.3,63.41,62.86,63.0,591387.0,63.1184,1552482000000,5318,
48,63.0,63.25,61.8,62.68,688071.0,62.8489,1552496400000,7051,
49,62.68,62.68,62.68,62.68,11486.0,62.68,1552510800000,1,
50,62.97,63.89,62.81,63.69,542880.0,63.4639,1552568400000,4757,
51,63.67,63.86,63.4,63.56,874644.0,63.6271,1552582800000,6838,
52,63.56,64.33,62.8,64.19,974623.0,63.639,1552654800000,7050,
53,64.2,64.45,63.42,63.46,1304591.0,63.8729,1552669200000,8750,
54,63.4,63.43,62.46,62.65,482519.0,62.8013,1552914000000,5088,
55,62.66,63.335,62.61,63.08,696441.0,63.011,1552928400000,5649,
56,63.2,63.28,62.59,62.88,368883.0,62.8243,1553000400000,4726,
57,62.92,63.01,62.4,62.64,568523.0,62.7315,1553014800000,6565,
58,62.84,62.86,62.21,62.63,601439.0,62.4865,1553086800000,5638,
59,62.63,63.5,62.54,63.15,634151.0,63.0957,1553101200000,7588,
60,63.08,64.7,62.86,63.7,621448.0,64.1346,1553173200000,7167,
61,63.72,64.43,63.66,64.28,639750.0,64.057,1553187600000,7221,
62,64.28,64.28,64.28,64.28,2930.0,64.28,1553202000000,1,
63,64.29,64.29,64.29,64.29,1165.0,64.29,1553245200000,6,
64,64.15,64.37,62.29,63.09,543306.0,63.2042,1553259600000,7264,
65,63.06,63.51,62.9,62.95,497112.0,63.1562,1553274000000,6294,
66,62.79,63.215,61.82,62.82,380271.0,62.6681,1553518800000,3667,
67,62.82,63.09,62.44,62.82,325444.0,62.7941,1553533200000,4198,
68,62.7,62.7,62.7,62.7,100.0,62.7,1553590800000,1,
69,62.79,63.62,62.74,63.17,317826.0,63.2488,1553605200000,3805,
70,63.22,63.38,62.98,63.31,834444.0,63.1841,1553619600000,5094,
71,63.3,63.3,63.3,63.3,1400.0,63.3,1553634000000,8,
72,63.49,63.775,62.5593,63.27,444182.0,63.1566,1553691600000,5397,
73,63.24,63.86,63.24,63.33,898934.0,63.5244,1553706000000,7385,
74,63.52,63.98,63.25,63.52,416560.0,63.5244,1553778000000,4226,
75,63.545,63.96,63.47,63.9,500158.0,63.7491,1553792400000,4209,
76,64.5,64.5,63.55,63.82,309062.0,63.8327,1553864400000,3708,
77,63.85,63.9,63.43,63.54,532633.0,63.6225,1553878800000,5073,
78,64.23,64.64,63.65,64.195,401358.0,64.0496,1554123600000,5076,
79,64.21,64.48,63.97,64.48,475215.0,64.1722,1554138000000,5318,
80,64.5,64.5,64.5,64.5,425.0,64.5,1554195600000,3,
81,64.61,64.74,63.91,64.19,285928.0,64.1771,1554210000000,3588,
82,64.18,64.78,64.18,64.77,533241.0,64.6042,1554224400000,5467,
83,65.16,65.185,64.38,64.74,409721.0,64.7543,1554296400000,4192,
84,64.73,64.91,63.66,63.66,400521.0,64.7065,1554310800000,4760,
85,63.51,63.51,63.51,63.51,300.0,63.51,1554368400000,3,
86,63.83,64.14,62.55,62.68,586583.0,63.1926,1554382800000,6028,
