,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,44.46,45.075,44.4,44.74,6014529.0,44.8506,1550552400000,36295,
1,44.81,45.23,44.691,45.05,8517695.0,44.9763,1550638800000,46141,
2,45.0,45.28,44.55,44.76,6258520.0,44.8657,1550725200000,38092,
3,44.76,45.08,44.67,44.74,4876948.0,44.8439,1550811600000,31949,
4,45.14,45.66,45.09,45.26,6204966.0,45.3547,1551070800000,38105,
5,44.95,45.51,44.63,44.65,7129023.0,45.0629,1551157200000,47862,
6,44.62,45.12,44.51,45.0,10979220.0,44.9135,1551243600000,40573,
7,45.0,45.42,44.81,45.19,8992755.0,45.2172,1551330000000,44741,
8,45.64,46.06,45.295,45.55,5918047.0,45.537,1551416400000,39690,
9,45.62,46.12,45.215,45.66,4948596.0,45.6212,1551675600000,36618,
10,45.78,45.83,44.875,45.55,6130367.0,45.5091,1551762000000,33146,
11,45.43,45.62,44.82,44.94,4215846.0,45.131,1551848400000,28483,
12,44.53,44.79,43.85,44.32,5357989.0,44.2528,1551934800000,40316,
13,43.85,44.185,43.5,44.16,6448756.0,43.9421,1552021200000,39095,
14,44.44,44.8437,44.26,44.57,4186827.0,44.5741,1552276800000,27722,
15,44.67,44.98,44.43,44.57,4231585.0,44.6392,1552363200000,28497,
16,44.63,44.96,44.49,44.7,3452526.0,44.7216,1552449600000,25701,
17,44.74,44.85,44.53,44.84,3414274.0,44.7482,1552536000000,24588,
18,44.76,45.45,44.59,45.31,11799307.0,45.2235,1552622400000,38580,
19,45.38,45.99,44.96,45.72,4307782.0,45.764,1552881600000,29458,
20,45.92,46.22,44.94,45.04,4972821.0,45.4526,1552968000000,33036,
21,44.89,45.02,43.3,43.38,6151231.0,44.0126,1553054400000,41660,
22,43.1,43.555,42.68,43.22,6524197.0,43.2088,1553140800000,43561,
23,42.67,42.785,41.41,41.79,8601356.0,41.8993,1553227200000,58500,
24,41.88,42.3,41.42,41.87,5364836.0,41.8048,1553486400000,35050,
25,42.33,42.685,42.12,42.46,4456606.0,42.3827,1553572800000,28245,
26,42.36,42.77,42.055,42.5,5448571.0,42.3949,1553659200000,27525,
27,42.48,42.87,41.945,42.47,4130508.0,42.3673,1553745600000,27093,
28,42.93,42.995,42.42,42.57,5756725.0,42.5897,1553832000000,35694,
29,42.75,44.19,42.74,44.13,6164665.0,43.8543,1554091200000,43247,
30,44.11,44.44,43.84,43.93,5029673.0,44.0845,1554177600000,29920,
31,44.35,44.84,44.005,44.19,4014143.0,44.3281,1554264000000,31397,
32,44.35,44.92,44.12,44.74,4042992.0,44.6724,1554350400000,28519,
33,44.86,45.17,44.56,45.06,4505675.0,44.9656,1554436800000,26903,
34,44.9,45.14,44.812,45.01,3243131.0,45.0056,1554696000000,25134,
35,44.76,44.87,44.115,44.3,6128910.0,44.3289,1554782400000,43851,
36,44.25,44.88,43.95,44.83,3240644.0,44.5288,1554868800000,24540,
37,45.07,45.675,45.0,45.28,4251577.0,45.3266,1554955200000,31176,
38,45.97,46.53,45.63,45.86,5493407.0,45.8665,1555041600000,39594,
39,45.79,46.02,45.095,45.25,4355890.0,45.3633,1555300800000,28029,
40,45.49,46.335,45.39,46.19,5209477.0,46.0201,1555387200000,36004,
41,46.37,46.37,45.51,45.81,5176570.0,45.8543,1555473600000,36235,
42,45.67,45.88,45.26,45.32,6078156.0,45.48,1555560000000,35536,
43,45.26,45.42,45.0501,45.21,2460786.0,45.2093,1555905600000,20391,
44,45.05,45.62,45.005,45.43,4036060.0,45.4001,1555992000000,27692,
45,45.25,45.4,44.855,44.93,3491842.0,45.0238,1556078400000,20385,
46,44.75,45.12,44.41,44.71,4337154.0,44.7903,1556164800000,26507,
47,44.8,45.13,44.55,45.1,3087453.0,44.9803,1556251200000,21734,
48,45.3,45.9,45.18,45.72,4265699.0,45.7497,1556510400000,26734,
49,45.84,46.18,45.28,46.13,4991681.0,45.8618,1556596800000,31870,
50,46.03,46.495,45.5601,45.71,5326434.0,45.9633,1556683200000,40882,
51,46.7,48.13,46.57,47.41,9433788.0,47.527,1556769600000,60602,
52,47.78,48.29,47.3383,48.0,6225433.0,47.984,1556856000000,39783,
53,46.68,47.99,46.6,47.59,5458033.0,47.5049,1557115200000,43073,
54,47.03,47.725,46.99,47.29,6444321.0,47.3284,1557201600000,50751,
