,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,55.35,56.29,55.35,56.22,4177567.0,56.1694,1550552400000,23200,
1,56.27,56.71,55.99,56.61,3958816.0,56.5154,1550638800000,21982,
2,56.29,56.95,56.1,56.91,3939405.0,56.6985,1550725200000,26180,
3,57.05,57.63,56.74,57.3,3060984.0,57.3597,1550811600000,21622,
4,57.38,57.57,56.88,57.33,4385673.0,57.2805,1551070800000,22148,
5,57.45,57.57,57.0,57.32,5450360.0,57.3185,1551157200000,32638,
6,58.3,58.93,57.73,58.56,3402831.0,58.4857,1551243600000,26502,
7,58.5,59.05,58.35,58.81,4503772.0,58.8048,1551330000000,28508,
8,58.92,59.345,58.745,59.25,3221689.0,59.1018,1551416400000,23468,
9,59.42,59.61,58.94,59.58,3374716.0,59.351,1551675600000,23972,
10,59.57,59.68,59.29,59.33,4108189.0,59.4824,1551762000000,28759,
11,59.44,59.65,58.98,59.16,4228420.0,59.2773,1551848400000,28025,
12,58.95,59.22,58.54,59.0,4472719.0,58.8186,1551934800000,31155,
13,59.07,59.16,58.42,58.88,2883753.0,58.7364,1552021200000,23054,
14,58.84,59.02,58.54,58.67,3506229.0,58.6962,1552276800000,26442,
15,58.79,59.21,58.545,59.13,2847557.0,59.0527,1552363200000,17696,
16,59.23,59.59,58.95,59.51,4637100.0,59.4612,1552449600000,24760,
17,59.54,59.95,59.31,59.64,2420886.0,59.6354,1552536000000,15887,
18,59.61,59.92,59.4,59.73,7124877.0,59.7072,1552622400000,21640,
19,59.83,59.87,59.315,59.61,2643943.0,59.5674,1552881600000,16322,
20,59.44,59.59,58.88,59.12,2539013.0,59.1351,1552968000000,20338,
21,59.2,59.395,58.72,58.89,2676989.0,58.9409,1553054400000,17244,
22,58.92,59.59,58.76,59.48,1808736.0,59.414,1553140800000,14572,
23,59.65,60.085,59.48,59.63,1903803.0,59.8168,1553227200000,17256,
24,59.72,59.73,59.39,59.58,1611754.0,59.5868,1553486400000,15453,
25,59.68,59.92,59.48,59.92,2573473.0,59.8293,1553572800000,14143,
26,59.91,59.995,59.11,59.28,1991919.0,59.3582,1553659200000,16367,
27,59.26,59.4,58.57,58.79,2298256.0,58.8352,1553745600000,15882,
28,58.88,59.465,58.59,59.41,2613508.0,59.2478,1553832000000,19086,
29,59.32,59.32,58.12,58.54,2899201.0,58.4986,1554091200000,21986,
30,58.69,59.095,58.27,59.05,2768537.0,58.723,1554177600000,21009,
31,59.1,59.12,58.54,58.83,2089875.0,58.848,1554264000000,14132,
32,59.1,59.5,58.71,59.3,3444009.0,59.1816,1554350400000,23677,
33,59.26,59.7,59.01,59.7,2611846.0,59.4756,1554436800000,16772,
34,59.55,59.73,59.09,59.25,1737895.0,59.252,1554696000000,12718,
35,59.18,59.785,59.01,59.6,2972459.0,59.4691,1554782400000,19619,
36,59.75,60.36,59.33,59.47,2297410.0,59.6919,1554868800000,17143,
37,59.55,59.81,59.32,59.53,1970599.0,59.505,1554955200000,13699,
38,59.42,59.92,58.93,59.89,2436933.0,59.7675,1555041600000,14912,
39,59.99,60.29,59.77,59.99,1889612.0,60.0204,1555300800000,15096,
40,60.01,60.32,58.52,58.75,2022298.0,58.9852,1555387200000,19449,
41,58.69,58.8205,58.35,58.71,2624199.0,58.6633,1555473600000,18526,
42,58.95,60.31,57.87,58.87,7421631.0,59.2802,1555560000000,43372,
43,58.7,58.94,58.17,58.44,3138372.0,58.4396,1555905600000,19259,
44,58.26,58.69,57.695,58.12,3724640.0,58.1344,1555992000000,22344,
45,58.13,58.98,58.13,58.7,1925900.0,58.6141,1556078400000,15778,
46,58.51,59.25,58.3945,59.0,1971265.0,59.0064,1556164800000,15322,
47,59.3,59.66,58.835,58.94,1643698.0,59.1283,1556251200000,14867,
48,58.76,58.99,58.367,58.7,1597995.0,58.6776,1556510400000,11503,
49,58.79,59.71,58.59,59.65,2182878.0,59.4369,1556596800000,14621,
50,59.39,59.49,58.76,58.78,2183321.0,59.0424,1556683200000,19400,
51,59.0,59.49,58.5,59.24,2950790.0,59.2072,1556769600000,20868,
52,59.47,59.79,59.08,59.24,2137963.0,59.384,1556856000000,16939,
53,59.46,59.46,58.69,58.92,2129184.0,58.9227,1557115200000,16398,
54,58.91,59.14,58.63,58.84,2162540.0,58.8467,1557201600000,19826,
55,58.79,58.84,57.75,57.77,2233961.0,57.9724,1557288000000,20731,
56,57.86,58.37,57.5,58.29,1831296.0,58.12,1557374400000,18150,
57,58.07,59.35,58.02,59.31,1320831.0,58.9248,1557460800000,12318,
58,59.26,60.07,59.2,59.97,1788431.0,59.7635,1557720000000,15740,
59,59.97,60.03,58.99,59.14,3246309.0,59.2798,1557806400000,20123,
60,59.25,59.72,58.95,59.36,1931412.0,59.4256,1557892800000,16876,
61,59.31,60.32,59.17,60.05,1707679.0,60.0353,1557979200000,14476,
62,59.73,60.58,59.73,60.43,1592094.0,60.3341,1558065600000,14737,
63,60.6,61.03,60.2,60.37,1655332.0,60.4979,1558324800000,14617,
64,60.51,61.115,60.36,60.69,1636860.0,60.7703,1558411200000,12619,
65,60.9,61.2,60.58,61.02,1526456.0,61.0158,1558497600000,11196,
66,61.11,61.39,60.76,61.38,1691929.0,61.241,1558584000000,15016,
67,61.48,61.63,61.05,61.16,1490021.0,61.2978,1558670400000,13419,
