,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,24.4,24.6,24.3,24.485,67709.0,24.4674,1550584800000,549,
1,24.48,24.58,24.35,24.4,193097.0,24.4619,1550588400000,1700,
2,24.4,24.545,24.37,24.525,180957.0,24.4832,1550592000000,1694,
3,24.53,24.63,24.495,24.595,118093.0,24.5586,1550595600000,1220,
4,24.59,24.66,24.555,24.59,162439.0,24.6152,1550599200000,1196,
5,24.59,24.71,24.59,24.71,148827.0,24.64,1550602800000,1464,
6,24.71,24.71,24.515,24.54,377326.0,24.5926,1550606400000,3558,
7,24.55,24.55,24.55,24.55,18477.0,24.55,1550610000000,3,
8,24.57,24.99,24.57,24.65,52786.0,24.6599,1550671200000,504,
9,24.63,24.68,24.51,24.525,209520.0,24.598,1550674800000,1689,
10,24.52,24.52,24.185,24.19,123565.0,24.3337,1550678400000,1378,
11,24.185,24.24,24.12,24.1665,92198.0,24.1738,1550682000000,1030,
12,24.17,24.34,24.17,24.26,80098.0,24.2701,1550685600000,920,
13,24.26,24.43,24.21,24.37,95152.0,24.3131,1550689200000,1172,
14,24.37,24.45,24.19,24.26,402509.0,24.3203,1550692800000,2961,
15,24.26,24.26,24.26,24.26,56783.0,24.26,1550696400000,9,
16,24.33,24.4,24.09,24.12,60859.0,24.2506,1550757600000,490,
17,24.1,24.3,24.01,24.22,103327.0,24.2027,1550761200000,1198,
18,24.24,24.3,24.15,24.23,86140.0,24.2251,1550764800000,950,
19,24.24,24.46,24.21,24.46,109415.0,24.2896,1550768400000,1104,
20,24.45,24.54,24.24,24.325,138846.0,24.3881,1550772000000,1224,
21,24.33,24.34,24.08,24.095,91671.0,24.1893,1550775600000,1191,
22,24.09,24.19,23.97,24.08,419373.0,24.0576,1550779200000,3772,
23,24.08,24.08,24.08,24.08,29756.0,24.08,1550782800000,15,
24,24.38,24.74,24.125,24.67,103887.0,24.5038,1550844000000,731,
25,24.68,24.9,24.635,24.73,341945.0,24.7557,1550847600000,2616,
26,24.73,24.855,24.64,24.855,319843.0,24.7565,1550851200000,2409,
27,24.855,25.02,24.855,25.015,252643.0,24.979,1550854800000,1888,
28,25.015,25.04,24.84,24.98,148088.0,24.9324,1550858400000,1306,
29,24.99,25.04,24.9,25.01,287682.0,24.9818,1550862000000,2349,
30,25.01,25.18,24.995,25.14,369209.0,25.0991,1550865600000,3523,
31,25.14,25.14,25.14,25.14,19013.0,25.1399,1550869200000,15,
32,25.3,25.53,25.24,25.32,85808.0,25.3801,1551103200000,575,
33,25.33,25.44,25.03,25.15,97599.0,25.2265,1551106800000,1017,
34,25.15,25.23,25.06,25.15,79520.0,25.1483,1551110400000,1060,
35,25.14,25.21,25.0,25.02,77316.0,25.1096,1551114000000,1026,
36,25.02,25.24,25.01,25.22,100978.0,25.1406,1551117600000,1168,
37,25.225,25.31,25.221,25.27,171667.0,25.2759,1551121200000,1944,
38,25.27,25.31,25.16,25.2,335177.0,25.246,1551124800000,3572,
39,25.19,25.19,25.19,25.19,26609.0,25.19,1551128400000,9,
40,25.09,25.445,25.005,25.395,67085.0,25.2864,1551189600000,606,
41,25.4,25.48,25.285,25.31,121719.0,25.3744,1551193200000,1289,
42,25.3,25.4,25.25,25.265,88242.0,25.3148,1551196800000,946,
43,25.26,25.31,25.205,25.215,60747.0,25.2512,1551200400000,686,
44,25.22,25.3,25.21,25.3,68340.0,25.2636,1551204000000,757,
45,25.3,25.495,25.25,25.43,152562.0,25.4011,1551207600000,1380,
46,25.43,25.48,25.14,25.16,365569.0,25.3008,1551211200000,3266,
47,25.16,25.16,25.16,25.16,5741.0,25.16,1551214800000,15,
48,25.07,25.21,24.791,25.0,40250.0,25.0356,1551276000000,308,
49,25.0,25.09,24.77,24.85,224554.0,24.9602,1551279600000,1586,
50,24.84,24.95,24.83,24.94,55312.0,24.8853,1551283200000,621,
51,24.94,25.19,24.93,25.175,96208.0,25.072,1551286800000,1012,
52,25.175,25.3,25.165,25.265,130135.0,25.243,1551290400000,1307,
53,25.27,25.36,25.22,25.36,217146.0,25.2853,1551294000000,1810,
54,25.35,25.42,25.22,25.38,480647.0,25.3288,1551297600000,3884,
55,25.38,25.38,25.38,25.38,42369.0,25.38,1551301200000,11,
56,25.34,25.41,25.07,25.11,88519.0,25.2541,1551362400000,513,
57,25.09,25.11,24.96,25.03,213234.0,25.021,1551366000000,1383,
58,25.03,25.14,24.96,24.96,111421.0,25.0441,1551369600000,1053,
59,24.96,25.135,24.94,25.13,106280.0,25.0475,1551373200000,954,
