,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,100.44,101.08,99.97,100.24,312442.0,100.5078,1550581200000,3448,
1,100.25,100.34,99.64,99.76,578421.0,99.9388,1550595600000,6885,
2,99.75,99.75,99.75,99.75,4922.0,99.75,1550610000000,17,
3,99.43,99.52,98.46,98.9,322506.0,98.8939,1550667600000,2889,
4,98.915,99.815,98.75,99.77,603660.0,99.272,1550682000000,6527,
5,99.77,100.2,98.9,100.2,188127.0,99.7681,1550696400000,46,
6,99.8744,100.79,99.51,99.88,276540.0,99.8411,1550754000000,3434,
7,99.87,100.15,99.5206,100.12,593789.0,99.8138,1550768400000,6502,
8,100.1,100.1,100.1,100.1,19753.0,100.1001,1550782800000,40,
9,100.1,101.46,100.08,101.068,140375.0,101.0549,1550840400000,2180,
10,101.07,101.34,100.81,101.24,333306.0,101.0887,1550854800000,5048,
11,101.24,101.24,101.0,101.24,66474.0,101.2396,1550869200000,36,
12,101.37,102.13,101.36,101.62,141645.0,101.6984,1551099600000,2134,
13,101.6,101.805,101.38,101.65,368435.0,101.5941,1551114000000,5451,
14,101.66,101.66,101.66,101.66,4514.0,101.66,1551128400000,15,
15,101.73,101.73,100.94,101.12,359031.0,101.1413,1551186000000,4645,
16,101.14,101.15,100.34,100.81,404234.0,100.7808,1551200400000,5948,
17,100.8,100.8,100.8,100.8,6291.0,100.8,1551214800000,25,
18,100.53,101.94,100.53,101.75,190494.0,101.3826,1551272400000,3066,
19,101.75,102.081,101.6401,101.82,391496.0,101.8701,1551286800000,5650,
20,101.82,101.82,101.82,101.82,120107.0,101.82,1551301200000,16,
21,102.26,102.26,102.26,102.26,100.0,102.26,1551344400000,1,
22,102.97,103.4848,102.09,102.85,662911.0,103.0517,1551358800000,4560,
23,102.87,103.09,102.32,102.43,732408.0,102.7199,1551373200000,8674,
24,102.43,102.43,102.43,102.43,74818.0,102.4299,1551387600000,34,
25,102.8,103.2004,102.22,102.66,182212.0,102.6535,1551445200000,2338,
26,102.66,103.29,102.66,103.11,385292.0,103.0567,1551459600000,5225,
27,103.11,103.11,103.11,103.11,7015.0,103.1097,1551474000000,19,
28,103.5,103.7147,101.36,101.53,232505.0,102.5181,1551704400000,3311,
29,101.5,102.0926,101.01,101.9,526808.0,101.7414,1551718800000,7000,
30,101.9,102.0,101.9,102.0,10190.0,101.9008,1551733200000,28,
31,101.9,102.04,100.61,101.77,185461.0,101.6416,1551790800000,2654,
32,101.8,102.68,101.77,102.4,398814.0,102.2421,1551805200000,5606,
33,102.43,102.43,102.43,102.43,13884.0,102.43,1551819600000,21,
34,102.45,102.45,100.75,100.81,215925.0,101.4171,1551877200000,3025,
35,100.8,101.27,100.57,100.61,469389.0,100.8803,1551891600000,6281,
36,100.61,101.0,100.61,101.0,10823.0,100.6678,1551906000000,41,
37,100.6,101.07,99.81,100.87,323007.0,100.6012,1551963600000,3741,
38,100.87,101.0,100.055,100.5,656226.0,100.4323,1551978000000,8334,
39,100.49,100.49,100.49,100.49,29364.0,100.49,1551992400000,15,
40,100.49,101.27,100.08,100.9,335170.0,100.6686,1552050000000,4213,
41,100.91,101.34,100.57,101.0,570134.0,100.9759,1552064400000,7159,
42,101.0,101.0,101.0,101.0,9147.0,101.0001,1552078800000,25,
43,101.15,101.78,100.825,101.49,336182.0,101.4342,1552309200000,4115,
44,101.5,101.9,101.34,101.4,571479.0,101.5191,1552323600000,4918,
45,101.4,101.8,101.4,101.8,700.0,101.5571,1552338000000,6,
46,101.85,102.86,101.77,102.8391,365793.0,102.4762,1552395600000,4488,
47,102.84,103.15,102.62,102.77,494119.0,102.8924,1552410000000,6391,
48,102.96,103.49,102.85,103.0,277318.0,103.0706,1552482000000,3893,
49,103.0,103.08,102.4,102.63,415284.0,102.6537,1552496400000,5557,
50,102.63,102.63,102.63,102.63,1197.0,102.63,1552510800000,1,
51,102.57,102.57,101.19,101.28,340787.0,101.5043,1552568400000,4494,
52,101.28,101.47,100.96,101.0,507759.0,101.2467,1552582800000,6200,
53,100.9,101.73,100.345,101.33,1112368.0,100.7603,1552654800000,8617,
54,101.36,101.39,100.2,100.37,610819.0,100.5868,1552669200000,6259,
55,100.36,100.61,96.94,97.48,893737.0,98.783,1552914000000,10475,
56,97.47,97.615,96.98,97.4,859951.0,97.3728,1552928400000,9482,
57,97.2391,97.2391,97.2391,97.2391,5000.0,97.2391,1552986000000,1,
58,97.66,98.19,97.07,98.05,389401.0,97.5791,1553000400000,5141,
59,98.05,98.5,97.76,98.5,459294.0,97.9059,1553014800000,5401,
60,98.31,98.31,98.21,98.22,2000.0,98.245,1553029200000,13,
61,98.7,99.72,98.7,99.05,2300.0,99.0452,1553072400000,13,
62,99.06,100.8,98.45,99.16,509679.0,99.8046,1553086800000,5691,
63,99.17,99.66,98.71,98.81,712761.0,99.0751,1553101200000,7406,
64,98.9,98.9,98.9,98.9,300.0,98.9,1553115600000,2,
65,98.47,100.98,98.47,100.84,259647.0,100.3776,1553173200000,3237,
66,100.81,101.23,100.8,100.97,330071.0,101.0069,1553187600000,4179,
67,100.97,100.97,100.97,100.97,2846.0,100.97,1553202000000,1,
68,99.15,101.91,99.15,100.66,199256.0,101.0685,1553259600000,3103,
69,100.66,101.065,100.11,100.14,303744.0,100.4641,1553274000000,4375,
70,99.98,101.51,99.465,101.27,181851.0,100.7959,1553518800000,3362,
