,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,44.52,45.8,44.44,45.54,10039616.0,45.3785,1550552400000,61741,
1,45.35,46.35,45.35,45.9,8565847.0,45.9881,1550638800000,49632,
2,45.86,45.95,44.6,44.72,9528277.0,44.9503,1550725200000,51256,
3,45.08,45.14,44.19,44.36,5717070.0,44.4484,1550811600000,39293,
4,44.33,45.01,44.25,44.79,6033429.0,44.7516,1551070800000,36163,
5,44.8,45.15,44.26,44.31,5853371.0,44.5702,1551157200000,38541,
6,44.4,44.78,44.08,44.35,7443691.0,44.4355,1551243600000,42480,
7,44.46,44.54,43.415,44.06,8847024.0,43.9196,1551330000000,47253,
8,44.22,45.19,44.22,45.19,8811882.0,44.8591,1551416400000,49439,
9,45.43,45.663,44.57,45.24,6946391.0,45.1345,1551675600000,43507,
10,45.2,45.27,44.31,44.79,7391207.0,44.6922,1551762000000,42218,
11,44.51,44.71,43.2,43.37,9949256.0,43.5892,1551848400000,56739,
12,43.42,43.46,42.45,42.49,8086545.0,42.6418,1551934800000,52165,
13,41.73,41.79,40.88,41.29,12739227.0,41.2441,1552021200000,77986,
14,41.79,42.32,41.44,42.08,9494763.0,41.971,1552276800000,61489,
15,42.15,42.92,42.12,42.59,8230827.0,42.6391,1552363200000,49224,
16,43.01,43.3,42.83,43.15,8823257.0,43.0878,1552449600000,52760,
17,43.15,43.4953,43.05,43.09,7934752.0,43.1888,1552536000000,41721,
18,42.7,43.16,42.34,42.39,14145209.0,42.5207,1552622400000,54012,
19,42.7,43.65,42.47,43.36,13518980.0,43.247,1552881600000,66852,
20,43.78,43.985,43.09,43.25,8835186.0,43.4703,1552968000000,48552,
21,43.23,44.6,43.08,44.29,9512661.0,43.9151,1553054400000,54436,
22,44.11,44.39,43.78,44.22,6168640.0,44.1562,1553140800000,38357,
23,43.75,43.97,42.3064,42.47,7892730.0,42.6975,1553227200000,52190,
24,41.76,42.55,41.715,42.47,6390087.0,42.2001,1553486400000,46031,
25,42.92,43.715,42.7725,43.05,6500682.0,43.1729,1553572800000,41804,
26,43.03,43.28,42.385,42.68,5254796.0,42.7517,1553659200000,35819,
27,42.49,43.68,42.33,43.62,7419852.0,43.2456,1553745600000,47881,
28,44.23,44.35,43.215,43.57,7985019.0,43.6282,1553832000000,44152,
29,43.98,44.99,43.72,44.76,9717888.0,44.6814,1554091200000,57043,
30,44.9,45.45,44.35,44.49,6899795.0,44.7984,1554177600000,46885,
31,44.79,44.83,43.39,43.59,7231065.0,43.8761,1554264000000,48281,
32,43.41,44.105,43.06,44.1,6670992.0,43.7067,1554350400000,46010,
33,44.41,45.54,44.26,45.0,9149709.0,45.0498,1554436800000,55110,
34,45.15,46.24,45.1,46.17,11421589.0,45.9551,1554696000000,73112,
35,45.86,46.04,45.22,45.58,7577630.0,45.5189,1554782400000,49168,
36,45.8,46.0,45.4,45.55,6148868.0,45.6229,1554868800000,38673,
37,45.55,45.91,44.91,45.31,5290090.0,45.3131,1554955200000,34948,
38,46.0,46.45,45.58,45.65,8667439.0,45.9677,1555041600000,59582,
39,45.56,46.825,45.2472,46.4,11178615.0,46.3078,1555300800000,68233,
40,46.64,47.55,46.61,47.34,7654686.0,47.0518,1555387200000,53580,
41,47.81,47.96,47.125,47.41,8346344.0,47.4302,1555473600000,58900,
42,48.13,48.88,45.5099,45.56,15721802.0,46.6907,1555560000000,88173,
43,45.64,46.175,45.21,45.85,7901176.0,45.7686,1555905600000,49880,
44,45.67,46.09,45.27,45.89,8539652.0,45.6901,1555992000000,55239,
45,45.72,45.81,44.24,44.24,8941963.0,44.6935,1556078400000,53919,
46,44.15,44.19,43.17,43.3,9405148.0,43.5548,1556164800000,63660,
47,42.95,43.47,42.46,43.3,8527593.0,43.0711,1556251200000,56692,
48,43.34,44.37,43.25,43.43,8927458.0,43.7567,1556510400000,51542,
49,43.86,43.9,42.39,42.68,12163785.0,42.6917,1556596800000,56815,
50,42.63,42.89,41.34,41.37,10523815.0,41.8781,1556683200000,60089,
51,40.98,41.55,40.67,41.12,9108910.0,41.097,1556769600000,57806,
52,41.56,41.81,41.1115,41.28,7185612.0,41.3928,1556856000000,38767,
53,40.84,41.49,40.7,41.24,6571816.0,41.1713,1557115200000,41756,
54,40.76,40.76,39.9661,40.6,10439047.0,40.415,1557201600000,65559,
55,40.52,40.6,39.92,40.27,9237973.0,40.2365,1557288000000,65018,
56,39.92,40.445,39.49,40.27,12928815.0,40.1002,1557374400000,77149,
57,39.9,40.12,38.65,39.56,12811426.0,39.2466,1557460800000,92294,
58,38.88,39.15,37.625,38.16,16732641.0,38.2064,1557720000000,125303,
59,38.49,39.97,38.36,39.0,12043145.0,39.1556,1557806400000,71723,
60,38.41,39.44,38.4,39.33,10558750.0,38.9688,1557892800000,77859,
61,39.59,40.01,39.47,39.86,7632759.0,39.8206,1557979200000,54778,
