,date,open,high,low,close,volume
0,2019-02-19 00:00:00,56.35,56.82,55.67,55.69,1151719.0
1,2019-02-20 00:00:00,55.72,56.4,55.63,55.65,1219962.0
2,2019-02-21 00:00:00,55.42,56.44,55.1,55.87,1130719.0
3,2019-02-22 00:00:00,56.0,56.93,55.68,56.86,1109570.0
4,2019-02-25 00:00:00,57.25,57.4,56.45,56.77,1272726.0
5,2019-02-26 00:00:00,56.52,56.76,55.6,56.35,1163827.0
6,2019-02-27 00:00:00,56.35,56.58,55.77,56.35,1227706.0
7,2019-02-28 00:00:00,56.58,56.95,55.78,56.56,2104631.0
8,2019-03-01 00:00:00,57.27,61.85,57.01,61.04,5172766.0
9,2019-03-04 00:00:00,61.49,61.5,59.56,60.76,1837516.0
10,2019-03-05 00:00:00,61.17,61.19,59.93,61.04,1304551.0
11,2019-03-06 00:00:00,61.04,61.59,60.44,60.93,1383035.0
12,2019-03-07 00:00:00,60.88,61.56,60.43,60.78,1144903.0
13,2019-03-08 00:00:00,60.04,60.82,59.65,60.79,1385232.0
14,2019-03-11 00:00:00,60.83,62.31,60.68,62.24,1488334.0
15,2019-03-12 00:00:00,62.23,63.25,61.89,63.13,1412318.0
16,2019-03-13 00:00:00,63.3,63.41,61.8,62.68,2058760.0
17,2019-03-14 00:00:00,62.97,63.89,62.81,63.56,2079722.0
18,2019-03-15 00:00:00,63.44,64.45,62.8,63.46,3971210.0
19,2019-03-18 00:00:00,63.4,63.43,62.46,63.08,2043599.0
20,2019-03-19 00:00:00,63.2,63.28,62.4,62.64,1553566.0
21,2019-03-20 00:00:00,62.74,63.5,62.21,63.15,1441630.0
22,2019-03-21 00:00:00,63.08,64.7,62.86,64.28,1422354.0
23,2019-03-22 00:00:00,64.15,64.37,62.29,62.95,1153698.0
24,2019-03-25 00:00:00,62.79,63.215,61.82,62.82,746296.0
25,2019-03-26 00:00:00,62.96,63.62,62.74,63.31,1236542.0
26,2019-03-27 00:00:00,63.49,63.86,62.5593,63.33,1527652.0
27,2019-03-28 00:00:00,63.52,63.98,63.25,63.9,1031020.0
28,2019-03-29 00:00:00,64.5,64.5,63.43,63.54,1035446.0
29,2019-04-01 00:00:00,64.23,64.64,63.65,64.48,994028.0
30,2019-04-02 00:00:00,64.61,64.78,63.91,64.77,929056.0
31,2019-04-03 00:00:00,65.16,65.185,64.38,64.82,1047918.0
32,2019-04-04 00:00:00,63.83,64.14,62.55,63.09,1379351.0
33,2019-04-05 00:00:00,63.32,63.61,62.705,62.93,1033598.0
34,2019-04-08 00:00:00,62.67,63.58,62.3853,63.58,1197027.0
35,2019-04-09 00:00:00,63.21,63.99,63.0,63.43,901703.0
36,2019-04-10 00:00:00,63.65,64.71,63.48,64.6,832054.0
37,2019-04-11 00:00:00,64.79,65.07,63.775,63.98,1566030.0
38,2019-04-12 00:00:00,63.99,64.7,63.72,64.46,1257488.0
39,2019-04-15 00:00:00,64.5,65.15,64.27,64.94,665412.0
40,2019-04-16 00:00:00,65.16,65.61,64.61,64.93,686881.0
41,2019-04-17 00:00:00,65.0,65.21,64.03,64.53,595261.0
42,2019-04-18 00:00:00,64.57,65.42,63.87,65.35,936373.0
43,2019-04-22 00:00:00,64.98,65.76,64.73,65.5,691606.0
44,2019-04-23 00:00:00,65.71,66.67,65.71,66.42,1415915.0
45,2019-04-24 00:00:00,66.49,66.67,66.0,66.09,880427.0
46,2019-04-25 00:00:00,66.02,66.14,65.09,65.82,905043.0
47,2019-04-26 00:00:00,66.12,66.59,65.47,66.46,673121.0
48,2019-04-29 00:00:00,66.8,66.8,65.54,65.97,1249622.0
49,2019-04-30 00:00:00,66.13,66.18,64.39,65.34,1544421.0
50,2019-05-01 00:00:00,65.34,65.49,63.71,63.72,1587998.0
51,2019-05-02 00:00:00,63.28,64.04,62.56,63.76,2081506.0
52,2019-05-03 00:00:00,65.25,67.0,63.9,64.34,3387154.0
53,2019-05-06 00:00:00,62.09,64.76,62.09,64.68,1374584.0
54,2019-05-07 00:00:00,64.26,64.51,63.35,63.83,2207404.0
55,2019-05-08 00:00:00,63.85,65.01,63.34,64.71,848506.0
56,2019-05-09 00:00:00,64.2,64.76,63.24,64.65,912552.0
57,2019-05-10 00:00:00,64.59,65.565,63.9,65.36,1330716.0
58,2019-05-13 00:00:00,63.73,64.2,62.1,63.01,3346305.0
59,2019-05-14 00:00:00,63.49,64.68,63.13,64.15,1287209.0
60,2019-05-15 00:00:00,64.02,65.02,63.56,64.32,929233.0
61,2019-05-16 00:00:00,64.44,65.23,64.25,64.38,776115.0
62,2019-05-17 00:00:00,63.66,64.46,63.48,63.63,1029565.0
63,2019-05-20 00:00:00,63.07,63.54,62.78,62.97,1235807.0
64,2019-05-21 00:00:00,63.5,64.3,63.25,63.9,744087.0
65,2019-05-22 00:00:00,63.46,63.85,62.82,62.87,650396.0
66,2019-05-23 00:00:00,62.55,62.91,61.8,62.49,831727.0
67,2019-05-24 00:00:00,62.99,63.74,62.98,63.28,656802.0
68,2019-05-28 00:00:00,63.27,63.79,62.39,62.45,1306722.0
69,2019-05-29 00:00:00,61.95,62.32,61.75,62.14,796160.0
70,2019-05-30 00:00:00,62.17,62.53,61.41,61.62,533402.0
71,2019-05-31 00:00:00,60.98,61.39,60.61,60.82,1028555.0
72,2019-06-03 00:00:00,60.83,61.25,59.55,60.07,907666.0
73,2019-06-04 00:00:00,60.81,61.59,60.17,61.55,721274.0
