,date,open,high,low,close,volume
0,2019-02-19 08:00:00,135.37,136.6,134.535,136.525,413821.0
1,2019-02-19 12:00:00,136.51,137.16,136.24,136.31,694054.0
2,2019-02-19 16:00:00,136.3,136.3,136.3,136.3,6341.0
3,2019-02-20 08:00:00,135.2,135.9,133.87,135.25,277871.0
4,2019-02-20 12:00:00,135.24,135.62,133.96,134.04,722034.0
5,2019-02-20 16:00:00,135.22,135.22,134.04,134.04,13209.0
6,2019-02-21 08:00:00,134.09,134.23,132.61,133.17,281849.0
7,2019-02-21 12:00:00,133.12,133.3,131.49,131.95,608372.0
8,2019-02-21 16:00:00,131.95,131.95,131.95,131.95,336676.0
9,2019-02-22 08:00:00,131.95,132.42,130.81,131.56,403368.0
10,2019-02-22 12:00:00,131.605,132.15,131.42,131.5,756675.0
11,2019-02-22 16:00:00,131.49,131.49,131.49,131.49,22258.0
12,2019-02-25 08:00:00,132.41,132.41,130.565,131.72,270751.0
13,2019-02-25 12:00:00,131.71,131.71,129.91,130.14,528390.0
14,2019-02-25 16:00:00,130.18,130.18,130.18,130.18,240347.0
15,2019-02-26 08:00:00,130.09,130.33,128.43,128.66,361789.0
16,2019-02-26 12:00:00,128.7,129.13,126.98,127.15,921305.0
17,2019-02-26 16:00:00,127.15,127.15,127.15,127.15,321652.0
18,2019-02-27 08:00:00,126.98,127.08,125.8005,126.495,439454.0
19,2019-02-27 12:00:00,126.495,127.44,126.43,127.43,854192.0
20,2019-02-27 16:00:00,127.42,127.42,127.42,127.42,17702.0
21,2019-02-28 08:00:00,127.28,128.455,126.59,126.93,430374.0
22,2019-02-28 12:00:00,126.98,127.6,126.71,127.16,532598.0
23,2019-02-28 16:00:00,127.16,127.16,127.16,127.16,37897.0
24,2019-03-01 08:00:00,127.61,128.5,125.54,125.77,347831.0
25,2019-03-01 12:00:00,125.73,125.73,124.04,124.53,993570.0
26,2019-03-01 16:00:00,124.53,124.53,124.53,124.53,28445.0
27,2019-03-04 08:00:00,124.53,124.71,120.85,120.85,544205.0
28,2019-03-04 12:00:00,120.885,121.41,119.75,120.1,1043056.0
