,date,open,high,low,close,volume
0,2019-02-19 08:00:00,33.754,33.754,33.51,33.51,1110.0
1,2019-02-19 09:00:00,33.75,33.9,33.0,33.9,1329744.0
2,2019-02-19 10:00:00,33.9,34.23,33.82,34.195,1661209.0
3,2019-02-19 11:00:00,34.21,34.465,34.14,34.4501,1261586.0
4,2019-02-19 12:00:00,34.45,34.66,34.35,34.635,944852.0
5,2019-02-19 13:00:00,34.635,34.74,34.59,34.73,1031587.0
6,2019-02-19 14:00:00,34.725,34.74,34.63,34.68,1104776.0
7,2019-02-19 15:00:00,34.68,34.725,34.485,34.535,1909338.0
8,2019-02-19 16:00:00,34.53,34.954,34.53,34.954,53017.0
9,2019-02-19 17:00:00,34.67,34.67,34.67,34.67,101.0
10,2019-02-19 18:00:00,34.67,34.75,34.67,34.7,4130.0
11,2019-02-19 19:00:00,34.75,34.9,34.67,34.73,1390.0
12,2019-02-20 04:00:00,34.62,34.62,34.62,34.62,250.0
13,2019-02-20 07:00:00,34.99,35.0,34.95,35.0,3300.0
14,2019-02-20 08:00:00,34.9999,34.9999,34.7,34.75,5943.0
15,2019-02-20 09:00:00,34.74,34.98,34.4,34.945,1220491.0
16,2019-02-20 10:00:00,34.95,35.26,34.925,35.2599,1927760.0
17,2019-02-20 11:00:00,35.26,35.53,35.25,35.5,1082471.0
18,2019-02-20 12:00:00,35.51,35.57,35.39,35.51,1050919.0
19,2019-02-20 13:00:00,35.505,35.86,35.505,35.535,1459441.0
20,2019-02-20 14:00:00,35.54,35.56,35.12,35.42,1424020.0
21,2019-02-20 15:00:00,35.42,35.64,35.27,35.4,2326601.0
22,2019-02-20 16:00:00,35.39,35.5,35.39,35.48,259979.0
23,2019-02-20 17:00:00,35.48,35.9999,35.39,35.9999,6859.0
24,2019-02-20 19:00:00,35.92,35.92,35.58,35.58,345.0
25,2019-02-21 06:00:00,35.2,36.15,35.2,35.86,1727.0
26,2019-02-21 07:00:00,36.0,37.2,35.79,36.3,32408.0
27,2019-02-21 08:00:00,36.2899,37.0,36.15,36.1501,35800.0
28,2019-02-21 09:00:00,36.15,36.19,34.48,35.31,2073865.0
29,2019-02-21 10:00:00,35.305,35.97,35.13,35.58,2225525.0
30,2019-02-21 11:00:00,35.58,35.605,35.18,35.505,1388234.0
31,2019-02-21 12:00:00,35.51,35.63,35.48,35.61,1013291.0
32,2019-02-21 13:00:00,35.62,35.63,35.43,35.545,947204.0
33,2019-02-21 14:00:00,35.54,35.82,35.42,35.43,1574886.0
34,2019-02-21 15:00:00,35.43,35.46,35.18,35.39,1971351.0
35,2019-02-21 16:00:00,35.41,35.41,35.2,35.2,36131.0
36,2019-02-21 18:00:00,35.41,35.41,35.41,35.41,100.0
37,2019-02-22 04:00:00,36.49,37.95,36.41,36.41,70265.0
38,2019-02-22 05:00:00,36.45,37.0,36.45,37.0,126049.0
39,2019-02-22 06:00:00,36.86,37.0,36.4,36.6,63759.0
40,2019-02-22 07:00:00,36.6,36.85,36.4,36.8,111991.0
41,2019-02-22 08:00:00,37.0,37.0,35.92,35.98,1071128.0
42,2019-02-22 09:00:00,35.99,36.69,35.83,36.43,6636362.0
43,2019-02-22 10:00:00,36.44,37.63,36.42,37.51,8706490.0
44,2019-02-22 11:00:00,37.51,37.56,37.08,37.1,4210973.0
45,2019-02-22 12:00:00,37.105,37.21,36.735,36.87,3228249.0
46,2019-02-22 13:00:00,36.87,36.875,36.43,36.505,2266147.0
47,2019-02-22 14:00:00,36.51,36.65,36.26,36.31,2669476.0
48,2019-02-22 15:00:00,36.315,36.58,36.3001,36.48,3674643.0
49,2019-02-22 16:00:00,36.47,36.6462,36.0,36.45,161617.0
50,2019-02-22 17:00:00,36.45,36.63,36.45,36.62,2253.0
51,2019-02-25 04:00:00,36.54,37.0,36.54,37.0,1500.0
52,2019-02-25 05:00:00,36.75,36.75,36.75,36.75,2000.0
53,2019-02-25 06:00:00,36.9,38.74,36.9,37.18,44253.0
54,2019-02-25 07:00:00,36.99,37.0,36.5,36.82,72000.0
55,2019-02-25 08:00:00,37.0799,37.18,36.5,36.6,226841.0
56,2019-02-25 09:00:00,36.6,36.8293,35.44,35.77,2513948.0
57,2019-02-25 10:00:00,35.77,36.12,35.53,36.06,2681505.0
58,2019-02-25 11:00:00,36.06,36.44,36.06,36.355,2123150.0
59,2019-02-25 12:00:00,36.35,36.44,36.24,36.38,1570006.0
60,2019-02-25 13:00:00,36.38,36.495,36.33,36.465,825651.0
61,2019-02-25 14:00:00,36.46,36.47,36.26,36.26,839419.0
62,2019-02-25 15:00:00,36.27,36.27,36.02,36.1,2529925.0
63,2019-02-25 16:00:00,36.1,36.1,36.0,36.1,152253.0
64,2019-02-25 17:00:00,36.1,36.4,36.1,36.4,42179.0
65,2019-02-25 18:00:00,36.4,36.4,36.4,36.4,500.0
66,2019-02-25 19:00:00,36.1,36.1,36.1,36.1,250.0
67,2019-02-26 05:00:00,36.19,36.19,36.19,36.19,100.0
68,2019-02-26 08:00:00,36.0357,36.15,36.0357,36.15,2835.0
69,2019-02-26 09:00:00,36.1,36.2,35.57,35.59,1295980.0
70,2019-02-26 10:00:00,35.6,35.62,35.14,35.27,2217693.0
71,2019-02-26 11:00:00,35.27,35.3,34.89,34.925,3188500.0
72,2019-02-26 12:00:00,34.925,35.03,34.725,34.82,1677602.0
73,2019-02-26 13:00:00,34.82,35.08,34.82,35.04,852323.0
74,2019-02-26 14:00:00,35.04,35.12,34.95,34.96,1071727.0
75,2019-02-26 15:00:00,34.96,35.01,34.82,34.95,2378685.0
76,2019-02-26 16:00:00,34.95,34.95,34.95,34.95,109040.0
77,2019-02-26 18:00:00,34.95,34.95,34.95,34.95,300.0
78,2019-02-27 05:00:00,35.25,35.25,35.25,35.25,400.0
79,2019-02-27 08:00:00,35.0,35.0,35.0,35.0,377.0
80,2019-02-27 09:00:00,34.97,34.97,33.85,34.345,1409284.0
81,2019-02-27 10:00:00,34.35,34.7201,34.29,34.49,2483122.0
82,2019-02-27 11:00:00,34.5,34.58,34.3,34.31,1846416.0
83,2019-02-27 12:00:00,34.31,34.33,33.81,34.07,2073415.0
84,2019-02-27 13:00:00,34.06,34.16,33.97,34.03,928839.0
85,2019-02-27 14:00:00,34.03,34.07,33.87,33.87,1346688.0
86,2019-02-27 15:00:00,33.87,34.02,33.8,34.01,2451522.0
87,2019-02-27 16:00:00,34.02,34.02,34.01,34.01,295245.0
88,2019-02-27 17:00:00,34.02,34.02,34.02,34.02,250.0
89,2019-02-28 04:00:00,33.91,33.91,33.91,33.91,2620.0
90,2019-02-28 06:00:00,34.19,34.19,34.19,34.19,100.0
91,2019-02-28 07:00:00,34.24,34.24,34.22,34.22,350.0
92,2019-02-28 08:00:00,34.23,34.25,34.05,34.05,20311.0
93,2019-02-28 09:00:00,34.03,34.12,33.8,33.82,829059.0
94,2019-02-28 10:00:00,33.82,34.1,33.8096,34.085,1400060.0
95,2019-02-28 11:00:00,34.08,34.19,33.99,34.14,691503.0
96,2019-02-28 12:00:00,34.14,34.255,34.09,34.235,660348.0
97,2019-02-28 13:00:00,34.23,34.27,34.16,34.25,575979.0
98,2019-02-28 14:00:00,34.2547,34.31,34.1,34.105,713813.0
99,2019-02-28 15:00:00,34.108,34.2,33.92,34.11,2457305.0
100,2019-02-28 16:00:00,34.11,34.12,34.1,34.12,614115.0
101,2019-02-28 19:00:00,34.0,34.0,33.91,33.91,1600.0
102,2019-03-01 04:00:00,33.75,33.75,33.75,33.75,278.0
103,2019-03-01 05:00:00,33.91,33.91,33.9,33.9,300.0
104,2019-03-01 06:00:00,33.9,33.9,33.9,33.9,385.0
105,2019-03-01 07:00:00,33.9,33.9,33.9,33.9,887.0
106,2019-03-01 08:00:00,33.95,33.99,33.77,33.8,6704.0
107,2019-03-01 09:00:00,33.8,34.25,33.8,34.14,1585989.0
108,2019-03-01 10:00:00,34.15,34.48,34.03,34.15,1758330.0
109,2019-03-01 11:00:00,34.15,34.17,33.84,33.84,975214.0
110,2019-03-01 12:00:00,33.85,33.855,33.67,33.8101,1125456.0
